m/z;Spot 3241;Spot 3326;Spot 3327;Spot 3413;Spot 3414;Spot 3499;Spot 3500;Spot 3501;Spot 3585;Spot 3586;Spot 3587;Spot 3588;Spot 3589;Spot 3672;Spot 3673;Spot 3674;Spot 3675;Spot 3676;Spot 3758;Spot 3759;Spot 3760;Spot 3761;Spot 3762;Spot 3763;Spot 3844;Spot 3845;Spot 3846;Spot 3847;Spot 3848;Spot 3849;Spot 3931;Spot 3932;Spot 3933;Spot 3934;Spot 3935;Spot 4017;Spot 4018;Spot 4019;Spot 4020;Spot 4021;Spot 4022;Spot 4104;Spot 4105;Spot 4106;Spot 4107;Spot 4108;Spot 4190;Spot 4191;Spot 4192;Spot 4193;Spot 4194;Spot 4276;Spot 4277;Spot 4278;Spot 4279;Spot 4361;Spot 4362;Spot 4363;Spot 4364;Spot 4447;Spot 4448;Spot 4449;Spot 4450;Spot 4533;Spot 4534;Spot 4535;Spot 4536;Spot 4620;Spot 4621;Spot 4622;Spot 4705;Spot 4706;Spot 4707;Spot 4791;Spot 4792;Spot 4876;Spot 4877;Spot 4878;Spot 4962;Spot 4963;Spot 5047;Spot 5048;Spot 5132;Spot 5216;Spot 5217;Spot 5301;Spot 5385
255.23365946751;20433.404959657;15402.67954066;18413.062618658;18247.0546004;24192.616346712;20785.968169645;30624.354137393;19213.160261062;15460.366283261;27801.688690744;18523.652169828;39024.802498858;28433.553698179;22266.894140304;28707.496358788;16557.569574807;37092.174366371;20670.471954596;23086.41532547;25485.339261589;15202.044894672;15115.824056559;37444.666865235;24377.367705077;32988.313173072;37724.957129879;31612.285351414;18883.767204548;23981.579462713;30338.385564843;26589.628274282;27480.178090689;22449.982053684;37178.805168466;20780.253303668;27081.25607854;26488.113195976;26590.062781637;36565.465343143;27541.268410006;23709.194160176;26455.447588394;31348.858126749;31798.498297771;42113.705065496;23791.121874823;21354.070650811;28345.380744812;33523.435673635;24193.125658922;29659.213028969;30280.779121253;30288.61974157;30130.665638372;17512.891623121;29466.262344488;29481.990164986;26274.746212367;24329.458746646;22647.111850059;25292.903853318;24935.741415852;20215.594331419;20880.95329492;29079.012141078;28892.096131989;24613.918926685;27465.251067007;26600.281177161;21781.753226752;19956.137619927;21539.632228098;27075.436280465;24501.456951765;22064.043826409;21594.395434954;22165.062430812;22018.741881511;18502.148523467;28502.712071927;29920.910904219;21694.452524635;20157.912399146;12515.134098029;18402.302306834;28005.064639782;23317.272747175
281.24944079343;292263.26749258;273043.70479435;216179.57075138;207444.0228782;290413.20977314;244629.37027041;211527.22415656;310379.91274517;257000.62578276;217621.53565836;117835.18382521;258481.44821479;258402.26607936;321553.64381388;191100.93911132;103823.15323152;224761.67725266;228143.75014322;181409.63257354;161770.24177023;135411.36394765;101139.38122592;255586.94303514;226519.32366721;257753.63476755;284170.24373587;170758.89791545;111780.40112495;164544.95244384;280621.0856852;248173.80224343;185003.85120653;154123.17944056;213648.68116363;265551.11568018;172011.90083171;221189.00826007;170794.66639549;218464.80812586;199685.94509499;203309.45084636;261902.89628392;215977.02517318;201231.21225842;351750.33324128;207538.72617381;193383.06721884;246723.22936195;217664.96095623;239837.16478029;205411.86719345;217210.90898465;259697.19486938;276438.0002668;238052.15473652;207291.81446473;268304.265694;240821.78697549;294112.99556893;177258.64528064;246567.37382682;239557.02916798;151108.93293633;165286.8594098;199910.04085486;250155.04379849;186968.97712708;194005.86349994;239820.6733213;189055.29250996;158630.49146119;204753.85767176;253780.14248178;169562.27375015;231780.86662261;155731.12983617;207282.71464854;204142.92831785;160497.52301214;190777.39367052;205536.4810772;181069.834997;168881.55429941;128932.41514361;170493.02806859;165841.8033924;150369.46320502
282.25059871635;61813.499778922;52080.832986765;41070.462028399;31289.905929047;53886.231019549;47535.969625614;36364.730865849;64104.083881119;56401.072460012;46117.135387034;19086.761974459;51715.175738169;48561.187845256;60382.133137236;39920.059335969;24455.072980108;46850.960905014;36824.496632815;42139.579787306;37387.262837407;29742.869907479;20624.760409836;47532.904230967;39022.893888994;40016.054239436;54040.147134266;31894.485457671;21441.077536614;38897.707807575;46839.235082967;53199.527766714;40756.453517062;30226.328578839;43763.07394368;51619.899054254;34614.453841084;37826.49279697;39927.662944343;33172.875581584;43387.77437771;41718.980627164;47736.108539937;43636.118470859;36187.693787001;62172.843161815;40961.996423422;31046.139493513;44518.362122512;42291.934697823;42015.610645947;45451.296766624;43007.443969512;60009.944896712;57090.06897115;44579.456637378;45102.5328143;50795.305979685;50339.100941648;53557.509137071;30314.569165125;45382.000681972;50668.031835746;30153.302689783;30618.305021102;38429.396197719;43330.218839502;35113.991759856;34515.192218465;46088.541433995;38393.440913659;32024.907104722;43653.820573188;47693.944845611;24535.175350571;37911.077275351;28475.831841461;40644.719294017;39717.428815888;28148.308830589;40267.674257757;32300.395265315;37790.314020228;33862.234097055;25292.573040998;34107.395002354;32179.669257589;30501.33105855
290.08905172566;30622.448204879;39255.613119711;52438.91041833;35221.727918199;76829.75697627;37269.573655776;43366.56036645;67165.810364701;58464.126963259;39858.071500103;38682.783694577;50053.280056053;87538.040523214;61992.191035246;43761.620671447;31636.905013813;36422.765539403;66363.518440531;86084.503601104;32019.905492056;28937.731490975;31529.352006601;57281.72003091;77713.907839935;105405.84967656;110936.80261365;60315.538922489;24333.272331195;53585.125958218;83829.669908864;105485.33294297;60569.845979768;34243.311987739;37167.0840561;90187.33345913;105142.93101791;75270.28400042;30785.407813702;43235.072502129;66090.549415328;106504.76863182;70765.769465049;68505.07164041;43807.118966013;63450.175036371;82479.316878595;84910.493637794;92114.894731857;74261.509314634;45234.519430488;76563.167700352;106548.40819529;72510.870503145;53842.686871413;66015.306683109;91479.711629676;111788.10621945;75351.258395824;72401.196624063;118002.17145943;84198.949314039;61462.570824062;86137.812915184;107857.80042235;90091.988566933;51336.045938046;82119.092775707;110570.12580377;81192.143208485;76181.175827633;79510.41408668;114081.34040446;95902.917422815;126227.11317007;91996.557383992;117136.69123497;85660.362903443;82192.179532437;89136.461863092;78233.565165019;115664.32082007;67692.476900037;70770.169456607;69295.965168098;122663.44958493;112453.33771771;83154.579667509
303.23385112436;243682.44292579;272078.73745875;267213.80598149;233663.07548307;391769.84223365;273333.38977132;259505.95452767;360333.36858116;224693.34464835;236088.26845511;188188.73981271;312940.32560443;416992.31555158;353554.3869238;239906.578698;185359.34613;339980.80560087;404114.04222446;307792.0046255;251912.29245097;216965.73840432;160212.25027631;361460.48460435;405766.14280257;375781.34532201;411697.13125;266817.23974824;203154.83911452;264440.49180353;415441.99927211;365021.30321537;275786.74883544;267559.53021543;324089.31635083;378228.45862969;319170.37541908;300530.26579813;272176.00966067;324800.73757649;329472.17625487;429124.5836764;376973.98631442;302622.8727221;303735.16681622;506346.10863108;379785.91778262;354617.91298427;393723.26426796;322265.85354282;337327.62519827;370115.57120781;368439.52052245;381270.33051239;366359.53374894;402276.47315237;415639.30180907;496177.96923566;337316.27159129;449317.76406714;387909.20408123;388085.81483491;359805.98794647;319428.33200948;344783.51773377;424166.06770683;397002.77793608;365368.31667688;427358.81800527;424395.42319833;406329.59948093;341658.28548589;443596.61861975;396291.45091109;384542.44782991;412843.54701699;419208.42125018;432501.86196533;452580.96352462;388311.38180509;416139.01926016;394601.74918339;373926.62060454;354084.29770945;273696.74723397;414479.77231391;379961.46627652;367338.45309061
857.51275620514;308959.52115906;312125.40183882;327450.07610866;380160.99281395;484697.74869792;307823.92384087;407706.90840215;413222.28355399;194192.91240024;255084.91802999;342784.39780032;341099.11280169;423271.08299665;367742.44702318;411432.56016009;429899.06654144;577146.96697828;567865.69751292;336514.2731068;397559.26897289;404767.94466899;353606.4924767;416791.0670502;512391.05271905;289490.96652916;332367.67548915;363864.20999651;381838.98804619;341938.29727327;450985.5257136;396588.95724034;383866.25080865;474292.04956203;477324.80182604;464335.40379458;517511.99220942;424455.58865304;616044.71038967;524226.09598886;525074.83524695;492513.07804887;508549.58917378;425128.55034221;402012.72715779;624093.98646998;395016.06116507;608681.19304726;691479.0941743;290162.33586769;588231.222715;623399.17680557;633837.99402071;541458.54833865;428315.00362249;365253.77110958;643205.87685184;880961.10329672;567128.78540293;559470.31429996;551310.93085535;669574.9610671;661122.69599661;448498.71739463;486023.96903062;786063.26870329;862764.26882204;468023.92656146;695227.29938479;839192.57417432;612674.07866302;609138.03384996;830742.37487544;766443.22281741;693721.91882646;1017041.6316754;680400.94833407;938704.71740187;683853.58675916;728909.23743491;749398.4421556;591915.5836338;896804.76891312;905337.83129352;888980.3027198;537831.58286225;555186.46657958;622979.78874266
863.60637621505;255707.75778975;297772.85322502;144323.08118701;172491.66773699;117492.5010794;159814.44372107;154800.28800334;108293.64443452;163699.18311055;109080.98184675;113361.82929129;78587.152813442;114657.85022016;129759.68953941;129286.08459075;99992.898974558;112698.48268678;109997.88433664;148229.14988939;134526.52595445;107304.11201051;87810.030613032;70038.137916239;83615.320856621;122608.59853894;92174.681435785;78939.068355148;79128.514935835;72777.35291472;99967.012315264;74077.94669115;84053.481874127;65338.674364199;96766.599281092;103638.8926326;120249.80721532;71856.87458599;89064.004118496;68592.929629571;68640.06613535;107403.12646158;71751.423639822;70382.809944171;61701.997094716;91256.503666005;106015.43285637;128773.47137054;84646.669995695;47334.137338168;48521.298874155;149993.13848479;97637.235051521;49279.505456461;42076.698442842;74190.873670898;151281.75400135;63752.667714683;34129.993321778;71503.59628809;81080.496078791;34209.534321696;69493.824297908;103625.78724846;116952.16235006;78378.614081552;67173.648166843;79821.143612386;102970.03852959;60359.149832034;118894.90165986;124304.36875266;69548.824723896;61294.165228788;107603.5520182;77658.871091726;116461.72902668;88308.378234549;72406.020318678;80612.242307447;75982.911679002;63928.868917214;82178.165056927;104326.45664963;69905.33057986;96831.093095421;59540.050882129;91351.511140115
878.61326451653;988522.09750423;1304939.2301657;631702.78276363;837148.5902541;625007.44341177;786767.30767293;861741.80783948;477792.56831542;676732.90132781;554147.95640798;578342.61058338;446226.29837447;886682.97262199;577055.07798195;484594.54274326;642006.21775243;548233.82948887;888540.18211928;956859.39581352;816461.10572928;570383.85790672;493684.94471024;454235.01300346;620145.95729249;916999.11426575;657879.87436251;536321.12631453;474519.93398251;429772.95653793;463676.5135609;567916.80439162;529372.73927123;452083.01686627;437459.16442224;550436.51522147;787031.00352575;407144.304675;530976.49238905;419575.9881763;417594.24834917;787053.29252918;372153.96381284;445728.93225834;403981.12259432;477635.59419358;858020.24237274;1030183.3622569;461011.93708853;335264.70167639;399090.11811189;1088265.6430305;771694.45432572;295680.39676631;345089.28464398;544136.11255366;1062656.2712989;449339.85882454;285464.12698259;517574.04987548;620673.39806131;266659.58894784;496923.93799772;798651.36083934;769401.41660574;566547.74291333;400572.69607946;837534.12984409;731943.71751764;339017.07127318;919222.79639095;785542.65998559;491460.51241573;460234.88577246;856318.96093551;569090.80893336;745380.20930163;423980.34038409;703116.16841652;417657.79164228;626577.67914979;367851.06588569;626775.65198936;609133.35189407;433745.19774699;514622.39460972;419495.39921521;677221.10022875
879.61034346618;586220.96809066;668784.62791262;383916.00940966;463883.12105487;338124.82586339;425536.2864122;437200.08955744;285619.45949856;394905.27695122;324626.4927195;296318.58384878;238912.67699314;466561.27086154;336099.93335577;261318.35253262;350708.37725542;275573.34894623;471713.72761364;508945.99862151;422577.9239937;311901.82301311;232731.3696707;241858.117279;347876.31360482;514393.31655711;328765.97780392;298740.24982981;246761.79135136;230157.2020509;271595.3245139;315783.68974731;260160.24345939;242849.76111536;203968.65931856;316833.28839953;413993.42659512;199030.23127985;240477.62591602;209627.54655443;232320.04421619;405069.94620681;193393.56380453;234643.03445047;248322.20850674;267997.31555253;455215.87393955;512566.66739868;267043.52729948;162706.98645313;211613.38416518;565613.73787582;383718.84098326;193459.59972073;179725.97767476;277114.70498387;584097.22428513;236776.98866135;151494.60752408;286420.36380296;339329.87670164;133926.46724211;262221.65434934;382527.2610065;412540.23680008;272763.87486561;231240.94029274;452312.72564626;425204.3044524;190963.55133232;484899.89368029;424835.70470579;284067.13815155;263928.77731689;431297.98232335;312947.94423355;382154.53490127;217377.01519701;334012.122284;198695.33656521;324541.67233453;205987.75928596;325176.18001163;343775.86294361;222071.08786242;277233.80146463;231138.03449083;352802.94886625
885.5576986702;1038765.3820804;1271754.8048717;1769587.1361942;2186104.8940754;2921867.0739604;1787164.682481;2555225.3108098;1804694.0205332;988787.36334268;1509216.1747109;1933294.5773441;1377003.2683997;3163209.639234;1597781.9915975;1882185.0863354;2603227.9605926;3319443.4868946;4165486.4695297;2373890.739166;2491867.2240133;2328831.6683474;2332218.9401549;2186795.8423255;3212388.8339091;2242635.9255467;2166447.0615459;2374769.7552778;2314139.9996071;2242379.4582757;1973298.2338378;2594449.0993677;2175521.2884415;3237360.3586234;2489082.8235186;2423785.6643985;3978412.5687077;2011135.4736876;3856356.1837815;2584760.1970802;2515413.6110623;4354791.3303373;2343330.6697784;2229798.4701534;2870017.3052969;3050024.6695991;3608960.4585589;5060609.5330974;2951208.5571801;1942255.7167159;3268675.5470228;3909685.0455631;4769225.3556698;2602834.2149786;2665118.7565803;2824598.5386606;5378774.6070097;4583826.4472485;2716050.8881669;3457813.7512912;4128059.656893;2931280.1362542;3261515.280334;3637822.3543848;3723877.7071818;5453161.454412;4026293.355066;4010862.4161477;5700103.941047;4225015.5194998;4593202.4369525;5023818.5591908;4646636.1703656;4386728.8659731;5573059.9623785;5808202.9945779;5868230.4198115;4926444.976905;4527986.7660884;4662847.406348;5060342.5278703;4387536.3912135;4689105.1836959;4841808.035082;3890413.5940056;3833435.7781497;3840566.2979169;4293124.3663819
