m/z;Spot 18885;Spot 18886;Spot 18887;Spot 18976;Spot 18977;Spot 18978;Spot 18979;Spot 18980;Spot 18981;Spot 18982;Spot 18983;Spot 18984;Spot 19071;Spot 19072;Spot 19073;Spot 19074;Spot 19075;Spot 19076;Spot 19077;Spot 19078;Spot 19079;Spot 19080;Spot 19081;Spot 19167;Spot 19168;Spot 19169;Spot 19170;Spot 19171;Spot 19172;Spot 19173;Spot 19174;Spot 19175;Spot 19176;Spot 19177;Spot 19178;Spot 19262;Spot 19263;Spot 19264;Spot 19265;Spot 19266;Spot 19267;Spot 19268;Spot 19269;Spot 19270;Spot 19271;Spot 19272;Spot 19273;Spot 19357;Spot 19358;Spot 19359;Spot 19360;Spot 19361;Spot 19362;Spot 19363;Spot 19364;Spot 19365;Spot 19366;Spot 19367;Spot 19453;Spot 19454;Spot 19455;Spot 19456;Spot 19457;Spot 19458;Spot 19459;Spot 19460;Spot 19461;Spot 19548;Spot 19549;Spot 19550;Spot 19551;Spot 19552;Spot 19553;Spot 19554;Spot 19555;Spot 19644;Spot 19645;Spot 19646;Spot 19647;Spot 19648;Spot 19740;Spot 19741;Spot 19742;Spot 19743;Spot 19744;Spot 19836;Spot 19837;Spot 19838;Spot 19839;Spot 19932;Spot 19933;Spot 19934;Spot 19935;Spot 20028;Spot 20029;Spot 20030;Spot 20031;Spot 20124;Spot 20125;Spot 20126;Spot 20219;Spot 20220;Spot 20221;Spot 20222;Spot 20315;Spot 20316;Spot 20317;Spot 20318;Spot 20411;Spot 20412;Spot 20413;Spot 20507;Spot 20508;Spot 20509;Spot 20603;Spot 20604;Spot 20605;Spot 20606;Spot 20700;Spot 20701;Spot 20702;Spot 20797;Spot 20798;Spot 20799;Spot 20894;Spot 20895;Spot 20896;Spot 20990;Spot 20991;Spot 20992;Spot 21087;Spot 21088;Spot 21089;Spot 21184;Spot 21185;Spot 21186;Spot 21281;Spot 21282;Spot 21377;Spot 21378;Spot 21379;Spot 21474;Spot 21475;Spot 21476;Spot 21571;Spot 21572;Spot 21573;Spot 21667;Spot 21668;Spot 21762;Spot 21763;Spot 21764;Spot 21858;Spot 21859;Spot 21860;Spot 21953;Spot 21954;Spot 22048;Spot 22049;Spot 22142;Spot 22143;Spot 22144;Spot 22237;Spot 22238;Spot 22331;Spot 22332
255.23365946751;10691.768616492;10890.625728139;12800.653661659;23774.770279033;22956.142673233;15752.144438992;19141.144312121;19847.247427932;20582.407542634;11908.149445531;13239.964186271;11858.731701833;23413.690577993;42212.191362702;44763.122929676;33605.51420297;28660.482347144;21094.42247339;13394.604246753;18461.165626964;21619.311060063;15070.636788534;13036.723379016;38210.590347193;37718.102549766;61178.696365435;46435.993997505;44333.028979958;35808.335594285;28221.744022536;24326.487347808;22481.284188594;18168.921981788;16717.610619317;12702.556822088;49016.77681748;47271.351669878;59452.321520702;47555.612887597;42561.624201569;19310.327522409;22641.958304552;20809.867207541;21412.778025989;28947.704600732;21369.487872242;22469.366999404;35871.493778408;44490.436539464;56146.678081524;64102.307044573;44828.980156283;51346.622382106;43180.917015915;29965.545422967;29446.956547127;31637.595865659;25906.878916736;50176.434463402;47523.189720181;56098.088881458;56618.822404185;45773.566601067;33061.098800387;29914.99393929;50633.505714954;31435.094033552;31329.024408866;36441.646821084;38182.045597381;46695.657779983;39569.084856262;38431.396026379;31992.289377743;26344.503371037;39007.072973772;47091.710188619;45231.371915995;61258.630240019;35165.512402556;34307.448848659;52113.173068047;44429.898502731;38130.306747742;44413.598862044;32008.842386587;43082.885532643;43473.938157309;36608.636324603;38181.669353311;39396.765060962;51196.208903638;52926.209560065;28699.886249614;36749.723402708;49831.204541328;48378.742981798;25729.27226326;34780.725062693;47831.649153985;37891.065131888;28034.682586301;34447.504896051;34518.267319189;30203.332655755;29648.125163916;37811.778746727;29202.037718394;25307.134745231;37570.279282706;33241.978345421;32726.921968119;47775.789900366;27249.501612281;26278.175602213;25085.696594679;36937.445149735;30310.662494553;26774.349012454;22496.355209122;43949.754077222;26184.935845905;30056.089195789;36162.12018905;28012.675202536;38124.503718335;24297.305429896;28562.792897496;24405.585291625;27221.967221832;28988.286551342;38483.049121842;33075.280575066;21315.154592361;18540.335262181;24126.349022663;27654.970008151;20591.887827321;25233.814383821;21668.287523823;31489.999505499;21844.925932355;31063.58369499;26214.089953873;26525.173525129;28544.183336531;25235.239967714;25578.08760788;37575.687568633;23141.192775241;27375.599978641;39211.329882117;25979.800763825;27010.341483594;33107.068498466;32226.593291946;35278.582881691;34831.080299706;32693.125417078;22196.53127652;24510.616672738;25320.872498439;21984.06579211;31580.823086827;27296.194831923;23008.557782633
281.24944079343;214693.28459579;237762.32794243;180241.83284124;248242.86331349;379592.863779;275514.84275244;295688.23135682;294209.34648302;264920.63746513;281646.28344961;254790.09980611;233075.11300294;224242.42536215;360730.58614229;350687.3261747;293989.21780403;323431.44925067;318771.29474308;282352.693267;276723.6015961;309076.08978498;229343.25478845;206241.74840571;321443.29935352;391345.62908781;366117.21664827;304796.9590131;306190.9946799;369864.1996998;416207.85861357;356798.73293821;345821.40833371;232117.02796879;287832.02348349;244580.42345498;288542.6308011;271897.43977713;409658.00409853;231394.46230549;253276.92215849;189565.82372196;164214.75970745;173475.46190873;219966.97159849;378516.94817536;259348.64663174;289264.51563272;218980.94430668;313599.92719488;343855.13271358;409611.75041784;218058.72351154;267825.54329802;262915.04766223;283416.66380128;447029.55430241;308990.0673131;254446.23266234;238826.65700004;285724.24730406;437779.0477712;219404.93141872;230865.51560955;245986.84209997;179452.10942746;212277.21390586;167708.84042082;227969.86117146;235491.64809353;287723.98779704;267403.94728464;240655.44337101;276389.49679533;446724.13264083;258506.9215426;246126.64763852;350066.42402399;265241.50106766;402317.73528245;325844.54434818;227541.09537372;313247.7409617;334451.47512975;401784.67876138;211099.17861434;222374.32559594;298924.98795203;368123.55020477;287225.68254336;217093.10153735;263005.83837811;402199.69031771;253055.74457628;215842.94554837;311034.17338518;360627.37850527;234296.75347294;198802.89339177;283163.17222546;260312.91244506;215776.68349986;211019.5585209;312221.80660574;272272.96815886;192692.0883304;223720.59434964;243596.98447577;204612.29810074;193577.0041001;278022.13516532;208868.05449879;191970.30274693;269713.9902812;234541.32954654;196824.22796632;157089.04690887;278487.56392086;230541.58560571;199919.41199558;198555.55772336;235156.29055484;165294.73871574;174678.18000193;202132.92660434;174071.42984831;181412.53262666;185129.32784805;146944.10250107;176755.36318932;218694.86137032;186654.82756263;181726.98800817;183733.65867812;141940.35839611;157915.83603161;195209.90853895;197163.61504713;185204.7167226;169725.60422703;181705.3584648;175340.40072032;169682.88138001;172120.54479251;190529.33899152;239609.02541074;180821.46080486;184025.26936076;227650.64930226;181037.06396582;173026.38566557;256434.85170299;209775.14010721;201472.95722194;257783.33302458;243908.50699095;241366.87595624;317504.74759086;248031.48714089;190720.60386617;193865.40999991;222651.88116813;170754.72461218;185223.29385311;305628.34212261;188900.61150009;254546.17759176
282.25059871635;40460.683135565;43681.541085528;38852.166495064;50272.233921284;72636.024356326;53067.323872811;65223.986062842;55337.394481387;46200.53942155;47421.8035816;43317.092018117;50590.264879139;35286.227720051;74589.318877962;65751.416125704;48186.00855581;59294.418843391;55684.316990303;49677.799551796;44483.721306561;62818.099611456;53594.656844729;44201.494791684;59852.241543526;77075.384882508;72823.888057016;54539.220316965;62690.917129564;72904.613920346;75820.411935687;76543.004401721;57813.591648107;46650.549491992;55373.8874138;42128.582326823;59713.265340108;58579.333565926;85814.495720713;41907.069854619;49707.278908294;29799.143802275;31991.374045834;30001.181396654;42350.180523341;77658.350758047;55080.389712459;50713.54750335;52856.498578151;50256.803882275;54908.935943952;79386.089396534;42071.993994528;62572.137452031;42361.295621004;63925.719343169;87797.300185873;56341.709485744;55401.667616102;51894.279547967;50803.457101778;85444.559270673;45728.694454668;44940.301470322;49563.288599251;31515.945265129;43995.306666777;29076.143344359;37939.769564545;49843.378132622;57906.971458794;45638.764329431;46051.390951715;57364.528902507;92362.195082912;49256.960579681;43767.396914491;58533.170543401;52056.892285975;76154.254550383;59023.384552222;42663.279393231;50450.208360121;62048.230248833;75636.732758507;39188.420630131;48302.998026944;64825.628691748;59818.780576158;53005.587157133;46054.48777961;43048.543605955;75382.318678854;52337.927490188;56903.062567798;61448.635648222;60395.90893136;42965.440500038;36679.717065324;60886.661140875;48809.674838727;41652.523436069;54969.035090403;57924.727026371;54421.989312368;32948.022221667;47671.397774321;47984.915174732;39851.478051824;43793.774997961;52627.880348663;38718.451252281;37492.782202704;42607.819137506;51283.000002179;37750.865632579;31588.74145257;46383.132780919;33608.717321942;34740.806581912;38229.569533711;34820.642909223;31322.213608796;33660.9622803;30959.665084241;34711.971369048;33653.105765878;37118.805003895;33301.624780035;28602.237148193;40891.504217968;36601.106718365;33243.513520689;27723.411626396;31358.951967993;17387.455804545;37525.112498065;28580.531994941;27824.880566294;33234.170501154;38459.276477094;33100.999012026;38487.883685371;28683.008820798;30215.25890111;47651.342896938;39335.041846517;34517.720688698;33438.98533689;35738.78212027;39322.371025865;55166.560767241;47092.584807345;35491.454082967;42301.456273271;39291.494474622;46532.812379294;58054.581230183;57714.265177369;36230.512829755;42331.66899314;42339.436879686;32961.38856422;37880.274361744;50720.116165086;35399.279462492;48492.667716849
290.08905172566;31277.837209031;26309.730866791;23780.09492277;43034.562598437;42865.377468208;23649.589686872;30360.57399648;28609.832075664;23123.401366583;20983.095685216;26694.723719963;28392.330504849;114534.53048373;77704.53139127;36653.999546783;23962.748985926;40941.241607726;33911.294666382;27374.518859688;23797.302586737;31671.491962739;23984.267388348;28774.42511034;130960.10710889;80824.697616609;44726.169434861;34952.146810355;28884.961897009;34613.032721591;48474.140971406;40966.706346583;43815.684588381;24223.642163546;26488.137952911;21255.161822262;123324.30393839;83892.607159692;40691.082752121;53571.479813729;26125.111300443;37331.660479629;22078.740995863;37274.822407017;48101.542526257;53741.071639309;44638.761655508;40380.642859355;117166.80897786;105547.65766092;94601.269229901;47407.295032481;29151.970249256;30531.910536101;34338.913061325;60528.434001073;83865.449234663;148462.71418146;119912.20391747;109998.2217872;103574.48999777;56977.220094583;47102.058910712;38134.965573141;45392.590514143;68266.783762874;78560.204572764;88744.318255755;100811.69996869;111441.05671445;93824.504386603;56570.455679833;57999.059509065;90669.960371641;146908.08141976;129808.91520131;94129.941149969;108744.1328534;62608.072664618;78446.489187322;130280.7210489;98045.814189254;120455.01267802;59444.054966996;109278.11279927;134871.1189262;132712.17249309;106506.7628629;74413.677127546;150354.32327727;121895.0281924;108136.60277819;73822.519592894;127986.08655482;99874.184708205;116336.10428935;108790.87304813;133408.24752029;92105.483387948;71375.924092217;106525.99741237;91256.650318269;83074.995151327;76954.012168694;129249.33003867;94306.888698208;82193.589027001;78847.46361115;137847.74107359;116054.89755139;91934.937246309;122710.53427517;112728.65036877;83889.691466259;121558.14257073;102422.76477217;98494.259898638;100051.59314153;132120.60160655;115017.04106905;101445.75588942;139605.30007084;101511.99223735;113935.76047765;129017.99445213;81045.449868403;146200.89427073;102539.97670817;102826.48379093;88079.630833466;130264.5999986;99629.78977139;133901.55821965;148695.1624145;88434.141362998;105726.34884396;126788.414936;112045.34129392;111842.860617;91274.106855207;123855.72058306;123274.66779013;103617.65148058;117082.07292441;103158.1941184;120401.05808039;110752.27246989;120037.24518545;85513.209236171;111663.02181011;81277.895252946;111963.63806505;121663.85489101;104393.98799464;131925.58202058;132349.38869986;88762.259928581;119391.28337368;91938.775350628;111683.73640541;105593.56984257;68526.717992407;102249.69118916;101064.20662821;73545.642599783;82470.791988932;88664.520600843
303.23385112436;126601.5676614;136827.0762209;108518.72620819;299948.99473235;324586.35896526;183084.45527185;182728.67448696;161080.75333442;159746.41992287;155899.06871811;137547.51478613;140012.64720499;337798.64929928;440252.65218072;394259.26363276;268719.29147218;248935.7207784;215021.59216481;179796.95402583;159657.25207438;178291.76758732;134869.50352544;124351.3708;487486.47705301;451155.4570271;389204.5964478;286757.9181267;260365.56893257;286736.94955686;304456.25631033;265959.5661774;220751.24079816;162893.78752757;158620.034113;132596.29880338;512756.10591253;479764.37994805;487554.53224417;229392.90200446;280991.55393815;170684.04070433;157410.52430891;178637.89319583;183831.25612374;315996.5495349;306551.0179802;188086.98806419;376973.23239195;508257.24089948;453785.74979406;442482.07811083;269000.79713262;287500.78457768;267803.56767079;286875.62523159;352742.04194606;395576.24788883;340004.1812884;435133.38528656;506689.25028115;477913.87499213;303628.60043735;311146.57842277;285164.60191641;262818.50029549;282685.31743973;270639.40703775;420848.47002944;398818.00275849;418621.83211522;332742.46234426;329892.00210142;354646.83463249;462667.99298173;338943.70685828;448649.3070303;536759.28749574;381563.07738999;477906.40776394;495884.11044638;394598.45506233;530379.15660009;439253.32341759;573302.01942;449786.77749796;427764.95261502;465213.94524406;427823.24663781;462763.93096813;400993.56427708;446147.63627029;585484.83048722;562006.53182119;408291.69540937;495336.84093055;529366.34069425;445519.69478482;358567.16311334;440377.07395195;537617.03735175;389666.73864746;374467.16560264;454358.69838084;478270.22483929;363605.54854517;376936.38935805;390121.90887316;413171.03468838;369011.15459077;415698.28900995;363653.17486828;357358.15811771;417351.59157107;409680.66147474;376051.20609757;300485.79857195;469142.70339618;442148.48107848;366614.18790133;346597.38932637;474172.09138591;329900.77237108;351310.60930137;394446.53223239;330347.94288746;396822.98842777;337687.13469557;287765.12610013;331685.41841309;430922.15420712;307814.07965055;357469.1112062;335696.22153047;261324.79349185;290876.55755008;386130.72165083;318343.97501473;332159.31899711;344883.61038989;351519.3359493;347473.94370223;349038.84580734;361051.6184507;375217.47785794;423848.28346938;393821.8108793;353683.63368053;370126.97008021;396145.13633123;302261.60230861;387062.4821482;448626.89003137;339397.9592467;397394.95332571;453527.57636396;362148.25813836;490292.73482929;404659.94726154;400550.26125193;327131.78032723;349139.39098121;334129.63391984;352391.12749794;411629.02917475;341542.34663461;393699.09171467
857.51275620514;136041.21494492;100108.32705451;69660.697231298;474297.63252441;301512.80898781;191489.58479821;132372.38513012;114742.81525925;70518.475657786;112012.15914322;136120.61693003;126316.76350538;391989.41630819;490543.34947743;503782.67429609;418897.52267009;333582.0805182;227683.63169238;160845.86031553;100284.17540046;143826.99336937;114986.53496273;128527.37709644;512232.11268211;513052.08252094;719181.35068184;408054.46069575;299509.91894417;265583.00823997;169603.80109362;243457.00630901;178366.14777193;234765.93690519;116834.81958532;87078.501463463;756167.40617629;553028.68890773;505414.28593897;265496.46551629;569547.27286605;366869.24843627;269631.39191579;255437.71760341;183053.10462626;333935.65232451;498809.29629663;151647.56339983;358993.6163668;560331.58001433;509913.74363256;560257.68578981;676832.61304954;543722.58298167;415275.35109368;366527.81861956;408400.27517765;521493.93747909;381113.10367603;510179.55779539;591186.13675994;422298.06249407;562550.69095871;671942.13171053;406452.10706239;503130.4255206;335837.54522191;400358.65581387;526345.02838215;326532.32251356;569931.30421724;423361.02215691;480772.09862577;539237.43677857;627739.44752393;454282.03145476;647827.48911833;480645.46867026;655889.25623331;566306.05525051;902692.16332135;380412.16379997;629603.97894251;766352.10762917;865005.41000848;679133.47955322;472675.26644654;624757.65752174;715083.0038392;450540.9675674;481051.67208198;636267.45664041;1524749.5196712;1197822.8121578;416638.4932459;737803.60609856;805208.94531634;623626.06066794;344644.37020573;684890.4296594;1233055.6918884;475568.20206673;441108.88980316;1094535.9544173;763181.35131271;416167.67590698;511147.51390012;747928.85275162;668588.29580605;475344.40295155;688894.07720212;664725.52619499;429627.77297861;811221.95865692;491019.48843943;411157.22348147;365391.94972753;842781.56931616;780836.71614848;358980.84455173;351552.01096311;681597.17479403;453722.70746103;534321.32777365;557630.87027529;312983.29169097;761092.31005438;314885.77542784;377054.41316341;393530.33535763;561098.53125634;312791.330122;468928.25566986;336860.80280965;299753.2101968;251290.26082258;348509.96422929;383321.26596727;325566.78207379;468337.43342352;480171.66645149;384872.94754783;402022.15246634;440413.94300555;336099.23366739;618089.28902741;439303.86706671;305625.44849268;764750.77154848;478552.23718199;220826.07421337;564036.77741505;526510.2610253;495594.17464935;533273.33364761;527959.55146839;515028.14988169;528318.29774471;822596.0387623;745679.17829465;300491.40024277;461258.34117697;467981.80937349;326238.87273747;648198.86530311;468534.71027013;558097.27443706
863.60637621505;385354.39468819;188310.07529706;178212.00929281;163815.43473089;107168.0971922;223707.22559264;206258.41620284;246591.88624584;117075.29937037;257045.1314012;384079.9758296;322457.65510472;98043.398928878;114507.76184078;125786.05811157;137935.66441036;205109.87363365;199733.20728768;400049.40808259;211510.75138279;330430.47575716;405203.23142637;323019.40744066;102703.33039402;121374.62784764;131442.87165302;145000.70482533;120554.59609338;161601.83163561;129871.59783039;161053.51413719;161982.25976811;443473.06082293;232018.65948473;179073.85776359;100102.01317913;109359.24990874;86536.715186964;91968.513031728;111564.6661785;134360.4659263;83646.798534245;81177.62363403;99439.064531886;139902.78729552;223878.78235633;203098.86625586;95257.687113207;83704.675120643;90340.478144755;70861.316886235;98323.261183076;112217.33996653;100990.12262648;66085.86077582;78384.264948784;62258.826825259;45522.991765192;60268.170516648;64383.620390713;90815.00313838;60907.763577476;87220.31790312;53002.166953894;41377.897845712;39345.068408269;49917.29999804;92341.727677946;69003.371154312;95969.134472703;74798.207042038;56927.437550123;57058.478053726;38315.001246863;29665.244416293;100088.47710346;100929.99553403;45948.27782348;48799.26531955;30049.618109603;66212.979107849;90426.819781232;49782.18405643;30676.63017633;46374.379397874;89930.026511424;55948.509614649;34578.545123483;0;95253.148950419;71762.762738363;41185.608767639;0;49099.145407539;59338.702884365;0;44551.773424506;58129.116137028;48236.764592847;30360.853573187;76339.690683578;48200.852705061;48329.224781026;34269.185209711;53817.403545854;81854.182029595;29571.10935353;29100.147232515;89928.193750942;78091.909339868;37733.203725692;95193.99648515;65442.007845274;30135.841515546;56139.445192252;60963.909223252;63573.082331305;38376.76487079;63378.820632202;52771.517052391;36709.679031933;82346.243165238;52948.363801466;48241.217502672;40010.600540956;35468.002451771;0;83571.750229331;45895.860588139;0;100939.05456078;52229.774698623;0;112507.80769088;0;0;40551.562788844;0;79701.115704076;46419.382054556;0;46537.740983214;20762.921659289;0;92554.883591663;33448.851037343;0;47113.375047659;0;84554.187893957;34944.033473246;37479.409272817;88295.584978031;20782.778970525;46976.227024869;99791.409303167;37854.133919959;78732.841056089;33378.134502249;93510.622667324;55806.347720737;27863.919288859;57940.704385266;50360.964062592;91894.293315476;25882.140050918
878.61326451653;1697234.6835236;707464.7968377;649346.78664527;1064032.838845;786548.83871296;1029572.6705139;1021738.1997123;1003413.5817803;539774.73748756;1069633.5407351;1578751.3333194;1290830.7945757;652166.43779407;673125.36702874;781720.9216386;796994.4881198;1122445.0481032;936066.41804802;1560629.729528;760451.04302031;1388908.1901938;1908423.3385835;1211686.3311462;708947.59214388;892627.19815842;664791.45869331;781628.89230433;662272.00442417;815657.35172186;471111.25284605;694380.58169207;802966.6015033;2254677.7415421;834968.01444971;828361.08929636;873952.82346798;797064.8487708;634588.56362467;376764.01459171;588616.66941454;579749.06547319;494416.65960608;437922.21280812;361275.6958916;749173.60643667;1293274.1746941;1167050.8751835;766544.42210385;969106.62918768;966767.78759014;447217.45609001;498670.08588477;596055.78485816;434377.86972076;398188.98626682;306287.15974086;345816.09156118;266761.53524572;638491.9494045;787503.31207205;581805.3147078;402216.8131322;452172.87095604;280646.80516057;315009.67625433;268280.9235675;326076.9090879;963460.72078363;474028.29864588;677352.54342616;335645.07183631;387805.81661158;310658.58301228;206298.41819781;184658.99013628;828045.29345263;598778.4608716;358750.2486947;291937.58146989;238023.93987685;592485.14049603;728963.16260209;246458.50473955;229603.3860743;138699.81213222;557465.16754915;415274.78170677;222588.97822528;154242.34075016;946437.65207627;550968.18780359;284395.43835448;254693.90177445;563553.70413909;511165.7378046;182671.7504074;192041.62222493;447299.86533504;440876.32512553;237858.68381101;594089.06151487;460022.45886135;329110.50553663;145030.47002806;442473.34290256;583262.84103841;178005.27676259;161824.12867019;710542.88762026;543810.74769361;207464.73599666;756310.80773092;571019.79963376;194055.03691447;506133.30845143;642292.61813979;367512.52314067;216389.27280671;611393.14348651;434846.80133667;205347.97381328;889138.19867996;549930.05697894;283337.24574579;521172.96276971;261991.36860677;199155.51745016;779525.4262391;372732.83656709;267091.05770348;997924.25960116;457557.33148522;283977.99172281;969422.76371123;189872.75607005;210498.822849;423417.02114683;182090.83333564;518644.36467093;257109.99933817;184442.26138189;314427.40513605;220192.8069726;198745.76804258;546531.452514;130404.64169605;174224.92190094;458085.29831637;172040.83600394;621031.88309497;372147.37372206;259188.76412063;858672.26319809;257444.15395255;243918.62351818;698274.46447327;157445.43720746;600970.39830491;171508.55074439;797124.0831221;534610.30425241;190230.46193864;423178.22655323;416962.56052463;793965.70370356;261489.31442734
879.61034346618;1010559.5448571;448916.24931682;374818.84760286;549770.03085992;418044.56804595;635563.37075442;622106.837105;592424.06605705;373641.97101293;597352.34827008;855284.68746505;742010.84434272;361882.37174423;378131.43074891;392520.25383691;398793.32686524;592181.61476784;548747.04185646;884627.0333988;426821.84929779;791890.78660048;1065835.0824798;720550.70503651;364593.5404107;481978.70062827;406041.53488214;429003.73639275;363279.08199906;458806.09177227;295892.52309476;416794.81081974;489471.38968038;1200583.0028578;488751.50308349;470483.51231468;487236.64943154;448421.54038768;323017.21891823;237931.40793703;310515.42770065;336500.16261372;304949.10099382;237752.80126512;231617.99044255;396285.72401639;691815.13966279;652141.65977075;453438.94970157;539699.3645818;559947.43558833;234936.67691457;306638.44866187;289399.20556406;217068.09199246;242591.84323829;165476.67127299;160323.77405877;155384.92107113;343466.97532477;402097.50360202;289862.89271352;227035.69008758;205303.96041988;168856.18431951;166309.19628248;143049.32119721;182170.90625418;536564.36976852;280484.13876682;414657.45190632;183405.94066066;198647.39128817;170186.6676303;120476.28478931;114024.84688823;458830.44619109;356215.743522;185756.01167666;144944.71775871;110301.81317064;317244.58616992;373651.91571568;142777.01691043;103524.21515941;70147.846098299;316114.17985303;223332.81761983;126164.17390909;88894.44408485;549504.3044995;284468.09150786;145829.49068673;122824.78797089;290236.62193265;305330.00202544;105009.00627525;139397.46872732;240782.79233666;254192.97490601;136030.68490923;301450.04588956;244641.65060483;170581.55522188;107754.16829444;235211.1658239;337020.92030215;82099.493066446;86866.269268337;374137.16601306;296077.62765494;83318.425596335;414622.19715069;256572.36500706;82097.22084032;290800.72460952;339473.01375792;186493.70103968;128717.68408487;364499.65006933;269022.33653072;159881.65631702;439166.21374957;275003.43514739;133342.54302743;319894.73333761;135680.62614207;94576.192620034;418683.44135118;196936.89040673;132962.42626545;544471.23434618;229232.52224344;176252.6220183;513195.91820369;103764.44538954;107199.48077032;214668.89848183;126868.80758368;271302.31855952;147075.24134088;108006.68856209;176420.46539817;104207.30598011;117689.90965924;299696.44381839;84812.063316835;85278.960977585;241359.32559588;76232.321830537;368412.01004883;152428.47797043;153731.68105114;459024.71832192;149800.82744134;161977.14434966;377572.68452699;87114.448911268;334605.31621107;85563.671152908;461721.28401649;234867.72665632;86586.697223921;211704.08605646;217252.38317872;434480.42663251;152903.82041395
885.5576986702;533115.23483482;366301.18449605;335240.37724297;2702237.3031463;1683468.5618888;814523.56543364;668511.87392233;507708.87396152;510429.62623524;570505.13915652;720898.92992937;621500.29553595;3371657.5108649;2911773.5109806;2439937.4610118;1908426.2857835;1250173.5522643;948475.19619468;720883.02407199;430881.87243686;620260.61346033;658616.36511981;567376.69348943;3431804.9239709;2989705.7689672;2967431.0724796;2000036.4104813;1456412.8737701;1436584.5932678;631035.54453198;998720.3020248;796256.0572035;1216963.7224495;674350.94964546;534695.98422408;5843720.5068616;4259937.7328325;2608200.0799921;1139481.3404844;2609738.7614137;1393641.8265335;1393158.9235328;1247868.1589158;735921.98369252;1754698.5867449;2489871.9785072;885465.53681296;3224806.1528057;4962337.1957866;3955265.1916225;1971862.4855734;2965269.6824454;2653755.6817787;2132738.9421753;1903570.7865047;1358939.0208625;2148007.1128786;1919217.8494836;4012609.8461691;4624130.9472258;2502240.3282037;2618173.4075288;3033123.1592822;1572999.8595085;2526221.7127147;2017510.7991226;2955427.8375297;4525580.0569278;2322244.3352356;3356204.4170603;1867731.698408;2748649.27129;3073653.0211411;2548889.3427747;2379856.6451346;4582884.6891532;3506042.2841092;2873298.3259861;3086718.0068881;4425002.9694703;3050007.8418519;4425555.9560535;4292029.641816;5117764.0372865;4315063.9203243;3245450.5433377;3447389.907465;5133970.6708806;3476679.6885298;4657309.8708672;3663441.6260089;5546707.6384451;5976844.9720976;2416483.1936617;4266529.8572986;4152146.7701662;3080075.4617742;2207645.7109363;3855172.5780748;5428938.5766356;3463373.0478936;2949412.3565423;4102614.0814018;3162222.0114287;2894194.3750644;3034563.2454831;3463330.1737652;4059242.2038595;3211584.231061;3291243.9398121;4220252.352243;3060062.9040639;3930069.3658519;3525974.2616205;3039710.596834;2675089.3892762;4592767.1645957;4853309.4956369;3000263.9664764;2692000.8793875;3858382.3118518;3989787.7604707;3351478.124177;3803514.9547272;2480123.6238126;3831297.950006;2644665.2956435;3093572.7196885;2058900.6675879;2721194.3145948;2619222.0645433;3203967.2030028;3301876.7506975;2850004.0077299;2343474.9309621;2473681.2938215;2044190.7346436;2840206.1676963;3023486.5370163;2739673.6018784;3252882.7728132;2176689.2803165;3442470.3077782;3325236.4393771;3667613.7584399;2019752.4589048;2670604.499607;3617665.4526947;3611996.4175358;2110174.9064987;3434615.049324;3894670.7674374;3841657.2539452;3542198.954387;2901801.995747;3243043.0305779;3263095.4586364;4244570.6170873;4421234.7230457;2843499.0516949;2756555.8086383;2685112.5090465;1941302.8551046;3357678.496681;3341752.7040387;3083476.8192626
