m/z;Spot 33549;Spot 33662;Spot 33663;Spot 33775;Spot 33776;Spot 33887;Spot 33888;Spot 33889;Spot 33998;Spot 33999;Spot 34000;Spot 34001;Spot 34109;Spot 34110;Spot 34111;Spot 34112;Spot 34113;Spot 34114;Spot 34219;Spot 34220;Spot 34221;Spot 34222;Spot 34223;Spot 34224;Spot 34225;Spot 34328;Spot 34329;Spot 34330;Spot 34331;Spot 34332;Spot 34333;Spot 34334;Spot 34335;Spot 34336;Spot 34437;Spot 34438;Spot 34439;Spot 34440;Spot 34441;Spot 34442;Spot 34443;Spot 34444;Spot 34445;Spot 34446;Spot 34546;Spot 34547;Spot 34548;Spot 34549;Spot 34551;Spot 34552;Spot 34553;Spot 34554;Spot 34555;Spot 34556;Spot 34557;Spot 34662;Spot 34663;Spot 34664;Spot 34665;Spot 34666;Spot 34667;Spot 34771;Spot 34772;Spot 34773;Spot 34774;Spot 34775;Spot 34776;Spot 34881;Spot 34882;Spot 34883;Spot 34884;Spot 34885;Spot 34886;Spot 34989;Spot 34990;Spot 34991;Spot 34992;Spot 34993;Spot 34994;Spot 35098;Spot 35099;Spot 35100;Spot 35101;Spot 35102;Spot 35206;Spot 35207;Spot 35208;Spot 35209;Spot 35210;Spot 35313;Spot 35314;Spot 35315;Spot 35316;Spot 35317;Spot 35420;Spot 35421;Spot 35422;Spot 35423;Spot 35526;Spot 35527;Spot 35528;Spot 35529;Spot 35633;Spot 35634;Spot 35635;Spot 35738;Spot 35739;Spot 35740;Spot 35843;Spot 35844;Spot 35845;Spot 35948;Spot 35949;Spot 35950;Spot 36052;Spot 36053;Spot 36157;Spot 36261;Spot 36364
255.23216836162;6292.0052138598;9841.561159531;12692.212521068;14171.020305023;7681.2361173182;9357.6701182887;11075.291231106;13885.08983388;11093.900714648;11062.023793237;9130.9055533369;8610.9225367689;9574.9047756288;7422.5625267245;8696.7064136365;5217.2811774678;9255.7616182974;9511.9373949871;14386.509313317;9376.5396267994;9136.8257653392;9157.0956151596;10514.398218629;12885.30111045;12958.471684168;6039.1343003092;4585.8737681237;10577.226574866;9880.8581732243;13873.345269862;10951.974756676;14750.350238343;12696.977192737;16420.09614077;9194.140286145;11847.8960768;10816.463310333;10410.036997944;5875.4697804903;5931.6843742516;11469.697074151;13215.895522197;11871.80129024;11635.255201343;0;6785.7358795025;6539.6768555505;4840.4550307624;12803.535289793;10303.154268681;11431.782874627;10803.045977207;12337.99352075;11248.233328955;11307.195964372;13215.299537265;11274.171550559;7475.6885601957;14664.00073464;8648.2844583885;10450.672979777;4497.4184669952;7397.7344315021;13203.965584895;8347.740659842;10998.362205852;10222.371657086;10181.253274885;12199.548926243;7942.5015468385;12313.194349284;10771.437617447;11803.541233653;12344.004344278;13078.176773205;6575.2073327545;8331.2432558311;13874.473296077;9393.4336182976;13195.442935032;7541.5793272225;9872.3153061767;8859.2437203584;7569.8694302172;15493.774146618;4503.0959438931;8894.5486130825;13419.116688595;10284.138141955;12061.550022773;6456.5518688619;6863.2751794964;8701.335946809;9307.6375801505;12532.623949287;7184.2431175248;9061.926176013;11350.589883388;15195.593261869;5098.6680569065;7332.6404752118;4930.8006538559;8901.7413667879;7047.5960195505;5901.361389653;7531.4380005837;9829.3228096829;9806.6145395937;4483.5374925641;10339.751209467;11828.196834426;8805.0299508502;9142.2018737194;7049.969260887;7602.359526027;6846.683774325;16457.470836528;9268.8012475739;7762.471418821
281.24775687822;58413.639018584;56668.09401207;72284.546699667;88799.45086611;66045.962069402;77650.824402163;94106.783844598;90629.020459855;107167.62926325;89776.392148503;90790.797688998;94380.783039499;94510.318255128;74073.940040414;68623.278072617;56414.174388129;74656.415242059;61939.003076972;107691.48639448;72856.203104796;75954.108422977;68302.71912764;85591.83687276;80279.875079614;64024.302074645;55414.913589969;48753.573649601;92027.994863742;87046.861042448;84321.86419769;82751.981569782;83438.824761145;100825.35654668;72714.700689443;86473.772639634;59025.234350661;69676.539607337;55510.310851;79537.926570374;79092.906280807;68249.900418676;86230.612596229;105842.96159775;114116.33661391;83108.258966414;54626.736463391;49972.683714711;68301.832456079;67141.405455605;94801.802176431;109918.03933861;72900.053411042;65068.631281571;83587.866665379;68015.135255799;87342.468387759;78391.930118499;66001.651663237;69000.140909548;67385.753801128;72919.789732916;54913.036513788;86518.709740037;91033.140197109;67728.298942882;72930.309182213;96802.167787218;58292.682861217;99588.960239022;75518.258735087;81344.946569986;80812.726430197;79604.744434305;60951.914542308;74284.094941308;86507.204171797;60815.664249798;107140.97579296;73322.375601476;69420.656676589;50592.238045456;75974.669372927;78958.195018348;87885.78132275;45823.104731395;60664.374304494;76344.708732515;99781.683087084;82292.610549388;45047.02804475;42154.944183605;80186.572523047;87189.827053875;91565.947965027;51271.505490882;41886.994224197;72366.970553848;61276.318217295;47411.181162454;46177.631298056;61578.216256086;60289.954578223;50984.496358107;44315.860328479;52166.811962784;47851.781856026;49230.401491955;75051.818414408;40324.340880594;51719.230058146;51978.936187547;45030.870153186;50543.462354793;46607.806962541;38939.775938206;45863.699447544;43662.729755678;46879.450519382;49757.726970345
282.25293146856;14427.597948683;11914.933391079;19856.00753147;16712.238929909;12825.55045708;15605.411310975;18948.126640428;18597.233801315;18665.384752265;13763.967351244;18750.627332464;16455.704392878;19822.100478413;25026.242799701;18448.206685973;14847.324217469;15743.298684828;10513.786406589;16394.938825184;14460.213025432;17522.117205514;17716.693033867;17308.468815364;21870.480571576;14854.837854477;10723.087929236;15564.158075613;20682.479269475;18894.150883246;15380.591194053;16498.725501145;14079.337711557;20321.945942677;17815.776017912;19855.809622548;12696.677571615;12642.909597579;13032.659338589;16263.950908102;21914.678013651;12878.955460764;20116.76063411;18533.740056477;20691.975275926;19538.361791029;9251.6273965917;11098.473790908;12036.292717618;16772.239816191;19546.948489737;26798.648072192;16407.139763634;13850.11352505;20768.796783046;14474.443894407;18346.298714291;18723.29442429;12318.561827757;12552.298924568;12460.554728882;13353.386808376;17008.439676971;15343.346367588;16859.583809555;13258.796651504;17809.108003366;22884.962887599;9295.5942741868;20022.295543275;16788.433205623;18355.21208585;17656.706180778;16054.3174776;14783.160096672;21485.352342491;17193.181993729;14625.398933064;20501.496214229;16285.147373675;8543.2390883158;11534.268773825;15383.266526806;19563.313209263;17186.921659715;13541.896443901;14675.182638859;14069.470432641;19264.157998146;15587.227260788;9125.4331762561;9012.5590272976;19638.01282952;16780.075126565;17180.026355937;15355.852029228;8739.3935246776;13355.831406783;15307.631625544;12558.83277018;9800.9973837747;11451.598853656;17236.452043595;12061.278948958;12229.766990783;9714.884891406;7087.7297647785;8896.4618555859;15342.012214096;9509.3479025726;9165.9343484893;7808.5837292281;11469.822207747;13061.046299208;5141.9173079064;0;7620.4247487395;10594.323523895;16854.990750379;7279.3246192891
290.08917797812;7631.1359134145;8280.7618206485;15672.402447728;9413.9388655707;13431.673871845;3265.0482927494;0;0;0;0;0;9064.8925243507;8268.0321659567;0;0;0;0;10348.574335931;3935.5050978419;3932.9729923058;0;7249.6439261312;0;4895.8298770894;10147.43386589;4089.7749973946;8398.5139672117;30052.192278471;3906.3861270195;0;0;0;6290.2421899662;12727.112999049;6721.219569689;11528.075706641;12351.562181117;18217.953432863;8110.6167500279;5277.800448947;0;0;5936.5179510085;9842.8593938556;4220.4852916279;7918.6907182557;12203.846825401;18647.046707371;9426.1601593266;9305.0532349889;0;0;1352.1032995041;5246.2654749938;8807.7342185777;0;7204.9427384542;448.67464163532;0;3420.2527548525;6067.3590877271;7969.3795399811;6548.3972769443;0;5389.7863689424;0;5438.9376762655;9618.4437235627;4833.3560581257;4621.3462173494;0;6789.5471194786;10221.499341096;15014.131813158;11482.25603095;2907.5892632325;0;0;6482.6639054995;13059.015957193;11198.795729415;7310.5240362942;0;4922.4371359525;13364.97751377;8637.2953975221;5965.5437103016;15176.614698376;9158.2323148721;10084.870220091;10101.658903083;5655.3075834149;0;8814.4694710398;5936.8265861896;7097.6645002558;0;6621.6662652775;8049.3626685164;8403.9541444635;4363.1771286974;4024.0273734369;14147.072480476;0;6740.3739480791;9657.7413618275;14185.27712214;8696.9706712221;14555.690421606;14336.136290689;9345.4940411015;11717.849532508;9311.2572029752;11505.616075308;11212.711781295;5535.7828967303;10873.741377916;14275.493390554;12946.786188899
303.23184798369;90732.895718529;88621.107436873;101919.42420699;93629.699543508;106561.5363794;46886.817703304;52713.877876827;96714.352854264;53301.459565471;51627.703819717;45430.523395663;109488.31940979;48102.437897816;33560.514272746;46820.857555885;35954.100054639;71921.75555388;90208.21418787;49132.412340721;36515.014438769;58305.922829606;43526.186482571;60484.591987211;76120.971494475;119952.26291817;52090.424448635;72584.190751163;109145.6645665;49340.977274484;55572.556187977;51764.907307472;64345.096139003;79380.378166931;111862.28818644;49265.038254918;77784.55670996;86180.287531514;90679.904743623;74713.201979029;64342.798640157;49650.833153632;56778.17220148;67762.812279471;142634.05595973;49598.115553457;57193.878034526;71609.730337939;95011.935939364;98321.443794265;70819.752478984;73645.334712925;64543.552755968;52530.790437733;77811.406866307;109004.63151922;87018.350885724;61639.470028597;58159.941772438;44344.368239375;52148.060496489;104166.80164414;83346.045269613;78007.723653668;70235.465847206;64544.938413055;60948.990960871;88588.196485764;91797.836761134;78918.746487094;81926.071231774;81044.483656744;66722.96659156;113035.29229616;97414.641988148;106723.92216821;71558.568010405;44880.97744265;92905.260725876;80744.761591754;115560.19688464;80091.311043555;80721.205729364;65394.165714353;62489.773754941;89094.523872046;84668.318430371;62949.477778663;94465.450882182;90409.18378406;86855.774013428;81605.025309746;90458.211280149;74369.166264099;80010.277506823;92884.691621187;71639.337204937;53150.965117153;75321.327414209;83986.96548162;83102.597578642;82943.612271672;67059.051552776;93155.806549643;78924.784178499;53718.840254612;82744.019343196;95202.609958009;83218.074369496;72737.19859322;99914.389059796;88234.97212152;91716.479127265;101740.69843684;94035.306812006;73932.462623165;79050.695778251;99176.694168121;100672.45394778;94489.537912966
857.52584626559;0;27035.825514311;13179.81347465;0;10721.752331577;0;0;17086.51737435;0;0;0;16969.152870107;4499.5689705652;0;0;0;15055.303966947;24919.147060479;0;0;0;0;0;30006.460020161;0;19419.932543515;0;17077.098225034;17431.22603267;0;10522.439418978;0;20133.222859852;17891.514452596;0;24741.867326274;23264.59235271;13421.335480722;0;0;0;0;0;0;17286.481049755;17177.504449443;28735.634303206;0;19468.01362253;0;0;0;0;0;14286.805351665;20642.879045403;11643.765265425;0;0;0;15523.153225116;0;16876.037065052;14412.7897243;0;0;25775.748298812;0;12331.742494249;0;20131.170134005;17191.634608338;26855.551545298;16396.325117953;28596.189025959;10576.46548098;0;0;0;15547.129616614;0;0;0;0;20222.689250607;0;0;23304.074955998;18860.997476914;0;0;10282.021400726;8942.8769645726;8330.3212235245;0;21211.902214717;0;0;0;0;0;15163.881807172;11840.141811332;0;0;10853.730475171;17577.806275671;0;17341.612772606;0;15854.161061855;16576.608458454;0;22171.60446935;0;19818.255587752;12889.971671888;24508.434897195;0
863.59734371323;0;0;0;0;9652.4289949526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4028.5441435914;13578.34330358;0;7610.510662007;0;0;0;0;0;0;0;0;18129.713591316;0;0;0;0;0;0;0;0;0;7493.7761391608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12648.642776358;0;15983.741094298;0;5237.7132838151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12716.946022905;0;0;0;10233.095147536;0;0;0;0;0;0;0;0;0;0;0;0;22173.229765578;0;0;0;0;0;0;0;0;0;0;9469.8294293735;13915.877518484;0;0;0;0;0;0
878.59323446614;0;0;17963.272423584;0;14699.938443204;9682.4557998197;18196.992099588;24289.408341206;0;24239.863069088;36078.632987701;13084.371599101;0;27220.370778314;0;0;0;0;14363.473384394;20768.285438482;14886.081321735;0;0;0;0;30503.351882362;11177.930174104;0;0;0;0;0;0;0;66418.572872076;0;0;0;0;19893.009870962;0;0;0;0;42226.478182283;16968.998265202;22946.361811326;16299.882377711;0;0;0;0;0;0;1896.6158790297;0;6240.6353391246;0;0;11774.999141991;0;0;0;13318.576952987;0;0;0;0;0;0;0;0;11726.127978547;0;0;451.72402856157;0;0;0;0;0;0;0;0;0;0;12429.3790309;0;0;0;0;0;0;14975.261424764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1754.6935233896;0;0
879.60983826367;0;0;0;0;0;0;0;0;22084.854783931;0;19994.157277658;17567.538873455;12153.245474975;0;0;0;14184.55317395;0;0;0;0;5371.9926570603;0;0;0;11603.681834825;0;0;14776.839350656;0;0;16289.930506901;0;0;22766.67883068;13075.315941892;30211.42239811;0;0;3687.7204865587;0;0;18323.02638478;0;21988.555150631;0;22732.477967492;0;0;0;9678.4488124139;0;0;0;0;19202.531509418;0;0;0;0;0;0;0;0;0;17489.192051594;0;0;0;0;0;12587.554469288;0;0;0;0;0;0;0;0;9262.8571858657;0;0;0;0;19100.149421346;0;0;0;0;0;0;0;14113.70109981;0;0;0;0;20690.591151524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
885.53733725291;48125.093488545;57892.99320423;94120.654387537;51222.093668544;66801.850308264;28160.344847652;26522.770783887;51954.071292899;24920.433112976;20390.126557649;0;55159.05124486;19050.7276392;17585.208912259;18045.729771415;0;42255.152974997;43098.603687578;27310.108560466;0;24736.230904458;14434.104746321;28226.500873621;28903.600179401;66471.014099753;46974.106903183;40202.543771736;59040.044169931;10055.087224106;0;0;20285.813174689;24560.217811775;59201.080246286;47963.631641532;54621.300555255;80436.693543852;71186.872827345;33283.067990431;15207.410154781;19804.345512706;14970.202329189;0;76492.836968014;46828.448910976;39945.311663401;72531.361017498;85214.296657075;71741.393750222;43615.313937484;20612.653245338;20894.67669041;18423.893261273;35760.17697666;83930.308647645;55726.063359423;20097.010634005;15079.436739203;32057.040635994;23382.766335362;63359.870195078;74758.25511312;37933.627935709;37078.190181492;19290.487197636;0;50140.39014079;61296.624046826;20086.363389079;29528.97858373;35497.746076093;20720.390486279;65270.654017591;70714.397404519;76522.909229667;24278.292924809;0;0;39940.369475816;76282.453278991;35709.678035048;26884.662257777;26131.046752138;32007.983639895;74960.418909231;47337.704620169;18175.762089882;56325.298566057;54105.127682915;84856.336945771;49854.359925864;29899.873355266;20124.827638363;32953.556856093;49492.219038446;29990.171150581;14553.760835502;33792.119306828;59912.246361482;62851.890768397;27752.96291982;33830.946567339;61321.394373569;51606.428819041;14855.991945404;75600.538160988;86402.970763602;48725.123794604;56608.021984314;90736.046285723;47739.240441257;97656.553298584;87891.898230191;70439.8593683;59234.875009592;73167.787950158;62389.889612667;92474.340639549;64866.60361992
