m/z;Spot 12788;Spot 12789;Spot 12894;Spot 12895;Spot 12999;Spot 13000;Spot 13001;Spot 13106;Spot 13107;Spot 13108;Spot 13109;Spot 13212;Spot 13213;Spot 13214;Spot 13215;Spot 13216;Spot 13217;Spot 13321;Spot 13322;Spot 13323;Spot 13324;Spot 13325;Spot 13430;Spot 13431;Spot 13432;Spot 13433;Spot 13434;Spot 13539;Spot 13540;Spot 13541;Spot 13542;Spot 13543;Spot 13649;Spot 13650;Spot 13651;Spot 13652;Spot 13757;Spot 13758;Spot 13759;Spot 13760;Spot 13866;Spot 13867;Spot 13868;Spot 13869;Spot 13975;Spot 13976;Spot 13977;Spot 13978;Spot 14085;Spot 14086;Spot 14087;Spot 14088;Spot 14194;Spot 14195;Spot 14196;Spot 14197;Spot 14303;Spot 14304;Spot 14305;Spot 14306;Spot 14413;Spot 14414;Spot 14415;Spot 14416;Spot 14523;Spot 14524;Spot 14525;Spot 14526;Spot 14633;Spot 14634;Spot 14635;Spot 14636;Spot 14637;Spot 14744;Spot 14745;Spot 14746;Spot 14747;Spot 14854;Spot 14855;Spot 14856;Spot 14857;Spot 14964;Spot 14965;Spot 14966;Spot 14967;Spot 14968;Spot 15074;Spot 15075;Spot 15076;Spot 15077;Spot 15078;Spot 15185;Spot 15186;Spot 15187;Spot 15188;Spot 15189;Spot 15294;Spot 15295;Spot 15296;Spot 15297;Spot 15298;Spot 15403;Spot 15404;Spot 15405;Spot 15406;Spot 15407;Spot 15513;Spot 15514;Spot 15515;Spot 15516;Spot 15517;Spot 15622;Spot 15623;Spot 15624;Spot 15625;Spot 15731;Spot 15732;Spot 15733;Spot 15734;Spot 15840;Spot 15841;Spot 15842;Spot 15950;Spot 15951;Spot 16059
255.23216836162;10037.757255873;19290.438801828;15959.871098149;20547.954936548;13448.627366902;17031.463279808;18420.033586488;10869.033540701;22820.816420752;19013.897890953;27044.578435507;11852.683493;16120.828621511;16097.324334725;20989.609736265;28761.433369129;23042.574778917;22746.82355735;19259.724722151;20188.00340642;24909.409009989;19430.834357465;19783.738300871;21196.892401955;17730.901642073;23886.176379161;20386.598348166;21395.984171289;24911.669921875;30327.794095254;25939.448819815;21999.427321373;26994.370935572;18100.407637576;19552.172851892;26323.424978378;26017.085668057;24130.356814442;22444.22735308;24707.582802865;20730.03765605;30278.297523102;19731.371669171;21081.275705081;19804.898717759;24978.978735301;24409.069542347;25169.678164616;24218.767747037;26695.163302388;26367.600416587;25563.936113997;34009.006461997;26550.950321434;27443.262090071;23790.112342769;25253.641486032;28911.008789796;19267.274759522;23044.788516597;31913.641320459;29570.178040615;25228.077019618;24609.145934427;29844.93286064;21847.316662208;29499.676746999;21260.038002847;23642.677895014;22515.429111966;18641.706417391;18331.27984311;22829.94606651;33319.746386994;21245.076532505;26554.256545802;26714.939162578;29293.086193219;31583.507123987;25727.205765363;27863.364219334;32441.710815014;27389.212454555;23438.529629576;22818.648297242;20941.176418757;27125.375570615;29726.489806859;31163.263965255;23301.999273499;19061.824227672;25337.913314628;25973.351941501;21504.018920733;28799.486573698;25929.75665885;25968.541692048;30537.794283064;26950.322016631;24809.956128301;24971.567850864;29565.411508087;25377.29868648;30608.533658397;23304.343709991;19887.347357114;24009.062333706;25969.082091187;30346.025297402;18825.9285474;13574.866277083;23094.385393398;25958.336045646;27939.166194132;24148.468279902;23740.452755729;23002.933841736;32570.646049616;30845.461945642;24273.010264902;21861.86781527;28020.055287909;29776.117765667;27275.348076464;31641.275147512
281.24775687822;213099.70563883;241301.07079879;239498.44869305;265975.36365991;231131.13299309;280827.31186678;190051.33233098;205030.93040518;260730.31186268;220772.97667578;212448.06932688;211860.44224797;260759.14031036;178227.27827627;240388.64188515;175410.92731656;157998.31435045;184582.76400968;164495.52247242;248681.48075712;170872.61614714;141060.01172087;141658.59598709;149881.14530618;234319.99083574;147515.50890166;149407.25350122;143105.59457353;138487.62867994;237578.28280997;164878.55773236;149131.60406695;141192.62242776;236804.30869154;130101.95552382;135422.52697876;159621.6707542;203087.91469005;149526.01892649;153816.39962024;125684.43359165;261195.0544874;156447.93084655;131885.85906668;117626.9467435;190414.0352879;160523.27376508;169805.81890217;192051.15384035;175980.7173474;143286.42764012;130646.31471577;240554.60756926;159886.02053738;170334.27807478;134552.7412807;187786.79701316;194746.1905843;138279.37983089;143963.9028563;244420.65925997;184013.75319552;144614.70245314;148754.55460249;214116.71858768;155293.57074121;168148.08141829;145197.85717865;162974.52750678;157234.28454388;107900.03059439;110940.57932558;138330.66770115;169346.14680864;137731.8888519;143431.24087646;151055.22646386;167847.5777154;174947.21455933;147862.28438015;153062.22711081;169757.44309923;152568.06478785;173661.30991107;132280.23033122;146691.4349333;169522.59378844;195811.76899334;155759.09243067;138927.90083588;132042.5533877;170296.98415992;200260.33974856;141456.75081806;175692.26446123;160904.693529;150295.34217313;233327.3119097;159963.9138368;166736.01798549;160361.20446551;153969.99668192;247864.07731517;189424.34042368;143928.79369662;169229.87598166;212644.12234134;172793.01515951;180174.95863697;171358.14639084;183502.62339663;155376.45110366;196038.54699406;187910.23814833;173896.01586496;142046.57362595;213560.99497498;204105.15467346;182331.60725106;176286.09435863;273301.42774329;185848.48775704;228164.90704764;181995.4362761;253893.0447642
282.25293146856;40857.85710072;46363.384855926;50333.521906633;52055.095965456;42190.609720177;50977.283474128;36417.400795871;38250.960034113;51402.986940335;42786.787477396;42284.290324131;41977.924519631;47271.304075354;33513.22720184;55326.136816688;43327.054159375;30840.849539273;35461.319280313;32407.558559201;53407.473917248;36897.531203941;29698.535638755;32139.775596231;28928.263020618;47972.445159451;30878.369424929;22130.75529111;31201.641641012;32756.375829836;44899.877650851;33470.955239925;31861.212341911;30805.970391381;41067.576067898;25541.837398362;26009.653930668;37456.994850209;38774.428937732;26206.182109266;27594.747152462;23386.842773191;45066.722312325;30360.492617267;28646.070794128;22222.7360179;33664.776775933;32245.000235124;31295.663098743;40642.3326963;34376.531664653;31258.16012019;21196.766230567;52171.081822696;30421.114689968;29509.759063115;25550.72230676;34552.625908822;46161.373434936;30104.751123101;27711.498949233;43401.647473788;33457.354852149;25303.146317881;31977.476055641;44220.174936487;33373.719292824;36182.857139235;28386.184040031;30658.110593622;29828.513765185;23272.649520738;20973.28535714;26277.898021178;27116.98626701;25449.43152829;26757.958293605;32136.897305057;33509.529689408;32887.475468173;21816.463978473;27400.192428615;30188.250911545;29574.365742183;26747.369676738;29621.305432421;30947.387176053;34304.447084626;39050.170616731;32335.660294366;21406.434012215;25390.548779052;31360.270943004;37948.074089761;28665.035368151;32175.293364172;32804.449852806;30491.014131929;47152.281417162;31197.236256153;32728.260873531;38006.014871289;29503.582258475;40123.09310703;41223.079543356;29148.75135819;34383.690310115;44507.685595972;34626.057355462;36790.659201133;36337.855098032;37431.487192059;32960.868827155;35456.051051785;36408.626453909;37497.013638781;23927.9832192;41178.965994672;36517.177190685;29409.478726535;37669.437064795;51795.708913965;32917.798934977;44006.903043287;32884.042048835;44522.7241085
290.08917797812;5233.1464172064;14347.660116571;11294.579219324;13505.234287864;7140.6320488528;8210.0089476452;16373.769558007;4492.0151789973;8442.4504787956;12976.379638671;32923.929292832;0;7805.4668733867;12421.759436738;7500.3754467174;20962.551955414;33826.759970489;28989.648491988;8928.2577849625;7865.2216465966;22522.51982758;36797.114316911;35356.839980791;33726.82772364;10591.189824512;36325.960046627;29632.814524173;34094.005346288;36317.106768852;24380.288010143;26840.538138906;29383.897133294;34482.795798556;22084.303643422;20673.731945896;25969.950128619;38619.599392812;22589.542844926;21916.092899232;32986.487225116;40036.346218736;19056.561344631;24571.799065493;27083.654352327;41048.121597793;30587.381792077;30763.233849868;30428.619766275;27093.442171025;25692.541284503;28350.832052401;25784.961726012;30714.071754666;15967.03983587;32004.819491935;28342.434293416;29558.822723688;20603.698490196;21737.991807721;31704.854794516;17001.347962045;23319.720035083;22626.529127117;24912.914858385;21773.370399182;25197.879228709;27473.692299629;26730.658677452;23476.32859475;24257.446029279;20178.929619732;25353.613102426;33311.72748622;32886.961304863;29758.649930549;24590.928442175;29776.561551493;33013.515846194;23473.437124062;24682.55998437;29265.785972385;30947.482888004;18590.387101594;25165.330713837;24782.894426857;20150.957971599;27625.144702746;23726.707875504;24206.500073128;23075.954861544;19751.3861618;26018.368107214;22167.66963709;20799.156732196;39004.676495851;31530.589797168;25395.127102363;16675.740869884;27291.516259966;37924.286390918;28770.89623297;33001.300448126;22462.064624875;20287.734764481;25546.259018918;18938.85186643;27724.178280188;19435.682043831;35186.154241263;16549.77362397;10520.566809824;27600.013579002;15003.593181982;28309.348977631;29436.906561166;23293.890463345;15203.39222852;23264.053918513;26013.172930186;24755.715898349;17472.396042309;26676.195955932;13113.223706994;26950.739304998;22475.44234204
303.23184798369;88166.560350306;147842.28039576;113573.4567356;164318.45958133;90413.144129748;145458.78543183;144537.64892838;80609.673659978;124534.77090676;154474.39637883;226220.19820856;82298.338279091;111646.7805744;80607.383559519;125967.12888717;167191.51986907;200844.22551494;172525.85389978;118460.02363271;159321.39441495;187963.41716403;200753.30181638;193651.89257423;167490.35541948;182404.36934371;214685.12716479;195228.43978066;211086.48964918;213224.24739854;214394.14806327;225693.57326739;216408.83657905;232008.32234005;214962.67696136;206550.85219934;209236.9831897;260442.52174332;222340.29704016;209766.50714144;257012.77085264;215518.21260807;265752.27312598;213704.47336265;204988.07737402;203655.32995687;228451.95805298;247008.68165009;260761.51551812;223348.41448129;252129.82077423;226626.59746236;219909.52468372;270921.86889239;221404.81496181;264995.17197214;210316.64652488;227794.26946651;230394.28470142;223175.98782956;254564.6423629;244280.64346409;283702.99216507;234483.68848699;225632.84773507;286218.22849638;255843.17909212;264162.27662771;238801.53376122;242790.22274072;228654.93585985;191153.84544297;200728.50625541;234746.76733191;277249.0521108;241660.21250087;249095.54543732;253169.35299324;269704.01795659;286390.46418355;235631.55433002;252600.04692046;281378.30715246;240309.13269982;267568.42000095;232368.75616198;195814.89836716;273859.2429039;270996.26548992;274569.92746023;218169.63737612;180884.20793085;253517.58174013;271938.56434294;242177.77539548;270441.61487487;236046.05982436;230884.70214716;229894.3686477;235537.04020921;264824.9023005;260346.0447158;238348.06897476;232772.5251679;282106.69601794;238406.10797881;170025.02262274;222943.56386518;189664.25552087;275334.16193345;165788.40443099;133692.79705693;206742.80520778;220591.71062123;290791.50907998;218210.29890562;203280.81858749;203910.40573644;280952.81263272;264479.96168062;248607.02007121;250894.19521825;255439.46272935;222588.54720439;275858.6310324;276218.57270907
857.52584626559;18414.83048486;43829.340256061;27821.643218929;26071.904306851;25650.657757828;28001.133177929;42047.123095534;21632.139926277;21031.83180646;25122.206555579;46317.110589804;18636.633579465;27678.336669985;0;24432.127344723;37307.241528077;40701.21418548;39928.155992949;19948.906253988;34821.132277014;48675.911262468;49508.936455869;50921.65275982;40497.064526789;47192.319170521;39375.021369248;47542.038578067;52457.387474972;58287.852273878;54768.36845277;54062.603246302;36120.081136371;50042.290149371;43798.965925652;41127.280193332;37337.627900139;61727.324751125;54267.390615191;45673.71399225;64256.105638694;65136.000783147;99339.593833908;45081.761640024;46990.151567733;50125.430088446;73402.089945818;53427.738197239;57286.071502164;46857.983261347;56664.932569601;56981.318943641;44506.376001776;78364.187052539;53035.997100568;59136.258735323;47061.112433215;57376.550090106;47996.812195201;50433.124022341;54458.987882469;52425.653594368;67000.448422085;58240.94797259;61221.290260394;68107.629875382;64223.975595399;64369.997541128;51614.23383235;48236.176500771;68461.811826714;41631.339154255;38907.70719593;65170.696163993;75479.292871307;61921.079774407;55539.688933962;81414.936314794;53214.428733316;57406.378247811;72999.232940362;89262.040469852;78406.910276384;67700.759931377;51797.793712138;55108.601813289;44554.992145427;67736.680741872;76689.53774915;67456.653641691;49863.265502803;45113.037479207;71355.048029137;55823.009771987;49517.858508039;60370.899576543;62889.947767758;50438.893531125;79154.372156876;69962.039351387;59278.247610472;61988.197162848;51753.869555701;60017.557546127;38156.114605695;48427.43264589;40014.153481019;59755.77970349;26585.078697085;72807.215840295;36357.242157862;34993.099713354;61801.798854093;46630.181465423;56809.895170485;61255.842656164;53193.208975172;48149.184917037;62913.526491627;68753.251358278;68483.938084203;51027.24003402;56046.1779541;35283.732499746;46994.705904348;85978.292243453
863.59734371323;59343.986583758;25045.925556028;41121.525225807;0;56588.055622448;34457.126476935;25392.555468961;48786.923129702;21626.970359728;0;23631.679716113;55442.372119459;33058.096141756;0;0;17019.486371214;4670.6019460199;4110.0759710424;0;21045.437432224;14682.155867299;16901.551621025;0;0;0;5416.2551441102;0;13688.76073763;0;14371.422195543;0;16874.602164011;0;0;0;0;0;0;0;0;0;0;9486.9568405932;0;0;0;0;3137.2273887113;19184.135363833;12955.856012226;0;0;0;13184.116453548;0;0;0;0;0;0;0;0;5858.2988969885;7261.9966001289;0;0;0;12145.171710126;0;0;0;10996.791027372;6176.386286091;0;0;0;0;0;0;13649.394784354;0;13765.051309185;4377.7949659444;0;0;0;0;0;0;9799.1425740701;0;0;0;0;0;14079.384788083;0;7877.2504273117;1851.4536160175;0;0;0;0;0;0;24874.684959452;11700.611567535;16537.277145335;0;15992.616147646;55688.682892451;0;19085.254117443;0;15329.948273031;0;0;0;7232.4678341668;0;3084.2136252382;0;0;0;0
878.59323446614;216653.52024626;149573.13175596;237224.03522813;71133.477151174;256174.8494564;160928.42602393;70229.416506832;210996.6721947;94163.830207386;48816.455048899;64153.480953409;219326.97343765;176360.83905019;52104.431723001;50339.100063122;61164.606052982;56360.790721765;39117.800389564;35976.166108006;46670.546348302;43353.033331871;32782.400442677;35747.418580502;31916.090907026;17509.071755755;35387.986141374;52394.650242886;20623.066746021;14949.102395346;57540.778097354;48845.287799536;37030.409304448;15837.918252859;24579.413238943;33522.346998149;35709.911561567;0;21277.789332817;35305.597581106;30359.447917332;12514.363483499;35891.040196773;53300.669239287;36315.701789765;15626.521048027;22474.978614868;42555.544698894;33242.735803691;13683.59865453;38820.756450905;35125.909724654;25143.438597772;15915.258390047;23346.141832723;49626.005290346;32456.293296605;22001.58581522;33883.879071273;49658.682790693;47161.857984658;30518.040507672;57497.724491692;26297.051620498;26331.82382671;36973.874487025;38631.336155033;47319.729232965;53754.863677231;21418.186354464;32926.84341795;21156.290463461;30988.447866467;62553.587266957;25410.299818529;27183.123180059;55887.28609386;31652.214203012;28026.810994606;54340.802555478;26994.68557194;66534.95310684;17314.900682371;26844.405001631;47748.354083245;31436.729488785;96740.804802159;23827.863084023;29003.252870638;37956.521012814;38838.927601783;69469.743207003;16349.794849098;48785.602570042;49159.629560478;39306.297577663;90858.093563879;0;14298.533689051;28292.70835099;43811.995159297;56731.522231059;10093.986443048;22160.837849092;54977.416690451;30242.402650849;136737.6436215;27313.595507011;61886.748436491;31883.786212462;185747.20711456;212479.98945805;0;32762.662317479;33883.324807474;78967.105309603;0;15623.525460984;30334.720428724;66372.037819283;16951.802425775;22206.447940723;31771.991400268;35622.483295801;28085.610450383;50290.797209933
879.60983826367;106632.85190576;92566.730167264;119268.16068353;31017.205631335;126013.60252161;100798.83821731;45340.063483846;109894.50700292;43628.780726936;21776.008702084;40032.568318419;99880.31492994;95272.415431638;37663.723198157;24419.562867914;25693.146452969;26526.014159127;16930.930017687;15075.333366495;15184.240006436;26988.550041925;31752.320131141;0;0;15261.869754633;26984.421492888;23146.561303443;23734.115063059;0;17587.79595784;24852.594672139;16407.439146123;0;24174.78909263;11873.727451887;27252.839269224;0;10676.54401079;0;13088.790587665;0;27158.676428547;35116.65399411;24243.16939482;0;0;13300.790816487;21191.990557078;0;24537.405465336;17415.74116281;19791.247716635;0;0;30337.929399956;17861.27351252;0;20536.047038274;25059.924550385;26329.842641303;27472.922382564;20321.3635196;15361.30377259;11979.306368702;19752.687417525;11798.238396479;26713.680138617;30354.30545611;8831.3024932243;22213.178956009;0;25676.830413831;26725.602972003;11626.78097071;24380.005648592;17904.584134679;19091.796228878;0;16947.653629961;19506.753719023;24676.107706421;14013.616259208;0;25367.130525035;15304.807408366;43491.609284908;0;15608.936254612;24769.048627963;17484.659953114;39485.95426799;15118.248006086;26400.794600086;15599.7824538;20268.560940378;44246.411389208;0;0;18266.194430649;22018.933218712;18533.213082935;0;0;28879.910121517;24011.628182422;81977.145193592;13439.459268802;27127.562251453;23557.394471728;98372.87275136;84555.446105173;0;0;12467.563153285;44249.366128698;0;0;13163.083194161;36357.679604751;4507.1308319215;0;11409.20275548;0;16532.073976036;30982.038531884
885.53733725291;84584.562068902;178857.92246395;122159.55002583;160755.46210218;91211.532812461;159476.04334868;179799.50251851;92146.111037354;98363.111737552;151655.86368497;277619.03823021;70787.937844389;123874.5069326;49408.667104273;99343.674276617;230717.49964237;288770.21899265;201026.14788832;63874.647383755;138087.92991982;207502.79303483;234139.95151728;290677.50061158;234772.92263966;142037.5984053;234802.05417276;278776.2864663;343636.29048975;348897.2760104;235019.34619657;256374.15188805;276435.44607681;369550.60896347;250661.89460165;226619.17966519;288856.49641214;362718.90525706;226367.40110526;218724.95225549;362401.53015901;368757.02335018;327201.24026034;255915.9029889;273984.61166382;303337.44230527;287918.57170594;309045.90773907;336400.810731;252461.51799804;285782.90065877;319027.84691216;355276.20640989;364611.16801524;259737.89394862;392153.29268314;298747.22863445;279593.84449266;262665.65318146;278798.44209853;375793.26096169;321960.67370128;408232.98923105;354691.98706077;332257.31685291;381885.30731468;317956.73355971;430498.7756159;389604.97377365;284569.02798836;323523.65945741;205542.15960811;245180.18935305;376979.06624583;458048.47161041;386821.93386765;405684.19626813;414076.10340365;435594.80384083;463455.46260205;369247.33134583;391841.62726286;419182.78252305;286320.01829439;420131.9705125;352104.01489454;256278.50938028;431660.26791132;342561.91995584;363844.71138856;312366.76608143;266968.60210887;342543.3078594;258761.45784348;268312.89427917;398277.83034594;401603.713071;308083.79383415;238036.743515;370110.29641362;436755.97114941;432772.7774948;355369.22842569;252806.63396036;295486.55558698;337941.98167668;201727.55486085;278262.14271156;209456.32972562;419736.5406507;241103.94167788;184104.51208079;293765.22002011;221253.39262226;406807.68725127;362006.75888442;281427.09947106;150401.07868193;417130.08965481;418592.4321617;375660.68193948;223676.08149601;294954.05030226;166540.58172774;329444.2637326;390787.96314515
