m/z;Spot 24027;Spot 24122;Spot 24215;Spot 24216;Spot 24307;Spot 24308;Spot 24309;Spot 24399;Spot 24400;Spot 24401;Spot 24402;Spot 24491;Spot 24492;Spot 24493;Spot 24494;Spot 24495;Spot 24583;Spot 24584;Spot 24585;Spot 24586;Spot 24587;Spot 24588;Spot 24675;Spot 24676;Spot 24677;Spot 24678;Spot 24679;Spot 24680;Spot 24681;Spot 24768;Spot 24769;Spot 24770;Spot 24771;Spot 24772;Spot 24773;Spot 24774;Spot 24775;Spot 24863;Spot 24864;Spot 24865;Spot 24866;Spot 24867;Spot 24868;Spot 24869;Spot 24870;Spot 24956;Spot 24957;Spot 24958;Spot 24959;Spot 24960;Spot 24961;Spot 24962;Spot 25050;Spot 25051;Spot 25052;Spot 25053;Spot 25054;Spot 25055;Spot 25144;Spot 25145;Spot 25146;Spot 25147;Spot 25148;Spot 25149;Spot 25239;Spot 25240;Spot 25241;Spot 25242;Spot 25243;Spot 25334;Spot 25335;Spot 25336;Spot 25337;Spot 25338;Spot 25429;Spot 25430;Spot 25431;Spot 25432;Spot 25433;Spot 25524;Spot 25525;Spot 25526;Spot 25527;Spot 25528;Spot 25618;Spot 25619;Spot 25620;Spot 25621;Spot 25712;Spot 25713;Spot 25714;Spot 25715;Spot 25804;Spot 25805;Spot 25806;Spot 25807;Spot 25897;Spot 25898;Spot 25899;Spot 25900;Spot 25989;Spot 25990;Spot 25991;Spot 26080;Spot 26081
255.23216836162;24002.500533447;17446.450160333;30035.688766737;12833.513236907;18730.782401419;18032.834580687;9535.7742710915;18465.324892939;18896.33837889;14091.164572649;10286.091495891;16180.194266113;14468.071774615;14575.973141159;10509.071727169;12411.496738613;25089.198889982;18953.899750539;13926.756109912;12127.093815192;15499.159625473;11828.792774212;25048.901277701;19433.779179142;15965.599774528;16443.464457869;11960.634385308;14870.599718282;11313.450363396;20896.212543947;16526.016113294;11773.028608366;10718.923347657;17627.355837953;14313.318668218;18338.058995723;12374.030252538;13338.906679021;19716.230644268;11378.987283868;13318.891385018;22056.543823737;21562.74342279;16669.938386169;8757.5304920654;13423.194865994;21697.176440976;10021.575800968;13593.078953162;14327.086650368;14546.33700464;19782.757895814;20467.71789312;17562.781680067;14789.311729909;14661.107212373;19189.027466339;13427.065629184;20081.453653585;16091.552154185;12369.799464935;21207.402850119;15999.405863596;17426.815087577;14854.606917012;19330.626261906;13821.818884624;24155.347732208;14633.671854506;16857.820552735;20927.658333253;15144.354342059;13468.796991739;17484.908879726;16833.128184687;12750.392409562;9297.7807009312;17984.837563473;13458.538015321;15119.698286541;17881.269911335;12991.848541772;25575.62679243;22212.816579894;19233.837828147;20939.711841657;15976.86643133;19718.153022595;14930.219996767;11855.96621899;19439.45665859;15978.21899513;24147.853879397;16665.152405777;18837.793981415;17977.007735343;18914.788186515;18049.688262362;13173.255884252;19469.316016157;19983.574800531;15481.693922392;18044.191260533;22807.142566948;23118.924265211
281.24775687822;183700.06787247;212983.60095367;203192.84823544;150240.59908559;167426.25561421;158373.57737919;147453.98124943;186114.86396034;160348.48675105;155457.82775614;197982.29019276;134978.4310699;193369.38242342;119534.71390716;157371.32108256;156977.07707435;172070.24817098;150980.67569137;103088.50394501;93733.282477261;127499.66940539;157847.20480887;141033.47610232;132464.2904501;116912.61562501;126029.09284829;109746.7318477;131301.49532039;156444.673521;169758.2553156;127303.27941584;111873.28220224;94410.723045885;126144.39041394;140495.6175374;149223.28218004;155325.89779963;141733.00187041;129532.47602459;99653.730678013;136393.33858562;171338.98220567;106522.82791473;147956.7427742;141714.25778294;103347.58107287;110514.5835197;121858.05050498;115985.48193357;131068.72958871;97294.615050906;121543.32119229;127756.2839801;74858.252100646;86669.639242815;121186.87393156;138580.09920602;111482.95193828;176481.97181211;110871.52679024;102854.35616363;94881.704729584;145944.09428745;120857.18139801;105271.26118607;97040.300118874;85756.813075545;127920.96585888;109254.05031225;100479.37697026;123969.76635459;144830.68863162;144463.90907524;121288.64793233;168573.51780361;108647.18740582;79596.851982815;151570.28755306;89126.709031355;134615.01122017;116888.7072476;104494.30705868;175195.65936503;115861.57224191;157642.4359943;108780.3258127;131207.23323397;99201.524622624;126663.17634402;98836.723967917;124090.3500333;85925.32573145;137943.70737358;158577.41154615;133794.22219736;110496.03880316;120690.96965115;149674.75124707;100275.23134503;118967.9951104;124964.08413519;133358.21613701;117882.27488758;112937.60277846;121747.88369079
282.25293146856;30626.122142216;41514.844288625;33988.85538796;28759.636497861;35214.869919301;29745.904688576;27681.054015656;39926.693711681;33359.267257634;29858.21984933;40388.795913088;26169.434574485;38218.139028125;22304.881398108;27767.032858054;34036.404584234;33608.151697058;28715.741948911;19652.665230357;21543.478876979;28293.202516426;30851.611475982;28862.493318102;26189.608272425;26331.732034107;19995.595581044;18894.989065147;29819.031257918;35879.068602854;28356.606029076;23982.339521568;24088.356559229;20172.484136447;21632.798499273;27143.439023919;26337.303063199;25126.029770999;29095.468327857;23788.348226481;22919.154296411;28586.456135991;30979.169380268;24171.475395678;29994.820286051;29165.356966919;22684.511538552;23401.467407681;26556.430042283;25553.113483251;25219.115394217;18608.548917579;31307.064644056;21908.073793774;18064.422380953;23341.36646517;25663.028633716;29940.968748647;18488.419478448;36384.102483623;16685.118097747;24846.220212065;24492.874765278;27449.184927278;20830.796163664;21389.057199073;17496.987593755;22417.183347494;25614.207777071;19627.64093107;20968.578324329;24792.170870231;21749.253885543;29403.697492397;24263.793194174;31109.573345401;19730.082952163;16723.644062892;35247.950567253;21719.83788207;30048.604816501;22838.9833088;22326.41036481;30297.992598923;21243.485457919;29908.104952232;23624.507519513;26898.172471924;25811.73492949;22863.976189998;23559.46842732;24940.369448129;12581.834309805;26828.832403619;27540.855240932;28562.50743564;24460.580896919;28035.76422549;34204.027981514;17564.537900163;24004.569372069;24122.812468922;29050.926272475;23916.098023301;27550.479878656;24291.275885816
290.08917797812;11823.897598219;7133.9440355538;12691.812274789;5018.771998291;13697.598444366;0;6940.216546291;25174.091422772;0;4031.4065542376;4950.4735823845;15628.281242436;8866.0323744537;5682.6795323204;4798.1761700634;4886.9433845359;22321.090096988;7341.0392340123;0;0;5204.3546166977;13771.962871157;15127.798450605;8093.2201068085;4743.5688282986;0;0;14205.440638691;8812.206189869;11975.27171488;0;0;0;4956.2833549172;18062.259278497;21236.874609476;13791.506602672;5853.4761555385;0;4926.0194747425;5160.0425849319;25231.646032681;18112.673762178;13198.957796643;11031.746201575;5401.3053042926;0;3758.0301718338;2546.8832035353;19104.156139428;13665.296202928;18472.900911954;0;2184.5161471587;4495.9248194058;6812.2477657537;24319.55035892;28569.273905767;4663.6988136462;5741.0373226419;0;13168.293515038;24420.654327967;20594.397255392;3898.3166887438;7735.1167949969;3544.0260524477;6458.1908343507;20009.574628531;4870.540071703;6899.9506471986;0;16700.779142797;16684.994498655;5857.1604730817;6300.6122883566;6344.1959372213;13542.249687673;17328.634585671;8601.5678851663;6250.5552687005;0;26409.058099384;20171.665164489;11911.304029078;6561.4291137346;10405.286281559;23053.717958593;8169.0151358488;4436.9430750187;19495.909879563;13307.938419931;15554.56845647;10353.161038458;9532.1864513119;19149.312144897;14875.417583862;12898.222804869;5209.8014318019;22666.326551253;17057.064798506;12395.567478692;0;13729.637009458;22046.217791948
303.23184798369;161237.58238552;124940.14676656;172106.2604378;92433.165068011;177381.75031442;100615.63937038;106884.60195575;220746.51550898;98221.247420674;78030.650890982;122948.26180273;185051.77981005;116044.21043382;67695.770109535;84245.966502153;73099.216549241;244067.75740764;103329.00402348;67224.942330415;52385.500436191;68521.04045783;114964.34536776;192633.1016892;111276.23740198;88416.915601158;70927.577981989;66876.22939152;127234.55799446;100063.35865527;200038.85213532;92295.461974454;86862.938925475;60606.347303463;77520.654504251;143445.95157436;133922.53342628;87004.724468317;113146.69258741;93893.706649577;72352.394292113;78995.260891526;186730.88733613;126927.27479757;134610.47197918;94806.318996031;86023.132396938;104440.12036477;86522.999647032;88001.117390002;174831.84389358;135854.93149582;147527.41955609;105733.72951947;64172.978729392;67954.656436489;88571.466415372;192833.60142759;136841.8782168;143111.58524309;90828.927519879;88006.739223028;76104.116601659;129151.40746732;179679.22691923;81355.610371639;69787.061611001;73638.302393706;107861.37709745;161071.00424815;81471.560558056;97346.057029567;102048.17666642;164534.55733278;164298.75183578;154549.61794307;98205.521016758;72509.288990881;145496.78942605;131724.71563684;122081.19835421;104787.3005514;85072.156258223;217296.37134414;176149.54208895;164457.21599101;97801.2984078;133167.60759966;174712.63372574;138755.25798658;73071.845634454;170844.91575653;143244.18991518;201909.52881222;134220.37720794;113540.12473037;182410.16832394;189842.59977412;144661.17145753;110111.45049914;191486.60524797;204688.5439304;138044.24937148;131877.29269086;193257.95312509;204657.83473799
857.52584626559;26720.449050831;16365.232468319;36260.749647873;0;39464.500952394;0;13989.311183298;48425.692836861;453.42373348215;1893.0061505398;24400.852930852;41061.754780293;26008.365916261;0;0;13587.365277505;56927.880261882;26161.218904607;0;9778.8298551846;0;24465.603225103;33563.05717694;10878.610636097;0;0;3019.1675531363;21746.250251673;34380.828635997;51109.908436352;0;0;0;0;32431.070042068;37906.171921286;23008.850315279;13273.062882923;0;0;0;34460.791263956;26189.494072199;16480.164438528;30105.614012829;0;0;0;19640.419082634;18597.533937837;29242.360418826;30388.692556306;24509.742678976;0;0;0;36554.635241941;33747.272331828;20312.728131137;0;0;0;27133.568040665;31947.534267302;0;0;0;23801.587373347;33665.309543666;6912.6116976161;0;0;45477.145303487;39823.731924295;35838.833382703;0;0;32943.485512195;28425.825578922;16873.720581165;21158.871161366;13903.115787028;38871.139887296;42093.966021805;23147.190328639;0;17812.712048832;44561.038272623;29961.281195825;0;54169.172460153;28079.594191579;44003.822948689;27021.072099909;39777.428685812;33572.651749133;50122.627519469;23989.475411092;0;49493.439145268;43667.951790697;17210.408260537;0;24728.479889826;48235.974591997
863.59734371323;17419.538743033;0;0;0;0;0;0;15627.396227226;0;0;10939.531273912;9661.9707848225;0;13880.052070741;0;0;0;0;0;0;0;21258.686582433;0;0;0;0;0;15252.727757408;39094.351304602;0;0;0;0;0;0;13823.493518262;24220.030053879;0;0;0;0;4886.8121360942;0;23362.340481937;16660.96527413;0;0;0;0;2005.2475061637;0;0;0;0;0;0;0;0;0;0;0;11446.288433174;0;0;0;0;0;0;0;10571.635564395;0;0;0;19376.891465371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9649.1930293975;0;0;0;14999.462506514;0;0
878.59323446614;92128.093037013;60385.937530093;47511.069629999;48405.471311439;49460.376042531;42467.451763934;62908.105160676;42737.796387616;41271.665863758;54467.245318249;99547.686765269;47711.106029042;20246.490908333;40143.804233797;43912.187034548;95893.987211257;61970.872095103;36675.754856718;47346.258822504;33807.458303938;29927.634233215;134436.82594208;29859.953511949;30116.140660959;32658.826937129;47583.813343841;32064.043875027;47442.725883816;215769.59704524;31853.539233022;19371.031067968;20700.679543285;26833.837771796;22689.284400673;35045.819491865;139673.31757915;225107.71292386;53467.041327169;52239.657567591;16781.525940252;44577.503263187;43322.125329204;77846.824569698;220102.65881967;228781.30210098;35063.379280473;0;25932.21247742;9835.0071790003;51237.850574072;56897.659030749;61751.121572846;25593.345646544;14103.064190609;13686.3960298;0;28542.830823552;48708.162337406;45214.213258499;17296.886381298;21131.130880291;10873.359282786;16065.614065304;42671.009892172;19641.230554823;16664.306529016;0;0;0;18490.664429251;21418.018190073;0;8076.2800267234;38941.442757626;10820.287128488;0;11164.489048727;26853.302498737;26537.723466147;25560.953055939;38041.062843787;13866.704477925;0;45493.743487019;33668.560667614;16627.765586188;15279.77096473;19932.804607612;28365.604743464;0;0;28556.704329134;42897.269762798;16367.218762942;0;9958.7400197804;37025.648387521;41059.847815929;0;28560.081441071;34773.826570054;23355.098211677;0;0;0
879.60983826367;42956.646589767;26296.903596368;30613.124730098;24711.046203495;27903.544211234;14768.327012815;36906.141821432;38211.044866704;25758.520804133;35473.489549832;63301.102319146;13634.673592642;15787.619575208;27517.277775543;26761.382208075;49035.513694341;24374.428790358;29403.208192839;24108.102056633;29751.799428021;20203.892692205;83767.971289278;25937.93816939;18013.780279225;10734.805815771;0;15339.287358481;35151.843076496;99605.948989071;20803.472327173;13522.725585606;16814.279253571;0;0;12113.559154564;81913.020983887;100797.97347559;18841.94817066;20765.780002408;13271.562273344;0;29315.921095693;35170.731511015;116102.44847558;107150.07034462;0;22944.509103751;0;0;15304.000544672;27152.797196526;40163.102235959;0;0;0;0;15818.995466453;29925.090814994;0;0;14397.758315344;0;0;35245.781145815;0;18420.910541517;0;0;14977.43383254;0;0;0;0;22973.911753944;0;0;0;0;20006.860179185;17805.961831308;0;0;0;12005.47122102;7818.3564999839;11350.329870656;0;0;17627.038249043;0;0;18359.282654305;19509.797855671;22410.902203127;0;0;15006.074555147;29328.658884217;21854.583178063;14437.539459646;10235.812778929;0;0;0;15840.351730596
885.53733725291;141673.16468818;78682.032448886;125317.79468869;43375.800381407;166394.83710794;36696.642437458;45128.042883724;243073.50143714;51013.035934824;44353.419611872;88005.614478271;139115.36394783;92061.86478241;25571.357696829;33909.009593678;70841.018140196;239261.61070438;71164.487956313;38687.873788681;21488.234860381;43942.650020826;108788.1156429;180225.66458022;48681.752608365;49609.942173668;43877.389900755;40673.887192129;80338.201635364;110934.79891258;191834.21932663;34818.00480036;37119.014265697;25400.932932811;32225.162261613;111347.88215337;120530.29339485;71514.014766661;74792.633628653;52567.720125682;12742.730147459;40821.728958134;203194.25217951;129080.89849993;140699.79909462;100670.00037228;45881.93405187;38947.215931654;31854.846868392;53065.545309851;148876.33877799;106881.37376024;146671.36213676;36757.509869084;19033.557417336;29040.259920779;41139.881842712;178948.2287702;174498.66852534;101988.86196477;41258.50946418;34443.754642774;33492.193995772;85782.104699518;193907.65810819;45841.092930283;34469.404919238;32690.918195329;53382.452037101;136240.13988763;46427.18625869;43982.100542236;38893.249220278;161425.53676448;159189.97309227;118295.38023248;46123.458413307;33642.680070169;85554.696299435;133667.7652791;77661.620483821;30301.690153547;32406.474965118;212799.75239877;200319.31922066;113275.56531782;37691.587715276;73649.148160216;176965.06141763;73143.26758686;35188.754105751;156513.36002519;135985.54119115;235159.49466407;89282.283414936;63898.784569329;176632.50971505;202362.93690828;83160.018313552;45169.51521955;140752.16378522;221129.74299951;78550.395667026;69713.790225996;118736.20695692;149482.70219267
