Lipid,Ventricle,Cortex,Caudate,Cortex+Caudate,Corpus Callosum,Ventral
FA1,36031.26985,24448.67335,18416.83817,24960.25177,10359.11811,20271.78026
FA2,212853.945,162977.9475,142562.5938,158993.2827,158159.7941,150555.2225
FA3,40613.71325,31918.84816,28268.80348,51154.42537,30988.9911,30048.89709
FA4,60398.83309,69105.653,71889.22259,113881.713,28754.54304,69209.27861
ST1,289970.8008,193117.2168,222152.6513,175697.8899,109000.1183,230827.1742
SP1,363960.0807,402631.9551,232444.4928,247094.146,116742.1777,251225.5502
SP2,63477.21851,87298.55778,62310.56073,166802.3209,193902.1785,58410.34307
SP3,404274.299,599408.8045,487809.736,561439.9881,780388.8588,508383.4327
SP4,217081.8017,323328.7036,269727.4444,300110.438,436708.2659,282892.6854
GP1,2177292.727,1946446.952,1769782.301,2095249.773,564066.8414,1919926.124
GP2,1145407.727,1060877.104,962754.1556,1137628.173,324894.209,1044262.171
GP3,310214.1385,292131.9219,272369.443,313499.1027,88809.52569,292850.6142
GP4,240693.678,485715.2324,348756.2698,443993.8525,488890.4777,412259.9634
