Lipid,Ventricle,Cortex,Caudate,Cortex+Caudate,Corpus Callosum,Ventral
FA1,21536.23503,18825.54463,14548.9601,17651.51,9762.012015,16058.82802
FA2,152372.1847,128587.1226,113482.5686,115732.2264,130513.709,132392.4764
FA3,29728.03861,25660.5521,22998.84624,23205.81338,25860.82718,26261.23506
FA4,52938.79656,41785.60248,46473.95032,52670.22019,24087.14921,42285.96593
ST1,228025.5211,144512.7081,162725.1067,168846.2135,94543.49349,157718.415
SP1,215089.2695,225704.1621,147244.6454,217803.6493,88350.87109,156519.4068
SP2,28665.71481,57529.57746,42054.03743,37535.94556,121311.5504,39634.9947
SP3,208524.3532,349930.2976,252619.8695,296065.513,420293.1834,345887.9618
SP4,110400.8142,193199.0676,142330.4113,163402.8668,240650.0718,190707.0537
GP1,1476876.125,1139952.592,1009285.26,1332784.531,436911.4252,1173219.712
GP2,806583.0995,623835.5132,556403.6627,725756.0264,250306.0976,640972.1987
GP3,223884.6615,173249.1617,156550.748,201665.0996,68885.72761,177775.6708
GP4,151819.0018,331418.3844,198861.9548,267565.8556,291116.3441,304341.315
