Lipid,Ventricle,Cortex,Caudate,Cortex+Caudate,Corpus Callosum,Ventral
FA1,0.00812198,0.02279772,0.03959604,0.01819818,0.19518048,0.069993
FA2,0.01669833,0.01889911,0.02439756,0.01639936,0.02839716,0.1839816
FA3,0.00559984,0.01229877,0.03979602,0.01779822,0.03659634,0.18858114
FA4,0.33976602,0.05919408,0.06859314,0.0459954,0.26437356,0.06669333
ST1,0.06089391,0.01749825,0.03289671,0.40705929,0.17118288,0.02869713
SP1,0.08269173,0.04959504,0.08869113,0.38016198,0.23357664,0.08309169
SP2,0.039996,0.10828917,0.13388661,0.02779722,0.0889911,0.16358364
SP3,0.0439956,0.06349365,0.03689631,0.05259474,0.02519748,0.13928607
SP4,0.04649535,0.0629937,0.04169583,0.05149485,0.03069693,0.15928407
GP1,0.16068393,0.06779322,0.0679932,0.10108989,0.24047595,0.09059094
GP2,0.16848315,0.06239376,0.0709929,0.09569043,0.23247675,0.09049095
GP3,0.25447455,0.06139386,0.07229277,0.10538946,0.27087291,0.08349165
GP4,0.12188781,0.13058694,0.05849415,0.07039296,0.05519448,0.24137586
