m/z;Spot 1893;Spot 1894;Spot 1895;Spot 1896;Spot 1897;Spot 1898;Spot 1899;Spot 1900;Spot 1977;Spot 1978;Spot 1979;Spot 1980;Spot 1981;Spot 1982;Spot 1983;Spot 1984;Spot 1985;Spot 1986;Spot 1987;Spot 1988;Spot 1989;Spot 1990;Spot 1991;Spot 1992;Spot 1993;Spot 1994;Spot 1995;Spot 1996;Spot 2063;Spot 2064;Spot 2065;Spot 2066;Spot 2067;Spot 2068;Spot 2069;Spot 2070;Spot 2071;Spot 2072;Spot 2073;Spot 2074;Spot 2075;Spot 2076;Spot 2077;Spot 2078;Spot 2079;Spot 2080;Spot 2081;Spot 2082;Spot 2083;Spot 2084;Spot 2085;Spot 2086;Spot 2087;Spot 2088;Spot 2089;Spot 2149;Spot 2150;Spot 2151;Spot 2152;Spot 2153;Spot 2154;Spot 2176;Spot 2177;Spot 2178;Spot 2235;Spot 2236;Spot 2237;Spot 2238;Spot 2239;Spot 2240;Spot 2267;Spot 2268;Spot 2322;Spot 2323;Spot 2324;Spot 2325;Spot 2326;Spot 2327;Spot 2357;Spot 2409;Spot 2410;Spot 2411;Spot 2412;Spot 2413;Spot 2496;Spot 2497;Spot 2498;Spot 2499;Spot 2582;Spot 2583;Spot 2584;Spot 2585;Spot 2669;Spot 2670;Spot 2671;Spot 2672;Spot 2673;Spot 2756;Spot 2757;Spot 2758;Spot 2759;Spot 2760;Spot 2761;Spot 2843;Spot 2844;Spot 2845;Spot 2846;Spot 2847;Spot 2848;Spot 2929;Spot 2930;Spot 2931;Spot 2932;Spot 2933;Spot 2934;Spot 2935;Spot 2936;Spot 3015;Spot 3016;Spot 3017;Spot 3018;Spot 3019;Spot 3020;Spot 3021;Spot 3022;Spot 3102;Spot 3103;Spot 3104;Spot 3105;Spot 3106;Spot 3107;Spot 3108;Spot 3109;Spot 3189;Spot 3190;Spot 3191;Spot 3192;Spot 3193;Spot 3194;Spot 3195;Spot 3196;Spot 3276;Spot 3277;Spot 3278;Spot 3279;Spot 3280;Spot 3281;Spot 3282;Spot 3283;Spot 3363;Spot 3367;Spot 3368;Spot 3369;Spot 3370;Spot 3457
255.23365946751;33434.488227403;32783.785411573;27574.871814598;23603.616640264;25792.431731986;18786.805144205;22663.958636773;24326.643585903;27852.111783978;28663.61513784;23016.459409864;29585.35901029;22559.571126361;21984.531777789;20035.63313752;20982.076129535;25188.832380579;19390.472871611;26551.807302997;18764.899347065;20773.127100847;25269.6881911;24144.922403444;19940.290873663;19011.301831489;18718.271501895;25081.372537822;28391.85622401;29552.482993261;31212.268148994;17876.378516183;31866.993575217;17701.458716134;22607.650660177;29269.283149402;19961.680227;15507.680940249;22604.544826853;19266.492962944;25323.875683381;34024.649436507;20135.226359464;18320.556179607;17737.1287601;22771.280433871;21465.000762596;20608.334377152;18673.598033583;16332.530221756;20984.587595835;27653.413347295;22723.019158259;28025.621416114;24325.525188725;25885.176811962;28363.343602961;20678.60485035;21213.20050606;24056.0763998;20198.833640053;17881.586629478;24849.187184608;29335.948030402;25976.391886748;41581.720895458;25535.667756919;19542.844285962;18001.947991513;21015.132322;22994.389068425;24499.967778166;31189.691729746;39007.207865416;31183.836070438;33540.101684873;25887.147822306;23635.772804604;28549.397640496;27007.604837954;37706.846337077;33467.248512962;25644.102927893;27553.607425141;35943.71110548;45864.110241402;34506.933393791;27103.068713339;28140.84660718;42698.076363591;36029.276214616;36787.532773299;33440.372475744;30987.512577282;30236.131884166;29536.989063124;37458.672872166;30999.841041093;37913.566545662;51671.914869405;36324.137531551;34579.1097403;39766.701971661;38394.624193781;31942.933552488;31008.608034634;37946.798641526;32666.842197783;32529.171882827;40859.509116673;44111.269881796;41284.15095379;30686.2630621;28348.955526103;36825.361316953;36873.45630784;35436.911743649;58284.272609649;39910.315260845;28481.284973701;32080.480612502;29660.15476097;30902.693470321;43546.25979139;32720.346226069;50282.757911654;36572.541186084;34129.993973755;28756.172969624;39327.125332645;34255.509866535;47031.115035088;50312.500248456;41631.306394295;33821.856695916;35202.571196026;33535.037612956;34881.2149651;46523.860938173;40484.807635579;44197.439639422;44353.390576982;35961.27648009;28997.088115932;36203.041602844;44830.475380732;47821.912003257;51210.697991002;44231.499377734;39932.199581088;30852.357708887;48215.671822124;37831.14489145;47391.161864767;38579.360991882;57888.379439851
281.24944079343;226980.10397151;206146.63353075;189855.23350982;176417.16086934;173493.21655149;160549.10468298;190832.84073508;184221.41960717;198257.77516604;217005.2665754;179255.48100661;192320.96293202;182369.78909325;209535.55775445;165704.69202269;177395.33141712;159428.65517286;180265.5023867;159934.01781743;161119.78811174;178659.12908152;183661.9706512;192389.75353212;166339.81749333;161611.66898466;192993.55163779;195648.27664576;197550.08236576;200150.89975582;220420.68058814;184287.62560803;194247.14072508;208488.54587125;199245.4300959;192712.39009373;174838.71109805;171790.77481861;192277.9662992;181585.64940226;193531.66583273;145293.63215339;174510.98616526;172821.26959157;185468.78457017;164332.79703366;186000.29372638;162269.54140596;171825.75295979;172991.72544332;171895.80193161;210860.03911994;211471.42864617;208351.04794175;204823.17065328;234167.55597658;229129.18251805;188842.65836979;181926.98679564;189118.07058944;178547.22624181;183144.87220465;227103.53596642;176557.54536886;222087.18882126;220371.31369969;213581.22820061;193198.54022389;208261.18827854;177569.28059946;162855.73644815;216482.85519813;204619.4436835;240628.57751255;222821.53309658;242864.93887717;236368.73653781;205819.08361095;215299.79260527;234078.89246329;283255.63133508;218623.57948516;203843.22999047;200362.21294698;232720.38852877;289366.81570193;246691.63409034;214585.20173198;244545.09964355;252754.03124964;251132.64615079;266677.77683191;284826.8538905;198164.77668102;214639.11359354;234166.39459466;253499.56990906;268041.22162245;242468.58524532;263005.37197792;243922.4610748;288626.51950643;286809.76971043;337754.66441428;252355.38949288;232719.38055145;232846.29137947;243243.20905287;270660.01185163;336652.96651936;270169.18174172;230465.04700874;234626.30801254;223172.85699357;264724.60371211;249214.03391763;336148.69010164;449301.10528979;243015.35508592;245365.08499339;252365.65237513;256992.37558045;247755.40926949;307765.19603742;329694.8389436;416341.91372802;264134.53228512;277597.00801676;248356.16307391;266282.84039575;310700.24828912;352156.43901791;351451.56406387;273154.32283317;262225.74259298;259684.55191112;265664.0614558;296602.98246376;336183.85556293;372838.71738927;240357.63715164;210888.92998895;268178.36399398;236071.67182397;299235.66556427;330194.88051337;340980.10239467;237234.35504671;191705.54306381;174257.77165698;213630.58836517;316411.3497896;214537.59828783;210098.67727052;171922.64762721;207718.07134798
282.25059871635;46798.860905187;36499.347378693;35440.701240769;28719.514067141;26767.029404869;28365.994977629;38622.581155684;36983.896530874;45214.096950781;53891.661794591;36550.536081468;37888.754034157;40129.210449218;38875.594741525;26709.81169632;32115.764375022;26123.15511713;33557.230707735;29918.130631471;34549.845832947;32932.289539304;35133.205437729;33823.308844209;34880.993204168;29815.967899745;33304.009041781;32395.855809135;32379.329002047;43564.212351024;40465.050949007;34535.391666671;35244.65782149;38971.276344594;31761.265714775;45687.306985248;34534.239885164;31667.543264048;36946.135750794;29560.919646007;35127.194865575;29616.77771401;33488.142090079;34237.648270898;29445.548354079;31949.920165158;34140.194369105;39486.232746013;41103.939196839;33929.757381224;34330.973341972;36398.972706633;39799.429235211;45824.031290503;39435.645176354;46198.782996279;39019.9508206;39605.183009348;41292.77845137;34509.370891367;35873.877516549;30420.162299192;40506.62251422;42859.299153515;42349.329844727;47578.047657629;41337.616189786;32540.312859589;40411.286393166;36987.656014312;28455.012410357;40761.447831924;40856.753681703;45377.929262427;42622.582454597;38821.330388066;44061.077879011;41290.807816794;41491.714777494;44988.277014184;55311.234797622;45497.610930615;45682.596123782;41520.781508724;50849.018964755;48942.858214126;54326.560986044;45799.671650144;55715.170174002;50833.288151335;47767.57826724;61716.330179731;61323.794487411;33843.384424555;48889.327922577;50400.226672362;58612.025837455;46355.558439868;45862.609211838;61304.711075486;44784.670313026;52744.612571255;60964.527711773;61356.179327125;50549.727599265;54901.328438193;48229.237608698;48738.934393358;50635.037429394;67168.284986603;54096.383852666;52237.462222057;45516.663689399;40776.392032767;51276.014111969;50083.585129102;64852.283583156;87732.409518972;50190.020346371;48392.087007438;43413.180334565;46986.699479659;44552.360214541;66706.860517157;66029.584161261;71352.565511548;53983.667694735;54173.310756809;43889.658316314;43572.817128027;58388.575472783;71004.118349708;67330.5318098;59936.03020599;41919.010476873;47955.640151712;48850.137751783;56251.217938225;63648.622582467;67275.878073941;44480.193687384;35205.393095592;50127.686443683;55951.655462869;68892.687030549;68090.382226972;58370.253357013;44980.087908594;48166.76974662;32756.172949766;37277.50577553;53452.882074033;35207.175872838;33011.369505967;30423.917207838;39672.542872116
290.08905172566;22518.172472483;20102.43506733;22466.258961308;14940.381903962;21410.288614809;15112.115473014;23696.26989499;12533.012239129;34160.631099523;28781.232265857;16827.000989108;21095.442836071;17557.338295899;20036.711606313;12091.678590302;13227.856743181;16111.584976314;19926.082113492;16012.021696807;16146.902840693;27718.482296757;19856.732184448;15798.067361173;20212.623018609;20360.558821976;19592.497350375;21613.968156244;32423.285056256;33575.241571044;21551.398118842;22010.606907796;20713.650900283;21015.281275524;16495.730072215;24208.219672498;17623.474401077;10028.775963856;21094.336426583;27878.467147826;19113.045620299;20167.302343306;20392.007907167;33465.035606734;14261.361697169;18511.258681213;19530.43702814;26663.203609879;24286.472765174;17571.280415465;19041.129519428;25547.202443558;31434.855806691;23345.496747674;23912.41398909;29680.644869186;27900.209272287;24847.888283465;21233.402627668;19538.531569945;17811.111493328;18984.495492385;36796.831576412;30326.941351713;25105.162784448;30523.868628602;31899.538708118;22209.427682919;21127.77210363;22633.619167089;17662.523196913;27554.621114074;28797.541380186;43059.817403671;26252.822738193;24764.147590086;27687.734550795;22966.813396571;25180.975032281;33536.309892073;33738.480246097;17758.114518723;20199.796813663;17093.425407156;24954.753761494;44890.529476087;29496.739686885;20440.039657869;26714.443188475;51164.265837585;36655.868224636;30121.474693696;31107.986595661;35370.946240739;35808.378069843;34023.99077428;22746.68300953;34435.131191792;49862.478401185;45116.274137731;30516.621682552;27170.689029483;23414.0072854;38016.268996735;36452.820455315;30483.845850323;34026.645850288;31887.000308116;21945.057689806;23666.868834549;34894.817147672;28855.063954193;24748.486106834;28277.520048193;34234.22224278;33816.650477792;27395.471632664;37501.974509384;27952.069754837;23187.960662898;22438.432168369;34251.826757444;25205.889466939;19486.288163641;22623.487788706;26567.201973253;28101.928707036;25149.89326116;20870.847875667;25550.738401764;18033.229829254;20694.673912274;19699.575141681;15598.641916782;26437.778741615;26993.508199004;27796.540655615;22922.63643804;25618.110044135;17893.811182768;15506.734715224;13970.026646897;29796.82725506;24819.170338169;27263.096320073;34418.159654485;34464.227090058;22772.214669817;23814.670474883;17435.188706098;35419.970126302;28886.013871723;18565.007740408;19207.29067718;16758.759523456;19389.621269107
303.23385112436;130365.03199634;118866.48607839;105475.63296469;94456.873309072;105299.35485765;81186.305349046;93603.372415234;103291.33643229;121376.73381382;121165.29231984;95932.716688487;94350.616719201;91620.010212064;111053.96835928;84210.962862785;87037.63654064;86103.323974082;92776.620758444;73691.574376685;66773.606504995;82172.419834973;80827.284822068;88625.762270307;78009.300609719;67367.453198448;95139.385567822;99580.10587313;104576.7534931;129591.43152395;119237.16632156;114718.84026299;94937.690548569;103133.29581167;100692.89004669;92424.44575067;90173.00655448;81498.206632579;85592.778131892;86575.327479343;87117.814874697;72263.424634368;101126.1694721;81689.523519506;80501.79778928;80335.900403107;77661.993670982;80057.048640401;86444.297130204;81004.817958725;79768.835530857;117053.63013404;92188.185432021;102897.48871644;101880.77568962;122027.990652;143219.60054294;105198.90196434;107979.64591527;103401.17455763;94196.365190959;93390.962958242;116585.63077033;100825.44545362;113616.73152315;154410.63310747;118116.59608373;100179.62259319;101844.28982375;95641.469083464;83502.611454283;109004.01857117;107603.38709409;166039.58081458;129549.78836383;127901.098931;112455.13464516;98571.139364963;105488.93681695;126695.56855561;176893.60571015;142769.36603014;120406.11709157;114644.89514945;120469.4053328;205164.90978768;157986.51369956;114613.67650035;134810.66130899;185990.16742462;178845.12681563;162964.40668307;141941.49197322;152500.58059345;167492.17394522;141539.96073068;163456.5723233;151893.44362327;155965.54371823;183029.35172376;149693.90503219;157068.1421802;160008.26500563;189914.99585438;166751.67848643;148241.33426511;165153.42697025;150237.28252056;139249.49227946;175402.2364089;170013.58654111;175291.07067588;151459.75487061;124132.09734611;163685.53860022;144111.43546549;175996.28628694;231284.36328124;143913.75191969;139739.89458105;147378.8715836;132702.79565873;122374.35651808;154494.9455147;172479.14669967;203346.56510079;151520.46567303;126614.80555661;121667.57242641;114181.36966509;131861.80909664;173415.55387251;199043.02019913;131056.76441795;116404.92314781;123396.12444987;126421.90728126;135554.41710234;160847.91392563;179907.97900269;121512.37595265;113048.81074052;123327.09380984;113578.34378243;141637.57005444;173399.45507313;207193.49247776;117065.94178217;110951.82332366;104889.5360985;108492.37701789;206030.66083899;105278.8412809;113349.68105558;100910.62072494;138912.69742747
857.51275620514;46819.192112768;42261.514394651;46912.322335209;23794.669271966;46521.475909987;51435.391955336;42307.403605789;42930.52470388;59656.90197178;44244.409209637;40061.113923594;40961.237274524;47528.398009181;27024.020031532;50042.193896268;32182.342856431;30900.415413393;39863.08811207;31286.593073338;37453.009960645;34272.707895207;33884.777769111;41891.170900006;28245.45580572;34574.140092671;45226.497891741;44812.475484774;59072.392966806;68766.531306021;28469.104846192;41101.869151858;34609.909155618;36057.871191559;31605.762273117;43825.150159329;29573.60160089;48735.467619089;45181.108822036;41134.305157;51509.182844958;33321.090870218;37014.615304923;36869.646942027;47051.508816545;37243.385038677;29264.925913731;48307.271338591;42357.747141191;25735.765762703;43467.476866424;61056.025172652;55438.092880306;43455.761968676;39467.52294595;38730.767618868;42744.577351805;51545.565420227;60538.049754457;42819.724912382;53084.718058899;44993.132162202;43295.976577519;30051.909708108;43094.775334456;45169.632073079;42703.400954717;44438.01523691;40602.12459398;53055.238154818;35547.764691425;39679.094756155;40655.49141013;67110.979334745;45839.695745923;54598.206127278;41026.716481589;37469.210665762;48324.935468938;38451.952039834;58715.413341916;57656.574610951;38956.875697135;50088.117033831;19768.979917761;67100.562825658;44819.599823777;41799.813013754;46849.783446928;54945.011597118;63354.209154221;50750.884741813;61243.549504834;45599.82411283;58362.141409877;52406.352026257;44262.559093069;46985.807688768;43088.251747388;44376.730222682;49456.204055212;35193.689721173;45445.247073075;30185.181335932;47239.741825505;53076.795313751;65776.737251651;34399.970764398;40477.509077379;40911.811208668;46173.519517901;64168.213289444;54608.345447199;44976.105477811;60274.97543348;49138.012790139;39913.722101871;74373.816548934;80607.685633943;59037.697018811;54686.175375499;32195.122071948;28760.04457175;26475.00851333;61259.453824631;74293.460629662;36598.400071844;66313.788919786;67478.515070185;43318.197797864;44521.725815006;45043.642688263;57565.041827161;31763.693615879;42079.1733679;43178.252488422;38653.800567137;59622.278230304;59367.233725968;47135.653523712;0;25924.193787326;40539.173916532;37636.324052275;38221.365613365;34262.753403599;82656.505041496;32348.495356271;21677.381412315;48165.406109234;27303.055850803;72505.651970645;29122.827507915;36554.751718753;29755.023977056;26128.837875908
863.60637621505;254360.47385628;232859.57299156;209244.08185732;233418.80474689;210724.6137132;212362.12111417;243496.77112893;194800.17563439;275451.53557605;334311.07722224;201229.38751549;281457.39481585;233082.67652211;268104.07652362;191953.71589859;262495.39700569;184147.12191502;211804.13315671;237655.93065153;195458.23332864;230108.65897433;252397.90369029;261464.35001086;257395.07413925;186443.08388452;180316.98647967;261805.86036347;201799.49622664;246985.09104792;198349.00368795;193846.35384583;278560.81546617;219431.17849999;348238.90757513;300954.55530489;274485.75753148;266250.37118661;229326.69040615;255424.76750487;260316.46842913;201843.20708848;310944.27629539;194438.44584782;250160.67968053;204517.39465933;248012.53249296;211389.33045099;164174.02513426;177239.75186722;205489.56599014;312620.88053303;296220.7534458;222479.0801747;186961.00033118;135633.78921978;211808.52643512;358575.86914667;285708.15041597;245244.81009928;339950.66738788;320222.44260711;236796.16279171;151831.73563223;236768.41445006;228615.76547204;302958.01463118;362272.58939232;223923.93958405;232134.32047436;265694.07003858;196264.11269663;263299.26221327;305290.63008288;255113.72628243;357123.36017964;312513.17429242;285920.57609558;243830.61284851;199588.89355575;325972.60263373;285594.98128396;321940.04838469;251659.58070865;331070.68915383;307366.53090329;308924.3151323;232750.84259352;337749.02838681;223382.59686235;210134.49205668;260763.55852089;420267.78788468;189746.27699165;195039.52083701;214012.1969879;199649.55738121;178608.09821236;195399.11984447;217150.87797586;208526.85512031;180958.49009001;209706.86497434;185060.48956841;208478.99679542;213472.24412697;184414.80764974;176152.01824407;201143.54810637;235012.59020255;197836.30984524;241591.87627611;165249.07783307;183632.92698046;170858.27591985;163168.97213798;195708.51749306;135539.09035009;319356.22833349;212280.33927883;188885.51777785;232872.17104924;233698.56097938;209117.19953638;195995.98933179;100642.66492791;200812.27793708;241683.3358009;379796.03433798;277033.05537926;309421.55980509;181956.83152215;114001.98815904;28925.343030495;344839.56854794;286677.44957832;334717.72379244;238123.77532677;216438.67232317;61281.369350464;35882.101927357;36895.730158086;266085.38828847;288675.08853542;247972.5494204;197844.78888035;80534.267671011;51868.747735232;40132.483825871;31853.932661639;208636.94366547;29500.301281084;0;0;0;0
878.61326451653;419976.68773445;387399.27735923;324456.41090437;386848.22785669;310737.37157094;368760.78606287;390957.22770854;279506.94653057;458298.43394126;634846.61280742;311930.69926857;473496.73578928;369068.77852326;457968.8683867;229130.68387371;418220.24664659;211621.70890505;268455.10421983;384497.0166144;291228.48231293;324348.13801024;302380.33528724;363403.44712369;357313.49286248;269148.40838687;231767.41493068;403055.42665269;306255.3578924;487057.06354331;357299.47557234;338519.81650614;419628.10359409;319700.99642356;598970.358147;404129.0777455;454426.54261011;392542.7805073;351678.66407955;441486.18874656;427145.88838568;292163.05746437;507534.93554147;227238.32661703;326083.85717342;307157.39439343;356903.63024861;278591.07166526;261387.85261252;217820.97816792;329718.9796618;587923.58201818;501730.59244967;333862.24998737;401956.76529075;238784.749085;339337.59201405;605987.66416313;483352.35828725;470233.62318341;577709.70294769;496001.302367;438814.99755711;288858.61866398;418104.90820777;409561.18628338;533654.55867474;603143.35691876;390522.08328892;468152.15333983;457085.00377171;450461.73109416;672180.69859107;532793.93148978;398978.67583441;586859.05762655;485251.72271415;478008.53053834;477336.63706286;390199.28113849;518160.33613985;573311.4742467;699747.61878926;498728.20460383;579362.61018658;541732.89380601;465111.05426767;494702.62436205;515598.09714744;437082.21783711;394525.39851029;426383.57484663;881946.94377303;363207.64831246;262636.97953276;407640.58309298;265685.69421826;232606.78594598;344705.6706915;409365.23117988;361448.52717118;291769.93720028;342853.38536071;274907.91134638;334213.67687328;417826.71366244;201072.45730883;245520.2729032;295317.10483662;360004.13040286;274098.43519369;340673.74314044;254430.13564745;329919.34423805;256889.49003547;232320.71207758;281750.87996657;170184.98357441;660569.71992248;390339.72523738;278949.02346934;461850.7799596;481719.96703478;320845.59135172;264266.38782789;138283.81597066;345286.47459513;442435.92031526;780134.11789145;433608.87990052;476693.49635075;340677.00008044;140309.73475446;58854.530496685;659429.17511912;392897.88194862;575258.88604225;496193.97988594;405709.34923807;77276.491916679;39306.272875273;32554.992488095;430215.11827405;491212.19662737;430763.81458917;385773.65424898;106065.62018202;44375.120309176;37943.23177051;38327.01114579;468414.59457269;34115.171190392;32160.064493633;24438.348355846;23300.471600059;13076.478246598
879.61034346618;469568.51330762;433818.34154735;365070.20105311;379556.59715455;330886.49785849;370969.61323987;423978.32529077;289764.01004125;445538.04979806;584491.35522016;344685.68423623;467731.69949233;399289.74687361;554753.40236558;254908.48567359;405028.903754;262004.73310761;305472.64401281;401108.3092618;345413.88641192;376751.5171511;326709.48121965;391099.74965024;397705.32816461;326941.62283294;295601.65387674;412880.21752918;345052.32760762;484738.98126628;362442.51558289;381613.93398438;444450.47773651;358655.28303715;552658.13126814;455581.54794899;492797.23991396;381368.16498914;401950.34583426;491388.13171502;442288.03986955;343866.05740023;483149.64560546;269763.19814369;362002.95096005;336299.56878032;394146.64737863;287486.92302704;302527.18655426;243478.82516619;351808.57676386;506269.80558682;509149.84565877;365885.99518769;415668.19044496;245441.71604414;402095.50360119;524754.29059743;472817.21768614;471573.06117815;525944.90540837;502679.24420019;495361.90188916;345531.52076805;432398.43917384;400421.74490009;533077.24358534;527494.89104372;415231.91237036;494995.40415643;429846.5686916;463930.24126767;583030.61397382;536856.69165201;445031.96052397;589325.16920781;496852.80776654;494090.78786088;521839.3357679;398471.50501914;436995.74952354;552713.63790046;616346.08641751;485935.85905245;570779.95399368;584012.27516368;502021.59910209;522661.89846661;548079.65320907;457080.67812907;429729.63098417;466975.78101546;823505.44437974;374102.68424361;244979.30720181;419935.76835839;288693.41093953;292888.3468744;397861.03891129;418237.78748032;370854.99615579;335522.86702159;374098.49164756;321167.0309183;365974.32759917;407424.97278562;230117.21412755;275305.10538508;339086.70578625;388369.13731966;311589.96357428;311789.81319616;280320.15241048;352697.65073372;298029.84744481;257140.83592847;319175.30981227;185152.77402189;610653.10126835;442624.38157573;320635.89290031;528007.09055115;494099.62188637;382883.39738433;239394.62338245;134271.18045411;401912.43809298;481986.3466648;695837.13106113;489789.48941652;474725.08711338;375839.14414021;186244.68654622;53606.700501401;675032.70795332;429354.9192182;566901.21609873;519674.37759429;460229.52779408;76470.097448294;78616.618419983;38238.100584524;442554.09206714;526036.37611193;469621.57925582;392460.98503493;134397.23818629;56031.067536883;43254.127534513;46338.426571714;482725.77181742;37931.472212162;28020.954382753;26394.155466692;21484.039300672;20295.980357091
885.5576986702;173058.83478898;185619.7709368;128168.15630476;166015.92679964;150165.43585393;156688.81927265;149176.93117094;119276.9597837;173208.96288083;217513.35445939;130243.05680713;132142.68236332;133443.97026972;153114.86207835;102972.27970564;135702.94383991;77810.743584743;77632.635921748;124097.51181465;110570.39291088;102911.54937187;93328.118985452;107537.4704528;100354.17301963;96999.262250625;109896.16625386;157336.45228983;128201.29986048;245355.73400428;153467.69398434;137701.52460144;137832.72411072;107746.44160611;133362.7972982;96606.347386481;121910.94124286;105072.39923058;124541.99949576;115113.74629229;106441.89224808;77504.057818613;129847.1219311;85144.702157632;103614.55867963;109981.45326225;119067.80102091;111864.99278167;101368.9601436;74683.214395409;130327.9576748;160744.49347264;145853.97830858;99638.008659367;186387.53972956;143334.8993821;164944.909165;205601.34785819;157553.06800522;163149.66225718;152693.78272252;158047.26872137;176777.61274647;131358.60048902;162784.32227029;217813.80354684;178359.66917543;161121.90987605;155983.575477;163894.76224073;169090.80322145;185330.20426148;304972.63624167;305422.55457092;178835.30271792;180963.00358772;138979.30101515;159327.37850765;184880.2503964;204280.45576794;216393.31322112;248735.21902868;232365.36923901;212620.09092671;194756.47193698;316994.80002457;199810.2251754;215726.04426805;217361.41697063;295710.43239597;250383.31597945;174510.39238618;301797.35556015;226332.14480748;168664.85723371;205703.98500614;142906.04026387;125737.54234257;215298.70140639;263887.18976241;202665.04870473;137142.18682611;170624.92106909;149182.12044176;205526.16646522;250950.16526007;122385.57205255;123966.4074202;149917.43576308;176292.73839353;165404.04312932;219346.50379141;159725.4697569;177046.49181908;150891.98028626;120617.23651676;134064.66441713;127350.69910178;285859.3566885;184102.88056684;136366.86033396;175873.14887524;187728.12671488;150904.92673326;116779.43754201;89807.544445043;189510.75282563;158317.24795739;237230.26664266;143097.55299533;166206.14640174;146639.23797103;131351.83072334;54312.928126648;178599.0690785;136596.15006964;186160.78953885;154767.34331427;139720.756805;99985.022666304;59732.434350396;37010.156994749;104709.07441032;144288.77989192;131628.17356198;151143.84557615;125910.01238781;59428.469049879;51346.715227397;38946.992732469;167342.172463;87524.143858755;53346.652495312;40027.829004535;38427.730891771;43957.749137121
