m/z;Spot 2851;Spot 2939;Spot 2940;Spot 3026;Spot 3027;Spot 3112;Spot 3113;Spot 3114;Spot 3115;Spot 3199;Spot 3200;Spot 3201;Spot 3202;Spot 3286;Spot 3287;Spot 3288;Spot 3289;Spot 3290;Spot 3373;Spot 3374;Spot 3375;Spot 3376;Spot 3377;Spot 3460;Spot 3461;Spot 3462;Spot 3463;Spot 3464;Spot 3540;Spot 3541;Spot 3542;Spot 3547;Spot 3548;Spot 3549;Spot 3550;Spot 3551;Spot 3552;Spot 3627;Spot 3628;Spot 3629;Spot 3630;Spot 3631;Spot 3634;Spot 3635;Spot 3636;Spot 3637;Spot 3638;Spot 3639;Spot 3714;Spot 3715;Spot 3716;Spot 3717;Spot 3718;Spot 3719;Spot 3721;Spot 3722;Spot 3723;Spot 3724;Spot 3725;Spot 3726;Spot 3801;Spot 3802;Spot 3803;Spot 3804;Spot 3805;Spot 3806;Spot 3807;Spot 3808;Spot 3809;Spot 3810;Spot 3811;Spot 3812;Spot 3813;Spot 3888;Spot 3889;Spot 3890;Spot 3891;Spot 3892;Spot 3893;Spot 3894;Spot 3895;Spot 3896;Spot 3897;Spot 3898;Spot 3899;Spot 3975;Spot 3976;Spot 3977;Spot 3978;Spot 3979;Spot 3980;Spot 3981;Spot 3982;Spot 3983;Spot 3984;Spot 3985;Spot 4062;Spot 4063;Spot 4064;Spot 4065;Spot 4066;Spot 4067;Spot 4068;Spot 4069;Spot 4070;Spot 4149;Spot 4150;Spot 4151;Spot 4152;Spot 4153;Spot 4154;Spot 4155;Spot 4156;Spot 4236;Spot 4237;Spot 4238;Spot 4239;Spot 4240;Spot 4241;Spot 4242;Spot 4322;Spot 4323;Spot 4324;Spot 4325;Spot 4326;Spot 4327;Spot 4328;Spot 4409;Spot 4410;Spot 4411;Spot 4412;Spot 4413;Spot 4414;Spot 4496;Spot 4497;Spot 4498;Spot 4499;Spot 4500;Spot 4582;Spot 4583;Spot 4584;Spot 4585;Spot 4668;Spot 4669;Spot 4670;Spot 4753;Spot 4754;Spot 4837
255.23365946751;80460.464861277;82477.934422287;85363.101088628;90865.299920182;86672.922931379;89984.92246611;94145.138525402;100209.48383371;75080.375864925;105305.96279842;81461.090270315;88153.486195094;88241.77125354;95696.933267002;71021.319999739;88671.709797226;85840.289989592;62446.484675567;90495.6918394;78848.874461175;79574.219824533;81872.857557388;66977.333453702;88612.733625339;76852.775020856;84855.924340896;84324.374712772;70371.311560827;63028.592189953;81616.592890088;83042.266055888;93584.679632521;93023.148524694;87400.45810922;64886.285924447;62156.712188334;65632.086780344;89089.931292936;79254.009884995;71604.159712556;82838.787082879;84653.967015365;88221.042600573;91312.863434489;74956.152827238;75311.964044948;64313.78670856;69487.947296315;86435.488530146;79862.281890324;83224.029133775;68427.424068532;77636.563356063;81006.62486904;80457.742291108;78872.381422734;90009.660932477;74277.169389284;85347.415497238;78797.219900106;81912.953460795;79882.807655375;89947.624747604;73193.936266334;77791.311056281;66727.148567292;97955.840518374;86611.659881067;101639.04413036;99124.905646318;106009.2872963;87922.604687997;78226.943592458;71251.990681757;85835.823316341;72748.964572509;76602.591260962;66718.761711854;84765.334599449;88564.354260133;89506.125858976;96001.354851356;117817.71091624;68832.745841227;84700.702153185;70535.609112316;56875.612000585;69625.638691798;74044.044421192;76618.288050626;74280.987612216;87531.839335911;93922.917693942;100228.54006874;64751.744978751;71519.096001894;75851.261907139;72501.890792796;81811.750084329;71813.215842356;84329.456926616;75369.500258929;88143.367089503;99666.57279197;80376.428300153;66445.116336714;71552.500867628;75769.364494239;74635.593613305;83166.124301411;83848.794989433;91016.515317947;97570.470099616;66624.753652836;68599.840162069;77639.058380986;83136.670143219;77435.87663006;106176.85730848;83792.930789929;72869.330409942;80847.050478516;76428.699683887;82687.811638268;78328.429506752;87427.527362427;95634.068455759;87623.731622404;82881.48648138;70694.151751667;79169.139549692;94074.331266889;122341.12161855;75276.843600092;80309.114459432;93578.28802604;113011.0389076;96606.50631189;65547.245968784;84771.76104613;105719.02142184;91620.361162347;70101.782684693;97369.069055335;95069.939107316;97170.606992203;97224.502660896;94011.529614021
281.24944079343;349688.94456051;340464.40637089;352363.57984992;373828.20291767;312024.72615675;384305.6764569;398746.598471;371214.14331247;317866.53163111;397475.89181395;344289.28745076;342808.14372653;355074.38706417;334627.02943318;318982.94473061;347609.65362155;334230.93147281;348939.75009305;312832.02350371;333694.83768604;329811.11432755;314623.15798373;327906.09044086;338373.66153401;331000.12115984;348769.90846817;333757.76188601;309198.46026627;261758.35681249;306804.71048916;294658.53915935;343431.6627515;391968.62831495;377371.00702473;310762.21028755;296963.4774625;255709.75873371;324767.62632175;299816.83624119;263268.70017744;273115.3144206;296457.99790821;318540.75513403;372638.42015682;295820.28271587;292189.06315375;270568.3567467;274032.05036899;323003.59589914;306730.80433549;297178.25727086;275653.70030779;267739.1368489;289127.61333964;394694.62999054;337603.44055221;329496.30881057;328960.53241041;337700.88517131;272412.06968519;282099.79902792;296441.61521235;356386.93833156;272469.44497599;273051.64996145;257554.86713292;327956.49664674;426565.29791131;392467.13958404;401439.73395295;367668.47446748;360310.42154659;308974.85099771;247017.29154402;294882.73521531;263285.70961001;266400.51722094;252128.38618614;314029.26406609;312022.31077675;437112.49810271;366204.11453548;443320.92585807;312829.49520156;303585.69673898;249793.86517018;221719.57943429;261214.7271644;276679.23904301;304530.31948857;266430.32725837;384883.82614258;372327.43346393;383461.59538769;351236.87998792;277607.26258976;256216.54848095;269140.87113889;252373.70286245;261334.64836725;288572.16226171;317308.68858685;438959.22779892;372918.4908624;306922.3387727;252703.75020441;241973.30698761;279752.37236735;277846.27824341;297031.15064218;394146.1894025;416000.92719611;361996.75072828;266829.77251432;258729.7853097;277980.58048355;303933.51678696;274557.09872258;417066.65547241;383687.89391971;293169.48697986;274137.62424723;292323.85462342;305091.55430998;287721.81980419;359448.08527422;443250.652903;283872.39479252;325108.31826487;249074.84726445;292334.88497525;346983.95634897;496932.72108196;271810.15633254;273262.11862933;342598.80504067;348182.06136015;423507.96556704;262192.39311584;294586.88824866;347871.98653135;326301.45898071;274867.23266628;344462.73085282;341507.71915132;363972.60793894;349565.30515144;360594.95470328
282.25059871635;63802.941282679;62421.55083427;76209.228186193;71608.480055956;62749.864622408;64925.830082689;68825.624708755;79847.459233491;70974.241286303;74992.438322373;61261.871472486;64473.531187983;75400.638189536;64911.26746139;64272.45157645;72703.286334204;56479.59772508;61588.039169929;60292.79318628;67320.089655023;63933.078016217;57956.184689855;71613.294348886;54952.706742279;60113.326947112;63700.951049794;67812.816966034;60356.79085671;44182.642572852;67039.468858837;53533.827423691;76092.952765718;77082.445077943;78899.974195176;63212.007584904;55447.077736995;46354.122582203;56418.172373591;59122.408658205;55504.335297734;46256.637419468;60351.635914717;62561.632224776;66142.529175151;53786.272028555;62288.040794549;51630.812020633;48459.739043259;66606.877082102;57662.756108014;55639.24990962;57073.295035965;50599.313464437;57873.39572828;71053.356424002;70996.371931151;73569.579684342;63127.137856134;65947.97333094;52460.315847529;53848.343221509;60820.305335245;67663.501885133;45483.780690894;50900.222886617;44930.182585358;61499.570981038;84343.980446165;73370.723499607;76442.850679067;67920.45022079;66249.600505617;58463.795269283;47177.488657528;54830.638233214;43920.951600841;49085.336275434;43626.953406232;62433.89544974;73160.524668053;91034.938124153;66985.442013315;80914.264746569;61564.188453253;57305.865386223;46208.20128735;46829.250603473;52801.477501954;53940.61095011;52986.398562287;54472.721758847;72063.777361899;80063.674818297;68804.557229602;63849.93113595;48745.351904094;42666.703153807;47965.813400726;49854.832686503;60422.550633341;53572.573078446;61928.778799319;90568.389585235;69342.495807181;62307.324167476;50596.993121673;45729.186458038;51974.04270134;53206.964798918;52783.489943604;76320.606678194;73225.258537288;68354.501950503;45798.396235121;56689.941139841;55226.504598375;69620.856982401;52297.553079546;80254.446042945;76544.646332843;50789.102630018;54273.913091962;55315.678040377;52167.39010658;60273.101822134;70218.312025801;84096.380236919;64371.673410874;59437.764174265;50925.441032877;54215.198488157;71046.101202854;100151.20810174;50646.359451668;50097.497735959;75349.483833324;60972.795896315;78388.252428041;52529.471408424;67425.786822976;72419.15207608;62329.374259744;47726.598573526;61557.53269638;68928.94227743;70236.771583052;70592.556234237;72310.048159552
290.08905172566;88158.471453138;77349.697809146;82218.92815478;83251.535532616;98786.242224052;81888.040429031;91218.4408151;94063.93200742;79348.713643105;95426.902122793;78471.689111182;68239.42085207;76059.057058774;78642.499602607;82569.42156647;75657.350883694;82029.522012985;63057.416465238;83289.794482472;86427.398820561;93248.601349005;89208.280056798;62892.697946945;84802.867726742;81887.97320249;82629.744930507;94319.369899525;73837.816535735;88457.760655039;111489.52213611;107663.37925211;84545.259887729;108000.30031501;101013.75652887;70507.759011175;70314.907678073;72312.104256515;90175.968220097;101946.33682035;98240.067156973;92838.107720708;130134.75477172;98621.154684956;94298.419020642;78717.30362846;78473.289501755;72459.175942187;95528.226703669;107016.52860417;106801.49082894;119467.11839761;76306.052572317;97408.819744417;104424.18420665;67658.588687392;83005.330874267;80354.023203237;84515.169361567;91674.580480862;89003.886897321;83856.366384729;101721.34685048;104087.22203301;96023.974074288;91166.854516662;109991.22149276;119386.6208904;72249.440842778;84575.190921946;82863.386704804;96624.87066626;82954.021690504;88662.070663908;100343.34099484;83804.52543189;87450.535502864;91052.058871259;77788.077851968;111460.88528678;96112.08144464;70323.968648744;85816.538195091;95395.956499916;66674.116859951;87039.135140823;88218.056043108;86323.564205947;104768.19420242;98972.103261557;112395.56577781;97926.389643668;72556.943284549;68118.160399063;92837.480826126;75783.523863403;74138.476713424;82876.975215586;107729.05375727;103315.23174211;90611.835766337;93533.198634891;94667.12114139;53415.186455654;94279.766217807;82100.698279368;105161.35248098;92159.19754384;88905.700511692;94313.426683077;114723.87841159;75745.529852065;64252.549500414;89544.403579473;90069.77621502;86821.742395787;79142.463539826;82881.206305214;76816.962262633;81196.899843507;75962.224809201;90709.022259534;87950.904838612;103095.13254186;92494.921729324;93603.909088715;79606.744602796;65619.974243732;97577.668138287;111389.65282155;96465.775544455;93767.175725936;90598.691379301;63000.72961901;86558.949323865;92763.420153675;98307.757770921;115342.07286104;78461.292481309;95102.029062181;78484.146099789;100893.9884199;95128.489520452;79233.098403281;96018.51678742;96195.557625899;81658.477097571;86635.896753944;106613.72078272
303.23385112436;444971.82005639;431912.06460965;438006.07001597;439868.13542601;436721.40185824;415907.06131084;450808.51189633;463156.25557179;383819.1587717;439279.02362441;401766.89268705;406258.54831865;402830.95570927;401587.27656465;405156.17809838;432528.97074137;395321.27467491;315345.5616405;421574.66827746;435378.34211979;424595.75070489;418800.27079889;339213.21222045;414816.36413518;412365.29782525;397219.75279425;401053.87567962;390687.04706571;334977.55224255;395011.55834458;363072.20504182;453384.8564602;488781.14859521;435720.64344207;345435.103048;357834.77405851;332866.74058287;377398.44767024;396509.1938251;352809.95580924;369339.74087028;383281.24202766;395647.53198951;496870.85883871;397317.65979965;409966.74412099;379947.86709096;387151.24282228;387353.70348222;388170.44082565;389820.9627069;363613.21899458;349806.56957639;391296.43355155;399705.08721256;452983.17600713;451157.715178;442298.98863679;430084.22714313;407373.87521468;319915.25362901;348717.50429711;445011.05358021;362712.40233411;386848.48750187;369090.5159665;442854.25241642;385024.49856782;457010.62998682;481380.02076402;477413.52097271;453237.57113568;420572.43237471;311961.32373285;365848.88135422;344433.01322167;350081.50587172;341445.89062357;417274.08910341;400395.87970694;426066.36161475;450150.82174002;521962.31400858;397705.28819511;424236.62658924;319624.58985696;290130.6187054;352917.43075696;373697.17057396;402792.14302618;367878.48553239;414172.49541191;428186.09620978;450878.49994163;345986.48612805;378636.40130434;295314.74851162;348025.03676027;351300.57791323;372687.13356904;420644.92864673;371848.77567716;374178.09101735;445006.42378835;434456.87430496;319030.78460496;339378.57595746;356507.78105044;408952.78680035;425006.96284753;401366.54423055;450262.80364396;442392.14745868;320928.88011482;340365.65518189;356504.39553526;407659.2551601;369309.25164409;392464.35111956;419136.39239396;327918.58051955;343340.5209389;376638.04247387;409190.73213371;380649.64694916;392115.49136505;426141.24319418;354705.83353363;386904.66799591;328990.36445165;371925.9625943;436403.40498916;439589.00898724;360909.12832043;344369.57496515;439066.66396634;441147.39750835;414566.95929812;329239.51643043;357882.91115214;416179.20793318;392710.12980921;342634.11954449;446952.49098579;412682.28182149;489769.49134431;442306.18905385;449407.29133359
857.51275620514;106104.98097959;97889.344930275;112967.78545279;133490.41805514;129833.81164954;100085.39799298;120709.41575601;118352.30794442;100696.68090725;96740.344749525;89162.972831205;125141.60845853;104147.49025106;113584.3384266;91532.423756603;122983.33812025;101432.99121648;82824.704366439;86669.594344947;104384.48067098;146859.31507768;127133.03029802;111060.02204289;94245.295888472;102428.73618917;125333.6140324;128348.38284;135651.55929029;130654.96446158;140188.49486994;136118.62912504;106253.07227721;156956.0457312;104017.86285667;127989.20515303;132739.43820305;110494.3232087;118188.5813532;140994.97732797;116905.01507615;110130.64876223;135317.78377255;123827.55762195;139392.62158354;124088.07459969;116342.57953367;99418.363505518;130144.89753352;186847.90196357;167254.0417119;146231.34055454;120148.31195313;106929.6200045;159509.01871504;103919.87861227;111946.21004179;131774.22073359;115342.38182183;130404.9084841;143893.90331452;127645.9768501;137137.9586295;160977.48977785;126119.88972609;122837.87576435;116774.5782695;132999.88723049;106081.33632007;116431.85222547;113264.66157172;132422.99489593;111484.36516346;151778.20934246;154920.7702133;147889.9683335;126226.85763084;99380.679860245;112171.98321313;105584.79917495;124816.63792445;124266.72839628;111370.72772342;135861.80129521;100644.01258576;136258.07658797;141809.3844812;150940.21782178;163546.28907884;122608.31878657;150074.67539326;131152.72441067;137106.25461226;96479.804253367;130108.66823268;116781.89810726;117535.69725299;152993.45701281;136109.10811815;123503.62110807;147396.29493807;127812.89284527;96970.942457652;98400.310952637;151026.3634427;129954.29321331;136630.2505;150865.78747552;119688.68570381;138031.27305183;127306.56211046;146481.36447262;151711.04361253;125314.21475023;108970.93094231;135015.36839299;114256.9637593;144294.34574809;125883.06542049;134714.18037718;101537.27682269;123815.11201443;141482.6286077;130200.81396445;128380.0381902;113603.13225554;142662.41779059;108652.12898161;135288.58266576;169391.58419019;149097.9707469;147418.91131187;131320.10233779;106163.35189084;105491.38970737;136764.41615313;138050.13308519;150961.31110496;118718.45336926;133737.27197416;129455.76069414;136881.53810148;102451.64765178;125815.4115278;134776.03904267;98849.636998814;107270.56134295;116040.11331043;148224.52075815
863.60637621505;0;35446.039921254;18178.605164424;35900.811940141;29933.806978292;40495.302833712;36828.150190831;25862.919025749;105208.52681844;30598.921834397;40488.485968958;29855.836426453;46492.121789769;25527.571434984;13174.214684288;22362.462660554;25833.224076135;174859.46085021;0;27504.422619737;30286.738656444;28860.291745921;167391.53584867;0;25002.490042459;13089.798243237;49312.387000446;48215.450148161;43868.94768528;33070.284584732;29599.750435486;0;33670.051381189;36665.065266245;118777.28183909;56904.673689941;36471.542851802;26021.67593101;31375.879145511;37205.449550346;26141.270785228;31677.365523895;15198.224388137;28411.273500584;23019.320371235;14519.657934839;23746.566104982;19572.230000351;39335.623721742;16283.33162283;12241.227103783;27070.504054266;0;20983.385910894;18138.417335888;0;20128.55467069;34623.011516575;39688.82266007;0;38352.155475204;29161.266713055;0;0;0;6504.3454667356;0;0;38384.043682618;29614.124159409;41540.921216973;0;29263.050184165;17646.628256007;26783.308766884;0;0;0;0;0;24744.516623167;18945.726411698;93042.064825734;76457.032968307;0;13857.988596642;0;0;0;18132.037229096;0;0;41056.449041382;30996.032285592;113026.83276743;20977.487323995;30961.051908634;47390.447524662;0;25567.520954742;19846.060127464;18730.405685938;19010.184032848;40069.407176607;1845.7995435459;34789.615873545;26778.433445472;25478.52037161;26477.752905536;23854.224848534;23050.810528338;29254.566474267;43149.444207951;27749.663869476;20550.584470821;0;0;0;24589.527923999;83091.880339483;22319.449248865;36040.503625007;28206.177117858;20970.465791357;3296.3476633161;0;23052.733417718;19513.263767701;21142.523098355;25492.092760377;0;0;28680.501039876;31934.689212748;0;20258.7008111;13510.351600737;0;0;35789.836478696;0;0;0;0;17059.470032262;0;18548.425210036;30509.330367451
878.61326451653;34355.58201418;51389.614435742;63781.585842348;62603.381061292;39847.519590103;57325.094253037;42332.023352079;59644.84360835;235389.34027509;51189.929769149;48204.964774562;47384.996748349;114940.97468399;40373.679146462;32163.289772835;36829.06337858;64331.75348819;395630.42569945;43386.745335082;24380.341362167;63598.807417109;84605.004100085;368790.14956954;11113.994577656;32572.616610484;50316.983044174;116782.61270933;75319.313682547;80763.538924077;42727.079539393;32171.835859621;24239.631652871;26964.859382214;64255.061559358;286300.88425395;99090.527880056;62619.242100116;59526.623716975;35116.260708258;59061.202274357;37950.624460354;32346.404241269;25789.77431233;40266.485095852;44141.304573301;38204.974278646;34151.582361573;44914.360165266;66636.181585507;72042.70275341;35642.695734545;23737.505190747;23533.110962668;19714.026599951;17432.801605714;49271.8131007;39061.809121296;37286.174251838;43153.32311791;46219.865977524;63800.238880929;67754.14678216;24112.683993821;18759.909538384;24240.551500998;18773.100676498;22141.719717527;31211.089301736;52109.005758125;73615.275015627;83079.122854989;26007.265439302;48356.808910367;48504.835506175;36149.354624248;21529.218685875;21035.923716101;22957.212597553;11062.977997786;19148.438099652;45978.423868234;42315.489041445;198231.89517541;140972.08280039;47261.746850641;34481.322368172;33763.914122613;28165.054794545;7845.8529177615;30247.161728546;32417.648886175;15968.633026254;27332.198002368;32819.692529416;230479.13388408;48246.636576837;62720.471728033;52218.142771835;31658.18570032;32869.541839885;21160.702031789;23356.350913007;37177.798116365;42231.077959703;38527.328733887;59174.301937514;32062.126678699;36292.082789328;26284.981375394;50509.340811361;20453.169429395;30442.630708248;57589.2085345;65381.935327651;60946.900375787;39393.044589097;40034.637803059;15121.983464826;47209.321336223;131298.63113073;72083.099152345;61500.639806712;36099.751613103;24306.808128628;28763.149232919;24484.644896646;51304.969889794;54732.939934689;56943.256373292;68877.213508731;37923.798050282;39086.238651055;47647.269916219;55667.826298359;28040.765208875;39814.927768768;31116.268169941;20489.776167663;22604.853581695;34471.543252234;60897.197447559;17237.114623701;22704.994844019;40499.289192802;24108.464368389;14107.579667741;29465.982036027;32233.336514809
879.61034346618;26712.032226877;48028.776402422;65567.987314163;48941.221138237;58221.982035171;79319.248040906;49330.632877962;51981.607907504;206990.70278631;45687.573104659;42864.959442808;46580.635771888;119588.16633217;26032.954377482;25674.829821743;60659.848573084;56252.52820936;350712.93189773;21463.4910653;23837.697325235;25819.666501465;77451.116522839;316576.72121692;28952.304301972;26270.998983228;38760.716861994;102399.32388023;74167.803698478;71440.910199946;62145.12252518;23043.638172018;36924.222263605;33179.613661808;71309.320106561;250168.7245929;87805.345182858;46576.374582254;68786.070564918;46779.777920231;51252.081563556;43287.279427864;41134.697295352;23657.603102772;37369.277346241;33233.098808742;22339.987038052;33397.311630586;35387.350027517;77392.184940372;77269.142503139;36635.364163955;31651.212557678;29271.436513485;26118.625660336;19436.509990647;24832.194585168;21646.943878953;12993.714605124;42405.526049719;28537.631071456;64369.226342987;60080.705715442;26705.802538325;8766.556289753;17466.276492911;10486.87939647;25415.713419678;20632.971864859;57571.446561889;69860.833042467;74513.1999005;11231.385157786;35697.865141291;68165.325318315;37205.898283607;27243.363750745;29494.671535551;9671.3193802041;15067.700088717;19656.728840557;46314.287434437;28940.211888384;212698.72775722;134157.51402913;48146.108169403;45907.888308889;43560.330880132;34056.399738102;22508.851465125;32155.313159017;27544.157245388;18502.989904609;21123.038528675;40651.091742435;198013.50737501;62898.488919968;67165.847961476;53048.863186216;10828.508041286;22501.123878689;23966.342119881;31712.486336788;24030.151285766;34146.953114601;50249.260276995;56176.158449499;47796.154574503;24568.813589484;31927.47804908;56135.70233138;39788.567608069;36710.037231251;60168.676360098;54713.701528959;43625.302309022;37818.057524864;39595.70372269;21861.375401168;52624.884603356;122857.57534561;75141.142387184;69192.154817838;50226.901807142;30380.229960896;29202.458301099;11582.004265122;44709.484816553;64343.209779081;57424.013311876;62368.696320758;37201.846734708;23673.558196226;53744.661087348;43713.282417805;40786.801681685;41983.531376115;19159.164446609;0;33495.480676888;33233.601654554;34179.678895672;28596.999662995;13734.428540329;29981.266566643;22042.502498847;35815.556232001;20342.062945723;32956.16039947
885.5576986702;377829.26447325;370775.92629497;460703.6245688;477967.96003582;443294.08103533;396825.72437228;369557.83214713;496609.7830849;523765.29688971;323113.92700587;326565.29238297;408950.63833492;460982.54640728;383163.31529445;374289.18583618;426612.04749347;534983.90821644;415861.57823995;295734.94338405;361631.44242694;598178.76356799;643852.6865428;464652.37044489;317780.33237279;362847.10427149;547862.24366747;516434.69908563;558192.08790497;341988.63054363;446074.20463744;392136.81311426;320049.08728073;548872.57550544;439536.30638496;577369.06446833;484193.36335633;585973.74523264;379188.89171036;440346.02580503;391036.26702427;390936.9623502;339825.81325653;387987.72552363;508700.86193669;452903.00682925;514958.45498018;488128.6297512;604062.96688095;564264.92599161;497893.56874018;513343.71022913;381381.62335162;369885.44668908;439717.90921058;313196.09192308;420387.46981407;426620.75320341;547814.22953879;505735.4547496;674973.96103618;396121.52491307;450122.12562536;520058.87413482;433262.49037009;434814.57426862;368610.45804908;548050.31367157;298073.78844557;378195.8007876;427823.00764153;558601.70142761;445164.82554888;576726.60085511;478276.6968932;462700.26957477;417337.97779095;401513.55640367;387862.44625077;398843.66553783;454179.20936943;292396.57464436;445529.06789352;548565.07826342;489774.58180627;579623.90281307;467578.74290897;385361.90921914;515367.94996454;458732.60950888;707890.37817995;411444.44745211;332375.02863523;299647.18937376;369956.16993791;470979.60165687;507121.44992244;408556.19713776;528743.03100899;439028.57750555;501822.16724193;480146.65223026;432672.16691559;262000.28429627;490981.45964836;440540.62814139;514864.73894104;481143.76052805;369776.50837655;487691.51735679;559344.26036947;423745.82913353;365644.29332266;467549.97785789;439588.86447262;564214.84431606;538569.14170558;553234.0839015;376930.08380094;346963.91962313;336439.76510006;456869.05275729;518373.70704111;559062.67053625;558605.83714957;434285.50699465;485835.4978584;365694.38851023;528796.9005101;673652.40231735;678094.91050715;651226.63326522;574734.93401817;403770.01995214;535103.05755277;567521.38173455;610751.45388678;637339.04435602;376856.85114772;447343.63972821;504154.90274;594462.81451765;466648.85251717;428566.42090187;550891.72458183;402602.31682277;387471.0989143;534346.58163582;575053.19223569
