m/z;Spot 34645;Spot 34646;Spot 34724;Spot 34725;Spot 34726;Spot 34727;Spot 34728;Spot 34729;Spot 34730;Spot 34731;Spot 34732;Spot 34733;Spot 34734;Spot 34803;Spot 34804;Spot 34805;Spot 34806;Spot 34807;Spot 34808;Spot 34809;Spot 34810;Spot 34811;Spot 34812;Spot 34813;Spot 34814;Spot 34815;Spot 34816;Spot 34882;Spot 34883;Spot 34884;Spot 34885;Spot 34886;Spot 34887;Spot 34888;Spot 34889;Spot 34890;Spot 34891;Spot 34892;Spot 34893;Spot 34894;Spot 34895;Spot 34896;Spot 34897;Spot 34898;Spot 34963;Spot 34964;Spot 34965;Spot 34966;Spot 34967;Spot 34968;Spot 34969;Spot 34970;Spot 34974;Spot 34975;Spot 34976;Spot 34977;Spot 34978;Spot 34979;Spot 34980;Spot 34981;Spot 34982;Spot 35045;Spot 35046;Spot 35047;Spot 35048;Spot 35049;Spot 35128;Spot 35129;Spot 35210;Spot 35211;Spot 35212;Spot 35213;Spot 35294;Spot 35295;Spot 35296;Spot 35297;Spot 35378;Spot 35379;Spot 35380;Spot 35381;Spot 35461;Spot 35462;Spot 35463;Spot 35464;Spot 35465;Spot 35466;Spot 35545;Spot 35546;Spot 35547;Spot 35548;Spot 35549;Spot 35550;Spot 35629;Spot 35630;Spot 35631;Spot 35632;Spot 35633;Spot 35634;Spot 35635;Spot 35713;Spot 35714;Spot 35715;Spot 35716;Spot 35717;Spot 35718;Spot 35719;Spot 35800;Spot 35801;Spot 35802;Spot 35803;Spot 35804
255.23365946751;31841.156217252;21527.810283793;31157.976910989;24665.421305467;22418.907562138;18301.422844361;16849.499536053;26911.325873551;29600.012575566;19994.461834321;19342.693028652;21043.115070941;19113.738668784;28144.552163531;26593.716283149;24994.96362561;25367.075638895;21216.765550789;19316.274083145;25653.515183232;20189.978943393;26686.701127165;19289.099824182;27302.237983802;19458.759949718;19696.596381218;20014.888139489;22169.222229559;28429.458490856;29730.942427964;23425.579323177;27707.513056678;18569.742991516;26160.287354321;17531.862389531;20944.926941429;17919.655397738;28541.176410375;20133.76685554;25076.330244789;20787.997182776;20586.158980435;27699.441797039;18138.519720488;31226.605534919;28761.889612288;29905.188084285;19940.613561245;27440.3009559;23451.515708504;22880.057584087;31005.865194923;21746.312527659;24990.463846641;22901.706677593;23704.110537987;36127.627727354;24450.783811584;22937.210610071;20506.793667585;19457.106823356;40109.437836956;28800.238231687;34520.871329904;29817.159534749;25725.486521778;26282.923640009;25750.923391601;34028.261478087;43258.488680563;29998.107958695;31815.089127994;40993.576437364;29839.674962239;28313.141824237;32100.280861854;38064.165558148;36680.567653434;34635.913779063;34555.885611072;34141.430446068;38584.181948117;39741.766335784;33145.428901937;31736.190969971;46806.002371901;38945.818546411;46800.444390917;41824.916765283;27941.059355224;34248.866778672;42997.382288152;39601.468099254;28591.256223686;39533.356951923;41433.469798969;45815.703239551;46555.212049802;68412.03396246;41682.115821501;40944.443425839;42699.941083007;40460.378387363;38420.093104015;41181.367104026;51286.418440349;44822.838520073;33849.878991266;30943.122532316;37446.948035257;42240.764078787
281.24944079343;141719.06954536;146763.88337786;160286.97213069;162201.41461547;147207.710941;114440.46487176;131384.87931546;135371.78714762;149227.88164165;146885.81694332;131530.99824322;134882.5046321;144576.07981835;162635.28719225;164468.01067964;157266.51309376;174001.27899011;163213.73283311;146756.21982708;118930.59910634;124034.60376827;143145.47880354;130131.95703045;136148.51777241;136978.6169992;153951.26323056;105663.0687166;162080.35259274;174852.70724244;154986.74512047;161666.82565563;156974.89246611;137421.761001;143750.2705341;140285.38688519;163209.27806207;142004.56443522;138659.14043393;133166.54774718;149488.52403614;139789.07245167;126119.30994843;138828.6500408;139883.87551215;169113.588409;167364.1367529;188050.90077582;153338.77813273;175749.56099044;167928.69654805;157599.57157077;148694.3908441;135600.02215925;149389.49757024;115734.96866484;131286.91223954;127693.29144628;143086.2751627;148286.89404722;144102.655759;127363.00051479;181069.77743619;185121.58031003;190304.35232319;159238.17680107;182059.6851279;169666.3816519;166671.87993572;198798.9989995;196554.22789561;172188.77476228;179920.90799133;187160.61721229;202148.38022185;189738.19609358;210113.89219128;181524.78502055;204846.48420619;210938.7142304;218463.96558157;208852.04270247;209691.73993467;226014.7304405;221482.00705519;241078.8921073;286111.73704557;209099.85971601;218871.64185085;221226.24988636;215534.06356179;261042.16523661;304299.57881773;207353.67902367;192730.59279517;211324.70225194;231001.35175158;247893.90579266;294952.83223569;376648.32891849;211884.27799349;202523.89468224;204816.69850054;231711.76675292;248952.30920869;250086.19919872;366654.58165808;241673.22473617;221108.66215837;229815.61065955;244543.11795712;334263.36380463
282.25059871635;31276.508236866;34790.344369292;39326.093280532;35987.788307311;34980.66614533;28447.336816412;30400.281533079;29304.932570305;29820.038084914;24993.639288175;23269.021009827;23777.897157154;23144.916356177;33078.117210469;35222.04273062;30474.606064616;33466.93055342;24492.473836152;32428.239292174;28565.951504589;25004.7146001;39669.55718258;22966.53157235;25648.04413281;27954.753223349;27719.271546195;20672.996413567;36871.063029781;35834.703162371;34725.514170105;30159.778430528;34066.527011101;26754.701335055;25331.531332564;25613.100543117;27477.079405427;30614.39638447;20319.711802241;28900.749557818;25822.601716271;28911.101298654;28183.755985755;34626.540790657;24114.688899583;36242.754071462;24405.156408392;38593.265605235;31915.769690714;42980.76582075;29879.658931247;27309.723032437;31112.5231477;25462.700258131;29661.591491269;25294.182115199;27102.625659076;28339.134720589;31122.148678789;25650.444133944;33636.401706683;25724.16166884;40102.379189999;36893.282106364;37387.680965949;28972.497795402;38249.811993539;38198.289859198;33953.982895265;41050.915253892;37802.028738477;32200.267413258;39612.901059128;38826.314280872;40778.409680654;40491.965842755;38145.6116286;46750.165871477;47948.370505852;39161.098379783;49409.22905793;44062.031767852;34926.047927473;42005.940213546;47082.926287059;55658.604317063;71947.125622473;44948.723465887;47205.635306628;44430.304165284;42801.871800857;50517.519933847;57424.31566302;44749.75579233;37520.138749179;41257.161900555;46072.256091588;45193.581318564;54747.812300735;73375.937020874;37691.209329426;44891.309004029;35286.321861933;52773.746459672;44939.943850888;63737.720261449;73528.527197109;47534.49853669;44777.635293078;46930.574986749;52576.690886688;67445.039072438
290.08905172566;15143.516572772;17730.619142175;19352.77934228;21654.225891934;14335.450677549;15115.019869219;20604.255665998;20871.307272256;16103.939890404;18261.147338046;13394.126728272;14360.883525277;10979.767360159;18435.947306761;11253.500298291;13097.104778795;13876.947567102;13423.362400787;11946.854016786;13470.492546584;13993.42957259;10882.191070232;7418.5284167387;15904.130846427;15611.233866117;17659.772323008;8674.6339330266;14940.057861982;25255.555977109;21444.533739336;16088.179060453;17397.467361104;9442.5678715495;8231.2346169633;16310.127685421;8451.0692372612;21301.332454391;15646.21853725;12362.808551872;9830.70115815;10155.965973444;15119.344233169;10796.421663469;11566.051060978;22186.624219634;18140.816732515;27079.032552342;16028.162254078;13364.698035023;13563.488893412;12394.379895547;21814.585750128;12418.495863819;14854.043619512;18375.425633018;18629.827799013;13242.514995416;10377.726151507;17498.154960245;14097.206073833;13817.290223058;20825.195169274;18580.319454329;16534.308962318;13799.570728651;14780.568971717;16103.049774196;9768.7342533823;18785.985184128;21495.277090717;10409.629262934;11695.535627386;19140.251459822;21878.289900761;14883.124019726;14901.935853976;20678.735620185;18289.659731706;19382.543686192;14404.62570526;19244.018183295;19581.591197253;16850.584479064;16062.298309418;15353.487958161;13627.658982021;33322.772237356;23523.04384738;19290.516041053;18019.008333949;10200.413043552;10856.572229867;20722.735028467;14043.023103272;23318.944840034;19377.642588647;10531.32300119;13463.463437384;16491.666587626;18908.996575264;21206.281168021;12734.69293647;10948.981526625;17033.124549325;15263.882067486;13125.117941855;10800.728557032;18460.120806347;14271.372232657;19711.955319034;11072.687790152
303.23385112436;82480.284258859;71888.536377001;77774.570911138;68780.790002833;60600.341290641;46112.135239113;62808.014351825;53316.629891836;55307.748319186;57220.446875131;49329.676563029;50611.676905875;53282.957824362;80159.863494803;77037.034578918;59422.871708722;75128.613323173;66626.589803959;58156.6673979;48494.068050103;60348.651020163;56957.511277364;44213.725496328;53952.385876228;52378.92666153;54227.862288439;45197.484527257;76715.322150985;75491.847054368;61354.398533139;65743.933954861;59377.809954268;59840.534909189;53718.58125638;49114.77881163;57500.679947037;60420.601568446;53756.261610651;48294.343222992;58430.554575677;59720.952030236;47092.735564004;46519.671551632;58610.419667356;74313.094323685;77226.555050959;77975.72865712;71020.270074745;62799.89742361;65832.969826601;61772.818439167;61218.05149355;59617.241174521;71500.002463575;72511.665126436;67658.040373702;48837.302135477;64609.788606888;60251.110345224;52156.542807267;45651.257209272;89579.193954767;76679.54453461;80026.629169041;77862.083571061;83821.254770056;79282.953079884;76578.840763023;88886.871354037;89292.97402166;72209.632620205;76476.826660029;92996.695266865;89750.260870855;81412.055266457;87700.516318187;94509.875544869;86997.772724942;99634.690143021;94750.693902957;109196.19644526;100773.06536717;91790.988177301;94639.381714773;97714.01105702;117103.01046763;112004.43156742;110504.31526394;97393.058511914;90940.891077906;94515.764163787;127741.53342663;96068.503303026;79765.861743586;86105.034323618;91777.68743793;88022.7149722;113210.37564787;156084.31197159;84731.86696551;90135.257635117;84333.274985897;91380.40361546;81902.551694588;97850.789686184;133279.32987756;101992.66615967;84451.114397888;73709.05752527;91131.106679886;121441.9014388
857.51275620514;31512.28751066;40606.277825365;38020.817760188;66536.426889942;50982.491520039;29043.540241467;50519.563842553;50843.446925554;41362.725851431;40010.731253723;38074.244549363;22432.462687372;41648.424671085;35672.600000482;39536.957755881;30709.848551169;59422.123930523;26781.915635431;13771.908526881;32633.525406457;32627.335208449;29244.846620243;30528.06252824;21724.895367262;42172.715757888;16807.665262918;33900.033767326;52755.473931219;32789.628391904;28526.373693645;43538.683941581;34317.009493448;44468.759179251;16793.773409754;28719.615585704;32618.578741284;0;18190.271859572;19232.298815802;0;0;28876.009413309;37861.72664745;0;64142.742915697;38009.610946028;57575.225737828;27007.251205173;24330.489930302;17864.111509364;35063.327127476;43452.102767543;24446.57433901;20641.537708346;49580.200940058;42431.556115916;22230.453551075;15713.741444056;44840.747253783;20777.67917579;42251.624815357;45280.686994534;44209.066373045;48488.192633363;21596.917849399;51362.374963254;29358.803331692;24797.389775082;57661.741227065;50773.089259126;28938.708497588;32972.630888594;42509.078457995;36295.675839517;44700.803223919;47190.273089886;45843.739689268;56685.255872701;41967.847106197;21067.299506883;48635.050828629;30414.486063981;48096.24893938;36132.135056524;41719.754675814;42671.109656051;57143.066195081;50754.30820295;41025.244571628;31871.045609886;48558.878075738;34108.163895899;43989.105580867;45324.749465919;46424.43189728;32769.764081503;50959.568523061;58108.640983212;58112.042248744;49220.246554746;52084.096344992;48354.950781222;43506.96211452;29414.238228349;40939.435863896;52560.052953271;34127.848843005;47666.881352978;46339.976766048;45592.522538818;22243.504875721
863.60637621505;181355.35778709;168460.33957036;273892.46389597;270232.94617409;210963.39415386;221463.8041568;225413.32745526;184743.39103911;238847.3511795;200183.16455562;270801.50224848;223837.13419472;235221.34900818;272615.71960417;311292.10456507;255837.46629726;407225.0539511;177863.86521983;212366.75055724;181899.1084063;176911.39421954;199966.3172427;191366.0803991;264212.6301323;279310.29410266;154831.55823457;255774.0140664;258921.03658763;279429.12346284;262405.78136751;297317.67484924;216748.24976219;267597.23288588;166135.05080235;218651.02995266;256757.24440216;185251.90034827;193994.78029547;161834.34031063;144688.66583492;198678.64692525;286582.79501723;219595.04950009;161080.71548714;307107.04597317;252637.83022608;328073.6576866;267299.95569039;322827.83767451;259023.09642441;303581.35832742;267764.80156039;183159.43275765;136333.16140268;190678.84935477;221133.20153686;176458.91484447;175079.38605148;224897.2208233;184718.60891952;239683.78251448;267104.41811439;282647.15920083;389244.24586996;209763.00740349;284047.83108562;185680.87469927;205563.9876938;328459.97372976;328395.37616635;262483.88472279;229596.83816864;226914.18187254;282742.90174702;330273.12316472;251559.77195361;282268.46897754;276997.3320159;300587.48316141;223473.6289109;293472.78030383;244765.58196364;269253.59384591;227204.03176166;252256.82583552;228208.56778403;289963.61518232;243294.07270239;286226.5923461;311041.9977258;251297.50713703;248909.59659821;241460.78786704;241257.93048941;276737.23799587;273633.75311996;302175.22397762;294195.37435014;109205.08129843;362400.66717931;350940.22129375;279529.79047467;274215.60663547;278981.93509862;262170.72121338;133160.52430371;303820.85019817;292169.19891885;221527.49121709;291299.8505273;178133.41584524
878.61326451653;350282.55213727;349264.52560152;402406.76586188;369560.67624192;437944.41016109;456471.0266317;455087.56409249;345520.31667431;381238.13923213;293939.53132987;471900.35347617;292595.06001684;345931.64430075;462442.29899874;508646.25548442;404075.08269404;686052.01044133;282012.33630455;361519.23945901;328962.88570447;333754.0283747;367838.79412089;326005.35432842;366603.96832459;374940.104584;249307.9173409;516201.06518845;455802.68497252;455126.9314934;424904.50563654;450550.61842068;365835.09852094;402716.5053422;263438.83038505;330038.93833878;426214.75230251;285784.01555932;415249.04574519;315397.74808462;221179.33785912;302749.67230641;393671.35939329;397680.67611227;283181.51639992;564242.57723021;460757.57557237;459318.27986179;415595.82779189;423169.62109942;410449.34499908;446206.12136706;472354.07899697;352917.3187784;233183.53206925;273306.62011105;334856.76552891;268173.6870347;276384.35064115;345431.88938814;350351.88869419;392970.91199213;438125.76660561;500566.7232395;653456.46409264;350108.1647882;429388.95606375;251869.41611716;345128.71781865;478070.1135212;411990.43764497;474250.07754493;414639.72280876;251765.39114551;419220.45239599;486767.51452495;432455.03616366;408657.52211354;380423.93626414;415481.98954021;343414.17332273;489243.04511435;400446.80424338;371318.52552926;332292.2128783;391494.57097874;354952.33835769;468305.14283884;352801.7744281;443390.70178622;464995.70704954;365139.25356822;346531.16961154;416939.78813884;379422.01959479;416463.15277704;421638.22615633;415609.13930382;441299.17592966;136059.48683959;754269.8581137;604520.81392252;465178.34302384;431554.48708922;510939.14143843;455162.35251306;139031.53555987;439823.30447829;442055.86690008;320757.2517153;462952.98564687;253704.69304652
879.61034346618;386804.29119203;390723.94690069;478513.51442646;434649.67965426;482791.40457373;473771.05541054;486967.08468148;387420.13928716;435978.14714732;333368.2234144;503871.09595517;375301.59884711;377194.57334699;519431.28824727;500084.76680499;454160.60229611;622854.83264786;322179.31418511;420450.46374579;377304.41975466;367476.33472564;412638.13326284;394229.43876017;407576.29021512;391784.4076152;295946.98147867;521451.74426154;483510.0631614;501833.52616378;497149.3257067;393596.05182567;422663.3663462;454449.38174752;331001.94639314;350456.65069021;472923.12168364;342445.99812624;443390.30364449;334446.52636839;278070.70838658;368734.51820459;423763.33497829;412683.51782758;346382.19569561;557072.06085165;498440.92393971;425925.04304804;461313.84973782;476758.02942944;471618.52945725;469663.37558845;497072.87246691;392803.51840376;288476.84101708;291372.68072747;350672.18981858;348850.22548861;306709.79213095;406742.00912972;408057.89669114;422376.77754171;491610.39287948;549896.65766944;629650.16448525;385666.32942303;470674.34310776;285620.96327584;395486.21727247;504346.78904866;411951.29356197;526782.87233877;474005.30504148;324543.31442644;485973.45870177;503679.00306339;470855.67493525;465128.88968571;387298.74800149;487197.27217902;414468.90583832;526606.1995584;451078.1076976;437155.36094279;391996.28644198;428965.58891414;375018.56379079;498416.69297239;417621.54755035;534326.47244146;523206.45186169;447474.79171925;454336.38264955;504070.64778899;423279.63932962;438777.67939745;379723.7687427;492418.62211282;500218.27515414;172348.71761801;738292.12570885;662605.26159446;424575.91827844;493096.05554031;547161.47124808;477216.96082908;184233.11947096;521527.52565096;452777.45359965;394478.36766898;539829.68603733;295922.85564393
885.5576986702;176010.77203448;150005.47558085;154137.84255072;144771.75107698;164429.06123002;149690.67191091;145217.09563169;108285.52323502;99729.132092525;90756.43961866;129241.06377506;93037.731609616;94906.64799955;179821.25799134;181008.82080322;142712.44353295;173087.36664045;103028.59252298;110137.50692681;109445.51666991;108607.77821059;123442.54770765;98291.031284115;100441.03627967;73463.971052689;94364.764359149;123796.05197214;202451.79582118;173830.32468359;129233.14141522;120010.75883666;123658.64588849;139398.65625464;88829.250201044;109351.40002116;152275.55820397;88333.632187534;114206.34158242;84572.130296672;87869.462963555;78648.288040893;118411.38037567;105057.27434311;98930.449642766;185025.95393811;171605.1807572;123048.45658602;147966.29076876;133453.9835735;134813.03580952;140290.5840467;184795.86363027;152192.73528771;110426.76907899;159282.48016723;164965.52235715;104334.76914613;92559.12886439;89379.769411015;108264.4862392;80835.610196027;157045.21217143;167759.87581218;209556.82379506;129997.55570945;140052.7534345;106850.75125016;126010.56966843;195111.27080706;117837.79989496;154456.79381979;151571.16114972;130563.30237628;170684.7127582;192992.88252155;153122.46029186;167255.36537384;124486.69321514;161479.37920756;149622.26034804;238103.28003564;171969.25785639;135072.33468998;141285.00702215;170174.19353773;153215.74013915;219517.76766901;168101.31903454;193145.89756052;177432.12657491;156088.89319304;155772.97576891;171538.61766077;145426.49467311;134523.88342002;104920.24350181;150798.11038406;156250.08582365;86177.243547353;226820.03075773;186753.3574624;135837.36229554;113518.35987556;152361.83284736;144772.35224297;84244.082850167;124116.21998722;131575.54875121;105920.97787973;154012.39719094;102327.21731424
