m/z;Spot 35980;Spot 36066;Spot 36144;Spot 36153;Spot 36154;Spot 36231;Spot 36232;Spot 36233;Spot 36239;Spot 36240;Spot 36241;Spot 36319;Spot 36320;Spot 36321;Spot 36326;Spot 36327;Spot 36328;Spot 36406;Spot 36407;Spot 36408;Spot 36413;Spot 36414;Spot 36415;Spot 36493;Spot 36494;Spot 36495;Spot 36496;Spot 36500;Spot 36501;Spot 36502;Spot 36580;Spot 36581;Spot 36582;Spot 36583;Spot 36587;Spot 36588;Spot 36589;Spot 36667;Spot 36668;Spot 36669;Spot 36670;Spot 36671;Spot 36673;Spot 36674;Spot 36675;Spot 36754;Spot 36755;Spot 36756;Spot 36757;Spot 36758;Spot 36760;Spot 36761;Spot 36762;Spot 36842;Spot 36843;Spot 36844;Spot 36845;Spot 36847;Spot 36848;Spot 36849;Spot 36929;Spot 36930;Spot 36931;Spot 36932;Spot 36933;Spot 36934;Spot 36935;Spot 37015;Spot 37016;Spot 37017;Spot 37018;Spot 37019;Spot 37020;Spot 37021;Spot 37102;Spot 37103;Spot 37104;Spot 37105;Spot 37106;Spot 37107;Spot 37188;Spot 37189;Spot 37190;Spot 37191;Spot 37192;Spot 37274;Spot 37275;Spot 37276;Spot 37277;Spot 37359;Spot 37360;Spot 37361;Spot 37362;Spot 37445;Spot 37446;Spot 37447;Spot 37529;Spot 37530;Spot 37531;Spot 37614;Spot 37615
255.23365946751;96176.660747598;98727.852576893;95269.783345494;107092.4541599;89798.48226191;97223.04597553;91290.574704229;94805.896443091;101075.09087543;106019.48453483;87127.316084338;116845.68877756;106592.28867949;86604.334031133;92709.785120384;95136.806994739;97397.048419949;109613.75799649;99357.305659726;90348.741423627;97870.495538067;101203.24653672;79734.577018487;103450.40555408;110984.74059715;73165.731227318;87545.05604115;83381.769467987;95688.211784108;83964.531008044;117135.9903561;109458.17421483;88150.234346053;92509.093814999;103835.72638278;87975.656848984;71925.862415481;95912.500161467;90585.032067308;78625.631022444;92916.110720506;91616.176187972;108279.80041408;110148.77876726;90327.726513561;112912.92956624;89147.152592704;79679.450602371;81119.6976666;82254.299653141;101510.96386099;104730.93054659;92530.708373156;81612.940113503;91969.765593319;76071.52154479;81140.308819574;92184.647466101;96784.0855999;88250.509424988;79539.88886722;83975.946986713;96282.432617181;98558.995129088;72168.471628209;107610.80249698;122415.9346846;80692.155133238;98733.983214813;113041.88082483;111625.58480885;78900.802768783;102897.41291659;94509.926570855;103390.45581725;88867.06855177;93261.070860173;70528.084408985;105218.63182918;95539.303032066;102903.74231453;94773.259227279;89428.901358249;75697.244680252;116711.24708851;107303.44784613;102042.64197323;89480.756105747;102240.6374453;91423.215131013;100152.01346143;85120.762651907;122731.22120718;83566.850587346;95695.558152391;96620.151966385;93399.896282454;98763.809198907;105833.74827115;80747.358248578;103088.28217612
281.24944079343;332336.56574437;334882.68791526;330225.87184233;373331.73929187;350140.03300154;308088.93201154;313542.2525591;327543.1056182;303279.85965353;314896.34340832;346032.20696838;349347.24035897;330873.90770365;295001.92148784;324523.28753745;317158.02248638;340071.79023645;308242.26379786;291942.7587556;294808.34939243;302907.10943095;355835.80646836;308298.08613909;305867.24233154;325407.24927108;296028.84865197;260005.89719162;272560.77892459;305064.20776722;282997.32955051;351491.27174979;352960.25503337;289944.76120432;254099.16158557;340637.00745196;308475.06801747;292705.09358807;286997.66429936;274593.8892201;257644.98623893;246170.67615919;302767.63688034;367216.29050669;326161.00609397;293964.3770273;332998.99904358;284304.35225695;229196.71500049;231069.62342986;238123.01671042;411929.40637679;322649.36009031;313577.74347492;257924.76134076;237535.34706769;224229.13640246;254108.94853805;376359.49166342;303203.71220259;262947.80430013;232325.98997776;254322.23209624;234629.33533244;328208.35599944;317475.1760806;321192.52923914;349395.4278829;234539.69547321;277216.17550432;269567.84269088;336887.04503732;355391.32345327;353842.24465298;330867.6529406;273910.0451044;244780.13318124;248072.63146875;336515.80822112;377003.90877936;310769.08422991;278341.14939056;286988.08081505;260911.93235799;346936.54504534;387094.31609028;300399.57040768;295315.7680666;346380.54517982;384228.39378966;270969.9930626;244373.29354713;348960.31182902;400242.80612366;235398.47436067;310576.90263719;413905.90187407;213009.32179262;289470.0219654;422559.83810094;273205.40537801;387967.0337026
282.25059871635;65317.885190861;56141.096010272;67765.212910996;76336.551869601;64897.645355284;51842.852424212;60258.694986509;56845.975034441;65890.029474761;61382.650803296;57595.964137919;66225.69331895;63092.447562508;56758.478996781;61622.102072538;61769.191848226;70435.888607586;62645.255861719;64380.198846975;52359.766786506;65336.818061214;58812.723073384;53712.590542676;56509.126371946;74794.84289827;57504.324029003;45484.669658287;55025.635882673;53783.51848672;65168.092080138;64289.494394459;63306.119190197;52756.636797791;46262.383915015;63247.152717973;66551.168337903;51339.691242136;61658.04492986;55047.929623995;57442.336139128;44436.167343853;55692.233781989;76928.855178393;55635.463048839;56556.201309097;64481.133083574;52599.95483545;48408.083273056;43084.685708151;48014.90883594;75907.497323793;62307.002068522;46833.285206127;52150.112403732;39312.336334543;43725.984597359;53078.543534602;65744.220214793;56136.397105989;50190.304972205;51325.070582125;46989.792330222;50458.593125488;66041.372282771;62322.268183295;59611.790828795;64144.293609349;38769.212902555;52582.436211779;54540.568377844;67316.715307468;73981.991285164;66325.43959401;63156.451293579;52785.4889894;50437.301241701;49709.268370129;68226.791760551;76003.999175365;56807.464962092;49929.486901177;64856.451242976;50227.72266383;52451.754376681;68709.040827085;46991.27431081;55302.198942908;72759.189450288;67190.65346067;51190.169758685;45971.058965465;62364.616075307;65017.037955556;40519.419276126;61616.487972531;80434.480608861;49598.935053508;53689.835161842;67365.422763252;55432.423904066;67889.862892967
290.08905172566;47456.825588062;56867.846452864;55649.704460889;59014.781578375;47125.467921555;50397.308341345;56001.46736234;52321.705233768;51627.747112541;57269.129986317;40090.770894541;59570.890473076;58831.200643747;46676.724338868;48947.851605903;50004.075713771;63468.920597658;73102.439985719;57672.108369533;56404.496003926;47256.021529283;65180.846868733;41421.592250084;57792.920591579;64705.234618328;45436.019085886;58875.661089039;51962.689398768;68614.833754811;57551.924839229;65566.247509708;56818.987470769;52306.977507193;70729.703899586;56306.632092386;43999.368993566;49811.380622167;66606.950649004;43545.16092449;51395.928567685;62178.162894943;53459.160390847;45507.268063574;60401.665357028;47173.473314462;78279.480450543;59147.878609548;57813.883154753;67273.054814502;64857.08485556;38874.405251139;57746.093623858;42632.007861016;48702.203501721;53481.130351046;62337.519150541;54343.159024058;25931.436280978;48127.949381366;47094.247747384;58316.092921875;59914.204605909;66780.190891551;36043.355198411;17004.003379916;44833.978877349;69919.62034647;67754.361001693;78595.414155415;65319.242478455;62287.426080676;25820.709088751;54177.174220775;63471.695153278;66302.12499151;57988.691686225;82262.46153814;22600.143269916;42223.015658057;59532.530338972;60627.592703066;60284.38939905;71663.215425922;21588.126477211;50232.978179306;66425.743642782;60501.090301821;39512.516648384;40613.758046972;63361.255618928;56420.333057837;42181.321429716;32332.205976215;60742.560334368;67627.646112019;24857.38414986;73707.313347141;61681.401281748;26228.242115536;54614.262706574;27786.760923458
303.23385112436;353380.45378975;353719.19017163;254685.1971354;395383.41683994;262890.78785803;280677.90833448;276680.18443335;259878.07376169;311324.16168954;331499.3702141;279175.77260194;333537.5346991;317726.08035578;221459.05087616;334629.14321121;333349.39697254;324058.57887344;305368.83410661;267403.83696757;247411.7936437;308773.83679769;361288.7906658;288046.12903322;278266.21042141;288435.79161621;226350.75022333;251481.44734984;291487.9589721;359702.31756531;339032.86080849;324472.14550456;296912.77984966;251485.2697049;272263.10151567;347546.64232875;304022.81121864;271723.77687409;293306.51083076;264002.25053093;272306.89684607;289343.16450396;303345.40069488;320506.65573364;380268.1286823;313979.23981988;357451.00458673;307713.45032076;262522.71093911;282083.92726054;261189.09744407;291573.82489527;372511.7620531;295348.53976129;246702.05062707;264376.69302264;292926.45510214;277580.28999333;231774.03549369;353473.82759781;304559.99245023;266966.43629277;265822.15579092;268758.08374364;267609.90265191;176174.35788105;336408.646249;382458.55134078;282179.7388731;342677.95418947;350141.49360679;322845.59570886;215496.92780496;347166.20606506;393883.3872958;321449.96336117;287284.83292169;308842.17298783;193898.49958092;329096.41483356;333277.90098041;293470.14369845;322435.3268398;288912.67614022;233295.02350423;365098.66897872;345853.52483862;329311.48071863;270841.86220166;331365.56116847;321613.64065339;307665.53129343;271410.81148612;321291.05486848;281215.69078831;310974.49484212;316837.87427893;271965.96527209;314456.56115072;284348.83989981;279238.74451687;270378.44536988
857.51275620514;92662.031860283;131606.66698201;135061.1670751;114661.03356009;80026.0794184;149476.87343031;138440.46007761;100879.93582003;79394.532116718;113608.87384846;99556.329711765;123467.70391602;143510.40576766;68530.752283376;81460.13544532;97469.598065643;107093.32216162;169083.14251304;113399.96928556;113699.52443234;84549.575906578;118864.95128571;86855.104207148;161735.3869449;131831.18768144;97869.12854013;97785.291502637;92138.48448061;123266.90887886;114518.03035484;162842.72659523;122417.27158342;119628.06550972;121764.2664201;120965.01327917;126317.55842171;76011.294072096;134975.87465026;130208.04235517;109122.59231853;103833.60223721;112213.90050796;107199.55625669;120480.18375234;92677.1775743;190404.27583852;128843.7100196;103386.29437004;113519.8346101;85523.229682753;118543.20185214;88106.776199151;81530.987361788;139406.39964646;144207.86796314;116751.45580961;110263.75281414;93321.362170674;97999.540758296;88135.330431987;122891.08501292;118204.6607112;105867.90353141;90177.071703608;68294.152486188;97059.232697992;162365.2865055;142240.03433804;165171.22020984;136645.3823868;123514.83952708;79694.80654124;137950.40270848;130292.7992637;171128.44750082;113701.05699448;127987.77305513;80009.337360206;124843.69593067;106993.80878971;144019.66407927;117819.67771181;124696.30491283;89834.223724571;148336.30395213;126334.30483528;115650.90212219;93245.805442225;123281.82309581;137990.01676289;124328.74932585;97729.390222606;112550.86306524;129911.42030836;117142.19973905;118153.97201409;108474.56499006;131614.88614949;105260.94102182;120320.86600509;130221.72604326
863.60637621505;22003.650493146;30325.434429107;43106.294773489;37726.837309463;126168.21096583;20529.202626643;42330.049774584;92372.594669285;31290.222979688;0;132630.82545921;21899.806930947;64109.641851974;103965.90917225;56023.187944554;29773.596981032;74316.591311485;29977.062178193;46632.25533134;99048.948178844;53768.760265367;51284.381645212;91357.518590888;27359.365270177;28472.938623705;125744.92672478;0;28819.489301;21343.306227183;30855.752042686;23694.296901381;67217.690892495;95496.198999972;0;47136.649658857;105815.39825508;126081.01764712;34562.520324253;76252.326996977;58454.602630002;29314.803830311;0;33641.802490709;23699.564443398;55257.904386224;69920.248155857;39627.960903843;48897.607673483;24176.793832344;0;37093.000418684;24017.104528825;97061.396968042;63736.692509527;32305.029934674;32244.22441781;29666.686395129;20491.618926865;25237.956401764;42771.066077374;36729.985036095;45336.421879683;36065.792391736;0;0;24952.709899046;18365.333561341;24494.072589144;30430.987385522;0;21830.566073628;0;33746.406056865;0;27844.191958949;41036.072708545;25177.303218621;0;0;26838.87642962;34496.392882035;0;0;0;2728.3825225865;22756.770540402;0;24476.042749289;0;24465.58941369;0;0;0;0;20356.310623363;30262.000839184;32346.360435224;7561.1519121556;0;27184.406603884;0
878.61326451653;53127.15860291;34326.955996002;113846.04283579;42376.032236318;277263.92126904;47620.433913478;87912.919817849;128774.88549337;42252.557461501;44828.748659187;197944.90249853;65786.998267023;134326.03604347;193601.53193478;40210.911393422;33982.194188735;141204.97090722;71660.330306895;82915.446240716;233558.4986272;104410.38934866;70524.117785346;174792.99490679;70668.887941635;71440.048045348;233676.93187346;36322.345122963;61270.44145848;53972.376271302;77271.725645914;75608.327806626;173363.46037527;190528.27022675;52202.493384337;72443.578236993;176335.57485309;191186.00117256;78214.912224905;197598.06734218;122015.72901167;39055.884058508;29003.573964055;38374.481479311;30727.972255393;119636.67393083;144752.32867162;105567.6319505;98469.331846326;29828.470544585;14855.557242734;29163.560058971;42137.34178641;172340.29709207;164120.99680538;73002.16518063;61070.945268546;29647.215263873;46938.821979646;55990.53216026;47924.328843453;116839.62341563;65918.336312428;36290.769920986;16855.964435942;17769.307767306;44098.974147547;37992.326037992;81574.819656985;73286.974311388;54622.38433326;20582.745758875;19335.598158711;32574.90489685;39919.930493404;85097.481477541;47766.000031624;51536.601789831;16497.106605761;22877.7151516;59182.353690362;75488.368657492;31556.601480628;57793.167142108;23973.734372575;48421.763032914;87998.583399261;45656.123299089;14057.413177084;16392.053358946;70065.207983419;27202.271877135;27773.450779992;16133.991586171;47847.698468899;20973.671284158;32436.272761258;41324.929985929;27495.101257422;14472.789652666;19924.767703793;12109.058108737
879.61034346618;39806.073273292;44472.491052761;104425.43358052;31777.893595169;313737.04744893;53874.312944368;87460.045884483;144656.2435959;44702.557382358;47854.206243831;225412.8615968;81896.618669989;154696.92684156;212457.42261268;47576.899295093;32102.218526325;131054.54566442;52970.889427746;112138.78938276;198337.4647896;92370.710932304;55439.496116197;171878.0381395;73534.849158754;78860.159146012;234445.48899518;46409.72933156;54806.810910759;51543.510406372;68680.528640661;86187.483381534;154717.6107201;189838.01273599;49412.298162282;70317.14122879;172292.00200974;210153.63090003;85436.030708476;172579.24752764;125271.63006761;26992.664088513;34189.801260934;28515.395245301;35595.909777196;110214.64828672;148567.68389533;128424.0475852;103991.0280111;45716.203332244;23201.918686177;49316.696195805;41617.285664428;174796.70848059;158220.17399941;81891.937063476;53188.723496599;35110.177250211;47730.435412008;31012.634260368;53613.557394955;112565.25286006;83673.859730058;39475.186317175;39678.469463079;20023.805004875;53468.831632594;61522.272770508;67496.991422228;74983.811850538;56223.429691047;17232.782609294;32521.313918454;45876.541860463;37023.625338107;67516.954433474;53548.010703435;47837.769700226;28798.549215708;17393.397028779;47973.154316498;63773.821662494;52375.919237752;47431.981139598;21270.43772871;38992.883196754;72284.410323735;56102.431915967;31222.310834956;31561.741429897;79773.067700184;22219.507649892;24319.255207463;26307.667066075;58867.388077783;40156.957821582;31438.231004316;54229.125018567;40426.465764867;19468.833307577;13427.806798563;20639.344851011
885.5576986702;343881.51465499;443529.26663052;378816.33689903;421049.3663047;389566.13953871;488375.52799037;418843.44632808;355626.38850083;288674.47267415;449030.61130215;359664.88995344;390749.18477377;538087.76201568;313949.43186952;264582.57424239;310667.76889214;467922.13231218;556714.40205321;412556.97768991;437499.90700596;379515.37499876;452791.0559135;402349.87973633;564765.25695507;457740.73085807;358767.77990459;306648.19895595;369666.86073642;490105.96901733;484528.75575438;611373.50762906;433016.77873935;449332.34313638;433750.20446843;469871.65687496;515961.32591741;340529.39405128;504064.12602322;472417.91115019;398509.19220397;367707.04473332;277403.69268121;278245.88607568;435652.85212057;471915.49901874;714616.49219349;573296.09244255;359562.70995567;413358.53505561;277382.6290959;252958.21922728;404705.6449621;371726.94859573;548785.45101057;530907.86006882;504888.6527103;403093.92555532;204915.95902297;307261.61419837;336117.31169669;562195.39357173;409705.51541494;397199.41669838;208540.87702786;100470.02456939;325242.88305883;606667.74969486;551435.44888608;606182.2479159;524735.36331636;309999.56787086;155199.56963402;407203.86683433;522862.74947272;625795.7133582;376825.15327118;467327.13259365;154795.85550834;269492.69641411;444630.45386707;663734.21340007;497131.52438597;435607.52073339;226377.31023186;383646.30583157;597950.33572848;444240.78947338;250490.6102628;339779.58216932;550575.96232187;350979.4269878;258790.94778412;302413.94959887;451329.6079008;341633.71431345;291836.15553177;427395.67620151;361487.81669099;220747.22357755;267571.39791519;213698.42179554
