m/z;Spot 20039;Spot 20130;Spot 20220;Spot 20221;Spot 20311;Spot 20312;Spot 20394;Spot 20402;Spot 20403;Spot 20404;Spot 20486;Spot 20487;Spot 20494;Spot 20495;Spot 20496;Spot 20578;Spot 20579;Spot 20580;Spot 20586;Spot 20587;Spot 20669;Spot 20670;Spot 20671;Spot 20672;Spot 20678;Spot 20679;Spot 20761;Spot 20762;Spot 20763;Spot 20764;Spot 20765;Spot 20770;Spot 20771;Spot 20853;Spot 20854;Spot 20855;Spot 20856;Spot 20857;Spot 20860;Spot 20861;Spot 20862;Spot 20945;Spot 20946;Spot 20947;Spot 20948;Spot 20949;Spot 20951;Spot 20952;Spot 20953;Spot 21036;Spot 21037;Spot 21038;Spot 21039;Spot 21040;Spot 21042;Spot 21043;Spot 21044;Spot 21128;Spot 21129;Spot 21130;Spot 21131;Spot 21132;Spot 21133;Spot 21134;Spot 21135;Spot 21219;Spot 21220;Spot 21221;Spot 21222;Spot 21223;Spot 21224;Spot 21225;Spot 21309;Spot 21310;Spot 21311;Spot 21312;Spot 21313;Spot 21314;Spot 21315;Spot 21399;Spot 21400;Spot 21401;Spot 21402;Spot 21403;Spot 21404;Spot 21489;Spot 21490;Spot 21491;Spot 21492;Spot 21493;Spot 21577;Spot 21578;Spot 21579;Spot 21580;Spot 21581;Spot 21666;Spot 21667;Spot 21668;Spot 21669;Spot 21753;Spot 21754;Spot 21755;Spot 21756;Spot 21841;Spot 21842;Spot 21843;Spot 21928;Spot 21929;Spot 22013;Spot 22014;Spot 22099
255.23365946751;99546.003620674;124448.31269816;106885.38212475;116749.85196964;111876.18174789;114873.11733945;90828.533737807;114608.50133223;134799.4838862;100035.74124107;109088.20209974;94340.599489049;124334.77284728;107812.345121;100216.22116532;87432.086009186;107563.63032648;99407.88421705;101937.96318353;83801.644526321;76991.908246195;83637.494400629;96939.209340582;96403.987730801;98057.02727476;131121.65496077;88178.278587564;85023.622898033;85168.322498227;87315.627890715;97456.598116189;109767.82631513;113302.63619003;97448.051999531;112276.40859404;105328.5774365;119651.20336303;99823.501185116;145301.11348997;104595.27997437;97216.967662343;87420.399291504;92657.056368727;94248.336436533;103437.05943068;104002.65264428;137666.67606374;115709.17205426;92665.432190553;80103.899530958;88643.448089771;91419.17159246;82843.355593669;82273.109455327;145309.80548913;105518.32607418;90633.770532775;68935.547864368;81955.085015023;84968.4503101;84003.68697669;86339.301021994;133061.00160567;91253.677358229;84818.856713509;69741.200479524;78381.279827724;81037.938438765;89420.307229949;125309.30308173;94487.050818908;66889.111796968;64540.846060198;68661.509351696;87647.24390514;72657.302565926;85408.189133963;76606.186013135;69820.024284207;79893.853836526;78335.900051538;67095.010900186;87969.12523469;65897.100406732;76914.309953917;85405.278502641;70666.449159334;73724.871661695;70472.617618538;99726.057431741;77990.373032008;65920.107835324;61742.76192565;75776.508927207;88642.550549869;71304.187941613;77662.18355081;90744.13439288;117991.72753556;72824.109675518;70838.827004802;84466.890746154;91292.12563145;69816.00866735;67228.054942315;88559.667151973;68601.451886236;91736.921885385;84319.801923892;89943.589209732;123239.97890673
281.24944079343;338321.11725273;375076.81974615;392847.09325164;393629.45384618;391267.15606287;361159.98851448;276620.28542465;390314.3607346;405169.26738348;334611.21354845;338627.08782404;289396.57185764;413702.11510398;378123.3831881;312503.38843952;233840.81715442;293990.87930399;294658.28524502;353614.45210062;345627.65829357;243103.64634876;265658.30508992;320608.8807057;277117.5997045;324903.72144112;459525.59086722;261108.31471171;262433.21563162;258093.6036998;270376.40171019;261122.99646193;347027.44595006;370081.02470108;251812.7547615;329372.41614049;291365.99995452;318118.94890879;293463.75666795;460642.48551545;311170.10322585;353583.64222358;266204.5936429;269457.17642767;280972.11708879;278635.65201856;304028.76694166;420663.57757052;366611.01262736;340730.28758354;244280.20608197;274388.62280543;256178.64365675;247938.6964664;251641.17462344;430893.28678078;358986.83408698;277404.64606585;211826.46281144;248687.82399536;239194.06852602;250363.31728825;278537.85318985;466897.68976895;325538.69259757;293594.93354128;204642.24586516;229036.59524241;233443.71402733;244088.33475114;334715.30197342;344336.03585448;267745.2713102;216564.1251268;206480.14781537;236225.99308953;220039.24467612;265065.86618669;253529.80061648;238730.99042556;241741.99883212;203353.17138559;220589.438528;246251.52732148;220897.41311522;236856.94447348;255926.97111112;217553.5756175;195266.80688434;229350.86239375;291789.71558285;246300.21737609;209280.7474875;195707.97756882;227290.21543811;273914.14680171;239252.17445989;241724.79258053;255659.18567364;332454.9096113;243322.60935027;227492.10437444;224250.66366304;286866.26458547;203648.67855941;199175.6130544;264731.74110532;228006.26161889;276709.59905189;247363.33186913;272227.83481937;345681.74107562
282.25059871635;66066.468028757;71535.579463945;66863.385229715;75408.2606553;66123.442067452;62740.301531651;49820.527328936;66425.383582175;88868.8560997;62015.367947887;63470.26877269;54528.630699218;78861.826109679;58723.859131476;62081.158595685;54679.021411732;48840.842511808;51818.99229744;71803.434159302;64171.4585658;47697.933145765;49999.373026877;66751.179801317;49777.63439634;62472.770843982;84668.263893234;51513.357878345;50275.386741362;51589.074930422;55837.235458548;51264.851896577;62903.162836058;76762.966392313;51435.58469861;57424.987412822;57881.720120375;63184.855111631;62774.77981546;88278.940834202;65410.902624185;70235.47326204;58209.901645935;43731.808658026;54176.127207764;49713.254432544;60876.087942181;90113.818284295;66870.788445977;68810.253501383;44980.789477553;51168.324913824;50946.782116374;50989.478647591;52585.178184436;91052.714541515;64323.856406293;53863.929509594;38274.99275968;43296.935707831;42953.104224224;49286.473666219;58401.982696874;90319.36014766;55783.704954801;67329.170174753;34666.210643474;39293.734189314;50844.090485234;49874.713957414;68669.955229886;71282.742025236;53666.031587325;41432.076147787;33411.441874328;49022.289915129;39947.216201015;47325.02617222;49788.716204367;46941.635291215;49431.437275979;48633.107190637;45846.321017011;51716.697437689;41612.989648593;53550.818094876;51089.345788619;44913.656246497;45122.343748565;46256.650511607;60219.903786649;43524.364538047;46196.637371569;42475.942833647;44988.938928396;52924.121018963;46042.511582334;48075.144570087;49615.629494546;61992.131148979;48590.777139152;48872.715081599;46389.119851611;48502.069537871;38329.210660935;39156.610559168;48809.301361939;37613.911602782;57078.937726467;49833.885145697;58220.507864652;66387.346895732
290.08905172566;53749.304342549;63829.066435432;69910.582195602;72105.090680999;66438.872710172;62650.364597647;78170.93881001;62687.25374471;85389.995412986;54427.427211168;92985.302431664;95473.302300931;58663.85409323;58333.53093074;61814.421728619;83207.144667293;83684.531439041;81822.781097501;74042.918596544;36709.752516829;74400.915055647;92565.66679346;77899.070430769;81617.452740267;63969.321930841;73126.290541579;81065.035965446;70336.277961174;77912.721751428;65410.545351998;67144.963918695;71936.422022208;75208.882517026;78235.450570175;83208.431022462;91206.744885196;89705.754051842;72378.031551143;66076.525343182;57005.494303173;70371.199523676;86977.613998788;73838.398152913;92265.409937102;74773.955936528;74191.952051244;52624.796337335;60704.122661085;50395.279974455;58369.975479741;80114.148919648;72206.367007081;71986.376621246;67477.700243777;50111.023763131;73813.586665617;60310.558690632;65059.022504824;75084.732324985;76569.756591977;78600.859768991;73568.951272716;62800.618981159;54855.689885543;61898.886749094;81167.496894553;68643.155838791;68671.279100423;69095.953156008;71278.308014779;64469.867861816;31487.109973154;72398.02190236;62194.979741482;83611.854433178;62888.675573318;72117.518838669;55755.857966535;59471.697427521;53933.093126838;59784.194254261;53383.190106911;73363.114699795;51201.880216201;54462.163899773;57394.300862927;77175.705801354;63222.114346804;69672.190874301;68618.383379797;65798.619998285;61583.168099637;54421.523504462;68864.82069046;65906.685278883;58951.264456494;65527.732454923;68450.636666925;59725.974854178;65790.127063491;67763.623403881;70459.787793589;61422.947580891;51515.605463457;65841.850196162;60054.848486818;76294.185706558;71842.565278015;68508.156488936;66502.452995823;75909.752420692
303.23385112436;326871.84172492;386869.02051089;392719.16927961;418239.66073753;399594.2619282;408779.46999836;272854.52931095;394873.14351891;431441.47817123;368801.58756268;362303.69277035;318172.56941957;449124.4063537;354435.3902957;360686.34938767;267658.8796143;326041.37228251;324426.57362274;379465.13481951;278767.87437774;245431.66800757;303664.83068201;366585.16805082;304069.31234006;360914.09161155;418133.33309422;271746.64931929;292962.31345655;304071.78400231;303678.47889445;289588.15061471;407234.80627123;393544.31030613;287889.71384158;335571.07304469;337821.74580241;367812.16876724;339267.95552557;431746.6433896;354053.96818456;363723.47456905;284584.02417222;324201.43427542;326158.79266071;332755.31953187;311375.13932127;385655.50035089;392025.68403463;312077.73090768;277995.0652192;320009.76732628;291386.66397186;298374.90265201;307186.84350278;373579.97486333;388109.40859808;324511.46901569;241058.81956589;271135.26077895;284449.01917789;303405.60586246;322923.26380697;390823.48915695;288592.0151972;303580.93793574;243213.02248058;255320.23334419;283524.85154951;300284.54317284;370224.71570046;310326.00983592;261554.86392908;240523.23049371;241140.39480406;303527.58215562;293221.56798021;313342.72869681;233482.69891361;251879.37239745;259386.73588647;249931.65001932;262798.44341406;313421.25939758;263373.75125769;282792.65316972;283421.24094995;280713.18058231;257877.86561164;290206.42911372;408915.17027632;269455.24979906;250234.8257591;259060.82699832;283255.24008733;310713.22287027;279756.40635616;280577.18327318;311467.65177829;384951.93887702;296825.51979287;270806.02720952;293459.42805566;324994.53607294;252317.9225407;260748.33288097;321855.63803613;278006.70937581;298090.50962756;307543.54051275;325409.11789435;353146.17097914
857.51275620514;68708.41744767;129437.4926453;103744.43869786;115476.42519398;130727.16034648;140913.97960416;125626.66939967;97651.264698203;129790.61499985;91325.998536467;112308.19115308;122459.89711372;145395.92637759;105874.53088669;101738.72279214;160671.41561738;140784.72379733;120638.28453482;95983.059391933;91893.857553395;128226.85348476;144744.20796539;151448.38163236;135934.80259142;105988.99309133;101938.61366569;140881.77765514;159635.13456878;145990.61019214;114175.83646271;122441.88061653;128070.52274195;138752.68062047;176100.2346984;159562.59427493;143927.51152584;152073.81404708;118562.97991694;153054.57813525;141014.48392323;112399.36988612;151199.45843026;151858.62513422;145349.31242826;147233.97606861;148087.08725395;171852.72534053;121300.25006593;99770.863923752;140190.18849078;165884.0006516;138390.9342066;130686.97149828;137976.75836521;142293.81240852;151362.2021271;121099.96503801;119158.21815338;146875.27516613;171645.97891869;155162.9466688;127898.83579382;195324.64079691;109519.03502466;156801.31403736;147354.08407296;144021.79929997;165190.14227096;141736.31542368;172563.0859458;104907.792032;91410.33022045;128453.82318108;141465.28365393;188185.95063753;134015.33611906;154983.27482523;156192.66989692;142593.80509743;109403.43465875;151346.80875347;105617.7167416;162463.54705915;151490.669625;111873.61386004;137163.87475026;163178.89250681;140372.74823749;140362.17885525;155735.92707233;129977.80045467;164926.41012815;128153.20079392;139658.2105866;154603.83755044;115610.55784559;151666.05524083;117382.48287225;157436.15641961;143679.74046674;147459.92899961;127982.01461123;145497.40148378;127482.5054921;134019.74470438;159638.5609455;151721.70737684;124154.15169907;145590.6281919;128561.74203828;135621.81244165
863.60637621505;13192.006639932;28293.234655486;24646.720726103;21820.905460087;15698.656402608;34624.148178701;16366.137899552;0;27540.664530538;53045.407105083;17409.818473604;0;34802.219360595;59490.834682135;31732.530191028;32342.301733598;0;0;16499.007225005;130317.46160508;0;27165.018492632;0;0;24677.444560109;86258.645810815;25885.639913455;13411.588921846;355.89192569505;0;36479.124461711;152.91136734124;26622.589078738;32242.470465447;0;0;29339.531423668;0;39934.828861402;27788.504485652;18149.732182915;0;0;21396.984625966;0;30384.997097135;29118.758580443;18566.775210833;89167.750849986;24584.598028395;25235.834060462;23370.843331777;0;7332.5595549475;18275.234777121;31212.873201087;37634.264928894;0;23500.316550697;0;1654.2784961417;0;0;138595.56110961;109685.30853812;16069.886085835;0;0;0;0;105536.80564287;126281.64743926;19387.565574056;20663.103126867;0;18333.819925108;21034.686198252;162684.9117601;113351.04787508;18447.245297619;0;11772.280365885;34396.102489976;18012.080373117;0;24102.38834892;17696.358531199;0;18235.620956342;32347.953924873;0;0;0;25654.019639958;0;0;39926.960253919;5713.1790745944;0;34484.448968122;20057.461004989;26504.092663677;35071.635594306;28006.837044008;0;19854.397957976;0;24807.436172437;28149.917884065;0;0
878.61326451653;63960.598656864;74794.921967403;32738.188455249;74038.593038106;33294.764057461;104223.40701485;39183.01817005;61190.093531156;39462.210779978;114899.9554448;21647.688076024;13833.889602954;44949.35030628;137287.53115075;34837.962277582;36736.726775292;21609.437414541;24707.114967948;46474.754641355;308303.71213784;35313.803628641;19536.029465736;23645.466550803;28896.399186066;31460.323999629;117558.27571761;48595.452528483;38877.168848064;18091.46209501;19625.648484998;20716.025667672;55683.751759781;33252.509036672;50566.975612627;41145.129514149;25246.543370654;36663.893946819;16766.452722623;79744.60293957;47405.871387011;35700.396990859;33803.504705634;40094.131048796;37112.867289481;20684.770535995;18965.616998831;41384.436586946;24172.460029301;222356.63443716;26513.097027891;42947.728542092;42078.877162447;28843.910093338;39549.409534804;39000.486698413;69253.998916539;74529.592144803;37861.507961663;37861.945057765;35759.801832308;24629.389840259;24499.07385696;46888.056890926;260455.36594838;226649.16958936;31627.094393127;27995.497923788;20972.719435799;32440.46259539;34147.381265797;204999.08330451;239331.38889955;41147.741499886;43939.863370375;36393.519633654;35796.3607541;30082.34256904;334379.75755163;261200.13572282;46522.770798888;35421.885193164;21099.251444503;26900.525093967;43243.513898628;33524.667643411;30570.507482819;27332.463328677;52460.622497494;23660.524291077;65567.18191444;38022.179163966;25492.77135615;23182.85270493;51973.646524844;29189.162672061;19458.295119829;33983.202347097;25559.319096048;30574.456167674;15367.922973224;14838.405254494;22664.694648081;27173.651224203;19718.404953204;9673.09334833;43060.247796333;20051.302123259;33974.934089599;18981.858745809;23705.388779457;27957.566198417
879.61034346618;46153.29347438;77539.267229181;43551.13621092;67144.364928946;33210.004861934;104340.75004336;25064.875198993;36495.594711277;34766.785859865;101474.94148248;32946.840709108;27512.919758681;55512.404075508;130467.29771783;32231.867981192;28827.115719056;53838.145799149;32169.620360219;40190.239185705;285468.59323228;36112.312523127;27626.055514874;30305.702163845;29782.22434363;26216.221445627;122900.40761043;39512.688209373;38338.215336726;36727.350199699;14413.400957223;24207.973612846;25716.153342746;31428.181220449;37304.49046476;31768.574608079;26311.310557076;49553.673412231;29770.377976309;55783.820515854;38775.032734439;26029.289727026;29247.178631526;44450.111691341;41235.390216051;0;16193.802225831;51058.522159193;33003.797536608;183125.08179615;30281.572270834;23817.851896068;31202.226505343;14597.75206326;19343.542428736;49749.385713397;36790.768780053;59919.182302627;37872.072356609;34553.723145479;33325.484360783;28202.943844785;23928.050624942;41425.218518834;242107.0608936;181278.76353554;41106.635582231;35644.187009364;21358.017118458;30746.819306463;27990.44143136;181751.99939841;222961.26628525;49595.600711089;45408.494773397;31180.209399876;36349.233656244;38879.795519235;290117.61239038;225127.27387873;44739.611503198;22599.171576275;18341.334220529;18621.087752126;49524.66555501;37331.804364587;23252.114315098;34628.749461196;17540.41663959;35778.426803763;56036.278732126;35757.935287876;21086.509904523;27007.696692231;18994.295021989;27166.131078055;30745.983122413;12306.403163479;27031.056783413;26789.454163422;26646.398514756;24677.827524774;19883.182879692;29700.04729847;20742.685183335;31791.446584479;40628.582822278;16287.222083817;20058.911213907;25749.576177527;20916.584120492;20714.162903084
885.5576986702;246818.09549162;439506.8197004;430527.61740544;452260.61506825;485990.83190374;591720.60595754;491376.30837054;352016.68494302;462562.90263636;493879.63001818;428209.04975547;447862.41357426;462333.57980304;485977.89482882;326710.29992542;542452.62294144;539677.10220321;412934.02264299;404942.7562526;372151.51890312;457192.63205594;633090.09774633;548845.41105954;526359.57926599;435978.01346504;440557.54276049;609569.28739962;636683.66725217;524904.42143032;401866.92266077;386618.54924567;596807.77424786;554010.5297673;725845.81725123;683281.36251658;510614.56768824;745162.12440292;552697.01135699;533801.62731496;676811.36726069;478056.81612836;604878.32228452;724859.52846529;624557.55917385;599610.16789094;464716.83778096;505400.92123664;477091.25454123;528999.20520454;576436.4307681;627124.9705316;631017.60878864;655917.40373251;484932.22975743;519300.55205888;632237.54912194;593433.10511214;476650.49259645;679110.59899178;722162.55642172;645133.24018412;616390.38140576;585979.44714838;517180.96749006;645848.24036831;703250.87802759;618106.50496201;696329.98692274;654966.05443152;609311.01816504;457578.26015551;386790.97519023;558248.18701896;618212.95705572;903098.12856246;577965.18406257;666712.58842644;613140.75948589;655590.47394095;442668.36772436;607445.72966502;506790.40542706;585219.65919951;549895.11351236;437603.48535968;569372.12799971;705446.55949652;646986.9729851;552965.40458534;862510.68614064;560454.83343661;517421.55337384;535240.49892368;591515.85664314;568048.13591947;590567.44259512;603458.44194161;629838.28726054;555783.53902413;608300.39669507;597089.22165507;596031.62046749;526175.7842809;513721.95811277;553073.83892192;561781.13231589;763673.52808156;516762.17376351;560336.05907928;535999.02964585;526303.1680628
886.55434232254;208936.64837946;368328.8334622;333738.66957707;351149.20386686;370228.45839839;431780.13658385;383509.72960412;295530.8940232;369596.63940086;374417.87959762;329505.35739927;365528.54585396;351388.97504494;370395.2839205;288525.79853276;391335.83827013;381289.79493953;303405.86943598;284748.80339777;291590.90947198;361296.78992118;446375.86510919;450447.06289951;411629.33079973;335574.50668316;362083.53322483;452999.16273989;452086.69940179;390716.88769545;301158.47488502;296846.06096003;406568.95979144;424353.60714376;528026.27130653;477642.41803492;422456.53613905;535711.37895792;405400.68402469;380664.30910876;474926.0065206;344989.57992199;452029.72449244;507594.73520104;458922.97812571;475392.10857987;340984.10715492;354757.35037177;333777.97011809;391127.81021303;444926.59030966;458219.01333359;491760.56896104;490817.37730429;400740.8316552;414844.73540718;467886.58096575;449855.23692787;411042.91141574;509843.22797402;570071.35800414;471767.69566826;438001.40641747;434715.65332031;364021.8901674;444794.32465094;525062.60459526;479307.0350047;506702.3878364;481828.0016324;481593.45171071;322322.41524417;294807.41707568;440204.85257318;466721.4848965;663321.46717526;450931.31519875;503612.37612084;427254.58037646;475803.85062435;353719.57044924;433919.28272096;404227.02703962;431131.95337502;428031.45916148;384291.44383951;470260.14113269;497867.42884774;494393.46786187;416201.64571474;593151.01830275;450186.53355099;406190.58041478;424431.83315802;444662.47748605;428028.2122322;477608.03659338;499148.42388817;505135.43029265;408409.3035311;489618.92884104;464243.60168198;452826.05841554;424869.87389073;416852.14372717;440184.61773936;415521.90440723;501682.35036869;414776.66621198;434192.79554463;414613.70495081;408628.1461787
887.55504345634;56526.751815324;95112.106417867;96255.425975979;92772.646563582;108041.51422655;115924.37636842;115581.00835439;81815.417328752;114194.97035794;98108.129572549;101194.16341936;104046.02437759;104923.62486084;113208.35820873;67656.013459103;120157.89190653;110720.03022285;88151.065960619;87124.942961187;90917.935657508;113135.63188271;144345.58129327;139686.9594564;116327.36580831;83792.89228131;93748.34557526;142090.96872045;143347.61869442;107119.52728368;80121.023917115;90900.020968035;107132.97481339;118619.24489786;141030.6552922;141910.73008755;116093.72275832;152753.8200449;116585.78088495;96192.328198394;145338.75870218;111444.0086996;136234.97576416;156439.49057245;145888.74117364;144271.81305563;99874.592932327;97460.953507917;116584.89719376;116613.35551685;131537.40987472;120207.38071361;129380.62996388;138793.7363292;111178.17741368;97071.096616998;119336.02563506;133112.28941708;125089.89427351;131283.66171159;155780.86076112;134235.09943499;115736.43070868;115284.46382176;105003.59675127;130972.30160416;149637.86266502;136576.85854108;165671.67932985;150461.16534021;143668.5427375;84529.72077424;75503.49850131;123271.37071469;126393.06383628;164074.84132679;119411.41175066;139052.7423896;107542.20280574;145246.52263152;118027.2892405;120023.43261134;105162.99988499;120929.62485338;132836.7339826;121479.09073664;154080.07749799;123833.54060734;136878.33324833;128480.86846856;176535.22332546;132051.85837271;112507.11956105;111655.58581238;124969.10403303;103504.44943954;141296.24791764;147652.54628539;147552.68858404;114429.80303275;132607.32337886;133164.26651268;111165.91820411;112553.03563918;111576.1909796;122516.50970464;127560.5789236;159343.1317557;115313.56487468;133504.72111588;127805.91778992;102928.1955348
892.62011242403;39910.221333823;51528.366942377;28899.313028728;37588.845635246;0;54176.129048096;24884.512380148;18055.148948268;12092.341059127;74006.117973422;16818.15394649;0;37072.245462164;67636.880195512;49445.895574134;7365.9115086817;2831.0169928046;0;23609.485214119;163653.49335011;23915.536162729;11613.059056538;0;0;15406.268326598;94193.119235533;0;21755.978082102;13294.891308236;24460.491408748;0;31678.401957887;0;18444.743037408;30147.912403399;0;15707.346352573;0;18981.631421179;5675.2452752989;30503.816681348;24545.050123046;22797.248034996;0;38201.586549885;0;0;33937.274399157;123547.47734309;27225.315502791;26848.034803184;18120.976322507;27697.787375921;0;25265.650594052;36218.836073593;26925.324149756;29345.565144856;38759.073940111;702.00933330329;26949.604424951;0;4983.9457751586;126127.88809399;109219.1153907;28274.553766064;9666.826345465;0;1583.7852251025;0;101661.91947782;120486.16411691;22645.619533694;32689.061707551;14551.607822889;20101.746140645;0;171465.65162375;121196.12126834;17434.715357403;0;12777.42031732;0;17092.847926428;19356.436395617;0;0;0;16360.722198599;32853.439079828;0;0;12324.453249053;19221.850146733;19119.618009735;15932.344564061;0;0;25596.414740555;0;30763.915394026;0;28935.50694334;0;0;18960.339399846;0;16417.929528673;0;20557.433165237;4864.1469836491
