m/z;Spot 27673;Spot 27760;Spot 27761;Spot 27847;Spot 27848;Spot 27849;Spot 27933;Spot 27934;Spot 27935;Spot 27936;Spot 28020;Spot 28021;Spot 28022;Spot 28099;Spot 28106;Spot 28107;Spot 28108;Spot 28184;Spot 28185;Spot 28186;Spot 28191;Spot 28192;Spot 28193;Spot 28194;Spot 28270;Spot 28271;Spot 28272;Spot 28277;Spot 28278;Spot 28279;Spot 28280;Spot 28356;Spot 28357;Spot 28358;Spot 28359;Spot 28363;Spot 28364;Spot 28365;Spot 28366;Spot 28440;Spot 28441;Spot 28442;Spot 28443;Spot 28444;Spot 28445;Spot 28448;Spot 28449;Spot 28450;Spot 28526;Spot 28527;Spot 28528;Spot 28529;Spot 28530;Spot 28531;Spot 28532;Spot 28533;Spot 28534;Spot 28535;Spot 28611;Spot 28612;Spot 28613;Spot 28614;Spot 28615;Spot 28616;Spot 28617;Spot 28618;Spot 28619;Spot 28620;Spot 28697;Spot 28698;Spot 28699;Spot 28700;Spot 28701;Spot 28702;Spot 28703;Spot 28704;Spot 28705;Spot 28782;Spot 28783;Spot 28784;Spot 28785;Spot 28786;Spot 28787;Spot 28788;Spot 28789;Spot 28790;Spot 28868;Spot 28869;Spot 28870;Spot 28871;Spot 28872;Spot 28873;Spot 28874;Spot 28953;Spot 28954;Spot 28955;Spot 28956;Spot 28957;Spot 28958;Spot 28959;Spot 29038;Spot 29039;Spot 29040;Spot 29041;Spot 29042;Spot 29043;Spot 29122;Spot 29123;Spot 29124;Spot 29125;Spot 29126;Spot 29127;Spot 29207;Spot 29208;Spot 29209;Spot 29210;Spot 29211;Spot 29290;Spot 29291;Spot 29292;Spot 29293;Spot 29374;Spot 29375;Spot 29376;Spot 29457;Spot 29458;Spot 29459;Spot 29541;Spot 29542;Spot 29623;Spot 29624
255.23365946751;119711.23454826;116892.72394041;110211.11218479;99304.782261062;117047.78909409;92384.720273985;106746.81099706;110310.82347349;91662.273206362;83818.284530593;125383.28106686;114930.63427743;98428.907149464;80661.832205368;122739.20245461;107868.63273658;107515.26979084;95722.433338241;81436.720857986;88113.657725989;120943.44242351;114111.45823201;111052.97931473;92498.158772945;90719.004178983;97850.509861341;95023.5889634;110986.03317787;124144.87609318;115655.97282092;111904.98348815;75039.648093611;92161.059465702;98082.149066963;100190.17289852;118911.57014326;124544.45604089;114538.85729072;112301.97405643;80291.000565125;70070.392845426;96334.208754289;91587.905357438;106619.61006003;78209.337142204;97256.516366104;129807.42326248;110502.14386963;85977.731896312;91449.070702359;104836.49632486;95906.409501744;83316.89997658;66542.312081496;89307.702425275;95170.83424555;100912.23817573;96263.753906675;95895.755100972;89758.349792462;99398.291555705;107329.29666083;104990.29647659;85396.413298118;89398.6948213;109517.48710164;85320.055847211;97044.738717097;93898.182018029;91897.778441486;92188.9044017;110793.61567806;107074.79038994;101949.32218576;104029.66217572;93140.76612339;91405.328851699;79716.849335006;89929.000771903;97303.428924441;91994.108675736;105248.11109745;113073.05785967;115575.45078667;99774.706630929;95067.202638135;98099.09603508;106894.90130006;96446.687643948;93178.083855882;110204.86185063;118730.53531489;113495.5049981;99339.224127113;97289.098343837;89269.712130193;106891.94459015;101821.41690036;138800.2930084;115534.18412826;95986.000514162;106731.20569572;107477.22613454;101709.86928549;115864.69661262;117033.11671045;111252.54194949;94416.927540016;118762.31797632;98535.200919582;104866.69767572;133764.04129583;104477.32887097;97878.72422262;117286.22577999;100359.73704193;128757.43304556;105436.88569722;114833.30471898;97606.049048843;100087.05712649;106846.48315689;130041.46355233;108905.28293985;102461.86196136;100954.73639566;100746.42604328;100336.87680285;103045.66299562;102003.0628309;101640.54809382
281.24944079343;369724.82750593;375357.57997563;335598.68318654;345170.5485201;336348.30970495;336879.0806356;335064.77848174;337182.7639258;306490.69197228;324152.12776481;387566.17966043;334719.17335667;275746.21168492;243615.72282057;383675.62930005;329491.80013572;338236.84491998;300106.37081456;242837.09015179;307301.49800502;299451.20225462;337352.21844999;370435.4136643;297897.19866487;250392.96353391;292395.27060585;260320.9307971;311737.51628773;337685.65840971;340975.97545015;334349.9952891;231713.67473858;253328.1987429;271222.55719277;392538.9653811;342754.75140108;379969.51000003;345901.7257878;331060.15404213;247211.14252349;220896.52468917;286388.51484509;256235.5574417;321056.99125771;321336.17136077;316946.86722926;346229.8602505;322468.81537253;248472.03326332;238798.29470985;295650.49856295;272009.8237771;254125.67540139;227190.96227667;347682.88120894;292105.16305098;300132.50228293;277242.41673571;262623.98897029;230256.87828852;271779.66600764;296860.70904805;279024.03855421;324935.33993848;366787.35237289;317342.99619076;299190.68189666;266270.3385047;272985.9227009;272421.867028;260117.32909727;309479.74566215;319060.61902449;426170.03983845;352716.17116829;378196.06921778;291827.87669053;224638.83904552;276124.70510548;276691.0663328;275269.3218547;312176.08421826;542556.62397889;336847.77346339;362262.37856553;343815.87901955;264873.40192517;271534.40687153;278780.9164721;294480.31630806;479595.39388337;354505.96271218;364831.35799695;308825.80152421;297458.43310524;262239.38229134;264104.33085336;454837.19133037;425917.14819669;356720.57209547;294046.90749161;317147.0803285;316637.12797538;333678.30923075;424883.86805453;368745.22695025;274248.27756102;271693.53595964;311576.49490837;296924.83101613;558698.06840148;419458.39936099;294317.98893331;299615.45983935;296230.98194224;480019.74705859;432614.88776732;295677.10142273;294483.20249663;272415.6515137;446360.03820721;296617.91599448;362980.99399249;458904.68537414;298076.75728258;287663.96908386;358017.03743942;326928.36038995;322144.38080015;292775.69961453;304182.08878404
282.25059871635;66374.036650997;75632.303290713;63271.030625451;61889.456353281;69873.198931667;74265.420471572;61932.78394412;63147.376950696;58279.741866324;61416.430338225;62939.169286457;61909.5522112;58575.00175298;48092.789000008;64838.6051979;60860.169828174;56804.772001956;47428.035175677;43959.784541577;63156.711457458;59768.710837916;72769.818860393;74075.052709433;64590.927164997;40838.375777288;52610.915656448;46854.738181639;62921.125665457;73938.856375619;68139.779261365;60271.605578588;48291.692842775;45538.09076927;54072.93695948;77846.154136561;67971.825360482;82658.420242735;64774.794027357;65856.637225603;44267.498775197;52308.110349476;63341.002280706;46310.272935957;61839.900980904;62453.857777998;54459.295610601;68319.810853218;68016.114181201;53124.446698202;58334.002700949;51652.477545649;51133.228045474;56230.144781012;47435.892979355;63925.492835362;57382.496732651;62837.240009315;62039.717000881;51137.867789933;40857.042089322;54086.562139814;62651.974444905;58129.319533397;61669.239456702;76959.366620709;54084.064836741;51696.621228739;56988.535320716;50350.663565271;55012.171839833;44360.791170185;65464.759395927;60596.462643259;70439.83581537;72629.480484566;68847.905601782;51448.85241651;44075.038255354;46208.081721283;51843.124497602;47715.402723436;67094.463073779;102536.91030872;69407.717462081;84138.009454367;74109.8816571;50204.449752706;49203.589300318;48504.053419892;51169.691222366;106209.85052135;66447.645947461;70517.857549013;54501.978259481;50528.309824693;55366.576020538;44794.961010529;90885.848006941;83372.321992812;62038.001143819;52064.824738828;57278.485203963;61648.754376103;63531.72066919;85385.278509466;74181.340035383;57809.381062603;51442.245442262;57713.022083748;55922.914567618;103471.23755141;83188.057103258;62366.009123019;58402.364575512;52071.434627129;97776.857750985;85330.855173596;55539.026799752;61477.160744733;65452.505755257;91860.722992049;74769.460105809;60199.040807401;82845.405268262;60806.195250877;61737.598394352;63360.604563727;71180.324189438;59948.909099736;53318.750081332;62779.970050448
290.08905172566;54316.998551811;69804.609966255;62131.179521985;58915.366833355;77752.520697729;41600.970462391;67273.029451622;70652.969886812;62791.522188677;36451.489145224;81278.901169156;72433.953862517;57843.059191442;72429.438760535;69425.450486521;80685.685209174;78558.1795049;91371.218572773;71585.403064731;85225.554074769;61258.842144999;80415.348428058;57010.960199102;64226.508428518;70581.484704886;83256.993326658;69016.863812373;67090.471349437;67511.556936678;64364.258310175;62846.857844811;84099.962913398;88664.021800558;72423.61421702;75404.124104984;68862.127212727;75850.535797573;73787.334585796;77156.191149563;88650.6475614;70345.774368364;75932.465942437;73473.408308814;81074.566563778;32503.715218313;68707.807562754;66492.79690866;74411.811234399;96649.990294284;79465.249275975;87190.442963742;68214.959115982;59903.405463734;17595.190118397;41789.120228039;59601.450925241;61910.897410499;62566.711145477;73138.168438617;61692.776658288;83576.958509443;86373.247727247;78458.805037859;44809.080621175;46922.707587503;74706.867672326;51575.140701658;57611.501688789;65737.318237714;71430.609566892;88598.106848565;111785.53676515;76579.845878278;34663.670646231;69340.869046953;56235.644672576;81203.264725754;56048.215250153;78015.136108635;99651.088054078;72159.409227942;80003.844168978;39635.725871441;59752.408164357;36929.899238488;61066.757446075;84338.79831173;78617.800819887;68869.050484961;85095.266502416;50654.178417307;70005.196599687;74776.580617394;79565.849753161;83852.46444935;74010.311319046;76961.335597071;54884.639173998;68849.630406928;68952.867233007;72640.626818918;80683.504607614;80216.293453552;55106.26079234;45256.823529427;59542.522319992;76935.497403724;61350.097008217;70216.963459341;66560.770003707;40346.137634294;67434.96318981;69219.810963058;69826.706677013;71150.384090525;51780.193502695;65437.481380239;67816.303772962;71169.405068396;80200.385213106;49710.005439406;75693.970828619;82577.752201941;59255.773103281;79359.148251064;58059.357215368;59929.389116898;76424.552181219;70501.645014556;61557.275730737;65881.282135062
303.23385112436;373949.89053091;395107.1383334;351986.28630392;337707.65635938;367412.44745112;253412.83196683;361658.64770612;381064.5334827;355122.92060597;233535.98599484;427674.84179718;369138.45323868;312885.27593078;262700.95630685;407112.72095306;374153.49077582;354920.14209702;321533.23199119;284690.93341163;325907.72022194;317354.21713546;380993.44576995;315495.19443482;339454.68779586;287906.42412876;350468.52809482;317545.67934397;389393.40669544;398035.26833767;361434.4129019;336070.41229363;281517.17206843;309059.8456663;318950.0815859;353145.37222165;393140.49246024;417794.12972269;395736.7529673;395368.56907895;276275.40690197;278256.12508284;324528.68979293;302069.18778957;349940.96332851;239802.43405256;328673.22993284;389862.19576316;388751.40913618;278886.54159664;294340.11591471;336997.88569122;297652.45572401;250784.97953766;131029.70329615;290622.42635245;345121.70566277;344750.29802922;310642.25190789;317303.55853641;267975.0453394;319997.95861363;347429.70099275;271060.38538657;230645.44293225;270492.67042362;382734.99508964;284965.56403879;317298.70298833;308020.13444062;312063.27174642;289115.25823499;350992.76927987;285198.60472778;276653.70477433;347988.82228994;316206.26689159;332967.86123521;270996.49850616;306162.43867685;297528.1154443;317094.14006886;310043.07666613;328039.70372568;366002.90154771;300317.50189575;326245.14264643;303736.684954;320376.72729915;306779.60829989;315696.72250943;320305.69101761;377246.13182483;402586.66374394;357490.44574079;334649.45103442;294838.58892539;325212.76243271;320427.61649963;360892.51743655;376622.42714562;349756.33366235;368082.67389441;377139.76271625;322981.10442858;332693.54373275;384070.69541283;324584.36952223;304450.37213544;359075.1416719;313596.15775348;321441.73737315;389162.62860028;340100.81357834;322735.85340748;344246.81748607;296853.31654121;410913.02233452;352793.84180431;363505.66926484;318987.50311788;332396.51905242;377192.51228347;404179.17199761;359748.49181014;372195.07218479;326684.90944219;329904.02862142;397365.19634178;345692.70309239;370176.73876763;308681.48476304
857.51275620514;101714.58346711;111548.98533988;105359.03505724;103998.8927422;120216.52045916;77520.797317008;105277.36715749;125587.09933932;100935.94684162;83481.36348209;125333.7667896;100379.34744059;112689.05590424;92200.666684456;118995.48218587;110043.93315378;132122.57710603;115454.58356288;115826.08739434;112090.41262963;86384.997752224;118631.60183708;110639.32137744;106784.74452697;117391.2692076;109761.7673333;76986.234955632;87706.937150289;113646.23464583;109349.75188392;107446.59627211;100534.42002904;110540.56673649;128335.21651773;135323.7583198;88365.305432707;127843.57316475;146489.74551863;134602.56080643;174273.18566507;106958.17540368;108157.8807353;107798.99022114;88712.797429629;65955.864075677;60529.909607793;107880.99539797;85000.440190997;151012.9855425;141388.21630068;125731.42389526;106348.69991142;66918.777742807;55889.04146212;96105.280930282;90171.410317656;94894.333633417;107556.68831106;156808.45387395;103602.42358521;134029.74090223;132698.80828744;84515.201527727;67666.974805444;92397.556336213;125105.67216906;73704.306129267;88081.96441579;155379.9463548;129305.41670682;150545.57193533;121646.01765835;87432.842012972;110352.43185884;82483.209341519;87872.999231828;121537.96699437;118592.06693044;129932.37030295;139125.86026807;111421.5907261;118513.39265133;183453.3912669;108383.1199276;96853.323604144;105570.49871379;133130.75096283;114804.86109474;101297.57549873;89837.368345516;139891.97476081;102309.21003077;112131.59792978;134711.37307136;115074.6112253;106008.16083012;121741.46860305;129467.68172931;143031.67038671;108968.72406676;130479.11288858;99997.677780651;113672.16358606;110362.13708546;109256.7046201;105139.29712141;112997.15574778;91441.486252024;103395.40951602;104182.91705576;135695.75753999;103278.43500559;119945.97014228;100024.2755619;114065.76816785;139528.63684336;112163.44431836;119891.37982429;100171.1026988;102509.41117643;117455.56394228;126662.25105528;125785.60027806;96417.599515338;107562.19943946;87993.301905685;117345.2929083;113998.14567631;106372.51223778;115047.98724138;101709.23252974
863.60637621505;0;0;17434.359857675;30886.032902513;0;69146.935966242;0;23652.329294152;25822.305153796;137559.15977325;32631.362508264;0;17730.949663429;23260.058803069;29546.258452194;17357.654249926;37872.774895546;20149.92314407;0;25536.344038557;0;8865.5150067079;94618.421599467;25220.021033678;17445.196593996;0;12700.982568376;0;0;0;51687.591879182;0;0;0;0;5733.6231226581;0;22599.619102336;0;28008.127668978;0;0;900.14244507308;3956.7285449195;0;15647.09846514;13702.274594256;0;14491.598264473;0;0;0;0;0;0;0;0;25549.283995521;21087.799774384;0;0;0;0;16297.115222213;0;5581.8754239483;40379.539520705;0;21557.232175279;0;0;19088.662902191;16214.489048621;0;49207.162999195;81442.990665147;32522.944780532;0;0;0;0;0;4711.0685878792;26272.426447727;99938.118705772;53927.34802348;0;0;0;1183.9906141318;0;0;23780.643214819;16797.643724425;0;11238.355153859;0;0;26601.804466574;0;0;0;0;0;777.89783163839;0;17336.196058923;0;0;0;4364.6019182388;26757.777473177;21995.088826594;23837.401072009;0;5707.6583438691;31982.183679313;0;0;0;0;39460.087383465;1261.4293069384;0;0;11828.085178138;14786.47104409;0;0;0;0
878.61326451653;21824.400185893;41914.108190351;53869.928069174;36347.865027427;27119.242661372;124024.99568873;27023.477333905;23707.494870188;39984.49157757;239350.95399094;41707.482156979;29296.969053112;23231.222944806;42529.396353341;18706.678385004;37579.671180315;80433.67817763;27768.692364802;21817.607929817;10268.995923089;6384.2800266896;13499.962086016;196140.78074491;20657.553304324;16676.911485386;30498.559468467;18591.088717737;10106.250190697;22950.147538678;37963.008912545;76734.91051175;23021.993231037;10076.370603559;13864.202502663;13106.873056139;32412.703632042;12308.222843656;22773.97948545;16951.751537299;29352.106851382;12939.157493562;14248.42084465;14142.368507146;13897.94183425;11516.273860587;23528.776259562;14613.261194348;19308.701598297;23975.370600649;11024.059524538;29283.368300205;16043.615560351;5987.3217873075;5284.9882331275;17189.220038193;3787.051132486;9241.6234648939;23143.329155603;18838.268464165;14141.855330674;22985.190974359;13593.124522604;10789.0841833;6178.2245334676;11794.468498501;18088.466375383;60042.764299905;15245.916647356;32302.279121138;14529.651788733;20628.551837009;13770.209889863;13224.512039613;6413.4005347023;52235.915994981;121739.60974201;25812.382456331;25608.861561929;17374.08855327;14618.394817641;20250.594377022;30138.205837993;13123.093352039;31813.748751479;177368.96942488;128494.39810308;8289.155712414;16301.78961402;18379.970577782;6354.0327856308;14416.880781195;19304.378425465;59593.1489138;14589.755809629;17268.084224767;17277.398448908;15222.497697464;12027.237577854;16094.135146043;13430.359070839;15594.548492304;17648.796600379;12861.611656404;18738.367896067;37268.41954111;13237.840023256;25660.875950221;21994.085359154;26232.603613103;20799.167125947;15821.239483032;20928.569538991;22519.29453263;22134.91569293;17290.099227181;12213.640140293;47311.959974671;18597.757852456;4657.1120692943;7698.3634272432;7579.1338350821;16133.341163677;28861.823726903;17966.974110013;28658.653248198;5799.0844455122;14648.035556569;8751.4408515471;24720.534338476;34657.218861008;4049.536917176
879.61034346618;31028.943655986;28910.587839771;35888.31894749;43541.791616679;39678.376277565;124483.43005846;23449.404111587;24162.585567177;39095.251538066;280628.07738997;59809.45256831;22470.499237618;36114.309975049;22107.110314037;24639.108087396;0;53589.298443019;28234.2502787;15996.998118332;16934.067059648;23356.832372273;16461.765323813;206905.05210311;30973.874462457;31025.467783762;0;0;32911.436182724;18080.631259855;19206.258376295;73741.111530697;18167.246320698;17636.059979597;23832.688389222;28287.38502153;19960.830740817;0;24480.729638624;24991.966400501;15229.534769888;25006.097205013;9773.5578310964;15685.341160041;0;12097.258104256;31585.296436378;19463.711044618;20282.313240673;34161.214267029;10082.661898613;23097.790749469;15354.50212321;0;0;0;12228.194774758;0;20597.902300627;29813.083786885;15522.397537572;23395.944621843;0;0;27045.091786612;0;29383.602147855;78425.754767068;22803.401968155;23609.664536708;0;0;21784.630002833;0;0;74107.500530504;150976.78260821;18134.858183977;38458.654160867;23615.97980371;14037.147450633;28450.136782793;0;0;39382.429141706;196241.56067807;136238.85364553;0;19537.463564187;26232.815645394;3937.8752471867;14159.206206388;25369.643676521;45185.010684805;17611.77001733;12286.668477348;26310.181044315;21089.266137151;9523.7361071767;21069.429741118;18978.52453444;27623.728602171;27848.14984515;15083.263757098;13665.240433969;0;25601.876618788;16725.034777353;29279.284652557;24998.246296217;27476.430776137;20468.274779787;34576.79001989;18455.153496161;26875.642640378;0;25524.299335166;55608.49209086;30522.08946405;5490.6532240992;0;0;11466.903876222;0;756.57465810376;4450.3510158942;0;0;12234.11971774;0;17477.677023928;0
885.5576986702;376097.70656727;376045.50900633;452539.16033892;343875.68691672;466669.80504492;291285.98683663;300139.38502739;408032.20002274;408739.86030519;342678.55236207;459757.36493202;359456.56792368;331853.31161371;301994.57043359;436855.44930522;396170.70720413;552899.21857067;442812.74492967;302434.23506565;275347.76650731;253906.479036;433461.74535408;453084.96900944;431551.38299701;450387.74509598;342969.51392037;305818.2137559;292283.5682012;430400.85039981;464822.55431246;520170.23906217;363726.44149023;467335.81868459;357433.10078696;258989.84297076;292918.56998401;466491.61325761;536163.15158557;478826.69097366;560706.14844859;320689.95777369;398442.49734947;357568.21081896;345205.23074918;116966.07775293;263093.23637353;456062.30148428;425874.46306561;468698.55477138;434765.72141329;463718.9315583;301670.17809988;148411.16332215;37876.74783888;136426.2329021;264578.76893596;317379.60969946;366101.02875924;510978.12316408;320515.71203042;442460.52291341;455188.36278514;252054.54136909;141039.61737729;142389.27673402;329935.42828939;240535.30869528;417760.37179199;521173.44524839;432271.79071278;515482.49187469;372050.76885969;249236.72908771;154632.54333252;291799.20828387;310990.17315574;469817.65171971;383509.23697916;390144.49309739;524758.1188533;364605.64775549;278461.31582975;249437.68305891;318289.35650712;346345.45419242;402127.87979916;537358.31918739;522273.72303485;362102.06551705;306577.96202882;295954.73758501;351327.12509184;397212.7849772;454803.23144557;425804.99673857;431971.08418987;400839.90816756;284148.12440141;339675.08582709;429659.67038463;463720.2778439;438195.63138962;366512.9616106;234342.0359834;202204.63441125;302098.80806116;423069.53230853;326330.61193551;374058.44177179;298587.10278162;268762.06255835;299960.41705698;465023.14232061;390836.64336844;314480.73179471;257380.56759839;404996.66634483;374418.35261467;407337.08597895;331434.2017363;255583.35606292;625335.23578484;497253.42101041;290363.21492044;362098.31740714;306431.59017471;307029.33429443;499554.82698196;405328.03659148;468824.93776017;300654.92873285
