m/z;Spot 10644;Spot 10645;Spot 10646;Spot 10647;Spot 10648;Spot 10649;Spot 10650;Spot 10651;Spot 10652;Spot 10653;Spot 10654;Spot 10655;Spot 10656;Spot 10740;Spot 10741;Spot 10742;Spot 10743;Spot 10744;Spot 10745;Spot 10746;Spot 10747;Spot 10748;Spot 10749;Spot 10836;Spot 10837;Spot 10838;Spot 10839;Spot 10840;Spot 10841;Spot 10842;Spot 10843;Spot 10844;Spot 10845;Spot 10846;Spot 10847;Spot 10939;Spot 10940;Spot 10941;Spot 10942;Spot 10943;Spot 10944;Spot 10945;Spot 10946;Spot 10947;Spot 10948;Spot 11043;Spot 11044;Spot 11045;Spot 11046;Spot 11047;Spot 11048;Spot 11049;Spot 11050;Spot 11051;Spot 11147;Spot 11148;Spot 11149;Spot 11150;Spot 11151;Spot 11152;Spot 11153;Spot 11251;Spot 11252;Spot 11253;Spot 11254;Spot 11255;Spot 11256;Spot 11355;Spot 11356;Spot 11357;Spot 11358;Spot 11460;Spot 11461;Spot 11462;Spot 11463;Spot 11464;Spot 11564;Spot 11565;Spot 11566;Spot 11567;Spot 11568;Spot 11668;Spot 11669;Spot 11670;Spot 11671;Spot 11672;Spot 11771;Spot 11772;Spot 11773;Spot 11774;Spot 11775;Spot 11873;Spot 11874;Spot 11875;Spot 11876;Spot 11877;Spot 11975;Spot 11976;Spot 11977;Spot 11978;Spot 11979;Spot 12076;Spot 12077;Spot 12078;Spot 12079;Spot 12080;Spot 12177;Spot 12178;Spot 12179;Spot 12180;Spot 12181;Spot 12276;Spot 12277;Spot 12278;Spot 12279;Spot 12280;Spot 12281;Spot 12376;Spot 12377;Spot 12378;Spot 12379;Spot 12380;Spot 12381;Spot 12477;Spot 12478;Spot 12479;Spot 12480;Spot 12577;Spot 12578;Spot 12579;Spot 12677
255.23365946751;21216.791345317;24591.368839855;25962.190927273;19809.50974096;22959.376923376;21347.836286265;26429.655046003;17043.686290855;18259.916402775;27435.323385759;19197.366508724;19593.535096482;24050.758988334;18468.951877591;19218.630503304;28713.772488348;28726.591770369;18247.298922866;16057.699803414;19803.744875117;25079.583779537;18597.065490162;21378.281608705;25062.380643993;22535.126435182;20382.971979371;31702.570342536;29379.52650836;31200.133350718;18315.196494888;31266.571507741;17723.315606794;17174.034342275;26467.075425333;21484.551556439;29091.013797419;21530.584527238;25857.672672324;34994.961639088;27648.196467267;19867.434794615;20369.125294223;22076.732342019;22666.913014339;23213.275820408;24746.360297112;27948.678321138;27586.089366338;18782.332530484;17138.194134887;16861.57601089;20706.32864011;17476.633485549;15165.474298194;26542.815006973;25835.456426012;22122.582567993;25877.096132256;15275.504736027;16078.62704858;25430.533950235;35003.818973856;26553.039404009;26854.077673175;25453.487954303;30945.125089996;33521.550867401;31324.861299531;28260.615643212;32631.234067274;25961.028890172;34578.837142525;30476.234848068;26385.862018174;29146.51371226;27333.526174108;31860.313717392;27121.844671784;28957.396170341;29889.610089625;30204.645167121;34444.407918917;33163.634629504;28125.13909085;28962.218910631;30156.125415784;37772.643994013;42224.85305047;30888.837682516;34279.274620608;31247.346414591;33393.553605694;33896.94406517;27812.990264177;39608.133318782;35245.374288043;33816.811787399;40219.960413146;41711.485372129;36412.176031743;36180.649812384;46847.131245062;39268.172206966;44808.889977786;33740.397151804;42197.463006866;43855.69866335;35986.892278516;44783.764713159;50825.19334767;38478.246498341;55548.576382798;50087.266206918;34338.880250924;36389.190181864;38557.618881517;29834.128860675;51513.63965358;45461.819854346;35589.126216056;36454.924523955;33905.167785441;34992.543760595;38843.359157531;33744.488919195;34979.536919994;34187.89639515;30286.325680139;32031.865151771;34158.468068448;35137.190734534
281.24944079343;157651.80886188;175867.48130355;151546.37706983;155592.47070845;152282.22121266;146548.84849092;155737.67288496;144834.2260732;162722.4364267;161558.61967566;154065.39032184;132401.29714951;175309.82372124;161732.21822116;147110.14012653;160133.92527959;188021.14240489;173861.72757766;165846.49031276;148341.34891175;190687.7473669;145751.18432285;169286.33462833;204790.93083773;180466.02031431;187516.21154387;180659.17664294;170514.12714176;191714.40902732;165989.18005926;177981.46127117;167207.7879688;154871.38245649;180206.9228501;160189.7071592;194337.27007927;193072.87185832;195963.99948078;205260.43462094;172331.27375628;170624.35895109;151773.15906245;158080.28314842;167390.97532745;164803.34814503;206670.95698756;195876.45533424;184079.11333153;153747.72766278;147177.58502819;179040.10659278;171805.14781369;157086.69300761;134511.4193909;188692.99028442;212840.67982808;182098.49806534;179035.4580744;169774.24407648;169725.15760858;173191.93395752;232825.72036727;209492.61635711;208216.91404619;219911.51331791;185551.41246273;253916.48980094;212690.70119084;207252.51534148;217010.35280572;194758.46109854;245984.48754503;192382.17508185;178004.19567562;218939.85892249;198726.98540973;204996.30154493;217315.03169894;197835.11125394;220869.77786169;240735.59322839;257183.30740271;237763.14018943;231709.82535756;234044.80412402;241590.0160125;231981.67099249;228267.15908993;244478.3945404;246763.3901987;255946.66362955;214839.38824252;245028.68315501;237780.30713268;268580.18779575;256763.17452494;233440.17340552;224996.90781215;247902.30381732;244192.94408609;267306.30503617;256229.32131221;248934.43546497;270347.98043298;219978.17987972;283908.0783845;229930.41643368;257414.37953929;242539.16538658;296132.63736523;270929.90909962;288576.4734505;275164.92799358;210566.96568975;215973.07155047;258804.20245667;262062.11193015;286662.62723355;251270.02327538;218203.80448999;229686.64065404;250598.34919243;248436.02602236;246268.0560022;211971.3297486;247050.43948362;233825.34099802;228367.91629388;215532.55859038;256494.920696;210961.79378468
282.25059871635;30523.152380276;32645.341229068;26926.162233703;34262.092946812;33339.512976827;24806.315696835;26706.147772785;22477.033842806;36259.426851346;35675.887746981;31308.49844937;23578.999726511;30497.962800161;31969.494575731;29944.30075743;30258.216435324;42047.830996661;32057.568892896;30282.81789498;28436.787970742;38295.48781731;23643.658890439;27314.471241958;34482.704103245;34859.113931621;41841.874353215;37163.771500023;32860.43392604;37341.58267652;35896.684189822;32080.798619684;38378.523136169;29209.452291733;27194.247979054;33976.295721914;37768.578943345;32360.066200415;39590.442375486;40680.753873387;39335.93753626;45827.370204138;40147.920287008;32949.896777601;39742.879799292;26994.506190377;38340.35300076;37071.511766412;37457.948962036;39913.786054965;28082.860825114;30047.032463372;39635.752941934;32410.471918409;26030.341211569;40347.477254404;41918.857778934;39220.54058325;31979.147159606;36455.073402702;38459.096622839;35005.456227914;47819.427140081;41831.866451763;39726.534082403;30773.654757235;33770.193495834;54808.766716957;39029.42944116;40232.420495722;44198.595841076;36845.987557637;44602.695664253;37648.720977729;39476.85747594;46016.944781328;40985.639608956;38509.364534052;39083.712014138;46521.501907461;45926.574043042;43128.476708604;50798.920042621;39078.282853114;49624.438187211;40888.209874532;50541.348858902;46755.399955042;53348.775011739;51876.245542211;46872.070289187;48651.116066609;47054.106632304;50886.261744435;50007.331041676;43887.713849074;55483.978618166;44114.767552203;38778.552851721;50986.162892878;43140.612893234;49227.738239705;50393.606003678;46589.697875105;49122.403469959;48876.808534813;51730.518114428;43149.206585184;43681.153098717;41612.874138437;66469.000004123;58279.405595147;64341.603134652;51412.364463035;51021.662009588;43164.3755772;50109.704004244;53989.835702843;57745.974346629;45749.285066248;40907.59971681;46304.717067898;54321.17533549;49807.354728941;47365.58403697;31672.895324405;52370.39322294;44617.171442661;42725.291231065;37052.019728476;50326.874591219;42513.008803512
290.08905172566;11711.82212204;18645.724112956;14943.917785749;20276.047221042;16074.414725525;18396.260220482;23238.474889124;22897.614507794;23215.67232109;20560.714244745;16922.863533906;18575.797220228;19468.158181762;15290.779832784;12517.448277859;20830.479394416;20281.891245088;19313.115955039;18021.947357456;19282.705621946;15364.81012826;17698.638053895;16617.045683157;22794.551646329;14162.782872386;22311.058622316;15585.333770747;16701.39112318;10781.608930845;15181.828966981;15127.086855459;18096.930134401;24741.297844492;19808.215620391;19701.45539794;18605.538588387;18107.314510054;21827.903342815;22647.28875892;20515.290028322;13226.302199676;19706.396383759;23131.758015824;22008.608299101;14306.963228479;31253.559286763;15682.236620212;18059.218025711;19041.560565691;16546.317131123;18742.463316166;19719.74404126;19191.478941631;15292.315918845;19030.121268501;24719.831042033;23082.332341262;17926.449809326;16400.548124093;25506.346575142;12094.881299865;20560.398461413;22298.961247245;18365.134959708;18664.799287267;25335.30692703;24799.53097751;22091.770092693;21190.75526653;27568.852176528;30216.303657674;26168.69307384;22975.055853632;12336.420656954;24513.521913937;25932.437133043;25621.467550685;21234.149710092;14690.903982492;17833.774246858;16383.737247211;26128.011002956;20732.956347845;23444.838200153;20433.096182618;16078.827639223;30945.632986646;20268.447217743;25428.0081554;24366.94782521;16835.252024113;23763.806384158;23012.709148015;24281.671201929;29805.411116742;28084.674054887;25881.771019539;27757.806139133;26053.456344746;18306.66702367;30589.569471184;42385.791699509;34372.45294857;41822.909946635;20124.687524171;24468.803995268;33331.579215082;35759.354933641;38027.920774595;27760.560251237;20483.758267592;42376.088004871;38982.911640425;28752.559624954;30382.09852286;23725.181509876;24394.480106377;32751.396919853;32654.831467121;25174.496456469;32257.336397235;26449.312649587;24393.041707402;29403.32076188;24492.469095337;27658.368816345;19407.806076413;17843.321019807;20249.266305695;22040.960459718;21283.670096395
303.23385112436;71782.6451162;73689.358477492;63966.85352455;67762.551208996;69796.04046266;54305.917255911;67236.367334829;52007.019918546;71018.41283067;69678.900754264;73113.387945537;63136.600151601;76405.619896059;67490.591655303;61662.701286016;73204.220726978;75047.920498073;66061.636008453;69264.385989765;67518.027635851;78237.81493234;60014.237802205;76443.958921709;90388.117036027;89824.478167769;73309.440587741;86267.658859418;68582.292220302;69784.372944674;61479.780194239;70386.529041798;67966.576089809;60899.270471043;75015.006781455;73078.804351021;84223.413265035;75245.582135425;84342.882812365;78819.966704643;69648.680863044;70697.438615127;54525.545539003;69497.517181468;67770.580168581;63134.310546324;100619.0130678;86909.344788126;79524.989040274;54611.391708864;61495.82507463;78016.684407634;65927.734845764;59879.39395303;53365.574938414;93333.176948389;100409.80178312;77115.148613554;75641.693157892;78363.278390648;76540.027784479;67245.079092135;110754.99461651;89252.915715576;84791.465618195;88256.844016381;85582.928611753;110436.87125251;99248.278192554;97209.86021135;89534.712991927;79087.120790964;116577.06341782;85225.705478805;91255.846810579;86883.470243567;100787.5780402;109393.4323207;107795.88927304;98161.322168921;107404.92037774;102345.13405319;120559.61601342;111639.7836089;101882.24114547;96955.175374406;105552.11280113;119475.21904167;109077.75497803;101311.26499687;100736.33397318;108115.05165833;117907.88110502;107239.99665908;105077.67628337;105863.32222544;110959.12388939;118269.59483791;115210.95587163;130074.20613205;103888.50754643;111605.59963078;158604.16967522;134826.03695604;118865.37465842;98491.280732669;113719.09238986;152360.91020017;133250.56876857;122511.84158997;147464.86527803;125016.68158366;157058.26276471;144604.94758976;133803.61167189;109532.92624893;113167.89835746;113799.95930305;148054.63228469;124215.27633223;124216.62964824;117375.29892529;116245.45242277;115302.593057;112133.55262667;96582.799823302;107736.30059403;101180.33123101;84265.139060563;85349.368176907;90678.7246805;75649.964113337
857.51275620514;51314.512652657;42086.226921549;49396.979429398;37790.22161947;38833.094624853;44040.50816297;43612.793110256;39913.208916896;58485.365520391;46023.616423981;47498.607297302;43236.143782901;46968.939318651;49869.650000361;35509.826291971;41797.244525994;43617.19605156;38734.736817745;34876.216585166;27917.887245935;41693.711442632;40976.049549431;46519.5475617;48235.170544475;33276.297425046;36341.926486702;32529.870982781;45594.201442235;56950.643495029;39399.078247877;29687.178706234;29947.571093072;27989.334145174;30157.937643963;33540.237358924;49949.889118081;37538.753034528;41813.116383723;24060.247406918;40000.083918354;22473.533080813;37707.887120998;52432.838089993;20640.737308149;39290.623628229;35811.575870383;37930.227820847;44479.153717816;38291.444147829;35785.132853703;31241.023879958;36663.080547363;38323.417271705;44205.867811874;42580.041881737;35179.230313064;40091.852052906;43037.371818998;52341.429940917;41492.131646183;38356.822558199;44732.356171233;39185.432469389;30019.794203463;48569.420801971;34303.167346074;41338.063088935;47638.851093701;36629.218996707;41359.085329943;48787.97583568;56517.68118918;57869.273341611;49656.459789117;39659.519876863;46256.945369428;42244.119365819;45774.300786013;34662.280128053;30913.668811889;42949.547813263;54424.022039266;49360.015887425;41414.280578605;34821.616247204;31740.654218418;40502.678121785;34186.39528414;49542.019959175;45871.916169517;41857.277377274;54588.633231181;50665.995259699;28078.336755479;50061.572367705;49260.074548679;59665.919551191;53873.148256438;41012.505900902;31082.131520178;49708.464304982;71064.2976435;52544.632547954;39162.140446297;50502.02450505;35641.673293021;54998.127168956;60347.38322611;55875.725257468;29006.953785289;39898.587437947;41099.777692676;69197.632406523;55688.014989457;59490.897674032;50085.152700804;61509.993395466;73464.457412349;40833.884811898;48140.668545828;38492.945126666;42055.69755762;37752.078677914;51839.499176973;52872.513728586;43882.831480492;23129.866944362;33247.196906513;22472.078534357;35981.208452051;40024.563725784
863.60637621505;226007.33051206;261879.36954991;238578.84854918;176591.64172104;161154.00019538;223237.08108592;273301.83422616;257669.09146141;251932.74659297;175991.18345795;190822.5762187;202165.51672766;158729.43873571;150256.12873392;202823.7673459;210916.30050072;143086.63317374;197958.50965189;208984.13923873;177777.94283501;242469.09741334;213002.77855335;163358.15875733;205660.31046777;178825.11192834;169139.83943262;211105.09998521;190197.01760146;188839.82338693;205211.04722446;185399.30711128;193153.72511507;180175.7377134;205223.34676225;200116.21414995;204482.50296751;196645.47743543;153388.01220771;181808.92811365;210585.34850293;198203.01676598;144151.12796014;184762.24964341;120399.12338297;204289.08407381;216081.28940816;209947.56529305;202335.32633683;214471.88123884;210169.05301532;169591.43850958;231080.92628955;190289.56299083;228600.53763077;209765.34334129;234176.31412992;194247.79992191;205682.46435055;249389.40016314;239947.10151672;204364.24134941;230966.85077141;272306.38032433;224941.14539924;356035.36128292;236132.82693327;220238.76378559;302513.78632572;230394.08859068;255801.75601248;260636.16355755;251373.87227315;312538.09395705;260066.6196392;216668.01824173;216855.18901709;178233.69124992;193198.04167729;218484.590812;208676.18005181;189056.92980864;268096.269034;190088.05249021;203759.33380445;225990.27893404;173601.81459348;184855.47224583;229263.9618319;272841.92941491;234350.80482913;220993.95094616;168318.70390781;210774.58152803;227852.30909451;246015.45571458;253870.77804464;194164.84966593;194246.06078003;227789.24916173;232057.36492638;221202.07156523;167082.09343765;175308.16243377;260967.17222608;219794.34760367;237913.8224004;202410.15171307;225060.90701952;249462.0561634;258312.72431172;221013.59707247;201177.31915425;272332.21905467;157122.18146422;203992.08538684;207520.04232587;196868.23789911;276494.29980533;245266.0263969;221069.68123888;172344.15476305;212743.38876449;207818.23975765;303960.68796112;227571.72218285;260663.78309392;249689.28732123;226362.62576813;232495.2343858;303237.64685375;244283.76247532
878.61326451653;322108.15105039;412477.1558393;357526.46053851;245858.64451681;218290.73463093;442411.9310615;495392.42139435;436086.18285218;404228.78305222;294708.73782378;245320.9516998;285767.7039895;249887.10055584;209570.91776783;332661.78978563;310831.72389186;245426.66827274;279141.24865556;314436.33855163;255098.60365746;378377.40524578;327173.87172771;310470.17362272;345813.26505797;384433.72086188;297044.95340113;360939.35643713;302757.50539806;297305.25835432;329949.584995;250318.4579216;263866.14987221;240667.11490023;359533.0608349;335659.43132097;344361.50186376;349057.82176388;280620.66125288;265593.08715353;332790.32490754;303390.30324192;185116.43734187;242994.58818084;185579.33122063;242710.14791886;352646.8955504;358417.71828155;299186.32009493;364768.00977804;411884.56698794;288944.99046397;356331.01611544;238849.14867341;375987.9605156;365830.9480731;477542.4585982;293122.0268372;342038.57119175;328930.72739958;425800.48266095;300165.12858028;365319.84575146;459188.49628372;309619.87930143;543331.43484398;354199.69242382;338201.92883905;545030.95688405;402998.09856574;424859.59726013;516427.21726977;468520.8045839;507364.53673648;493945.96484303;367939.79118727;364966.39770137;277115.59291892;351876.89147419;454905.68486895;364387.62237889;205044.60462612;409910.93520337;302863.78911838;320651.77605337;409205.79329551;357929.44758393;293700.22016196;423481.98629706;458134.20852896;392152.77356129;410376.1373829;313829.79875771;320356.98535622;444117.66862376;460552.64205314;530791.0698323;370165.226791;325147.55363601;363977.02232575;521326.43075682;472644.32900726;241600.31107351;249722.79262493;487777.25362871;414229.37864057;496056.93566896;200322.98284894;354950.49398187;381731.94098163;372343.54737475;391972.21082216;353619.59114965;480782.18685028;230767.82430498;298437.83999554;337781.24549841;219070.01843335;536963.93642447;436162.02206009;401695.78926521;266352.82725897;292077.37081545;300377.52940526;519026.74896654;389579.72735117;451099.729104;466678.14421773;402983.96407154;457300.23972197;385251.64589723;459495.36272855
879.61034346618;326094.51974629;405183.69111178;317824.53693466;238700.17578123;237103.29597765;400256.5460702;441215.6898471;432304.2447731;407597.61645991;309717.31467375;247128.36987493;278262.51921226;279117.29023262;208808.68639296;341384.02869291;338384.60123318;261655.66734657;270618.81581431;299770.8752874;230495.30354858;377917.50413986;334101.64467305;311501.62507616;387356.22757992;410738.53452202;305694.75805916;355824.88730856;313869.9297415;300066.84414923;325237.723727;256766.96875025;265443.87439712;285975.81970104;373202.53424666;375517.83183311;366521.74357881;357473.6024071;310700.30401972;285607.24119837;344568.41101951;312146.49745926;229313.14474143;263638.046142;245642.9667953;275847.31869055;361452.62859659;340780.62123343;324344.66979314;352066.32822115;348103.36431067;329399.86975579;357121.36451617;218748.58242384;346532.68777121;364524.26578495;472955.28365077;317520.20740027;363096.79383326;326256.48596812;362169.71548265;306254.46849066;410758.84128219;484425.69834828;310676.26865214;486526.64422389;325434.18704177;318207.81162504;508743.67702365;381951.2522561;445193.10805713;480144.32073397;442239.69639291;466674.51972915;446651.40885771;341441.38606049;311925.8299645;247008.2792132;335770.28987764;435079.85862912;380269.70253131;237846.72413057;451403.75940587;345652.80864049;352718.86595368;428748.45263454;366178.36080011;300991.52968955;402813.63228191;476147.00019892;399124.77911233;414588.58374805;314027.83713209;312562.81036192;444229.56154437;441207.03537827;479553.96647288;390175.70109529;326857.36697387;390387.08179137;509270.96760039;483498.14111588;240034.27074062;254043.80641624;469347.0558981;391243.28351818;513107.07263295;237522.44583409;338659.10371334;362391.99964565;395262.12375565;382331.14913275;371130.91741172;495911.60879336;250131.17457121;318721.58556992;318489.82242202;212178.52227697;442858.96631948;433026.21178827;415526.0809269;291835.29314663;392833.56082357;334405.80764648;486836.19356954;369423.55618358;478406.67966344;433988.35349015;445022.74031742;451742.23112111;346443.83674238;447021.443444
885.5576986702;147398.54919491;146269.00449165;141653.83774972;107967.71803643;99105.214771344;150892.90952314;151716.43046943;142090.32579662;152181.38930634;126185.87723817;89217.533857896;134727.53426754;137241.41448658;78265.382854131;124102.33852687;111825.82363027;107498.85100268;109754.61537786;117914.55396258;112232.29748619;165377.41603881;127940.1553024;130831.30568092;182913.01079577;168215.5892898;137873.49732875;145558.92307744;144230.93326267;97951.409281717;122882.86784009;101206.11223217;90176.325886942;99439.428257611;117194.12087425;138840.97961701;154886.16689434;152073.63073678;123569.67451612;110250.87313845;114850.04164954;118026.28993131;84278.58379081;79797.884681702;88436.375567396;97640.731879488;219380.01323234;150969.6619901;148029.44597559;136436.90951027;162082.73342019;97399.033359531;132236.68775523;89493.911095577;113268.7558832;184403.70529688;226747.15932425;138555.9524307;156251.18272279;130137.4588183;151883.62042953;112309.27885169;243294.1517622;202000.56957992;142633.46429819;188197.88946043;159270.29072116;139047.64213856;283348.81851432;160081.35947424;176031.87097139;233782.01642137;233523.48626893;213829.75171769;220222.08883516;172670.76277557;177321.75279965;157736.93198827;185115.31345131;214368.34695912;158805.07045643;112735.90596654;254785.54042909;203441.09568357;179392.68961349;204243.00176278;169159.83551791;191904.2461498;203097.98436248;196643.63196519;184692.76434783;185420.63458713;183807.76093882;149868.61123631;213313.4001429;177306.28552528;219269.46414216;238226.0976704;177052.11233012;183928.39679442;233764.60943927;200893.88259486;182711.56520049;205136.83341701;247814.84081701;208951.74515547;198698.40799196;181003.99327998;215148.04122064;232118.05003704;171137.4803641;183680.53724396;231316.31025264;318737.67059882;167199.65091756;170606.8337453;187677.68268369;128414.0497328;284968.22565252;240597.01438771;239860.91017106;175863.28016265;179148.00622734;181628.93854791;232948.42725133;205952.010437;178473.80106904;196703.13767782;153077.58805347;156059.46382077;86256.171035308;131030.61736935
