m/z;Spot 42464;Spot 42465;Spot 42466;Spot 42467;Spot 42468;Spot 42469;Spot 42470;Spot 42471;Spot 42472;Spot 42473;Spot 42474;Spot 42475;Spot 42476;Spot 42477;Spot 42478;Spot 42479;Spot 42480;Spot 42481;Spot 42482;Spot 42483;Spot 42484;Spot 42485;Spot 42558;Spot 42559;Spot 42560;Spot 42561;Spot 42562;Spot 42563;Spot 42564;Spot 42653;Spot 42654;Spot 42655;Spot 42656;Spot 42657;Spot 42749;Spot 42750;Spot 42751;Spot 42752;Spot 42753;Spot 42844;Spot 42845;Spot 42846;Spot 42847;Spot 42848;Spot 42849;Spot 42850;Spot 42941;Spot 42942;Spot 42943;Spot 42944;Spot 42945;Spot 42946;Spot 42947;Spot 42948;Spot 42949;Spot 43039;Spot 43040;Spot 43041;Spot 43042;Spot 43043;Spot 43044;Spot 43045;Spot 43046;Spot 43047;Spot 43048;Spot 43136;Spot 43137;Spot 43138;Spot 43139;Spot 43140;Spot 43147;Spot 43148;Spot 43236;Spot 43237;Spot 43238;Spot 43239;Spot 43336;Spot 43337
255.23365946751;30465.06162815;24066.72904774;23531.892017803;25059.565950743;20149.548383009;31250.389656492;38191.354702643;37721.998423429;33605.528778976;25810.49312135;23747.954707909;28749.388201916;19645.289301801;23194.841037775;24354.377975364;34607.575039905;27134.752387278;28794.938394494;38945.183202062;27149.269624637;43132.652890335;29894.636545951;35807.478283111;35698.484014574;25708.504196148;25457.800533373;35498.620913636;25232.213978653;28282.645408889;43164.571377763;34793.927428271;33150.085482936;31657.229105166;31079.071495301;44919.376323813;34533.182511001;33373.832068381;30511.704962471;38183.175104105;43898.069189512;49009.167092852;38064.24719814;42087.344607701;35099.554879449;42769.18106812;41924.906616092;45652.846142832;41444.362219655;34238.129383569;38299.87150799;34609.796258412;34262.252638819;33540.213094413;44226.943258702;65690.699120463;47343.505460554;39137.345055684;32637.678698832;31013.551198075;37430.404861693;26884.016929787;38956.825348767;43026.414721436;56511.457959213;58906.249092283;51747.73608646;42938.48242095;45503.145807196;46511.593090305;28121.547229091;70509.014349891;71870.382415827;49775.510985808;45587.017954676;41132.906747431;35617.135390846;33865.991685374;29540.176135796
281.24944079343;168284.60582555;177153.61372163;159453.52019292;158501.81686041;163132.77668728;198984.30970431;176667.30786593;214907.02665055;241666.03454573;153344.59865967;172581.25366407;168924.87082705;147489.78248341;170372.10146397;145386.56292808;161526.94352338;168451.06353479;142923.79352977;215237.55713586;203412.87364548;171139.59104292;166539.92336681;208788.82406734;179775.66616075;175415.23141158;156035.83217259;183293.74272725;143436.63902824;175633.51129925;205704.5437853;198407.26787782;211698.5941552;196956.38461364;200007.05994107;210333.93185055;212395.35051648;180106.47400651;206558.29578217;223942.77731648;239563.74945556;211573.70393061;193676.28595154;229941.49958191;221602.19497935;280010.51496792;288843.00995142;222121.03383985;199630.22186131;206898.10575202;205798.05189289;221636.64178255;213561.47790533;275978.94305226;295202.59221568;395954.4819821;241143.25110955;221728.99612807;244908.22295591;201228.37569667;219732.95715134;211410.95603322;264585.91905379;270436.21668677;337988.00351316;365594.23325064;278192.18685383;237911.38904578;275795.03379584;243519.03907995;186948.86516969;344736.04012646;273540.46270124;284424.77406008;254616.02425687;189018.2571658;185600.00155684;229763.93171276;195480.44568936
282.25059871635;36796.83691647;32047.600527093;30231.219231455;32398.990295067;33395.883946454;37419.230910827;32882.938203437;36848.249039323;52033.818631159;30391.435469792;34529.487182856;39066.173689651;28056.192844829;37382.367249813;31980.630791375;38340.061302921;36777.190656214;46004.781759244;36765.025612832;41181.596001028;29814.027155015;29213.649667665;48240.541212117;30086.2374126;38517.399467685;37144.53496389;31033.798685228;28716.10243794;38963.203686563;44690.368865481;34752.234528355;47093.47572313;38719.886972055;34924.870989617;40414.74367081;46635.570700512;44576.825772819;38478.906968685;36842.792445506;42282.410073144;40801.383655062;40007.303895947;45970.315536304;46614.339007175;56636.356305644;50517.82725762;44873.048478348;43896.64617824;36605.494635624;37627.387970395;41273.56304351;52530.405110016;49259.551449157;59324.256473665;69454.935808317;51147.843907908;41636.147911775;53435.723421366;41124.615808051;43869.517321234;46254.913312824;52797.420297191;46766.826954332;77400.140798208;72533.751669938;56325.999952361;42767.753011435;61236.296816346;48631.645301641;40607.656194975;55738.765637356;49568.950186682;56877.385595192;48389.164362893;44111.911755499;29981.717606871;53502.103327305;37517.000793547
290.08905172566;11182.866383914;8533.3876445201;15360.547579869;9458.1637964165;18089.992644073;12923.070694743;23857.215998751;20516.647718788;18761.85537926;12289.808683949;19154.644069291;14587.978974482;13063.032661605;15475.553439958;20239.897435499;18700.423627542;19656.273646844;12699.287245693;21298.789595509;16176.172626774;17106.328815006;22594.740943841;25360.024412455;24627.698211825;25034.367326315;14672.878200339;10426.77270126;9872.5909973701;13368.708639467;18076.137040515;11351.454146771;13658.90660585;18761.820689846;24404.890930165;19778.093447901;21016.943128733;17316.331320938;11832.619636247;6447.8961773586;23149.453124456;22798.942450978;16079.3628057;13195.344172204;11741.250313934;25921.000166793;13293.144868263;26406.720717704;11691.327013765;17066.953088201;14348.615633746;15344.127003751;11113.000391578;15463.025920958;23273.51370588;11151.969050379;13079.991373901;16495.746834318;16099.55605685;18498.101641783;12341.034675622;16827.603963321;12266.839416748;12772.923000811;12503.955307597;9188.3917957049;14684.341901979;17939.087317596;35704.876761434;14805.275156514;19084.527835366;12065.733596502;13443.334120833;15352.793678353;20490.33802257;16577.572527802;23618.475246753;21217.815134089;17280.250907849
303.23385112436;67549.643999505;69581.84411568;58334.069890471;62729.25328019;57177.943461134;74371.467787867;68024.056615388;61394.164259819;82332.222575177;54727.833515729;65436.266854464;71345.725452786;60030.73750304;73004.301719194;54691.546707795;68060.451188005;68979.438984748;61245.066662905;78818.296669017;80878.596951913;70771.857590671;92373.887861474;83298.372910772;89065.683387081;74224.328650093;69513.463276455;76416.335196947;60996.044490457;65856.343391701;105016.14285079;95200.177637116;91637.240953837;80477.102465332;82946.791728872;102211.38768962;82285.617896677;76369.355920587;80425.544158844;75650.748663106;111743.10396699;105428.7994435;84483.713181202;87103.009997914;89765.884490647;106205.60824828;104285.81757783;96392.134564439;85188.292858722;86200.383320247;86253.695342438;89175.279691888;78315.082057744;94320.592525253;119161.15552719;162163.87192063;92088.902317492;90616.400115511;95973.524147572;80985.595091076;84951.772444305;78514.199373892;92817.89001181;92082.404314073;126652.83957148;135673.19237012;118296.59168955;91673.573202834;100957.00753837;88861.820558663;71861.313964945;105929.31180986;78976.344460761;108028.78905847;101561.37994407;65900.437080261;59558.378051431;91103.283396859;71011.98509604
857.51275620514;41775.846889671;49734.700948089;34424.570322267;36337.161285604;13383.177810276;47291.738947849;44321.986326041;44462.636436441;40796.961949222;46634.045733281;39040.875927785;57091.852076305;37243.123404133;33861.753267562;55420.952715899;48828.40430174;45026.162415484;53399.286845458;40092.031218253;49019.562725434;48637.149135358;53866.915855427;31198.400265751;52815.483857611;30479.217859435;33807.943596363;40730.277858662;34810.576249875;40808.817860374;71294.098555143;52324.19659442;38422.944102974;41475.49366878;44739.646652632;74891.811636238;43653.060806695;46816.628638415;42023.703139979;39882.732437464;62996.736171266;57984.673083648;60743.840804516;41936.911186026;53360.978162535;55746.999533608;44683.692887427;58320.449456311;57119.17012116;52031.067826119;51338.101846977;48322.122129528;44530.330603838;41756.352837758;59265.682321847;67368.853544695;53927.35922572;41495.375244953;62014.019435187;40625.243505258;55713.486672453;28157.764952164;48822.117019807;37234.558423945;39184.877697421;54235.433977702;62812.475254516;50110.93916542;57033.539425022;49744.998054584;51186.302176469;35127.137307319;30331.71776247;55939.533866902;50004.061110667;39694.440082601;43668.647943887;51636.313635695;44263.036126512
863.60637621505;206201.39491064;260287.08280593;234479.37847357;188517.50517652;165740.52898236;241272.89049227;306907.14762896;347778.72566092;289723.32770043;318585.44271425;263757.48697169;239424.18985388;243535.33889229;159913.2466531;233616.36607263;269733.86787479;183890.69752098;170042.474447;217987.08772265;204000.99074732;189412.64670369;204613.47816419;254484.92016864;246868.00106802;201164.03198657;204152.11064176;253460.27373559;219902.67102891;241894.96350826;250478.17161729;232400.87359826;220970.84576615;190998.18547806;260782.25229766;320412.29694843;271107.33117358;229451.71267668;257625.4417532;221480.20232499;264006.21990898;253443.57733107;240049.67064048;311315.92107235;264873.70868788;303165.11551236;212995.61769084;334691.17258519;298139.73182687;280921.86622539;278448.90749796;260970.91265852;216140.51952157;256387.72901037;221604.80874509;132826.83737382;235024.47998354;275766.72742638;315567.24879286;312526.9251359;289741.05226937;207098.99522475;240524.31212816;231183.55011805;191902.14595556;52223.431209737;339953.64898747;257834.77820691;329395.6267372;326992.46405449;256609.17005505;38481.092128276;17075.350213537;252085.89988385;280414.33818082;324670.40104399;297428.53335754;249476.89314201;231615.15097179
878.61326451653;279322.39043657;336845.700491;366979.75454537;260746.45977284;238089.5813158;372027.01864982;456609.3469016;437223.32766805;340493.47328189;469496.98252133;402393.21096101;442439.48506411;336311.55944325;273869.14907724;367483.28982277;428604.81812898;309824.50306095;343487.63017035;279230.82788926;281888.45623083;243681.31619404;301612.99872686;346074.70676547;352502.70002866;297101.94707635;295835.54309351;399973.77347487;286823.57932864;329464.08873984;364756.1498224;308428.76239843;308978.80166017;320393.0375903;351137.51388745;544054.67468256;352103.95322257;338595.39229682;366545.03599284;316008.05958227;399360.63162153;416515.89704655;366310.78050477;398400.47829218;363012.78866068;430398.9314018;314762.98210023;454102.85188191;374542.87283353;379272.25251022;445796.73817742;345656.4904777;374541.48754033;421824.3444718;345126.05728784;222976.01890821;382389.81333399;345427.77600562;389257.16109475;438445.87479939;354577.80686922;276886.31839972;313160.24748174;359814.61382546;298299.03732445;76644.49897822;570111.45137398;467783.77977404;522222.54471938;492519.28301973;361082.82314557;48365.241215;22197.360382974;331221.67964906;478966.06176988;529819.1885476;588948.47161728;352095.76085579;355598.42439849
879.61034346618;363702.07826878;351421.75442661;398652.09909537;338845.68623101;302819.57785155;384520.31372102;475417.26338962;479564.78543604;348082.25865701;504498.02220776;458281.85059562;445263.83583341;368443.8250677;323372.86741372;398653.49331729;511203.8132431;375498.51074895;370295.45189112;345089.30954117;305951.68729661;317584.49367045;358780.11669231;384691.04182134;403534.84030304;331187.17902216;313772.5655526;461801.09749835;362164.90118472;382477.36990317;384101.75197812;348141.56621299;346773.95466082;358233.94446647;344418.02678807;547073.64403461;349306.68320619;364504.612199;405613.5101077;369313.35496812;407007.80017244;452426.00581877;346158.74285116;451199.33698601;404595.79504984;422991.14350572;386767.87224993;442199.14253319;371548.00510052;347283.99060827;474636.88632279;392085.32401632;386524.37796955;412156.76677118;405767.67181902;249107.55011484;363492.91088425;341092.01742706;380278.98236323;432935.52766456;355184.4379808;300204.36050063;328598.56711922;441434.34649037;345309.02568399;81922.132334849;546413.32047239;519096.2738652;547674.32529878;467892.60024792;356160.96218661;59657.077690113;38096.774018669;329745.46569994;464028.25798717;564902.20191451;575054.56405604;337506.75131997;411015.40906885
885.5576986702;139145.49449561;133345.50839066;151276.38688774;118437.47969719;117082.56631922;133565.89005465;155343.90965151;120182.81681961;99861.740950396;164767.08566598;158833.58141146;160414.19301883;142535.64381905;139740.31645641;159811.06333215;195538.17082531;190256.09985211;178552.6892804;135379.85194038;146888.18895583;142478.46763992;206212.81220897;203353.88136234;191205.37048839;147104.57371477;165338.5348119;193216.29545525;134483.38993085;152609.51440773;265478.96681592;177849.08492262;163362.4059766;171528.64931804;158339.93892776;303003.17394748;180868.89477324;209079.33595825;168770.6071577;150894.19210928;243926.18920946;293500.88573103;152416.86452502;188924.96216287;158741.71707684;163507.0588995;128326.75925142;223057.85499883;169516.82975595;172056.68933153;215626.48236211;162803.83799756;180134.49294806;177103.77722481;170614.22831559;176787.52175252;189658.85653515;162911.39489338;146583.48373457;162666.84244491;149675.75523312;129194.78702952;115871.3199656;152159.36733196;164303.79977489;85123.531365276;225368.27892371;174892.53407104;182834.52921575;207640.76209458;116151.29332106;68241.539461014;41153.955281994;136985.17586826;163678.26011247;180202.70424825;174990.90856467;150537.29224282;157173.36186597
