m/z;Spot 42952;Spot 43052;Spot 43053;Spot 43152;Spot 43153;Spot 43246;Spot 43252;Spot 43253;Spot 43254;Spot 43345;Spot 43346;Spot 43347;Spot 43352;Spot 43353;Spot 43354;Spot 43446;Spot 43447;Spot 43448;Spot 43449;Spot 43453;Spot 43454;Spot 43455;Spot 43548;Spot 43549;Spot 43550;Spot 43551;Spot 43552;Spot 43554;Spot 43555;Spot 43556;Spot 43557;Spot 43650;Spot 43651;Spot 43652;Spot 43653;Spot 43654;Spot 43655;Spot 43656;Spot 43657;Spot 43658;Spot 43752;Spot 43753;Spot 43754;Spot 43755;Spot 43756;Spot 43757;Spot 43758;Spot 43759;Spot 43854;Spot 43855;Spot 43856;Spot 43857;Spot 43858;Spot 43859;Spot 43954;Spot 43955;Spot 43956;Spot 43957;Spot 43958;Spot 43959;Spot 44055;Spot 44056;Spot 44057;Spot 44058;Spot 44059;Spot 44156;Spot 44157;Spot 44158;Spot 44159;Spot 44257;Spot 44258;Spot 44259;Spot 44357;Spot 44358;Spot 44359;Spot 44458;Spot 44459;Spot 44558
255.23365946751;109360.66305245;110209.33495537;105828.04569559;95932.822265334;90326.545699079;59389.585887117;106784.27174743;124059.74280881;87475.882459477;109937.79058508;93146.572305669;93062.954815061;118805.27455079;108642.65200906;95501.802596644;82920.865695004;99322.382716539;96320.302847678;75132.04269902;114887.8110342;102254.24234833;101244.00793226;116902.22124924;105923.12745838;95620.097722089;93704.168286013;104836.99415298;83425.117406238;121590.17106933;114905.62513618;105106.03888391;99498.209201121;85953.805825439;109156.89596786;121992.44214596;104175.32477525;81243.275146064;127616.06218827;105358.67767492;90212.800449369;102982.9706665;108447.28819303;117634.31607353;92537.597498013;88168.96290727;108295.29202224;106667.8155599;93890.342650262;112186.17826589;99540.183121379;109443.23398691;97087.549654689;115216.17585687;128322.39868201;90201.272061895;101497.67839019;94829.997723456;96853.162354444;107965.21328517;116150.18298977;94825.441431769;93287.149961426;117256.66485392;109084.90457082;118449.72389462;86581.472813664;92003.833732503;135404.42257476;110285.19932856;91254.06436284;122053.60748766;119633.12278366;96869.146130548;117091.87247;119720.8964849;119248.37359234;123687.26156098;85524.475213107
281.24944079343;391836.18115142;350825.4607572;352454.83285904;245978.78857262;269396.06825848;321199.98458127;317122.59998191;332349.7693533;278915.056306;328139.57820336;332429.47806375;381957.88357234;348728.60253778;304806.44506677;281457.41341014;229389.83801418;265597.26106716;300522.81915184;338048.21924475;355845.05379487;313406.1690117;310326.9572637;306333.10055911;296688.62466899;281764.31730273;278086.46143614;391512.13718948;307856.57231826;365806.863409;296799.08442409;308728.76450372;255349.2342522;258081.84482641;284424.54239681;299590.09128822;362612.58385812;374273.33645174;342244.35069543;301808.6614658;259307.77714528;250044.27241082;279371.65339472;326409.13087779;247255.42446255;342275.5424592;326962.93487646;311237.12203495;259247.48284507;269091.65307158;273126.63174434;280461.2834019;407749.4608097;317475.53854214;368316.3673874;242445.81273876;281944.2557156;255569.63816042;340275.88094201;307892.90517266;325220.13234545;271291.94062149;277972.48423794;324739.1599264;318754.99711082;331297.5767059;211246.10856758;232136.7775087;384194.84139666;309483.82447662;260764.12689528;298689.07408546;325360.57933451;261686.12640289;282837.37775238;290062.41033545;310504.51438071;282225.87041579;222589.23223141
282.25059871635;74496.977614819;67604.020224189;53522.367007531;45862.655343896;51354.257279691;60417.813260257;55144.352492692;56682.293266169;55662.40326019;54259.885072447;63432.02373837;69150.915414801;64206.283498238;66566.64043271;53113.28524572;47322.131418309;58577.948639009;52190.05110434;64365.058600494;62065.047298616;61996.420160937;64153.130037198;57637.396845392;58947.235079731;55381.537847857;51881.763066041;71788.17004357;55444.481630281;75209.396454711;56906.287015874;59469.443502657;48790.530672219;55276.728074533;48836.309337341;54604.689898214;66485.065822817;68841.466661706;61137.00999514;58201.70412658;45201.856132624;52169.176350308;58646.727264339;59299.48158734;48032.147128809;62893.576157894;52307.859809751;58237.124943454;66537.415675007;52753.123111906;53081.198904021;58427.704914618;74215.642577629;58973.395067449;73665.804345231;59893.912726247;47006.392179487;58949.867279338;59761.764149026;67976.88944307;55314.857535253;56074.61902989;53942.359092525;70225.143208216;58226.251034095;63280.068961739;35267.677364029;48922.669375039;67084.784252169;53967.241179522;44846.314503749;62117.488334209;58767.968878375;52499.905284297;67788.722964556;48379.977629677;54959.950921457;59704.154422686;42554.688578312
290.08905172566;34972.405531966;45161.329093227;58805.555423424;37704.454088741;45234.17909254;15305.469865982;38016.054435697;50481.379642208;46311.876851905;72548.940146139;48540.372287328;25287.592599801;54087.154678764;43814.758128712;45857.466669281;63284.406776354;70560.974935759;63865.189709877;39015.460362689;41734.228560646;47672.031886006;55636.404002949;78247.385187952;74268.842405736;72170.736883385;64085.179604631;41580.191909137;26879.406206114;48609.667258619;56112.231756692;54287.580490979;64128.297917865;66005.097085488;58565.608289897;66995.60556568;50141.517880938;20199.240494256;48537.454780972;52537.548130795;51791.916460193;66225.760251343;61604.202997215;66380.060956369;62174.627676133;16686.598446104;49922.384874669;55112.612629785;61851.591001648;63883.479941542;75883.794980651;75143.86772573;30977.800553942;50558.500038665;56282.46876252;65770.689616348;74469.480991628;57320.461380656;33825.024944101;57509.501405494;52343.421680962;56255.304997024;62210.735626035;63761.395810538;46792.592179562;59493.598024414;59063.131934523;65706.261658589;54047.915759888;55521.106919088;63146.235990294;68020.19919546;54307.62957319;63355.59442024;69144.647644175;53042.342963032;54793.634358837;60835.263610052;59134.155134893
303.23385112436;296528.16974456;331074.75924018;340669.30991764;251584.97712096;288493.60853084;129166.26010079;285936.81958361;339814.26819223;285924.08764728;259478.38935489;231077.4555947;157713.30337152;324604.15406109;325447.65549982;303841.22104056;219600.28535533;240407.65076568;273453.51938929;195276.11389827;323507.46995886;287990.69032986;301042.52283024;299054.95328943;279903.98388763;266168.32172693;243578.49012269;235880.7705398;174653.48624505;336864.73446932;308563.64847748;313899.52020354;293256.03749729;250696.86165366;268117.28575638;279055.89130864;230074.58118017;206887.04338708;308223.18668176;319982.90111523;285706.43193404;267722.44057781;273201.83767911;312152.40997519;249841.80244228;218872.48848717;308475.95592765;296055.65463054;293379.12767841;285537.91347217;291086.53603898;305850.42808115;260142.62786273;304914.14359474;358045.55857979;263639.60074343;275136.59132406;274391.70023685;252770.66968667;308792.35419456;320429.57250708;275469.50420648;278256.85104314;305184.80829174;285113.81596941;357454.02133085;232911.25263107;262931.22171206;369959.46555901;322370.79711769;290067.70762015;330171.00283264;324430.86222599;260630.37425267;357488.09699711;304422.1541662;319343.44718089;334538.63016273;250735.9057771
857.51275620514;104036.67297839;117745.19888359;92550.964720745;91459.414423726;113892.03810839;45078.939291451;70568.755095168;108130.11294048;125086.14070449;96391.0654025;89676.423882188;79405.426176324;105553.0473386;111874.91899721;122438.03115396;95783.465474669;97098.734247113;97955.020222485;74560.70149537;124457.51216064;119474.66640331;135893.28917779;133150.24231192;129328.02385284;113444.97978872;115025.51454688;73087.491592693;83528.864017937;125391.05256082;110433.94291991;118879.82881589;156889.27743698;126107.40560752;99918.434690873;116847.08739762;92810.785868437;79347.865147012;126551.40117023;115247.89628585;109761.34865204;140433.67655647;120017.58138226;97667.661211038;91091.901990841;96944.845946772;108956.67895184;131044.26514296;113886.12829489;147643.67194302;124260.73072389;111424.17552662;117082.8792709;113120.83588935;120928.35088866;147378.17782133;149884.93835609;88516.196006853;114768.31547463;103897.62803074;98415.524267706;161855.84621022;117055.71617365;125403.66784459;107612.05377006;151953.95365543;139919.64734741;102441.99645567;112304.8468525;98384.471732722;133759.22182176;128317.62163881;112119.05493178;155047.53925649;169201.67463851;118633.79574531;156924.4047685;121539.7800141;143705.58129428
863.60637621505;0;35892.289630189;0;26119.687411539;26400.22251377;54228.560039747;22290.203198636;0;19321.319284578;28454.343459246;20440.624863481;38503.458571729;27248.084584868;19319.93224835;0;26637.518523092;17498.799786128;21464.645575215;0;0;14389.501822176;0;38827.492360482;20368.234260736;0;0;0;29431.235721678;25073.279231959;0;38295.895019411;0;28437.6323503;5186.0042124756;0;0;38429.077551525;19328.825312964;20897.750403712;32107.229258386;0;0;0;0;31420.966647059;0;0;0;0;0;0;0;25269.229968464;30127.677421423;10762.805538015;5046.0387463307;0;22270.754827656;0;0;0;0;19052.272005443;16063.167421492;17601.925316338;0;0;0;0;0;0;0;0;0;0;0;0;20966.235270502
878.61326451653;57419.205817126;37916.95095242;31248.20820507;26276.497424816;33325.4361686;39589.318208448;38962.60697111;30845.479493746;27210.454881126;29214.557275883;21690.954058245;24143.687570849;31507.054030551;25038.627955771;20412.492019658;28651.192580129;16508.374915954;22692.399182028;15640.95565267;35539.240361941;39495.899001431;35463.66705485;28660.797985221;15038.189210859;25752.878969002;16953.741510391;18935.176208095;15052.774233573;30729.516725284;42564.34726326;41188.427230927;22592.210564398;20070.705106268;26606.445493242;39533.023134214;23677.167693645;17155.922288642;21752.602623132;29092.335615348;27386.363053573;21692.008744948;19688.259182207;14892.610731917;4895.6207360528;9348.7716053672;31524.598634217;18409.809613506;24714.865095704;13299.198170732;14348.403462823;8997.6142970835;9291.5444072755;17240.563932754;37029.244523548;22969.846384799;23097.709154081;24531.471582393;19240.272962221;24785.254148968;19822.786457003;20399.996890302;23623.554067695;10687.539500026;21553.282852266;47868.402697833;30392.463781839;7415.0649464408;14127.142801064;19383.508388885;10573.553389181;16510.162649083;16269.651676258;45098.322803725;22760.228279372;17047.553343104;11441.364988838;19981.866676821;15028.743814436
879.61034346618;47226.477982742;41053.871981024;29726.795008452;30938.703862853;21167.405702209;34287.441670951;31808.270577436;44477.193301616;25464.288320022;26211.444087299;51952.958650571;24783.98128017;36423.282128687;20896.721722433;32056.281439437;37055.667656141;28972.336092432;20984.440712395;23392.623478261;26084.577060828;27407.98916434;39688.625359507;42439.794587591;20848.267149934;23534.62365284;16801.390406097;29599.996220792;15867.185940022;22440.728006194;21918.477717517;42835.210518726;38763.829546415;32684.516549284;0;27612.089232335;22721.459731887;13372.723365655;32181.053953939;20327.107633756;29381.728383839;14874.56685449;27049.354149164;11891.566793032;0;15755.196713036;33807.271982843;17186.167687612;14959.413261398;0;29995.439472692;18655.397454008;27667.674072711;19248.590997436;28954.065541009;24330.778303059;20335.295176718;0;24206.219124779;18300.950533943;23631.223107857;19922.238953444;16559.437169813;18023.347012759;50936.993342486;52896.429357029;22491.341758696;0;41130.253140893;16054.312198142;16784.164525308;20027.918809277;24203.279429909;22601.191030998;30077.610964673;18509.586041798;23027.360843479;17833.683253183;0
885.5576986702;281456.19260276;392685.41452204;403845.39983179;305202.40865447;426487.81628803;82771.066818571;272360.73600573;514484.34346768;444769.150206;357071.25620945;204210.613694;95089.831574839;342899.25593496;394657.64899729;323853.33197747;381335.92802662;313501.16754381;325208.61239733;136042.53525317;370884.02153143;404099.74445781;413389.67341516;596818.64355885;513855.26916891;392551.93781032;296273.23219172;201228.04891367;126414.81186515;492643.46763369;435043.11537564;485439.54600776;664343.70150218;438219.20282584;419582.62755355;366226.6235576;214481.94962664;128635.13627891;406955.54923786;443900.49482566;456835.32150068;508289.04617376;430516.90506699;414156.3778879;268482.67165231;155048.99013839;368743.88798562;449920.23451145;453159.50439568;460011.01751725;535417.72875472;407344.95533492;234392.64385872;367255.92262136;548609.33493431;586243.09653756;636888.65916969;398841.93640127;296140.60969306;351920.12941504;392702.56500636;550549.47125417;548604.90880637;390421.5496671;368359.03705893;681367.70702845;435090.2888521;365572.20664219;477854.65941814;474088.81022441;487895.03017004;530809.11480121;408105.97471423;584266.38680117;809404.94018558;440146.17975757;659700.14839221;516201.97496083;489160.57606586
