Lipid,Ventricle,Cortex,Caudate,Cortex+Caudate,Corpus Callosum,Ventral
FA1,100209.7927,72852.35544,62152.65122,82113.19744,34199.24069,66312.48295
FA2,314263.1431,246932.1249,209208.0432,247533.9722,217734.3235,218259.1289
FA3,60122.25216,47643.09648,41253.27931,48430.91778,43420.31794,42793.59336
FA4,64304.94417,53461.53912,57465.34749,64905.68825,19230.10527,55613.73146
ST1,310742.2001,202868.0266,209723.7869,257261.7844,93331.80188,222977.8284
SP1,111070.7383,162252.8396,102039.3736,134814.1168,45229.10212,98497.39686
SP2,13042.63341,62783.66805,43971.8996,30839.61389,224800.9476,36011.60433
SP3,26939.60363,113587.7184,79219.63971,56421.62061,340367.5844,63851.5197
SP4,26823.1006,112551.675,82588.53701,61089.74077,354372.4609,67756.45428
GP1,388920.8727,457308.1224,403818.4358,428068.4575,165949.0145,385394.2132
GP2,315834.38,368703.2145,328558.3311,352669.9039,144074.2505,316429.9598
GP3,90014.86231,105460.4367,96203.21179,102517.2579,40661.87421,93827.44093
GP4,13605.35706,86281.00727,57111.59552,46029.66263,230104.8924,50348.42361
