Lipid,Ventricle,Cortex,Caudate,Cortex+Caudate,Corpus Callosum,Ventral
FA1,1,0.44047619,0.34848485,0.73268398,0.83658009,0.24458874
FA2,0.8474026,0.03463203,0.07575758,0.26623377,0.75974026,0.00974026
FA3,0.87012987,0.02813853,0.0974026,0.2965368,0.9025974,0.01406926
FA4,0.26515152,0.1482684,0.12229437,0.254329,0.45670996,0.35714286
ST1,0.14285714,0.01623377,0.02489177,0.13636364,0.30735931,0.13961039
SP1,0.0021645,0.004329,0.01731602,0.13095238,0.99134199,0.0465368
SP2,0.00108225,0.01082251,0.03787879,0.0508658,0.21212121,0.004329
SP3,0.00108225,0.01082251,0.00108225,0.00108225,0.00757576,0.00108225
SP4,0.00108225,0.00541126,0.00108225,0.00108225,0.0021645,0.00108225
GP1,0.01623377,0.00108225,0.00108225,0.00541126,0.95454545,0.14285714
GP2,0.00541126,0.00649351,0.00108225,0.05735931,0.99458874,0.17640693
GP3,0.01623377,0.00541126,0.0021645,0.09632035,0.99242424,0.26731602
GP4,0.00108225,0.32683983,0.4512987,0.1969697,0.36255411,0.03463203
