# Exported with SCiLS Lab Version 12.00.15110
# Export time: 2024-03-25 13:14:03
# Generated from file: Y:\imaging_core\proj_archive\DATA BACKUP-OLD NAS\#394 Nilesh and Biernaskie-brains\240301 Young Mice\240123-Biernaskie-neg.slx
# Object Full Name: Regions/240123-Biernaskie-neg/286/286-ventricle
# Object ID: fa9063fb-823e-450a-ad34-95032e1287fd
# Object type: Region
# Object creation time: 2024-03-22 08:47:12
# MzRange Name: young-mice-features
# Normalization: Total Ion Count
#
m/z;Spot 2851;Spot 2939;Spot 2940;Spot 3026;Spot 3027;Spot 3112;Spot 3113;Spot 3114;Spot 3115;Spot 3199;Spot 3200;Spot 3201;Spot 3202;Spot 3286;Spot 3287;Spot 3288;Spot 3289;Spot 3290;Spot 3373;Spot 3374;Spot 3375;Spot 3376;Spot 3377;Spot 3460;Spot 3461;Spot 3462;Spot 3463;Spot 3464;Spot 3540;Spot 3541;Spot 3542;Spot 3547;Spot 3548;Spot 3549;Spot 3550;Spot 3551;Spot 3552;Spot 3627;Spot 3628;Spot 3629;Spot 3630;Spot 3631;Spot 3634;Spot 3635;Spot 3636;Spot 3637;Spot 3638;Spot 3639;Spot 3714;Spot 3715;Spot 3716;Spot 3717;Spot 3718;Spot 3719;Spot 3721;Spot 3722;Spot 3723;Spot 3724;Spot 3725;Spot 3726;Spot 3801;Spot 3802;Spot 3803;Spot 3804;Spot 3805;Spot 3806;Spot 3807;Spot 3808;Spot 3809;Spot 3810;Spot 3811;Spot 3812;Spot 3813;Spot 3888;Spot 3889;Spot 3890;Spot 3891;Spot 3892;Spot 3893;Spot 3894;Spot 3895;Spot 3896;Spot 3897;Spot 3898;Spot 3899;Spot 3975;Spot 3976;Spot 3977;Spot 3978;Spot 3979;Spot 3980;Spot 3981;Spot 3982;Spot 3983;Spot 3984;Spot 3985;Spot 4062;Spot 4063;Spot 4064;Spot 4065;Spot 4066;Spot 4067;Spot 4068;Spot 4069;Spot 4070;Spot 4149;Spot 4150;Spot 4151;Spot 4152;Spot 4153;Spot 4154;Spot 4155;Spot 4156;Spot 4236;Spot 4237;Spot 4238;Spot 4239;Spot 4240;Spot 4241;Spot 4242;Spot 4322;Spot 4323;Spot 4324;Spot 4325;Spot 4326;Spot 4327;Spot 4328;Spot 4409;Spot 4410;Spot 4411;Spot 4412;Spot 4413;Spot 4414;Spot 4496;Spot 4497;Spot 4498;Spot 4499;Spot 4500;Spot 4582;Spot 4583;Spot 4584;Spot 4585;Spot 4668;Spot 4669;Spot 4670;Spot 4753;Spot 4754;Spot 4837
209.62855955469;28444.161277341;26433.637741291;31563.175784865;31029.838622445;35011.070919032;27795.120622259;27342.030220114;37304.134289406;29105.914070549;26728.130776269;23816.299661405;31666.577536927;32783.265179383;27048.818513079;25839.426211952;33079.972432979;34637.928743269;34585.05764978;27145.558655343;30469.618829283;41792.264426513;40088.721769939;34382.972235782;24832.704500573;29600.477824069;34942.367411896;37931.673276008;35512.162381917;26836.691516435;31061.036804619;26090.076983103;30133.594944312;35334.762564574;36159.169657443;32636.989472947;33477.28592555;35850.355761259;28467.438523503;35485.963067458;26894.138632574;28738.310622562;25522.600284609;26597.89757127;35687.349753504;30014.834523172;33703.268310441;31445.845415293;34037.910638286;33949.041279064;35933.443839194;30436.511656897;27329.060523248;25690.028071604;33718.910377347;22475.720586726;27436.427645972;30188.049969353;32171.688992408;37018.352952304;33724.053951654;30429.586534749;34446.992909011;33664.148851274;28425.471790879;28433.337540649;32483.333974725;34834.333501088;25223.754187093;32195.820213207;31765.273204989;38798.344581995;32815.923213256;35786.606757406;34479.24329337;31655.828784509;33419.785603873;33276.980964819;28169.015467524;28802.418115561;30095.425637055;24874.944024547;35997.978551972;36769.826448541;33669.133653051;36313.156855874;32961.071522915;31212.899859514;32596.806421854;31730.0686318;38205.288197639;27903.545593694;23467.748712583;25598.248615536;30520.459495494;30584.752489585;36578.866569986;32467.897577446;36170.580661413;31442.258743463;34720.750481863;33174.280458866;29407.396942383;23941.633475145;31506.030601005;31517.97492214;34165.874554133;31976.126028933;33693.175657134;32085.162324526;31628.756783222;30702.671677233;28387.5323547;32802.650051024;30973.500090739;33743.225925186;33855.714785723;32934.391774266;28255.121511948;24887.168549256;28321.531753851;30428.523658202;36029.117538372;36988.393593235;35181.502320829;30651.690404235;33054.215170413;31510.700100346;33752.914743385;40396.795438112;34835.542364691;43086.947471645;38780.643154747;30549.60756964;36495.847197976;31211.310623453;41679.199445964;44385.038932538;29916.196891922;31971.37283161;33006.018701623;39612.915267152;32114.741922112;31807.072048498;35519.760716749;33275.339338285;36871.870584398;35444.917556583;35772.213116954
229.05363493112;6293.7680947795;0;0;0;2483.2639245387;3930.0785618095;8902.8509723053;0;0;6331.0066702891;3430.0425300977;9053.258875974;0;6096.6101888738;2540.8771100016;0;8120.8318440136;3580.6721735627;1335.6436842788;0;0;9390.1970953126;60.265221022126;0;0;5067.2427730295;0;0;0;4600.7332057356;0;4832.7836986166;6219.3343128446;0;5007.5051172451;5495.9329803561;4387.4070739752;0;4695.2223820803;0;15666.188997772;0;0;0;0;6781.4066949357;240.93362682341;0;0;4301.5799023759;96.300058117452;4935.6562945114;8647.7329876643;514.4452231647;100.46634185085;2584.7397261331;8126.4866473152;0;0;1368.2865498519;3771.4701150555;0;3728.4987937076;0;6664.048327021;4120.1365368733;4917.2283652433;5884.8145939144;6547.7811953993;0;0;0;0;9552.4280331711;6423.5720047344;11538.287752971;0;4478.5449907256;3056.2847934822;0;0;0;0;0;6097.6747176639;3799.4916752998;0;4724.5877023223;4777.3270552881;4706.5136943053;0;9063.058305791;0;0;2965.6199925639;0;9328.2515398846;0;12652.970055845;8215.8616672253;5992.4937249652;4452.5456278473;9913.8253735012;4221.0569554383;4548.6997603663;12111.75417211;7642.5626633283;6856.5287990252;0;0;0;0;0;8064.8991215012;0;5525.2008400426;0;11405.269986818;0;0;5258.2332612828;4159.7433580403;3823.4335420884;14995.933807295;0;0;0;3458.5108126955;3681.2473415303;4439.1450062883;8928.3431924664;0;3545.0981457233;0;222.82161015688;9004.0116362618;4563.4576795875;3359.4382953612;10224.409040677;7183.6235111767;0;3320.0658927142;6075.4105082337;0;422.70502702364;0;0;0
255.23272548558;74023.63406027;75879.697885984;78534.050856281;83596.080441911;79442.701924934;82786.128991686;86613.52685785;95332.917324281;71848.768737029;98888.721063739;74944.203621654;83147.588162601;81182.433344942;88041.182366165;66635.831956843;80473.042536777;78973.067122228;57450.767646521;83256.038374996;72540.969275425;73208.282864011;75323.024278479;61619.142050612;84657.539423347;70704.551633121;78067.451604274;77578.425073283;64741.604270914;57986.304514925;75087.26353111;79573.58352677;84722.140722211;88293.119979215;80408.424905918;59695.380930213;57184.173407926;60381.520133819;81962.731180047;72913.68640037;65875.822670824;76211.687082534;77881.653480049;81163.360801561;82622.084872477;68959.660601059;72897.453443049;59168.680119641;63928.911217458;79520.650415945;73083.536440039;76566.107402882;62953.227847813;71425.640816018;74526.092622;74021.123818866;72562.590908916;85071.402497796;68334.994324402;78519.62194753;71672.647190944;75359.920859388;73492.178562414;82751.813503918;67338.42520266;72571.878590765;61388.976837418;90119.371059895;79682.725160642;93507.913775977;91194.911441205;97614.942961185;80888.793193971;71968.794081193;65551.828933243;78968.9558598;66726.226569659;70474.385281631;61381.263297786;77984.10533127;81479.205303588;82345.634499577;88321.24941635;111699.98607671;63326.126748416;77924.646904473;64892.758845709;52325.563328929;64055.584322176;71257.116437176;70488.826906595;68338.510097305;80529.29591245;89747.88285192;92210.256863239;59571.605231283;65797.569809667;72863.530425442;66701.742847658;75266.809427513;66068.162444917;76740.958222565;69339.934704783;81091.895011684;91589.440605897;73946.313117024;61129.50630002;65828.303659343;69707.815655008;68664.744228166;76512.831655865;77140.892649376;83735.198191079;89281.448419934;61294.771989181;62258.738023926;71998.799213163;76485.733496939;69968.137094271;97682.7087238;77089.500824819;67039.785155904;74796.131970847;69634.175667721;76072.789528041;72062.153285628;80433.325173433;87983.341723315;80613.833403604;76250.970067627;63775.353320492;72835.612469812;86548.385651354;112553.8306356;69254.700851124;72630.026701833;86215.973993864;103970.1525098;88877.988300039;60303.464179362;80468.101919154;97261.495560152;84290.728804891;64493.641832159;89579.5389618;87464.343089553;89719.876407229;89446.540702106;86490.605312344
281.24802818201;333208.9056016;320138.17891909;331326.9445578;348937.53234839;293396.3953211;361362.07036604;378535.34052658;348802.23099929;303284.38194389;373533.75739465;323734.70953912;322028.15412436;333875.9201126;314649.31410631;305406.74622783;326856.84410522;314276.85145926;328107.50320068;294238.94298999;313772.76826848;308173.40509844;299087.12792286;308329.59990422;323436.31143492;311196.3920684;327947.83341521;313831.90268541;290738.85634601;245858.53585215;288488.02334411;277809.17448633;322928.28370044;368567.53085781;358666.67864698;292209.25381131;279369.93032893;240443.49343983;305378.51941896;281917.32237333;247551.16674782;255741.95036365;278759.00248955;299523.38893363;352983.30237709;276751.80741825;274744.94371953;254415.0287246;256350.13347961;303719.81261655;288418.51398128;285949.53820696;264307.82647551;253039.81549346;271866.25366257;371130.78281508;317448.00466091;309824.890453;309321.07007603;317539.65263542;256148.68134113;264927.76010303;281545.13043714;335110.08685691;256202.63667315;256750.05777429;243386.28504757;308376.98209226;401098.71104105;370498.79315522;379757.17293391;344540.92988024;343315.06918536;290528.57856143;232269.99427867;281027.95512198;244567.22424451;250496.01119571;237075.9523324;295281.24970033;295726.8976515;414272.01704733;343173.54347036;418067.72204018;294153.11300171;285461.17293595;239530.94475003;208482.58918689;245087.58199397;262113.02960126;285943.57407773;250524.03259698;361905.68865773;350098.93586586;358667.90119658;330267.52470511;261033.71021944;243602.19028251;258680.22392607;237306.61636696;246014.06522979;271343.97992924;303222.87656202;411248.0684727;350529.12815382;288598.62025583;237036.22353566;232227.40912314;263050.75994842;261258.43837803;280989.07893963;370926.83496638;391165.06129789;345051.56026411;251402.2919583;243656.4819326;262730.04743927;285788.24760326;260930.63451903;396404.70211318;360781.17748166;275666.82400341;258540.7230674;279705.82994232;286877.14204535;270544.38152722;337988.48472488;421358.99341875;268383.54530185;301761.72185278;234204.72363896;273603.8831807;326220.33739751;467265.11231262;252690.13685457;256947.95796253;322145.12777148;327344.99646102;398471.81420532;246539.10578309;276999.59006411;327103.51639069;305992.71381013;258457.27449024;326382.3732368;321119.21099154;342242.88228352;328695.7386034;340719.65720268
282.25137114734;59993.812900126;58694.891360104;71659.421574364;67333.344631732;59003.603531165;61049.661604416;66867.559374084;75080.448050062;66736.974321145;70515.281689008;57604.448608218;60203.880751903;72048.591464605;61035.966332878;60435.289855936;71153.69447894;53107.680947757;57911.1386503;55653.803437851;63300.98160515;60116.178652951;55479.271479917;67337.869675375;51671.948635054;56524.475227309;59993.610556234;63764.291965397;56753.40088729;41544.871804174;66855.471117944;50337.780995043;71415.328635973;72480.509070852;72990.261835415;59438.157007422;52136.807317522;43586.713824545;53049.925427881;55592.70954061;52190.645399982;43495.047064278;56594.608626941;58826.609705579;62193.722359453;50575.150563046;59480.985208846;48548.375167601;45566.620624802;62630.34795002;54220.204071585;52317.505492786;54669.011943266;47578.456157869;54418.266421732;66811.360123186;66757.781500673;69177.371552614;58985.937608156;62010.780546337;48732.169230712;50633.517160526;57189.243166076;63623.890598633;42768.331097408;47717.578702033;42247.787048569;57827.954743977;79308.517846801;68990.382243732;72269.767830657;63865.500541454;62294.403210362;56315.820394122;43726.142129969;51557.167293918;41298.805115102;46154.86634236;41022.35896383;58706.500805539;68515.785463002;85600.015361505;62986.313020086;76083.563122049;57888.711836233;53884.617164417;43449.503448892;44033.471919242;49649.149998214;50720.274896959;49823.029297975;51220.620918481;67761.46009574;77365.637394784;64696.816913337;60037.995727962;47996.925530974;40119.43573758;45102.18665016;46878.42470428;56815.233335279;50374.211997199;58231.539421049;85161.321297436;65202.645536404;61036.649608386;47576.278258058;42999.085062253;52135.117592387;50030.431591599;49632.23418065;74178.300311239;68853.600840623;64273.639832419;43064.165443542;53533.052688461;51929.401458197;65464.385757271;49175.313049156;75463.13957524;74655.451154792;47756.918388004;51033.68003355;55266.690474201;49052.918178316;56674.709187703;66026.169574083;81429.111769302;60528.589417479;55889.24257555;47885.114801417;50978.469294973;67971.197156132;94172.030446297;47622.698028064;47106.602132202;70851.008543232;57332.632715879;73708.36001661;48583.675049011;63400.365845807;70358.951056145;59870.254584926;44132.456796659;57882.457992872;64659.307012579;66043.530319595;66378.077979453;66778.685206382
283.24270930542;45880.036549043;47827.600419365;46986.453084954;51869.510184916;48218.559512767;42257.978709039;49878.964654379;59705.003425732;41224.10904521;43617.068712417;44718.1955025;39415.280269619;43957.810344079;46869.453663895;42688.282918434;45833.255050413;45205.999410424;38503.335301852;50874.109635579;45890.525708647;44805.66816167;43115.027026847;39014.190580864;38535.327105099;44530.728034905;48122.798819711;47405.22717802;40919.945460813;40902.794036769;41659.953688306;44042.13947576;50596.578527506;43610.667480604;43239.464732484;43090.627699921;36306.270714229;46394.764723339;56855.690262923;48407.349686896;49222.2347403;41819.075671063;49868.31365937;36980.40481215;54692.05067255;37801.109288449;45773.261295011;37051.828895384;38085.47985736;48379.197603604;56897.342118501;53450.832814852;54721.117635186;37531.175487704;40215.700775893;35869.395277713;53483.691037399;46478.955134106;48699.876421094;46916.513925968;45005.278724368;38714.180280488;49392.931542976;68562.261434707;51978.718790758;50815.54876306;53355.716105414;50998.581396404;30706.854294482;46038.435739112;59388.597520067;45414.057467115;51740.539692632;42963.460621795;46336.51325545;57766.254364006;50313.572906751;49869.65717214;48275.761336944;51013.561389582;42815.867029312;30134.203015089;48282.986689497;45420.438314351;47226.876781973;38776.879943406;58547.34211893;44193.914496215;48050.504235113;50060.05397957;48829.489595319;48527.853737605;41458.051931293;36127.059553162;45958.312987073;44560.879397494;47055.213955202;49397.902244331;50632.968595057;49599.184400583;52301.061824719;55528.123925493;37176.435241405;28081.166273508;48271.750956209;41985.30495377;42443.589042826;47187.327037708;42588.941905012;49803.333211659;55087.636241931;38696.053056676;38869.367267408;45982.429101129;43913.829711548;51393.498632003;43437.18695469;40412.818514571;41659.893991311;33852.675520579;43161.989211632;50066.483758045;46331.937883674;46524.375324831;41745.729815866;50079.020452815;41347.372509496;32557.481536021;53937.252752733;56482.427913472;40040.741422782;51843.58637445;48877.326868851;32746.755724101;51754.212688661;42647.577147673;53126.687678917;52242.758649522;40586.355329635;42702.836658335;39509.610012105;48225.386553896;35748.280443156;41887.299438241;47008.212451638;40151.779317219;50041.739294691;42806.57996501;45659.857006578
283.26374378257;615367.03223941;638225.92474439;647113.46354476;688241.45002481;618872.15291648;658347.04748308;665772.95356666;683281.0950971;546257.51194587;666969.17201283;622080.37583942;610390.02900652;639443.17573942;634049.6728673;597108.29644313;642580.98664505;629729.94524078;487989.55588072;595674.75399001;652773.56301839;645865.1013488;627018.16216013;518279.11024005;592096.62324194;600546.60299283;631809.43965568;645263.62693019;576032.23864305;464590.54251253;591553.14662232;616769.69908285;651225.06342311;719300.94432811;683726.14323034;506197.56725028;543596.8515097;446790.37575641;555755.53782048;575938.98132333;523169.72737699;579319.92896043;621989.30501669;611808.41287082;701584.67376073;577911.07093002;604853.37788206;518176.46296642;513683.12366973;568813.51420847;600353.37699741;583417.98293452;575243.41124001;541694.63238325;580017.12171148;581883.14351217;615170.5019504;641078.17342812;638221.99144272;692540.10885306;540945.90007748;520226.13053766;568444.3031636;719205.75255867;540415.73841139;548893.79949342;566456.21282235;714632.24897905;625789.13851222;709516.10584955;748361.67463223;767640.95046112;674583.99230914;595829.8388262;480273.93261386;529532.54856811;515731.16978367;535407.71740102;510119.72385285;662815.31277255;666945.42915491;604770.76965571;727990.62323469;801113.32948661;553262.78579416;576740.72591066;497742.21475351;443361.06265928;530306.84328196;542159.1588904;632780.03225504;586752.64758443;603821.9425501;684824.27109967;744174.52719832;522794.95374106;508007.18203256;508173.88865688;546819.79127118;520142.89150291;575137.94754288;605810.94505455;630066.06795206;569679.35896613;710863.8500949;592745.01311487;474222.33910326;491830.18966455;561383.6715274;573643.45275015;619863.93127427;590432.64750048;642412.29573571;678778.13145657;523986.65160374;530447.56223919;568519.64658882;573059.91683363;551312.40617913;596695.89814449;677525.15110462;555005.00614011;569644.77574473;562928.04495051;574553.26987112;609209.20720299;670711.76028904;698673.43214862;550990.22979626;598479.2373323;528399.31686114;607274.76927234;691256.66570474;716039.2768916;572328.53127054;531556.00572781;707256.66327878;732669.58868694;677044.87894431;507139.27789396;586435.31968364;685883.62255755;616109.12713123;498534.19984913;701426.78575798;657469.04256961;765099.14759673;679129.08498693;676362.62125183
284.26705034744;116577.26556307;110656.83963988;136297.00326697;134555.08770746;118728.23330116;126163.46352414;130222.27933397;139040.8153838;101929.9032364;139568.39185167;120711.91782097;124088.15296905;126866.80219632;118525.4775148;117713.55902711;134170.38281482;119949.01130258;95968.670063406;121071.90809479;119873.87930565;115438.91855649;113220.70242913;93511.452232532;126992.59690968;120845.2276218;120188.15859797;132354.00746129;112018.97418456;93850.431341205;119421.45775156;112419.11429348;121600.85195205;131585.36226443;135623.4199822;95248.886153067;99330.613706511;93641.69764658;102285.78870421;125705.74714823;114804.7202762;110025.76588289;114772.02164711;120385.83384703;136248.43301127;117493.07342682;115534.96604402;99240.281950242;101917.17901977;116679.06733363;116111.47525201;100389.74483784;106820.27195647;96625.058740729;118057.76292512;107937.09673415;117802.36622848;129690.68240204;132198.25212662;120913.1266201;108534.64403471;90200.847460158;106838.09702797;143575.60971282;112073.50596691;97332.707542414;110053.44863097;160115.25274752;121984.64456979;132784.72647759;145535.91000369;150544.20064675;139753.99263277;114830.39311997;87220.430525298;107222.0179758;109953.46583751;103849.40429362;102116.83024562;130486.18217339;133200.00916424;116776.96804659;131985.86725366;146857.253945;107616.68745278;113088.47036939;96442.858328237;89986.371591295;97580.441864654;104693.13660742;106421.47076696;115635.20825238;119668.14309318;128226.96585583;136665.47508404;106049.22967684;100744.43166813;98093.436295042;103496.97837331;108631.06003505;121398.6653404;114301.09020643;129531.01606863;109752.5978676;129116.68054812;103531.52033988;89963.088578655;102708.18936064;101813.99324069;103023.89839537;108633.05420406;113535.47767147;124469.87848375;131841.31719436;104025.47857894;101717.37237248;97857.301601371;123762.58256905;106349.76766149;112628.32274658;128986.43133678;112666.16565396;105640.14176372;107603.20309745;111091.90187548;120886.56646987;135515.36718008;135006.39054745;101731.15032996;121507.02682942;88611.051758407;112354.13294684;136878.06713952;130896.02132589;112382.02469045;105735.62972296;126392.73853684;142777.74532692;126839.58796185;101242.77302989;114674.56624615;127483.6986332;109453.26698717;99967.779390037;142484.21616255;124260.01064529;142715.17628821;131174.93640369;125353.61001035
286.97742337805;33189.76076492;27974.609824021;24445.737888148;31754.057411421;36198.643321398;27548.694128593;29438.001885812;31464.682035884;28189.114618179;24080.873710308;27937.393223795;31457.394210384;23433.373797001;35477.458721076;31898.063447878;40801.988969981;31668.984871124;28740.27085497;44354.64660734;40172.186769812;37269.829057811;28814.331516185;30972.706476947;24362.868839347;24180.814267923;30730.053826049;38653.604640042;38247.725846118;35806.589174528;21207.522826394;19913.436684524;31623.712350808;32092.245295302;27208.749093113;43339.007030168;52532.390506164;48165.072476374;39899.777271059;30438.213045124;26063.139234281;36006.608055929;25005.476244173;28489.240636039;23901.438507067;31675.116339612;45300.744890423;46053.656611677;57212.502331547;32048.692240344;34296.088387581;17658.323607126;18702.36091766;18873.735826859;23142.390224146;25029.287856338;45792.578940261;29200.934222442;31752.534649971;33749.382925025;43256.712110116;23766.135180864;16402.220158528;21861.5531029;17833.134246727;26230.082793493;19051.278066657;23060.475939607;18680.895911167;36200.86973725;18157.2310812;23970.476169457;29338.887848635;44183.40130222;39504.158025307;17067.979061878;18565.589167858;26760.954989031;21655.859704773;27566.065758008;17969.86457172;27176.499418281;29317.43019117;25155.752139298;37737.897118721;58503.057525063;15457.323192166;15885.936594612;19189.677646793;17967.965936176;19585.419123043;23990.727479232;30968.257769507;20739.022692193;19336.016460667;37033.340883203;48824.792230259;14951.765745433;17970.981605592;20587.855556595;16382.645517559;33145.892343144;13121.469337516;36616.70459749;29870.894973383;44575.332772973;18719.161324942;28641.218566529;21596.165064245;23261.994655814;15393.276523253;20192.817675312;28596.383901504;26164.855959569;21243.751460803;17989.326038256;17970.26551511;22188.188701678;21860.435508958;22907.728320942;23872.734142899;15503.248966568;20458.992389252;20808.137702397;27057.482480139;14685.620199858;17216.012612839;26333.765491955;13559.498654804;14598.692827644;12908.470022824;12153.570370654;13417.366676691;19288.713568168;13241.556517921;16704.454654823;25592.68000324;13427.145852851;28907.063829565;22200.311722032;25309.495868441;13815.991662916;20071.1782424;29507.320098914;21697.189514997;15708.561459478;21825.835924914;20702.325809327;29231.398176139
289.02837115647;37433.760306339;20512.959450107;33620.195680722;26047.979350082;29767.207530064;36320.185844272;27671.474646801;29249.164597236;35674.89751189;25343.341506345;34020.003991493;27657.753157422;39302.955116464;25085.931314553;21563.892396065;34645.963020406;28493.43337147;34936.93691063;31827.947712529;26898.429722773;37920.713288124;35185.335134354;36834.011937915;18394.53190158;24624.360724127;34892.534068037;36401.862118782;38868.152639426;30102.882730801;27029.022747953;24733.792968301;28875.117999149;33914.591874465;30437.889326786;36815.226483059;35089.950472033;34511.569307616;35162.449727807;34061.796206733;26350.937934416;30898.678349436;27734.775445605;25191.374559224;23027.221672309;34335.274931083;28896.903718661;29273.294337977;25025.896756191;32949.811771367;34423.675677918;40262.324994623;34969.755257203;23454.38364622;21780.22682051;18859.184923752;21583.033185815;24225.257129701;28151.973871741;30791.787098683;38424.687737468;29579.945427955;39444.228927756;28090.319830444;26351.035946948;34999.046772449;23087.755336356;29997.956186174;20578.720448874;28714.694477822;27537.984465442;44253.256900038;34369.914886569;39060.378588838;29285.660015881;37748.274414804;34895.238083502;29070.302538822;30669.330823387;25870.354108059;25706.437522542;21228.803002977;26879.68796314;38262.483716033;32278.454207775;29693.67094097;27825.90948756;35574.878122398;29353.783464287;28326.452025018;34205.601840701;36539.781976091;28518.766565793;25866.518389939;35940.081981985;31099.915129635;31184.231963397;35632.659674393;33925.837031664;32123.745761009;34897.965965732;34705.058207605;39923.499823628;25196.267926223;27989.288859167;34081.635590328;28192.864993335;33923.632241064;36703.766668204;32893.012540731;28660.736992753;30644.737475504;26742.745880864;32225.184718123;33565.850964791;39551.819931954;38235.256062923;26896.328208804;39733.014457259;29295.210471399;25285.943704215;34699.545204575;33018.834739486;36920.229587015;32380.807124781;33368.631387986;24770.894378495;32730.340132339;37274.863506135;37851.945920264;35297.629515921;32459.129372661;45145.302262546;15274.0654155;31567.16087795;42450.486998577;43268.812981633;48109.331821638;26972.234766233;30219.973473032;30337.423225793;44512.136532656;27711.696154129;29944.41642676;32532.169281596;29122.669952483;28571.277645336;26905.662689929;33269.35308142
