# Exported with SCiLS Lab Version 12.00.15110
# Export time: 2024-03-25 13:21:54
# Generated from file: Y:\imaging_core\proj_archive\DATA BACKUP-OLD NAS\#394 Nilesh and Biernaskie-brains\240301 Young Mice\240123-Biernaskie-neg.slx
# Object Full Name: Regions/240123-Biernaskie-neg/288/288-corpus
# Object ID: 19630347-11d2-4316-bdca-06f475bffe6e
# Object type: Region
# Object creation time: 2024-03-22 09:35:35
# MzRange Name: young-mice-features
# Normalization: Total Ion Count
#
m/z;Spot 19159;Spot 19160;Spot 19161;Spot 19162;Spot 19163;Spot 19164;Spot 19165;Spot 19166;Spot 19167;Spot 19168;Spot 19169;Spot 19170;Spot 19242;Spot 19243;Spot 19244;Spot 19245;Spot 19246;Spot 19247;Spot 19248;Spot 19249;Spot 19250;Spot 19251;Spot 19252;Spot 19253;Spot 19254;Spot 19255;Spot 19256;Spot 19257;Spot 19258;Spot 19259;Spot 19260;Spot 19327;Spot 19328;Spot 19329;Spot 19330;Spot 19331;Spot 19332;Spot 19333;Spot 19334;Spot 19335;Spot 19336;Spot 19337;Spot 19344;Spot 19345;Spot 19346;Spot 19347;Spot 19348;Spot 19349;Spot 19413;Spot 19414;Spot 19415;Spot 19416;Spot 19417;Spot 19418;Spot 19419;Spot 19437;Spot 19438;Spot 19439;Spot 19440;Spot 19499;Spot 19500;Spot 19501;Spot 19502;Spot 19503;Spot 19530;Spot 19531;Spot 19586;Spot 19587;Spot 19588;Spot 19589;Spot 19590;Spot 19591;Spot 19673;Spot 19674;Spot 19675;Spot 19676;Spot 19677;Spot 19678;Spot 19679;Spot 19760;Spot 19761;Spot 19762;Spot 19763;Spot 19764;Spot 19765;Spot 19766;Spot 19767;Spot 19768;Spot 19847;Spot 19848;Spot 19849;Spot 19850;Spot 19851;Spot 19852;Spot 19853;Spot 19854;Spot 19855;Spot 19856;Spot 19857;Spot 19934;Spot 19935;Spot 19936;Spot 19937;Spot 19938;Spot 19939;Spot 19940;Spot 19941;Spot 19942;Spot 19943;Spot 19944;Spot 19945;Spot 19946;Spot 20024;Spot 20025;Spot 20026;Spot 20027;Spot 20028;Spot 20032;Spot 20033;Spot 20034;Spot 20035;Spot 20036;Spot 20115;Spot 20116;Spot 20117;Spot 20124;Spot 20125;Spot 20126;Spot 20206;Spot 20207;Spot 20216
209.62855955469;17516.747763848;16767.593282357;19408.976329557;17929.08754958;17593.668797233;16958.169051021;17186.066049316;19371.356667412;18269.366736977;20324.004150015;19881.597484286;14419.594426579;21951.377113131;20078.83884535;21244.528794874;19719.464493288;15784.977392804;15682.718148794;17204.042008199;17391.119320266;17476.980283631;17803.238796339;19227.384547063;16032.201507751;15791.869403145;15500.262185254;20206.538762924;16348.336992136;16589.840659306;14280.655226353;19679.437476059;20532.897508061;22028.653008882;16479.825245105;14636.970645496;17103.059051365;21528.671914265;17652.016878015;15870.510653129;18193.958327933;13578.739554341;18215.048562389;15457.560977626;14668.560953869;14884.859586454;18038.723926692;17629.520574858;16031.302651523;23246.180192428;22564.854196011;17384.145409904;19893.628820253;18243.513440693;18195.786008934;16990.662821943;16704.936583155;18062.740446889;18740.180701757;15956.672923963;24065.892987568;25583.116257059;22209.616724733;19861.967913892;24305.657740401;18750.275399027;20636.888112312;25368.214392758;24562.933517914;20155.35510024;21020.860586553;19268.046366135;26173.020854203;22269.474820638;18872.40017192;20571.271190012;17879.18175239;17739.548611919;16697.959356653;16811.109601948;23091.673228032;24337.536353902;20891.418069596;22305.077929343;19265.796250886;20188.36027363;15420.024776173;16900.80809343;11348.982089405;24674.601463201;21645.997012686;22224.080892903;21089.610493658;17454.487306777;21100.886048172;19975.214251278;15234.146596153;16574.111871642;14714.27405035;9174.7564950326;18050.156828257;21493.101322176;21795.844979111;23550.127384703;24372.429818917;20356.97496008;19085.784345801;23990.005878569;18553.306456279;24987.945817433;17359.443649258;11750.328015813;7552.6382451381;23016.429458731;24892.668714601;24255.293695026;17419.652676529;23994.415590961;19686.376847056;11796.829595148;8050.2748277076;12524.950666628;9261.7288421513;19341.50781663;19678.970177619;20323.152568961;6769.1707737007;9301.5287328807;6261.9416887219;19734.984167588;20575.778577965;6899.3447032336
229.05363493112;437490.40408272;374854.79293988;505353.64109469;489760.148233;497932.18594535;480780.71438803;558343.16758087;479313.98817244;486707.39171362;481281.44958095;486308.81872508;465395.60694006;316355.66732071;311425.06573058;328980.44148917;348179.20372297;349772.9434211;373024.1179156;414027.87190573;400345.41532366;485813.15713;559652.81718815;584979.10951563;496945.26356952;523242.69417797;600265.66077567;659386.69389886;612894.50146846;554868.5357658;619547.71760405;571807.09897029;148310.41420964;194239.3791238;187729.51896513;274734.13440473;313106.24330311;301301.44769472;396360.60277927;411193.9750254;476811.85181503;471167.58480722;572592.65711947;672107.84267056;605537.5218413;540811.68088851;701219.59460792;620976.53049723;484522.16929941;51752.39040454;84130.350646543;106687.7432727;144765.90485315;170964.65086886;219681.50471031;262779.20882693;563501.15311915;562790.78053388;662391.0647682;316830.69708299;18135.021501757;26980.595380738;32388.154606826;51074.521030907;63090.084397042;303737.43393101;400020.0694297;17724.643510342;21354.780930957;18470.395408322;11860.097484417;9269.7775475202;12279.082406738;13282.029224145;16089.820141035;12015.129215299;7866.9725635071;13713.354286391;3275.4385791013;2845.4021885006;20598.698924032;19734.384489391;28525.086559456;16202.608945086;6376.4541556653;8231.90939982;3911.3518358509;0;6138.3635300609;19290.923180754;23354.00761755;20990.303237659;24626.784542401;17267.771073105;17787.500403322;3978.5632251473;596.40558680186;6963.2867771531;0;0;18313.181299049;31925.012427165;34504.634270971;40130.641351508;45948.587649306;37490.194413118;26331.300224623;15506.778231481;4087.0197431583;0;0;0;0;47095.832081381;59214.123118491;55571.402715581;40708.891543748;40513.606151189;0;9952.0019235051;11907.746340347;0;0;61482.846793011;57446.607243444;69719.144981593;4430.8466246306;3186.5955983653;0;66176.261577703;58473.554237243;807.13443487237
255.23272548558;27583.561536658;21846.040980195;22830.026685529;25439.134904405;20766.390439019;33924.277777574;22560.78440643;21951.709763002;29631.51303647;25580.091104839;26244.364373455;29217.7761056;27332.649073033;31965.522555143;23636.651102019;35141.345277628;19524.134578411;18477.758072227;26442.6689762;23867.155110932;22812.237610406;22494.730388964;26105.486078579;20360.330985815;13958.177906685;19540.348849686;21278.781573104;17941.423982934;28808.458586939;11563.358967668;16916.131125257;26015.365995976;32827.054300513;21936.277774391;18981.266462801;22547.585887836;31353.991277723;20804.745905934;19101.06927649;21078.470613576;22177.421176347;15459.624888985;21443.546259094;26645.094341718;16479.245633003;13194.915081387;14413.28827467;28236.658264692;33431.108265245;21453.921387104;24129.001104675;23352.747378135;22827.069751002;19694.442161475;20810.740155821;33089.817540046;24765.617295728;20656.613665037;19253.929912528;34753.828143981;35566.013755305;33224.673884753;28383.494820224;34101.611616484;19050.888918702;27824.157979815;38420.867642509;32772.696996099;34667.310360312;28750.401523223;29337.169203533;40205.556479413;35721.981005371;38693.827102515;35545.612178013;27275.468266768;36024.377023278;38331.902020975;49368.359194626;35458.190582777;37631.601268502;29819.173457224;31434.276447963;24980.932875102;40121.170720507;43435.47551753;41336.158300088;70078.058216343;35388.562785983;36323.072118948;32510.378997159;30061.410224105;31754.23854033;41448.963015902;39633.682696347;35814.216909876;52325.747144066;72907.613648553;61587.666203303;31076.905037946;40481.244855792;28556.748491906;42297.495612704;33227.890938194;38312.868060215;32872.161725066;34591.594572715;40639.142719443;39695.972026934;58563.968065699;42833.834109371;48733.818787873;41574.15139034;35487.756048809;29736.416699503;32183.42282789;33101.301745542;45103.95054217;49849.803919606;48575.874508832;55433.419894493;44598.62082201;32565.168528814;41743.845138061;38523.604280503;39496.783284507;48716.12109951;40168.542014789;29797.538892627;33770.465379021;35084.21739656
281.24802818201;167578.82494606;152433.7827584;154414.10413599;147279.60088085;169439.24592137;156863.6015588;148651.77833944;156613.47060387;153628.71434981;173260.3595271;145787.96623013;178488.40553907;168450.65784894;147832.7466966;170638.51703091;178698.8595311;152175.13936616;137064.068968;168722.03208057;152695.83925825;161909.53247073;156748.43222456;133246.6315379;140919.20573047;138094.51826051;140303.33981294;142490.98052416;150529.39380046;151073.75993633;121496.48860386;144742.62508643;193005.50304273;180858.47247162;174240.22567748;167405.34438632;149496.24727668;181777.26027745;163138.64365559;142577.76270876;155983.30521978;128204.40277573;151488.95786917;123651.3466631;132886.69668527;152067.20059019;128508.66972497;133911.40175123;163581.12336165;187667.09303114;175515.03107416;183516.85482741;164737.07600953;184116.16539719;164119.06915077;152222.39272694;130618.57185089;155335.17955891;132235.22320716;149581.26783662;210437.99023446;252942.00303296;209460.30085832;197283.84500395;264703.72908815;124245.60199584;134964.2283514;234145.89620044;206415.10797923;228172.99190195;241605.96770582;221684.41902651;277209.9853898;225418.24711601;223073.11849505;251470.84773373;244764.3867561;252682.57960999;295620.22494175;295216.26728851;236123.89951107;240963.45763099;233071.30004281;232624.37590522;265148.29792266;322865.91094995;351546.00284574;350318.32450948;399270.25959929;219690.53589307;209170.70897117;196432.56126277;216599.52988998;211752.79300835;259537.71139834;292319.92012227;308252.1025501;386209.55114307;449501.55996536;316837.73519837;227109.70823649;212893.94272182;180418.02251832;206299.34790947;213074.11190807;222080.41010101;227321.4265446;258792.79139393;294829.28421869;349693.29194045;427710.06741162;262849.43247593;224303.67628731;237021.22740978;196906.6346201;223379.11793773;212507.65525339;224547.18943922;393690.66403956;361431.38904567;219143.48258344;200725.03613267;200701.48822579;210047.56059729;215657.04657124;233430.26368484;200048.41746255;219181.44106964;149194.76517774;193530.00038336;202555.62932218;174504.27832276
282.25137114734;35202.773704458;35365.19264546;35568.601055476;23741.821773113;32308.97216854;36765.929398629;25730.674717517;29679.355931047;32388.273623255;35265.65147799;24724.840524188;37358.226185445;31402.16176258;28127.826780905;31797.281362601;42120.869074369;36279.877326805;23859.452028597;34528.60390324;32543.752555191;34393.917866181;33698.972732321;24536.989511877;24717.71195811;31353.346792059;25659.722854331;28479.773472237;31719.740782288;29842.808952718;23936.386410546;26481.228925946;34147.473042815;33015.815918632;38874.136028234;33733.817641295;33905.300940645;36051.31179618;33885.631298737;25370.865397328;27474.753920566;26843.862446297;25126.786178214;17690.782530874;25894.600701811;30986.317197347;25852.912284484;23723.566789586;27555.039617655;40539.581702323;34301.372833964;37026.950825216;36630.446634419;32255.655729675;36805.63655083;27240.041682681;26076.659308602;28845.786777825;36266.055107569;26771.502196901;43491.450339492;42642.842728496;41688.425408289;36327.290726489;52131.813060722;29310.725069508;19202.129375059;41865.238400016;43735.838450243;51052.085454815;45728.48542808;33596.798394994;45503.923238837;43639.142727582;40914.142988521;54473.21511193;54227.688843566;58068.206174955;53881.74931372;52146.925503145;44587.795111442;41513.629625774;45606.565768297;46234.741665811;56553.466329592;64778.455287742;67394.002277696;57683.118999325;79265.56514118;39157.189376266;41740.302220229;37027.026701568;45745.221861369;37344.327434059;55050.567143714;41885.824403501;62310.792701206;70714.301244275;84880.984290316;63466.482727548;44986.052729128;36842.885121112;38833.12915298;42970.53187204;41293.541022131;44798.040867896;44017.235076435;45625.041801178;53311.49586571;64511.760670233;89324.968377433;55780.519538876;41957.067304183;42497.475738032;36602.110708998;47327.941281629;41920.745534798;42659.041199986;73467.063660079;73502.128396543;38902.108718259;42297.971187891;30289.161767666;39525.661001219;41937.986854126;39683.099572307;41769.387407227;43410.927559738;30318.607565469;43056.003136108;36297.284242355;37988.509809711
283.24270930542;8303.0102572172;9979.3612292063;15910.477937948;7838.7255524854;12646.248806483;4193.8073245893;7933.9392924585;11942.852931709;16166.093555756;12204.124982826;10026.592552547;14579.050316423;15912.548116276;7269.0518632079;9969.4531207408;8323.1172890034;6072.8517735882;6543.5677453508;7558.5468340083;5880.2850381412;16405.441594805;10519.969275946;8625.0941197751;12048.817525047;5618.2231512233;8811.0845550491;14269.515933068;14174.135141072;9149.9664416781;6508.9949819609;8582.515425194;4905.1088321906;12005.142448524;9469.4611764074;10457.724069645;7831.9480306762;8710.3224793177;8735.3480107029;15497.599381953;5564.0318305684;12539.005563586;8239.3951107662;4051.6376241494;0;7486.416348147;4104.6179123161;5230.4225865474;12481.376078353;23528.537792511;5492.9627852695;16921.355359964;9221.7275904197;16913.155811915;8323.0622215576;8155.7691637659;12287.984592318;6393.8704213473;12901.298559642;5300.4241349372;14323.366559127;16686.130877503;20001.535981006;12911.728620235;14756.645263368;15972.480128001;3787.727219171;14362.840292569;15722.174673957;13789.07303795;8522.329313919;11623.52306655;10363.551221476;15908.210191399;10908.088425827;10584.981457726;23451.347542755;18044.246157823;18175.095530288;20673.570018753;9962.0145817495;14330.865937438;16625.863594528;10065.964978038;14336.120557851;26757.464392852;12781.77217319;12882.198434104;25263.372830683;12594.959712356;8241.2609650914;12874.136959681;11993.409567388;13661.64347773;16780.587138085;8031.2445881942;15180.987809956;21886.728489842;24257.984645275;16658.702299888;13590.185626837;11553.357093713;13528.165589031;10979.674214271;18922.640355221;10234.890402548;12386.739846756;12619.546158642;19774.152261406;15985.006731964;17677.061532014;16044.6356364;11306.208612328;15890.729876155;11962.601114562;14121.001108475;15021.550209858;11873.381549377;26555.603322061;13922.116392179;10921.113255565;6879.3435225819;8333.2718354425;12045.866880733;12860.290566993;10569.478497545;6699.1287515506;13475.032723138;10396.430821309;14841.12243931;15269.692969674;5404.6163176799
283.26374378257;192180.50709497;165813.46192169;164190.76082672;170739.44540835;178388.93877479;176729.35425933;163233.22474375;183226.89861835;167393.20028749;196411.97574511;170800.32719444;187097.67376793;210434.64704345;171731.3508192;177717.95620513;196450.7084144;176232.96518707;153965.68297008;183158.1825629;166676.70201339;174922.72965426;171208.96543335;143325.39513047;160410.58924289;150841.20756666;162559.06842006;154496.86040577;165342.38373208;166245.78112905;133419.91941742;147673.02733918;231581.44352199;224506.1416429;179340.29152226;183538.41109623;165832.60372784;192384.0685448;171665.31830098;154878.49450708;161413.57337755;151457.76907158;153550.93607124;145679.74767107;150401.53267256;156172.59649952;138180.01487586;149858.36126374;158348.35201372;240768.97080165;221791.39535069;213369.56097518;198036.347647;197039.28532421;181775.37633076;166634.76045233;164837.86675824;175155.43520714;165491.42981308;132236.35469133;293494.9917988;305388.48745181;251103.11542794;234012.33207324;292834.5566787;140922.53021066;146718.97344866;295247.15372393;267471.69008369;246182.79146705;267598.22246495;255435.76935326;308590.6840115;284086.9826522;260403.25241585;276770.72611109;270728.73281623;269895.9390993;326367.88659745;330600.59695638;280417.34575828;289083.16130384;288880.01063117;273288.10300874;279317.36626079;358661.96868819;375816.85069654;380631.56287332;448789.90893571;285308.44783443;277331.69703156;268790.59273066;266821.37977862;248934.86319581;305789.51394276;297599.79084224;352693.70367387;422184.26055611;501652.15362775;439105.77409566;289193.90949831;278605.64659421;243827.82374338;266463.81817227;272777.29226029;274948.74329588;266506.52181001;296202.48423178;297480.59700265;378234.6289613;454596.64338367;321522.05472464;326871.23174832;285052.0637253;250114.68335395;254183.10665663;243497.85166321;255020.9065804;436215.61550102;423749.18628151;319526.99309162;293716.42056091;293143.44324712;253068.39917292;248819.21792004;279670.27246435;265911.94213264;311461.13597004;252436.50067745;220839.86897231;234213.52897653;256363.39982577
284.26705034744;35946.91522438;34681.657937772;32888.919432889;31230.659839396;40499.640218634;32307.901256515;30792.949517537;37031.932855176;29157.845285822;38629.481981551;31940.179097243;35672.191131438;38913.452307473;35757.860571334;30411.82801096;38224.671448221;44682.959093909;29597.865473671;32396.846513781;36381.299214649;45152.997574936;30194.619598117;29316.731972589;31252.063945837;29702.551594767;28689.265598154;27276.788928597;29175.00279822;34709.978317074;36682.251142222;28263.387158621;45444.063878391;43329.742123903;34582.416907362;34392.355159399;34203.377113202;42381.692927288;33925.585046098;25519.40453431;43014.193439727;27826.910222302;26957.222864954;27238.183890009;29079.380519563;30333.916476961;25289.167230556;31354.158031248;34279.762744434;48671.438471911;45135.68430091;39357.599723825;43808.847362016;40642.136708601;36305.00338506;28047.369562702;28987.554770381;32145.229507633;39890.256929263;29147.66686658;56172.844643887;60288.012028162;48110.855076464;48001.378495007;55003.354824394;27235.474185934;24746.019574797;57175.619066692;48782.531405723;49339.816780583;56220.878356519;44568.681833425;52424.338744647;54985.748528402;41658.888597747;47348.501275249;53058.889206782;48492.653968613;57964.25521932;60530.291044136;53291.964353006;59543.189258374;58586.278124141;47914.343011381;53147.102853689;57512.350161889;69872.144429926;67997.476082155;83371.601838915;53244.007806979;55355.530058473;51014.313524032;47333.643204701;46530.480361872;55691.711315252;54133.975942264;70482.404827819;82798.975197562;97218.892784808;76979.088363182;59973.088430887;51928.370745224;43790.881853141;51107.31259389;48691.097459315;47046.576546165;59139.233767436;53104.979492305;69335.42419806;68922.840081792;89252.345536139;55466.937263621;55533.568079937;59783.217020209;42816.21520097;53880.707347552;49311.255131514;49227.923577576;79372.991627809;76416.19902086;58578.386862226;57798.424635518;55887.854418088;52765.240401488;57473.809641055;53599.802766901;53590.237338195;61226.100566055;49358.809486066;42064.574572344;43377.773568318;51323.982976025
286.97742337805;18238.59407047;23542.946858101;26654.181990797;13454.487190945;20032.711332124;19856.998747525;13697.020778246;15239.073821542;26782.704543662;21360.022390297;19856.22736663;20749.796293344;20631.262886157;22620.934130829;22535.296837454;21418.12379232;19667.424297043;22325.662343162;21670.188249513;20203.495819458;19693.060676725;31469.857279848;24430.731897013;24251.088962614;26147.808277659;19080.719671931;18429.72102359;30558.359958882;18557.387794166;22463.312106662;34500.335004161;20433.929400379;15482.85793054;19892.312977843;19264.530372065;20609.474503474;25844.819777885;20375.766977918;27734.912647378;21818.904571592;30002.935453819;22121.008241357;38279.062226515;28265.856489897;19292.705498799;26743.543789425;18501.907089829;20948.153840676;25225.168048647;23939.530717905;19208.633004768;12688.48062541;15261.128083279;14178.719190022;19374.723192913;16690.154271543;19487.74344626;28468.180466948;46121.38305086;16729.676186636;7499.9230058301;21816.067909326;12265.753230407;20628.702361215;23951.924161528;25880.869426209;14021.167200144;17323.569812883;16643.468756806;19304.906933107;17016.225317735;15444.817612587;19444.86616761;12773.128362761;13471.379012708;17084.289625048;21717.634919017;14763.92105034;24347.833635043;15047.496903878;17864.091321173;23885.438667723;21808.553693643;22668.29256607;17387.543537326;15991.585440817;19720.16655007;18198.346658422;21140.003040911;22762.010009352;20142.184806522;19764.820155813;19700.313349465;15680.428086846;19613.519007507;20891.814724671;13417.042532087;18952.270119295;16665.558161458;12776.055176058;23573.973185004;14927.783601048;19047.149940407;12712.950972189;16200.271970637;17422.343409258;19030.167200752;15885.717019178;21640.740287948;21014.884623825;8879.2780188896;20981.475325182;16904.218768962;20509.295856536;18002.960039761;16826.565860959;19139.220829414;26320.981952293;18362.900433072;12515.630530798;14309.571800022;13529.290017832;17507.883596795;24652.979780064;12513.262966573;10506.58641829;28183.829878578;20378.583248603;29533.006353128;16936.080113038;21577.512321156
289.02837115647;40954.84328738;36049.575833906;38470.294224684;35197.186183448;41186.247669147;32945.467356691;41639.651671495;38264.869827356;40448.800816873;49867.306272395;44454.046330766;40756.209087548;40637.887380998;38873.655955676;31107.456720759;35955.244465414;35748.471597275;29998.670388589;41919.601008146;38618.29141324;40796.264804382;41057.713414256;37924.774559742;37969.408229255;32963.102604112;41496.373007136;44205.257855789;42147.608013207;38451.727304229;37998.490835328;29740.526657709;36085.886890736;48354.680471526;27561.52952149;35077.653656091;34740.158521393;30296.330994896;38750.314723884;45114.881997305;34137.992856416;32731.352550948;37972.388942523;36630.131153134;33296.164977959;34881.427394605;38963.043284097;41721.179556653;39305.32745914;38212.715736515;40552.476108283;41134.09849267;36954.787165175;39943.054701446;32205.210794191;29874.333953937;39971.486611213;42991.318389348;45508.953376268;48258.70308458;35132.543764997;36788.532953306;34910.553208188;35772.55608686;39462.136084341;37819.910468447;46586.242259147;36292.415439936;33188.151797945;27690.88528777;22927.629897225;21278.758880892;26725.427457492;36197.781952677;28490.252799862;29508.675908455;22151.805743992;25064.023696567;22754.015766024;18259.917694114;31846.614044748;36963.92625155;29204.444726066;26075.793607608;28172.708961949;29008.853403943;25739.036104715;23819.752908686;9697.9516017404;28441.696007534;36769.259449161;32012.538794793;37045.495560557;27214.069210004;30280.766887037;21667.276970173;26239.013246212;18102.004942146;22925.314185583;15543.655703665;28280.924166749;39905.603897855;36513.911983241;36813.99189619;35779.538703897;36209.456517606;30964.560432908;42617.164297095;32017.509245671;25315.852110043;17163.029068426;16943.05741462;25798.996590588;42194.316178073;39465.569486636;32707.051883918;37646.791466961;40163.539726215;20477.263906155;15639.927874751;18872.652440632;22077.141678748;18771.00484664;33782.451697968;38776.720987078;41775.031671701;13177.571763228;25809.208697154;19843.447801419;41641.679801138;33961.067615729;24022.808515787
