# Exported with SCiLS Lab Version 12.00.15110
# Export time: 2024-03-25 13:24:08
# Generated from file: Y:\imaging_core\proj_archive\DATA BACKUP-OLD NAS\#394 Nilesh and Biernaskie-brains\240301 Young Mice\240123-Biernaskie-neg.slx
# Object Full Name: Regions/240123-Biernaskie-neg/509/509-corpus
# Object ID: fd1f7870-38a9-4085-8366-8f7ca6ac0eaf
# Object type: Region
# Object creation time: 2024-03-22 09:39:01
# MzRange Name: young-mice-features
# Normalization: Total Ion Count
#
m/z;Spot 26721;Spot 26722;Spot 26723;Spot 26724;Spot 26725;Spot 26726;Spot 26727;Spot 26728;Spot 26729;Spot 26730;Spot 26731;Spot 26805;Spot 26806;Spot 26807;Spot 26808;Spot 26809;Spot 26810;Spot 26811;Spot 26812;Spot 26813;Spot 26814;Spot 26815;Spot 26816;Spot 26817;Spot 26818;Spot 26819;Spot 26891;Spot 26892;Spot 26893;Spot 26894;Spot 26895;Spot 26896;Spot 26897;Spot 26898;Spot 26899;Spot 26900;Spot 26901;Spot 26902;Spot 26903;Spot 26904;Spot 26905;Spot 26906;Spot 26907;Spot 26908;Spot 26909;Spot 26977;Spot 26978;Spot 26979;Spot 26980;Spot 26981;Spot 26982;Spot 26983;Spot 26984;Spot 26985;Spot 26986;Spot 26987;Spot 26988;Spot 26992;Spot 26993;Spot 26994;Spot 26995;Spot 26996;Spot 26997;Spot 26998;Spot 27062;Spot 27063;Spot 27064;Spot 27065;Spot 27066;Spot 27067;Spot 27068;Spot 27069;Spot 27070;Spot 27071;Spot 27084;Spot 27085;Spot 27086;Spot 27087;Spot 27088;Spot 27148;Spot 27149;Spot 27150;Spot 27151;Spot 27152;Spot 27153;Spot 27154;Spot 27175;Spot 27176;Spot 27177;Spot 27233;Spot 27234;Spot 27235;Spot 27236;Spot 27237;Spot 27238;Spot 27267;Spot 27319;Spot 27320;Spot 27321;Spot 27322;Spot 27323;Spot 27324;Spot 27325;Spot 27405;Spot 27406;Spot 27407;Spot 27408;Spot 27409;Spot 27410;Spot 27411;Spot 27490;Spot 27491;Spot 27492;Spot 27493;Spot 27494;Spot 27495;Spot 27496;Spot 27497;Spot 27576;Spot 27577;Spot 27578;Spot 27579;Spot 27580;Spot 27581;Spot 27582;Spot 27583;Spot 27584;Spot 27661;Spot 27662;Spot 27663;Spot 27664;Spot 27665;Spot 27666;Spot 27667;Spot 27668;Spot 27669;Spot 27670;Spot 27747;Spot 27748;Spot 27749;Spot 27750;Spot 27751;Spot 27752;Spot 27753;Spot 27754;Spot 27755;Spot 27756;Spot 27834;Spot 27835;Spot 27836;Spot 27837;Spot 27921;Spot 27922;Spot 27923;Spot 28009
209.62855955469;24957.094702337;17870.258516211;18847.598809891;18657.252194826;18310.184704684;14303.760639834;17234.630593042;15643.612400024;14985.47925841;16469.010397917;16822.377921407;24848.01207418;20500.456882302;20140.751567142;19652.382638186;16270.791170462;13908.737587061;17115.708193409;18148.543432407;13775.861637427;14076.846709829;17718.415590497;16300.513327578;12909.956943333;18597.367831369;15353.381871381;22261.255795957;21143.068611815;19600.032678304;19141.326624162;16490.439671189;16617.400298404;16530.259822783;16022.741710228;13779.955112404;15806.335399042;17648.825586081;14521.681670665;15144.960872574;13019.722089969;13076.574585718;15050.156848328;13571.597517841;14089.334587202;13690.243255678;23913.707653485;17559.9179305;18753.675802115;16061.099658134;17304.502172579;19034.24881132;15749.63392252;13550.309430329;17485.037176358;16173.198895051;16479.28172393;11026.904481556;16721.64220491;15653.710118676;10722.709401855;12148.387790735;10793.891201722;13593.464651977;14259.030076795;21581.147231235;20836.353559166;20245.461954302;17239.895499361;17054.288961665;16630.033859301;15397.855260565;17340.048633464;16096.230528301;16837.465226977;15532.129638354;15869.862082734;13642.619297146;12738.301522349;14764.682667221;20412.247632837;19773.688434594;18743.003640717;18400.689022499;17403.305423515;16205.082101753;23753.355109413;16446.176600297;14144.402655903;16020.008757737;17924.19227521;17223.831563184;24151.432675683;17648.150530384;19223.120450579;16987.400320619;11757.302997836;20688.91878169;17057.367292117;19251.671169227;15898.266924511;18772.175412898;18565.349030562;20846.994658614;16539.157768872;23638.669329582;14903.069212271;18753.858806931;21339.529306657;18837.739036937;17388.544863413;17445.234550422;22512.024014114;19278.317208345;18600.672637746;14496.49191649;17057.65027014;15029.389231387;10065.070530204;21329.92782574;22052.360652274;18120.564897517;17385.740396745;19617.528189178;20160.044920771;16066.433217764;17426.498758797;9825.1371544704;23584.099250087;24038.763599109;17127.463862954;19437.882221794;19427.299513625;18978.973911333;17792.154780323;13696.122982255;13381.961865024;7084.2075620218;21973.42307644;23119.82884512;19203.789642211;18216.071073946;27817.97241494;21184.162931117;16532.892346257;13425.292311638;10820.156560953;8415.0696239767;21018.342158919;25063.699770124;20865.618597691;17465.952492145;19497.875667238;20844.357142628;22158.988354639;28117.503191184
229.05363493112;60591.774903866;68799.892283987;159040.60527286;164855.34812121;260443.6306773;266475.56957691;242349.13770849;286814.48171423;306291.23864487;302820.37919818;342848.39572546;24522.365808205;23482.958480696;65595.304139082;128013.07813264;134078.65780659;211575.54034798;242118.10423225;283134.5665083;299546.23716774;316029.98404503;373752.58033543;359449.94743759;319291.40188751;366939.05216181;309131.00582461;5146.8855588662;15513.613612075;39550.19130573;69618.739222959;110139.92622218;142314.16564416;212690.54733944;208411.29194722;269508.88386888;266902.77402219;268262.01161818;344836.89416772;361975.9935035;363014.34648127;404742.13186714;359003.24705802;362449.57427867;339723.19808831;312863.96424992;0;7083.4322924665;13330.470741893;35801.187334532;67409.152884022;93889.277570202;115619.460185;145364.38379292;202224.19650902;260391.9286827;279432.51663456;281275.16358421;340878.08246469;400772.49546586;311129.53802392;294397.02038189;282101.30993631;334205.82656738;374044.21944455;4107.4994458794;0;14155.945170182;12971.921228161;29503.077765355;44237.743379067;72040.286680001;88509.342802221;102645.90775152;67268.852905653;318639.71067968;332623.3365171;325188.96778991;399275.08175527;446875.52872302;2366.0839492856;121.57148783152;458.97275448189;5991.3579595434;15007.06731986;11623.390082728;14604.080617473;444798.79827492;410591.42059202;474814.49579508;4382.2535597637;0;4947.9571182336;9730.1352605355;9760.7976664153;5091.4905059263;386437.50759333;8927.3973426799;0;4329.8492559257;11528.05964641;2008.613401917;5392.8559327075;0;15790.755703988;10152.360983167;10129.948908874;8808.9743772007;12586.380497594;4000.9353185826;0;3051.9551371727;10514.962336431;0;6971.2962635126;4055.8420681115;0;5170.3443624787;0;4721.402635853;0;10203.298701414;4132.0667477929;6183.9238498671;5657.8301809552;0;0;0;5981.8575162178;3920.6817251934;5404.924638404;5434.6096638304;0;14323.065569056;0;0;0;0;0;18671.21787382;7052.9193748853;0;0;2501.1381994527;0;0;0;0;0;10953.763522661;7880.7000723981;3720.5372733473;4115.0067033646;9018.6280567802;7496.4482525837;8592.4878692663
255.23272548558;43108.959876143;34726.579390119;33656.046370422;27157.657499774;26791.140054588;29314.962491319;25521.151313055;25087.147679631;27313.126607937;31373.843165464;20056.728946088;49937.658381201;47558.172104495;44022.655730856;27369.687004925;28633.652146252;30550.883733767;25353.496942044;25824.319239674;23150.521934573;22842.665471143;32776.167090174;27216.291311798;17351.29168935;26921.187173839;22249.153832534;42431.565454352;49243.577027265;34912.062318065;31827.043249424;26882.754491168;30992.686254064;24518.752548271;29970.496929852;24436.724444191;31237.117223212;23724.532781104;22665.750116504;28079.068255548;24201.343953646;22373.634003208;20701.049258465;25710.591522789;20959.479193089;22312.124836267;46378.932980079;42091.155665295;33639.233295998;27971.222241132;30741.759855767;30908.334873147;21990.163201758;29271.010595614;34195.893801619;29179.479781064;29543.420777714;25930.967737472;17611.542002252;20042.597537919;27532.719762066;18834.655791843;23234.266663418;17863.836932575;21120.281209554;58348.169210376;53601.644454997;46095.455914639;38453.023694589;27784.623807915;38577.796241909;35665.811709255;25532.135481126;29452.401376816;33438.338740314;25642.078187901;19854.020722234;21281.092714947;17445.43287866;24838.243705221;60766.761853917;40766.295000328;47289.886548599;30376.366555328;33779.00875796;32794.85740866;33708.187857442;15890.304547701;29134.453772761;22636.15337105;43960.428482527;45673.766794383;48588.287532353;45795.347550175;32064.556486519;38396.093843494;20230.229419777;48558.744887237;39719.531262138;40497.217162835;36464.801316373;33911.801606821;45803.254466286;45212.936023828;41856.695860161;43281.152445954;41062.944460508;37177.417337098;37170.321549422;36818.2395326;43128.12918543;47534.327419844;44595.607339855;58322.164280762;49796.825232774;40219.228787244;40207.514302768;44382.571056644;50278.022798865;54575.636431536;48165.411538178;36405.140255229;42618.47647402;42560.301404915;38854.259186549;46169.398703864;57659.21875829;51550.935772012;65202.683630181;52174.068646763;42330.540939496;44851.188862789;47773.433538506;38626.514530762;52074.388593826;50388.343532148;53837.914123526;44616.652056476;59842.650001046;61331.312193084;51297.492699672;33000.75157878;43783.426665686;40410.233787958;44778.676691535;44137.544641273;52946.423053404;36864.471611095;46732.491079116;47118.333482403;47850.689437227;33768.325629182;44873.042104257;35846.555186108;38427.891929923;47757.326001081
281.24802818201;229210.77585761;181124.19911985;201144.38115153;189590.77012968;172997.7955676;155839.85437305;163331.81986886;154906.39615074;150238.66099826;148288.75925665;137531.3348623;246496.42802206;220601.67462263;218841.74090962;181716.61888453;167277.66424121;171203.44088807;179533.57197542;150932.57171355;158800.42143051;150199.59295419;183543.39284445;147787.82642861;153129.00057876;152596.50510521;157379.94395347;229731.81965693;227790.14763437;204675.72100634;189079.7001128;165671.39703528;178734.38298536;156706.3028656;184554.20645072;181013.16255584;174828.26527439;157837.10700127;147662.5165901;139309.79475256;152101.36452024;147405.62882754;141892.88800367;150243.29623124;150941.70210794;140872.43825475;246462.58100247;238793.9336494;250849.33898767;191228.35308223;207957.01845468;238328.29233765;189413.41482553;197168.79878486;224000.69695263;182051.47755183;172521.50869517;164901.38426595;146757.04198358;168644.75139407;141443.76326285;132082.74674043;151506.58832189;148813.49765015;135270.1819269;296468.09082192;275060.42870007;268961.52475728;239847.81131304;201212.11974478;217145.18368792;200831.41741858;211175.568205;180492.47368607;235387.01796354;185795.30091141;142803.58413773;142168.85433921;140855.89204968;150409.06778373;302628.82043279;262373.59909117;277384.94039871;232666.37814422;202179.86552828;221239.27172885;270872.40455577;139975.91497077;164726.44000648;150738.67667778;270288.53144415;273683.42928326;247902.43606277;255784.52083632;241353.56572793;240161.75546305;153396.31102725;253261.44435924;254083.33566123;242581.19033735;259100.15147071;242869.86128287;258498.41073098;295607.04195081;221900.03814861;232674.04644846;224235.87127316;235243.25960899;267170.61793443;286999.62829218;334533.68790663;253403.67685755;226522.87512644;282281.85634152;238144.95020954;260025.0160587;256305.6717361;307578.27068263;362303.74789425;305271.51290968;253464.65734501;253222.46672203;227731.24957699;269853.93387553;275809.80965999;319534.96984752;373035.53400738;239426.52908786;306391.8701263;281990.14538854;220902.92651788;248004.78050743;262301.01195563;263697.17316489;287604.24343042;294378.6166216;355907.41047661;205067.42059495;286673.19945591;297555.61725455;263856.76522486;216371.59759292;250286.95516258;280837.84673852;276961.40771346;302730.31468001;274583.16059164;173808.12078238;253807.75033254;272248.08377276;240874.69652654;239413.90435339;232484.86887026;245599.58424375;256917.20508399;268924.22757945
282.25137114734;51983.179100158;35453.258721872;35138.71891398;39683.729510016;34471.894723433;33629.746201369;32458.028749027;33646.283323221;29006.408218159;40273.4656896;27928.309320187;43086.441971055;50703.710626667;39722.536439035;43723.111751473;39891.772043197;29094.448713974;36041.310978277;31554.005081238;40128.569758221;24483.583859672;36305.964142388;34174.234382525;29318.191149895;34776.911376351;29579.348748929;41238.481709676;45896.819130364;38245.005712657;45041.249463996;40168.065260379;38290.192025339;36931.333457511;36342.720101526;32510.036277139;42078.017482048;37809.805299075;29369.515459938;35405.121974042;31283.525747763;27424.165624783;30173.110955564;35877.744470512;28345.711755367;28557.826824874;46764.055599561;45776.815969549;52007.329311998;40833.263410941;36409.641903691;43229.229346872;38782.72410294;35950.274503014;45256.505563321;34819.647012316;34034.449661651;30975.715142145;29621.530078238;24238.323403576;27521.820534352;32720.62318398;30302.132645313;36915.726889969;23335.165616031;53513.004202793;51154.022257355;48786.752467833;47743.220797747;36849.695468244;44043.971023885;35790.18246727;45777.41396685;35764.502559748;39481.243643645;38128.234304927;28598.481997877;22794.034922539;23691.80415112;28744.794223559;60229.834027811;49172.25637772;54203.173634386;44461.234491525;46753.812971428;55976.157801908;54133.005356151;28076.69867007;32187.320916575;27991.867359065;49378.790651406;47279.852137752;47014.728475537;50972.33678603;41040.756616023;50449.075502375;32245.967206365;48572.358244206;53045.783777926;53963.308039476;57292.085818222;55086.960515052;46915.744517381;55227.667337128;38908.344037727;44512.820616863;47307.129005689;48422.585609295;52075.513690003;54832.610365388;67050.364206038;47259.88647771;46793.602539325;58971.118552911;44357.333459908;41391.997546025;52554.375975631;62099.446593133;69892.12108025;58969.267733667;45889.964576191;49227.257484692;43414.042849383;52556.795835138;49098.608179371;64456.100967957;68282.864589881;56968.589976944;60584.734438913;60380.185794693;48427.059695103;51414.681218732;50090.675772422;47894.855772806;53061.901043203;54519.836883818;69143.073245678;39614.02484238;69902.70981387;60705.198140186;46195.11246869;42545.421684049;50847.110974519;52614.512549247;53123.48911338;65176.96874415;54511.071132183;29286.125719498;58898.267240139;53385.746553561;52662.114147788;49199.29460404;51791.514480013;56915.06568038;58824.249908107;46774.728298118
283.24270930542;22671.796168265;17851.000935978;13833.61489341;9738.7873118727;11612.123249023;9293.1089168797;8898.7762988869;9187.8756194706;10260.244415923;11340.349971511;11986.400521775;20535.578978883;15874.440904399;12207.857562945;9832.6960696838;10992.59595538;14735.219554916;11229.767517067;17807.436129338;2016.7619886515;11614.861519509;14176.382997447;12583.402311303;12318.826124583;9560.3226780464;12751.000672809;19362.968747058;21284.693923796;9889.5389869363;10385.865183478;13812.577001746;12387.864030426;6089.1370480989;10745.558238073;5264.0977866584;4532.2688036733;7439.753898617;3828.0804525105;5115.7869323103;6737.9988345353;5211.4923354028;11390.137918029;10828.076689187;10555.429166636;6896.4549319382;23766.513326427;17528.898889481;16029.057568877;16847.559401745;19432.368155925;9726.9530419621;8330.1166773514;12483.483324505;9588.1790314409;9340.5731674009;15385.328779514;4348.4209267322;14523.924997595;0;8337.9962650545;6857.959016334;7374.3665317519;6288.9831951543;5884.3513668892;27428.434193584;26460.890704537;13328.866399223;14274.457593235;14974.44628024;7362.1741393784;11379.733444892;12291.190265728;5733.0487138073;8926.3328125095;15223.847231664;12013.51256787;10883.786933067;8212.6756756488;12123.971824584;22004.42897408;21815.468362803;20527.218680972;17635.680951743;7895.9561634842;14207.16191875;16026.054159266;10344.894533303;12344.702974503;18118.721999571;23338.12175884;20831.765172043;10084.247855493;18000.967286612;12124.724642544;12774.413760745;12529.640830164;16390.95580759;16690.751693416;19881.735661964;27665.56946084;12744.265408383;14323.064815259;10515.418774228;19325.96387772;19457.666653566;18769.357887828;9814.7822491975;12845.674127553;14077.113224354;15185.710597517;19475.796507974;20091.532450363;26066.132011177;13584.838161211;16879.49600296;13571.944845623;15327.725639427;18384.673270527;23908.004754543;15895.320185388;16460.708623748;19233.340691655;18603.352007106;16432.059958319;14778.115973492;16029.099875389;26481.334967256;21061.847969157;23148.519528451;17572.59937438;16962.07392053;18507.795452689;12992.867296288;12215.204119012;15328.925833747;12546.248119936;8872.6540336593;27511.538889729;22906.964901144;23240.396239039;15583.827398682;16381.030849353;15194.591579055;18861.856074743;17380.91753052;15152.29507107;9671.9737937139;24192.322808068;18613.294325372;15998.344414597;16875.201237834;15925.114972582;12371.106810827;16611.981555475;18900.368287882
283.26374378257;306927.83666546;239677.94564749;244883.23287685;217654.32875641;215059.02528001;185747.72958256;198965.96365229;175644.45416588;170890.63072761;174768.16240481;174422.55545759;375353.08163967;305118.48856888;281729.04246357;224729.20512379;196692.34566764;196417.562156;189044.14697307;175136.37409617;187449.99345442;160220.12511561;210761.30563434;183442.90907476;168051.33931515;175868.25734168;170979.0089084;310305.23668387;306971.52257328;257657.02039065;211152.84546449;202752.65202522;197653.45989434;177422.71507965;196421.81328463;183606.5647774;201802.95684748;180245.60642592;175907.45122406;169520.35063451;179883.51311515;155844.2249897;178801.22276686;152600.73282635;142170.30629494;148418.49770689;345083.18229651;304122.16570837;272797.02499407;209671.87244619;238195.09125306;259595.83561255;200466.20017218;203666.16876367;252443.8587196;210228.71194485;189016.20795727;169202.52290986;160988.34169754;171107.21742815;157170.27730113;141825.3213865;162755.88018558;157760.33398569;143603.98109246;420360.5081753;364181.92775087;330136.57832334;288559.40780956;226767.5988309;230667.83765186;213919.81506356;237510.64728197;194130.74368976;233344.45414725;205348.37368073;150940.58214952;156529.16650794;153085.25344566;166019.66232256;384894.91143457;336038.70640421;337518.73024226;270810.77213985;240273.59478276;231770.6048029;275761.84524479;142733.94889783;177085.63130396;182225.18301651;331492.1545455;362640.26805506;337853.86229468;330488.57236414;288001.60934513;268385.5586109;161240.18561752;332557.39523901;305246.54604182;306152.94621925;306674.92013224;291652.50320596;301653.67404027;325143.3841985;301257.47706356;307382.59179799;289751.08524745;311526.13309424;326365.9783927;309956.3630276;367837.58650952;326577.56344736;314342.73468935;385118.93281792;324658.11872967;307315.75424018;316401.93588929;354479.02891103;387870.8413936;403829.68194129;342785.03745353;327639.82689987;290022.17793507;349461.31298621;338711.42278878;389915.11986385;429509.08147931;316043.94838454;427654.68835264;383123.99141117;319458.93981559;341516.72027744;332028.72419968;325404.60815811;336039.75528648;338548.9652749;389427.30102049;290005.58411944;408008.79673917;444764.72523929;360132.24322055;281026.84744314;329313.7110684;348046.22806541;334137.98071696;361172.30380997;322629.56691041;230855.00902447;382531.50328784;344845.61787465;315945.84068482;272452.54902431;308624.09643423;297402.0315663;327003.656718;324055.2449525
284.26705034744;57563.735911956;39537.917066674;50302.980061912;41446.083938275;46314.621615735;30577.563055783;38922.864397044;33751.430750074;32361.786084824;33672.552140113;40275.423382595;75523.31094068;57887.741843436;48929.759970577;39351.072859139;37421.434180026;28699.751775248;37728.504328026;29171.548960389;36086.985675683;30328.125936907;43692.012418506;28631.602713948;32596.324198009;34078.038950386;31175.283321513;60327.198478818;55976.901241481;50306.442136117;40510.475324811;36715.59382708;37010.379656645;31470.935857962;36369.355251467;33135.800611699;42393.084781788;33547.685497501;33527.936398501;33618.419734814;29671.346325018;31456.00488306;27894.845583625;30474.643134825;29494.856781848;30469.679587551;67967.269699673;67073.022352853;56953.288655498;40294.010073854;43468.053419904;41882.646602524;37384.179620844;33079.326812838;45451.597763055;36596.474762515;36324.965065275;40875.950726796;34009.809866855;31134.881180865;34967.734337229;28600.078428396;32492.217469492;28599.100626072;32823.005368996;77662.887871889;62374.780686072;63363.637819115;55494.38795767;41747.815615756;40976.403620888;45062.673080379;43391.206071469;36314.802964257;40808.297779075;46138.772361641;36515.709313907;32669.288013261;26572.562417472;37176.843504674;73622.943076343;66632.120944493;64497.887130985;49963.200442092;50664.862976561;40193.359415472;54673.512148916;33049.574048307;43003.147280545;46930.033211928;64382.974134673;62307.132589232;63470.748346583;60412.168165774;53379.660025729;48753.245374385;28356.230551729;58032.494463474;64954.448646083;55946.67626236;60392.543822556;51471.39839168;54863.403762233;60320.537086728;56491.354521919;59380.101987017;46578.523915758;54399.493640162;64341.493862174;63253.569814308;73026.355446349;66312.087861437;73221.059756816;66186.477396584;62142.133342419;62639.301170417;55317.650141982;64729.584440841;65861.965932892;76200.941688202;60330.977313159;61580.2297525;59714.114927862;65086.828213979;66951.208783064;71206.432644304;76150.562427383;63222.442389558;82227.557745223;76383.150142185;59823.114390358;62389.529624917;74975.25160739;67569.232210983;66119.430696649;72381.53882981;75881.318001714;48014.731010177;75266.48264791;86784.686508347;69083.900171837;58636.135860977;56849.318012284;74197.835117349;65897.430577427;65384.062201634;58053.830259974;46901.058150408;79631.62645001;68092.625111188;50726.309467951;54854.323835169;55301.528457271;59382.944965331;61191.488758008;65262.811436312
286.97742337805;22421.655405881;24355.683899506;21556.792561667;32498.878287502;28984.422828651;23002.345380479;25976.487769976;22654.217238546;28991.088093867;18227.43703073;15410.538047051;25482.126395235;26722.48672236;21102.510975853;23087.673080588;29189.121161244;23013.000424091;19076.619697742;19322.297808011;18062.048678367;21376.896221102;25804.342035148;15468.955101821;19841.906210065;20629.030568587;20951.391440449;20301.593221571;24771.011915042;20200.376064186;26651.628300821;22905.969744994;22317.790221501;27439.0850412;15186.01700959;19743.544280736;13508.020206373;15784.701950643;16745.371647773;18875.520434639;17499.167961117;19383.786680077;21555.867191059;21788.146167011;20027.740923053;22736.447639416;19227.143250073;20574.029721919;27303.869952637;20568.568158892;19613.798633646;20349.125769589;19651.159263669;26165.212066506;24812.407631536;14011.0336412;20735.077928168;9206.8838803529;10794.321565278;16822.216209062;32561.006520855;17085.979406943;22895.264953776;28330.090383638;20207.370519768;21436.616747812;24487.920727664;18791.443278143;21261.333709705;22985.555209366;22719.728824509;15716.517893967;19369.264592769;15383.556015036;23597.181902511;20085.742382696;27496.747022713;29160.580256436;28262.019849839;24328.008201312;12725.410194928;21178.153936554;13347.957379562;25657.675310801;24336.377213914;25413.387374728;20133.670827611;22014.947807751;18424.272270453;28477.279088715;23248.640694668;26000.298099664;15019.709975389;19366.423960885;11271.508093302;22654.638214677;22392.374409971;19529.388496938;21760.116127609;26675.632168895;18399.598858653;16381.345286776;14648.817753748;15430.031766448;19972.891445122;17413.7499721;21897.938169996;23768.236792948;17094.47715901;21341.318962256;14643.721313743;20385.455359864;26420.740975205;23845.526300973;25514.242600162;15795.445752898;15033.208645906;30604.305326707;16559.650559305;30074.391517503;38952.652083744;32086.798254967;20837.722526365;24074.233920741;13898.591294578;19499.209822939;23538.613964123;19839.269561887;23673.016674016;32329.538225987;31439.674191249;29759.777927696;21524.848024729;19201.626238643;29434.643268046;26436.138206655;26916.164507625;15261.609199929;24463.743456839;26599.608912899;30271.69588102;26586.04182218;23143.5336645;16309.000975767;14257.921243084;17410.366985631;29240.410121023;25556.772776121;22740.807325186;33137.236104549;13435.145285734;18412.391362657;25021.210058543;21933.553822216;24282.306437718;25560.26262187
289.02837115647;30728.330880143;26727.375488035;44196.478590688;39881.024857887;40234.92524132;38917.123657769;40898.34087612;39028.601671357;42270.037398692;34679.76385207;35438.781237907;37771.378911303;34003.394895111;34773.044604808;45687.086123722;26354.009629158;40708.361296044;39257.904843064;34780.480284275;37793.728797981;30835.881364329;30923.739012873;48353.433927798;31657.246241491;41132.331223905;32626.541126859;42324.659419281;35089.888451184;31200.396082768;28745.373992903;26989.784746289;41791.994864315;36195.787409271;33180.29945948;41856.935665096;41018.164858803;34551.355558447;36843.669903978;32915.397950701;36486.990964891;46490.476420139;41266.247925913;40153.510925289;28863.448764371;25662.469704657;38682.720118395;37213.671297941;45351.118541057;26453.361941748;32531.417679499;34460.737931598;36715.052499313;32313.294811968;52095.918169259;43323.599938569;40120.927990134;35002.887692554;32261.061636984;42751.511273318;32527.574058316;33941.005877168;28801.083251347;37751.206057721;41200.058703761;44083.792343746;35999.327877307;34335.961039627;26206.386781753;28859.834549255;36726.015470955;35590.880049516;36198.286797768;32110.552044883;28101.113967342;32695.009936771;29520.794470946;30078.173547589;38752.379734733;39256.324355576;38256.164642681;29161.570946548;48249.264402178;33253.725195629;36021.034103744;30654.826359515;37341.895402602;39526.876683272;40237.880979346;42925.769589935;37714.993585719;38705.331445034;30516.78836547;34858.869241444;36688.94918469;40384.733676098;38973.780601508;29775.506119062;28820.177847255;37719.808713499;35495.814812154;28840.290404215;31883.516550768;25290.72414173;35811.436647328;36087.209131809;28329.329684369;33170.154252227;32221.994241336;30430.974669381;23715.251035026;34671.272058299;28931.274257936;32973.991823358;40363.98526506;26440.203443303;25328.09685693;29370.267425369;19869.918305663;34035.849659351;34052.070009993;30587.664080412;31624.218458192;24488.127227193;25833.575972278;35083.484053816;21094.673372399;18959.317811566;44511.217099397;41699.296903233;24888.686880429;23904.324222545;28275.154332405;26544.818083527;29365.704252571;18887.993422053;11822.470460757;13312.009773393;34530.504299948;35764.662591884;41924.06731048;26758.323919767;31777.760657446;36277.78229386;26365.932764986;18927.709099048;17012.844964777;19962.606537276;33919.882191817;37533.700057966;35434.295225274;27427.661788056;34587.189520669;37440.925625986;31349.375776921;31296.802781535
