# Exported with SCiLS Lab Version 12.00.15110
# Export time: 2024-03-25 13:24:56
# Generated from file: Y:\imaging_core\proj_archive\DATA BACKUP-OLD NAS\#394 Nilesh and Biernaskie-brains\240301 Young Mice\240123-Biernaskie-neg.slx
# Object Full Name: Regions/240123-Biernaskie-neg/509/509-ventricle
# Object ID: 957cadb5-a30b-4ca6-a77d-3029f7091090
# Object type: Region
# Object creation time: 2024-03-22 09:37:50
# MzRange Name: young-mice-features
# Normalization: Total Ion Count
#
m/z;Spot 27673;Spot 27760;Spot 27761;Spot 27847;Spot 27848;Spot 27849;Spot 27933;Spot 27934;Spot 27935;Spot 27936;Spot 28020;Spot 28021;Spot 28022;Spot 28099;Spot 28106;Spot 28107;Spot 28108;Spot 28184;Spot 28185;Spot 28186;Spot 28191;Spot 28192;Spot 28193;Spot 28194;Spot 28270;Spot 28271;Spot 28272;Spot 28277;Spot 28278;Spot 28279;Spot 28280;Spot 28356;Spot 28357;Spot 28358;Spot 28359;Spot 28363;Spot 28364;Spot 28365;Spot 28366;Spot 28440;Spot 28441;Spot 28442;Spot 28443;Spot 28444;Spot 28445;Spot 28448;Spot 28449;Spot 28450;Spot 28526;Spot 28527;Spot 28528;Spot 28529;Spot 28530;Spot 28531;Spot 28532;Spot 28533;Spot 28534;Spot 28535;Spot 28611;Spot 28612;Spot 28613;Spot 28614;Spot 28615;Spot 28616;Spot 28617;Spot 28618;Spot 28619;Spot 28620;Spot 28697;Spot 28698;Spot 28699;Spot 28700;Spot 28701;Spot 28702;Spot 28703;Spot 28704;Spot 28705;Spot 28782;Spot 28783;Spot 28784;Spot 28785;Spot 28786;Spot 28787;Spot 28788;Spot 28789;Spot 28790;Spot 28868;Spot 28869;Spot 28870;Spot 28871;Spot 28872;Spot 28873;Spot 28874;Spot 28953;Spot 28954;Spot 28955;Spot 28956;Spot 28957;Spot 28958;Spot 28959;Spot 29038;Spot 29039;Spot 29040;Spot 29041;Spot 29042;Spot 29043;Spot 29122;Spot 29123;Spot 29124;Spot 29125;Spot 29126;Spot 29127;Spot 29207;Spot 29208;Spot 29209;Spot 29210;Spot 29211;Spot 29290;Spot 29291;Spot 29292;Spot 29293;Spot 29374;Spot 29375;Spot 29376;Spot 29457;Spot 29458;Spot 29459;Spot 29541;Spot 29542;Spot 29623;Spot 29624
209.62855955469;23451.967699364;22090.714016146;25742.903432246;24631.475907784;29382.741773915;21229.52155452;23156.4001201;27933.814844873;18760.702216237;23206.579030694;24461.438547263;23260.641798677;20198.094205993;20889.35705642;25948.729171476;27895.779124943;29213.934151971;25330.656830189;19446.972396879;19893.401981121;18432.674042575;25225.216965882;24893.76221761;21580.846922051;22639.522968657;19870.749805359;16345.001039726;22956.583570439;27575.225131857;32239.962506247;27894.213132199;18280.702780004;23571.396632658;20138.81910693;22775.26923918;22965.488076257;29680.919886478;25605.505039964;28273.217601461;23851.242089978;22349.074832191;23536.874678156;21653.783428982;21261.407983427;10584.532207994;18605.86307371;25128.264822862;26560.095742392;24342.850481239;24761.989133369;29534.591760634;17162.796690713;15059.16602801;7840.853368077;14581.736720376;17098.26920045;21160.565753248;24883.432797057;27532.341915064;22731.926203629;26786.845132361;26642.293168068;20605.090608347;15838.357431992;12349.561996145;23034.05795424;20779.155846734;25170.958617524;22613.445716355;26537.202659157;26884.691308365;26431.92789126;20653.985166417;16815.936490028;21683.210414087;22088.531409878;26114.984261864;23707.936894537;25727.279842314;25861.673421076;26811.133799386;23390.671340452;19041.9673568;21371.809609819;22797.046618982;26196.765558515;26154.365704727;26790.094634871;24400.078366148;25009.525708183;21942.414807938;23145.165031805;25355.607226713;23988.836068041;24777.328117563;21613.142344765;25470.844012113;17896.391533981;25346.814170538;29504.080281845;23967.034830708;25366.424774839;22465.567647392;19488.221093718;16770.616814032;21757.843376155;24843.929960162;21283.904601943;29316.062412696;20476.707022588;17578.038905269;22972.84968825;29192.808322942;22989.729868143;22295.467530327;16696.524939274;24275.318758529;23253.903108182;23408.906070992;22450.953484615;19297.532174754;27358.007529744;26829.598119968;20120.576081189;22736.607338979;22208.367656845;17217.555997309;25944.923854471;20907.784967626;22344.323540321;21018.090234859
229.05363493112;2903.7022540878;0;3680.7617099235;0;3006.2841746862;0;0;0;0;5105.920450937;11882.904284684;11604.201188429;5865.5393074995;4581.0367619831;0;0;0;6436.973327966;0;0;8597.0227795428;6272.3548871629;0;6723.8710297917;0;0;3447.4466933428;3857.297510996;4361.6305007477;11223.351171388;0;0;5181.8666060715;0;2198.5832251045;0;0;0;0;3999.8166570444;0;0;0;983.65126717041;3708.8586055225;0;0;7174.7924327528;5096.1474098382;0;0;0;0;5200.8817644227;6975.1862666723;4882.8456068855;3138.5451770953;5163.8764090909;6251.2681863861;0;5740.8285361385;4913.265501257;0;0;0;7008.5694137624;8356.9393381803;3084.8218084912;0;0;8271.3570066224;0;1192.9100222764;0;0;0;4610.657389139;0;4372.6368559684;3258.8854251259;0;0;0;0;4109.188886428;4901.5156365004;12123.221543326;12668.214682295;3567.1136939714;0;3701.9025091254;0;0;3015.979774563;7576.2797207083;5309.8265000084;5245.8028416739;0;0;0;0;4825.182971322;0;0;0;0;5578.5404118685;0;4746.0955365968;3788.2665820884;0;0;8393.8797574236;0;2970.9131219166;0;0;0;0;3690.4840286458;3462.0847536127;3651.3998571512;0;0;0;9367.8179498895;0;9525.0264643133;8003.1270570573;4512.3273127407;7651.1714456874
255.23272548558;110134.34045785;107541.30635843;101394.22413636;91360.397107497;107683.97208447;84993.943925915;98207.067049862;101485.95928263;86972.746786039;75655.695293179;114336.77115213;106404.43713333;90554.596427355;74208.890230869;116661.97252945;99239.139085961;98914.052833664;88064.640272488;74921.778304598;81064.57190185;111267.96396689;104982.54124222;102168.74065729;85098.306716419;82385.662190395;90399.063113082;87421.701846328;102107.14852653;114213.28535916;106403.49690696;102521.97060702;69036.471556708;84145.015342591;89517.333628971;92174.957125601;109398.64118409;114580.90023473;105375.74377912;103317.81395605;73867.718919223;64464.763849417;88627.470221571;84260.876721562;98090.046579939;71952.588845656;89475.991742233;119042.88302766;101661.97432356;79099.516907773;84133.147450781;96449.574377714;90634.589881954;78759.700758402;63601.317601657;82163.080864193;87557.168146567;92839.255040475;90227.413136808;88224.088656496;82577.679733506;91446.429853106;98742.953267513;96591.07275846;78564.699539789;82246.794740261;100756.08720357;78240.223319233;89281.162096579;85555.853206313;84545.958441027;84813.791730321;101930.12842285;97296.127938449;93793.375075067;95707.289522334;85689.505156981;84092.899825718;73339.499052554;82734.682294598;89519.15864824;84634.579981677;96828.261553439;104027.21923088;105258.25069009;91792.729446807;87461.823217758;90251.166451201;98343.304012214;88730.950142044;85723.837147412;101388.47015956;108560.14464385;103917.52803298;91392.086810429;89505.973663817;82128.133133447;98340.589022941;93675.700073371;127696.27286987;106291.45437468;88307.117303866;98192.711852795;98879.041189304;93573.076904691;107776.31212874;107670.47228802;102218.14678107;86863.573336815;109261.3373508;90652.388340786;96477.367307454;122277.16376433;96119.144690898;90048.428675764;107540.27331984;92330.957462996;118456.8315538;97001.935856992;107053.03685866;89797.563631433;92080.090267123;101869.13275023;119638.14479814;100192.86530091;94264.91196905;96604.234799654;92686.716478932;92309.927617136;94802.008407716;93842.823093752;97097.904430029
281.24802818201;347651.70397396;352948.149336;313177.35799245;328252.35278677;316881.63358764;316587.52594458;315060.91992504;317052.4572154;290327.97926902;304506.15918928;364427.87737029;320717.95754506;259283.7337997;232138.4008123;360769.64934169;309820.64436943;322211.62744153;285995.68793235;228339.35319848;286808.80262688;281802.54811875;317211.80282348;352532.70907958;284873.42032677;233201.29818734;279214.92518138;244779.37707777;297362.81799136;317525.31721665;320619.17749441;314388.81213264;217880.0290479;238204.12516773;255030.16620134;368469.78295696;322291.78966236;357284.76616619;325250.8853139;311295.36083925;232452.26428152;207708.67174306;273622.14721007;238776.94539282;301889.42090984;306646.21283406;300074.34285919;325559.41752941;303216.95312456;237452.50380705;225868.17626297;278236.66086717;256084.79861513;238953.99472449;213627.32085571;327333.52943034;274666.04405792;286094.98476762;260690.625955;246944.95291384;218815.92357814;255554.02011533;279137.69127132;262365.88411982;305536.20842855;344889.61628681;298397.12577769;280849.89438872;250210.53876325;256688.25798115;256353.35966771;246285.52006529;289635.52671929;299744.47655952;405857.15780647;329141.47725903;357180.99303339;276498.29661524;211227.5576648;257124.66050567;260172.20921756;258835.32982612;293538.70556626;511489.7420578;317552.02863524;340634.75777774;323289.54638797;249060.05645744;255323.39919855;262137.30708066;276899.40429294;450962.82640166;333341.40941363;346663.4365063;290388.45031131;280938.04155695;245883.82329323;248336.91140487;432103.39540219;400489.25825925;335423.81455896;276491.86492732;299073.33491548;297733.4111696;313757.20908275;405800.14748021;346286.70563838;257875.24028401;255473.02679048;294946.2671286;283797.3605522;526264.50208428;397117.23395045;278966.40740333;281727.96523896;281509.50256393;451361.83609267;406787.13889533;278024.72174862;276902.11340781;256152.03899842;419711.676741;280779.19992254;343192.77702889;430085.0212304;280281.12560355;270490.00123979;336642.86931297;307039.65065251;302663.04277862;275296.56219217;286021.95963883
282.25137114734;65604.637078189;71179.668226427;59493.655144258;58194.562416715;65147.768379089;70389.93393388;58235.304421657;59709.317385888;55419.000001654;57749.778581248;59181.60522294;58213.461217926;55077.986953032;45221.579376326;62855.018845049;57226.724967975;53413.444587477;44596.508536568;42542.234162372;60781.864452817;56200.428508188;68425.357315526;69652.664648857;60734.751385532;38400.262415117;49469.96457191;44057.439152116;59164.640861597;69524.602324851;64071.734105508;56673.300137441;45408.606061322;42819.399452522;50844.701736086;73035.910192561;62796.675673864;77293.872031667;60907.640490089;61623.302658613;41624.663923334;52103.626903982;59559.450646437;43545.479705412;58147.967762708;58725.271973507;51207.99454877;64241.012813286;63955.452907002;50502.514981236;54851.378533989;50392.952487418;48080.499956729;55683.776260934;44603.896276704;60109.043432518;54642.372638264;58985.920033005;58335.853063989;47695.937350961;38417.81569593;50857.512867133;58911.557299941;54658.912217143;57987.492521825;72364.773854564;50855.164460358;48610.253122468;53586.234126931;47344.651550684;51709.286099425;41712.385131585;61276.269155632;56978.761669063;66234.469679354;68933.356110723;64737.581008515;48649.162875928;41443.689692048;43449.392285356;49151.305040345;44866.721686315;63088.823426071;96415.307278866;65313.191129094;79114.844832772;69685.409194393;47207.16686505;46266.058860832;44661.4421903;48114.782131524;99868.965714213;63497.175465376;66307.839615106;51248.130241854;47511.696572556;52061.109227484;42120.635675805;85459.82385918;78394.867592471;58334.23970741;48956.477466236;53858.87463446;57517.986390228;59738.783651355;80287.646536077;70581.679728984;56656.956383385;48371.06892182;54267.46869486;52584.233100895;97143.748028405;78221.602329433;57762.570717093;54193.110934219;48962.689347085;93788.953191074;82666.195725365;52632.061999647;59804.076521923;60911.131241832;86376.500235754;70305.610767402;56681.199679153;77899.410053894;56224.513858219;58051.773117733;59577.884994639;67991.048802146;56369.868652855;50135.544313888;59031.910526878
283.24270930542;35718.586940727;40260.040105135;38616.961474034;32281.399836953;38040.797626636;31589.516512946;39149.398493623;40983.092677056;40893.213760292;22905.236815207;46689.251979618;37629.432558549;40175.925438907;30122.95416748;44917.063765644;40568.522854175;32753.788104708;42950.60541372;35652.6046378;32738.909200608;31793.831654093;38841.270151447;33227.560946864;33856.281271565;36094.728818784;44248.050090832;38870.311097506;36635.638536026;44603.514703633;38086.923867068;33588.901895799;36578.408592918;36097.317352737;44189.929818347;36933.066637839;35240.997466207;38554.294665974;46687.196981806;38912.417445795;41452.997689003;36772.576221939;46843.709994714;41834.588093311;36166.391075654;24381.849928394;40000.47711872;39485.188061581;35680.667977655;45036.528611448;48909.340952313;43430.232459757;39892.70426951;30573.09906545;13618.394756291;23578.687287423;36538.803863607;38211.174129249;31916.257071853;40066.251673338;37771.931437408;44260.003509207;44038.38479554;31293.076991054;30263.677498874;22170.608891463;42836.95655454;29410.458971169;33903.256261062;41209.190929373;42635.54724802;43463.672406426;42737.25337638;34236.191169953;18197.427144969;34767.895468663;31068.953889756;33558.873924533;36925.47781292;41409.883562234;38363.473488327;38451.781467377;32277.443370733;25378.947917028;43585.499727099;25565.042901716;24857.708578002;33556.77887439;36857.937847163;37684.509594189;36909.427304963;20259.614959192;29367.986526097;38120.455447959;36301.194271519;49784.553693961;37573.30990294;37014.216712552;28559.335912845;30547.815123349;37421.701662619;49304.847766233;38049.61777088;37265.338884936;29033.166204068;24415.280539963;34432.499554818;38703.022040595;34104.457649017;42480.599131778;34386.716200835;22162.458607986;39438.102761182;33840.468325971;40444.975701609;35612.366956832;18920.710965165;28863.901157165;37404.765208296;41607.173851393;38239.789093851;21662.514325614;44125.057565793;39225.419270229;29518.345870715;49597.152016104;36721.504290366;33768.96088058;41079.027111138;34368.89451729;34161.978500862;31053.740413833
283.26374378257;709577.51672428;704886.74957275;670458.69450254;670953.83675491;694059.50407445;521150.60545645;639657.18847739;694061.76414261;583136.25834278;500816.29295998;750864.13900673;623803.29043908;544375.3788611;499892.09271459;770006.10689532;703533.0171243;667041.01250979;591275.08013949;491907.36442164;595986.17524761;615334.07800679;721730.70405257;652689.95932988;616977.79975222;518372.65549241;606846.1827214;515823.74117687;681610.70413076;726217.05269549;702716.42200697;650720.58695771;483968.04490205;555459.11348731;601669.70894866;648635.78585261;692400.49060954;783554.38387865;714565.4593141;710578.6554779;521581.22950018;472212.4502585;636474.89074224;595159.20235068;693526.41792879;445627.0692032;605934.68247965;697820.05320405;686421.9543213;518173.80077519;565100.25732906;660011.86119629;608404.73924911;481303.34141547;300750.40651169;483999.59030305;588757.61137551;625951.31459012;554117.11821683;589055.63004722;493810.93883372;611927.14379508;672826.19664801;646591.41412674;485445.01251747;485367.94251485;667422.14970988;518777.35562873;585275.77661168;590772.93256941;580074.7861037;607522.08598612;693890.1138069;626029.81083271;522837.68575069;631068.22217496;599706.51528869;577616.15895934;515825.23413248;588607.53648335;623925.05685746;618220.22340975;657937.26792002;588833.65335952;660305.76410359;609381.21022605;668467.78409725;573205.77198691;630185.29621725;584211.04545348;669458.81937967;630754.47717684;671584.666907;676388.2968776;636852.61955121;634109.68936805;586518.47531178;612765.80049103;645766.18160623;743379.37262383;698445.77138906;612607.54834778;653093.82133875;677990.52058923;600370.11908215;659556.65394096;698846.47288136;639951.29502987;585589.58766572;667115.67797883;585688.22886487;637407.18650787;756795.54900357;666211.34903399;629023.44622388;607829.08456938;572342.20954964;764373.82741376;655465.56624963;626173.82376623;572795.10198344;633119.70991363;678702.08914201;748516.63882238;690909.37859558;617331.28039811;605995.92038695;583698.30499575;699233.65785559;594036.40401687;605989.22998124;578278.31148646
284.26705034744;145705.70547671;142023.55323756;134755.70986856;130042.47005871;133431.53736808;109546.27670721;133331.74308581;122751.98518091;114338.00624237;93689.911995868;148607.89014439;114942.76218128;101959.18838717;95022.04890581;143917.74204886;136065.95186775;121881.7744898;118796.71887911;95085.702121544;110425.72762107;109882.74689603;141538.61967741;125496.24417745;112992.21670313;94371.815228382;115471.77112312;105251.13973406;129076.64582116;142147.70578392;133000.33064511;124647.16725998;104929.68254282;100953.48379314;119230.6051171;131776.96132641;121707.90174129;152058.21328796;133186.73209354;142167.05356699;91190.473868857;91566.143621187;123128.63319201;116052.20068418;127743.3214882;94423.209948089;114066.82450221;132949.69407457;126833.2366406;92413.944188365;99666.302208665;122508.99531393;109978.83989417;94587.439154857;50814.941162751;89689.309348883;120449.43640439;119589.21020699;103252.21227954;115543.97715331;93538.579923541;114502.84469779;118572.83128019;131141.33476897;89700.708780297;104091.09254126;126028.42769129;106918.82310053;100072.23838959;112980.38704957;102457.25691043;118022.94465778;131044.20508643;125707.37167483;96401.055323824;119216.53380121;116202.26909166;123896.60319228;91867.513942617;109619.61888521;116032.52175055;117331.99578154;122254.92459603;119084.93168705;125022.40502518;110919.94939502;125630.31576226;104042.831876;112950.64318891;116001.70138427;128941.20126963;110163.99085412;119927.57536447;129296.92034884;113165.52744923;115138.85501432;121132.88300381;120903.218071;113500.53977482;140581.35119036;126574.14243819;116634.29720978;128288.54098321;129626.15130747;107113.42556486;125763.2093552;138032.48022854;129621.58628147;106431.73240516;127548.85491341;120021.55909157;115093.76654798;145196.69119083;136497.39310511;113905.01901154;110634.29794746;111958.03611785;143522.51420594;130626.09811394;123289.8960967;110357.39972904;123049.85869083;134782.88898201;156426.54330725;122120.48685781;123952.0699718;122663.77145074;111169.78221774;124718.54634663;112888.14518188;106257.60988805;107007.35290986
286.97742337805;26675.540269051;31072.887948673;32577.013550151;18516.880701539;38190.363242554;31379.393130327;34216.888427629;29895.619554906;31183.199383726;31737.604237003;27556.291910641;35932.356203636;34078.675295334;30795.514803054;23920.082446856;31690.230171004;37373.018824214;20769.352623326;26510.582946846;29487.32554373;26641.028129154;20899.747516656;14272.792365756;29100.224532944;16262.303895359;16805.618419267;23045.113087263;22652.571424726;30010.739950426;24580.020574891;27440.31792915;18398.876008035;24964.219071017;15257.850935752;21346.888512741;21848.056832768;27880.13726005;53839.102182147;22652.843976831;23440.022264511;19451.967998595;17094.955619731;20065.788656185;12498.672215627;15428.344175405;16961.63957696;21145.400980999;23825.763016033;22010.776279085;15298.604696643;26738.104675401;18224.07950822;19746.382040099;13515.205345136;20470.768097429;23635.454258515;42821.826442765;25887.668360821;15707.065595045;17371.213615245;22885.740702272;21109.435764413;16888.137790724;20063.157829482;21021.906515095;22555.993594748;29310.089823989;33178.866773103;15995.410083955;13800.426063214;20682.555903669;13363.848794826;15802.858298821;12482.292783762;22803.552318606;20360.69712525;26255.070280589;17806.504788908;10444.393601599;7390.7920784055;13759.887052462;11623.36073304;19266.869869009;23076.778382571;29327.456811441;21548.934067694;16407.08714314;10054.148568573;20452.324097555;16025.022626917;20225.562938719;26848.375422369;27854.719525281;16910.879511167;14346.494923585;10108.753460539;21826.314160881;23490.711119919;17944.71057661;18980.602689066;12203.637609856;13897.217862051;17590.446512659;20624.369468836;15315.844826441;20822.949593911;13550.298191446;10804.460257956;12674.982811564;15869.01973382;13068.555900547;29377.04603961;12223.598983597;16735.673659174;17172.747487798;12826.622772692;20676.219746414;10598.500463913;19758.910267661;22569.164189764;11121.135347726;37376.153758021;15758.796240114;16860.048864683;26598.498695494;18735.543551558;13385.882197776;16932.35951801;19515.767317305;23597.759596532;11897.699967521
289.02837115647;25918.425185159;28281.377549182;40444.515872824;23592.000953429;24575.626659513;33116.765922945;19172.951686172;22124.677245769;30248.01495027;36434.441341197;23192.371932067;30534.083425026;28024.883097241;20327.691440711;30719.666971958;31344.76637196;33282.506194896;20049.283017697;20562.685350507;24011.380640561;15328.688126254;26700.064776662;27700.461924135;35345.899069485;40495.609566798;28843.779540345;16046.950986449;22766.949657367;20100.786805451;32964.988255977;39785.855588111;24540.540704382;27199.977185568;20628.979054233;21292.38573779;17542.890506967;30295.83737312;34073.838319967;33470.16374088;37325.220697549;26005.158675066;27044.931041886;26101.351099829;31160.82892254;15313.478710073;15964.718403694;21723.375378548;30906.041876685;26822.267688502;39774.468623651;28964.045746963;18140.018459573;11168.933290732;15569.064516078;22190.88404851;18899.053798323;23309.968902113;35667.354758534;26022.182018264;25607.197857354;28131.853550746;21367.241597661;32216.566766863;16020.186202052;13071.216656035;19248.47459976;24565.474505936;26457.3394682;32225.346214905;30939.528323249;24408.152124487;21131.409969628;16672.260079199;18979.705755273;24265.167868443;26942.559268527;25955.214630607;27576.155224809;30702.383543467;31046.383046103;29916.680561846;23504.578681639;22572.0385649;28904.253539852;26442.976316457;35275.742903329;28442.009795058;35656.117945614;22945.313978665;38541.024111611;28134.653652327;21087.632099335;29559.668681895;25122.704640613;28866.711842017;30834.731942433;32388.930263837;18473.53306932;27622.551343736;25339.524507387;22810.410970066;32451.279579008;28220.732690469;28817.199669712;30974.653472343;19159.799582481;30198.348678017;17511.0667937;27922.496797922;21207.48738959;19494.364990109;24753.661472563;32494.790884408;21826.163371526;25772.872311885;19392.056868797;26180.043461088;22983.09021832;23754.163619141;29328.921643317;22835.361940087;37868.212050005;28246.169277444;20245.049301773;28486.844995509;34298.071496738;21509.677488459;28526.312938678;24332.137433519;31625.206140366;18491.506253113
