# Exported with SCiLS Lab Version 12.00.15110
# Export time: 2024-03-25 13:25:31
# Generated from file: Y:\imaging_core\proj_archive\DATA BACKUP-OLD NAS\#394 Nilesh and Biernaskie-brains\240301 Young Mice\240123-Biernaskie-neg.slx
# Object Full Name: Regions/240123-Biernaskie-neg/521/521-corpus
# Object ID: 5cb229e8-d4fd-4b75-9596-5b94d338517c
# Object type: Region
# Object creation time: 2024-03-22 09:31:19
# MzRange Name: young-mice-features
# Normalization: Total Ion Count
#
m/z;Spot 10644;Spot 10645;Spot 10646;Spot 10647;Spot 10648;Spot 10649;Spot 10650;Spot 10651;Spot 10652;Spot 10653;Spot 10654;Spot 10655;Spot 10656;Spot 10740;Spot 10741;Spot 10742;Spot 10743;Spot 10744;Spot 10745;Spot 10746;Spot 10747;Spot 10748;Spot 10749;Spot 10836;Spot 10837;Spot 10838;Spot 10839;Spot 10840;Spot 10841;Spot 10842;Spot 10843;Spot 10844;Spot 10845;Spot 10846;Spot 10847;Spot 10939;Spot 10940;Spot 10941;Spot 10942;Spot 10943;Spot 10944;Spot 10945;Spot 10946;Spot 10947;Spot 10948;Spot 11043;Spot 11044;Spot 11045;Spot 11046;Spot 11047;Spot 11048;Spot 11049;Spot 11050;Spot 11051;Spot 11147;Spot 11148;Spot 11149;Spot 11150;Spot 11151;Spot 11152;Spot 11153;Spot 11251;Spot 11252;Spot 11253;Spot 11254;Spot 11255;Spot 11256;Spot 11355;Spot 11356;Spot 11357;Spot 11358;Spot 11460;Spot 11461;Spot 11462;Spot 11463;Spot 11464;Spot 11564;Spot 11565;Spot 11566;Spot 11567;Spot 11568;Spot 11668;Spot 11669;Spot 11670;Spot 11671;Spot 11672;Spot 11771;Spot 11772;Spot 11773;Spot 11774;Spot 11775;Spot 11873;Spot 11874;Spot 11875;Spot 11876;Spot 11877;Spot 11975;Spot 11976;Spot 11977;Spot 11978;Spot 11979;Spot 12076;Spot 12077;Spot 12078;Spot 12079;Spot 12080;Spot 12177;Spot 12178;Spot 12179;Spot 12180;Spot 12181;Spot 12276;Spot 12277;Spot 12278;Spot 12279;Spot 12280;Spot 12281;Spot 12376;Spot 12377;Spot 12378;Spot 12379;Spot 12380;Spot 12381;Spot 12477;Spot 12478;Spot 12479;Spot 12480;Spot 12577;Spot 12578;Spot 12579;Spot 12677
209.62855955469;17389.600667416;16483.23272324;19541.842111686;15949.998501266;15359.602013308;17087.660795386;17932.457267312;17048.48070137;17190.818310327;15487.065665603;20264.853056772;18888.706959512;16504.99744507;15351.757694955;16914.736899538;17787.705949655;18866.738561494;18951.901149084;19770.388754844;18375.326938557;19350.273193147;16780.964676091;21003.507957041;20951.043488234;22042.416544503;18334.019352705;21131.56921569;19638.255923348;18817.519825202;14948.860383787;15983.560027552;17725.815129158;17637.217852846;19550.917478692;20274.984366174;22336.778306388;21829.865603445;24224.232256582;18583.967669511;17594.042006026;18542.729761573;20481.944015834;17316.411326762;16813.934034771;23031.580662139;25685.671469317;26083.176833156;22104.120203875;19983.007935399;17631.617974857;19724.550704247;14404.935175294;16444.641797464;13833.166731528;19640.11645235;20892.733461641;18225.738460469;19533.757528068;20345.218304101;21095.556700063;18562.610455754;25138.735335497;21052.277527371;17218.851783749;21691.099918241;19015.626660002;20606.486364041;27020.796280959;20477.732078643;19125.492415625;20465.192187241;21947.411278367;22654.975947419;23440.461950457;21283.451909681;22234.180806804;19153.187074276;21223.329065334;23390.19729894;21002.470318932;21024.726327312;26731.432214213;22018.064492317;20853.400731321;26449.069637223;21949.347335944;18794.936969438;23067.591245873;21771.778226941;22353.13143531;23761.192049232;21113.482506215;23327.7305616;22094.148340511;24704.340315414;22970.508496355;24665.952082;20333.842680034;22281.247419669;22189.491067328;25008.343236866;26326.566260218;23874.560575402;25251.936753776;19687.141012807;23482.710625671;25624.978204471;23788.60931756;22440.516034751;23040.367521109;18740.707805415;24800.444044642;27469.123538957;21280.177882194;21934.666317249;27087.46827501;23361.247592756;30429.631495502;22586.658756238;23209.478926914;19997.059901287;23897.413302388;23880.288722771;25129.129459883;22639.057071098;23680.377656924;22451.730296815;22512.107178815;23081.70275023;22776.619452718;18989.5319266
229.05363493112;777631.80175221;681648.24582038;741078.00733595;631797.11698268;632244.97292284;846521.07589853;763983.05517581;822274.38364129;857241.32396302;857067.30844171;756851.35245348;781431.40888201;738454.84445962;470387.75780008;599370.2488321;605366.63877925;609016.37649791;631625.01453234;742158.76518426;664889.73646092;683158.25123486;779873.26249201;797954.80884007;218689.53939472;292281.7078899;257547.6091265;378613.96630578;400522.47349759;446255.01075201;533118.050072;518820.11855397;546856.17403695;599315.82983033;729885.05608205;753952.23832127;153973.26534031;192745.94956363;231491.84797939;285902.8277303;323461.58694724;390531.27846555;346981.36237685;487394.34994305;422746.66376571;565219.14732548;132676.86067535;220543.24046539;256885.09281452;309273.2730179;392020.22395293;416720.52448979;583520.35089179;493113.20816899;645628.50666105;69578.988338818;130691.61230849;162747.3875414;237783.08381517;307807.79771471;397003.90637426;417863.83556414;44622.239940975;70983.794506176;108922.80162732;150432.71930281;167183.88825762;149869.26238016;49632.63298812;73278.888083658;81760.995616759;129136.64039247;47722.840480006;79629.748143349;92520.922050051;98508.284919217;96097.602220785;38581.402285274;66057.458587483;71358.501913656;72304.228807211;70049.716999422;32911.12032196;47068.692566403;52316.811029491;46741.795665635;50858.952938923;20037.529685898;30329.033438023;40509.771290162;34351.331558617;30613.566949009;16401.230636658;22613.660222041;25626.029232962;32555.243803962;18337.695230852;13771.8259231;13755.620915334;16998.452291013;18367.429343094;11459.891955809;7585.2069640798;16246.072376818;19295.521235891;16262.513969195;11024.624894002;10876.228889819;10217.70864076;14557.62191562;13810.983613444;6603.4041993498;6963.4299411432;6720.1785739563;10181.298566708;12476.705027681;12377.457031796;14603.157293745;4231.6152289221;10334.079778831;12750.661563247;19317.880259415;11932.749549024;16513.33327696;13809.01257416;17683.697495316;24653.065874145;23919.6375361;29865.864682866;27324.917129575;20468.548877387;32047.510132931
255.23272548558;20647.384885031;22624.059406577;23885.217086646;18224.747685901;22430.156589941;19640.00894376;24315.282713335;15680.191025881;16799.122302816;27707.198031101;17661.577560951;20438.449870104;22126.698189693;16991.435041457;17681.140365426;26416.669588744;29798.787661298;16787.515879019;14773.084168223;18219.445065396;23073.216692152;17109.300326048;19668.020373164;23057.39050746;20732.316692919;18752.333941223;29233.683631967;27029.162799851;29266.175836825;16849.981514431;28229.80545027;16305.449593286;15800.111088305;24349.709162364;19765.786958084;26763.732839039;19808.137550412;23789.05901506;31849.912427125;25436.342320731;18278.041396381;18739.596323538;20310.594540584;23797.80544993;21151.305433243;22766.65200043;25712.783753807;24700.720169485;17279.746280854;14706.171879171;15512.651178046;19049.822731051;16078.502952557;13952.236053488;24419.389153204;23768.619446587;20352.776313374;23806.927427535;14053.465124009;14792.33729817;21996.923807789;32203.514094696;23615.664693009;24705.750225258;23417.208917959;31877.072187878;33125.184197517;28116.036048297;25999.766109588;30020.737278477;23884.146426266;31812.530171123;26887.324279692;24274.992597853;26814.792099715;25146.845457095;29311.488549219;24952.097649411;26640.805331392;27498.441356728;27788.274627777;31688.85380213;30057.767306858;28963.442577359;26645.240108433;27743.635595424;34750.833522485;38846.863934059;28417.731317212;31229.819273927;31531.375376655;30722.070192353;32583.207620625;25587.950451642;36176.862278421;32425.743154321;29645.35259086;37002.363723788;38374.564614394;33499.200796663;33286.196002559;43099.361374787;36126.720192757;40959.255579333;30235.558793538;38821.665811017;40347.244980844;33107.939390965;41201.064575486;48125.250243728;38595.523459227;51104.690581924;46080.285682153;31591.769389172;33478.054817711;35272.217760533;27447.398398817;49248.181571728;41824.873530445;32741.996561006;33538.530263324;31741.849002649;32193.141114514;36556.872024139;31044.928043985;31088.879497815;31452.866735705;27863.419770175;29469.315501706;31425.790774242;31480.722663063
281.24802818201;150192.41879979;165367.92598899;142498.83532328;143698.62572997;143190.74358394;137799.66547476;149438.33335464;136187.40271915;152781.01423968;151913.32485192;144986.77052117;124496.73991381;166317.37357565;152076.56089944;137921.99969847;150573.70524855;177806.60582946;161033.89771864;155945.21587685;140332.63342597;179303.40079256;137049.62309728;159334.75566537;192564.60355277;169691.93444248;177936.76217442;169873.55166487;160334.18334618;180268.78427852;152947.51464012;167355.71049606;157225.24259711;145625.31814018;169448.29170609;150626.14868195;182426.7839726;181546.13494855;184264.64758446;197618.84027358;160436.35957245;160437.827882;142712.07493932;148642.64280809;157397.48775194;151510.19376426;200210.07015638;184182.32824306;170459.00372038;144568.75737267;138390.8637467;166067.1267931;161548.12109768;147708.38123579;123602.64326765;177074.24799106;200133.76407759;171226.94007757;168346.76449593;163995.42926457;161340.7505282;162413.4805931;218925.67712193;197294.38925253;199435.7026354;204154.93402456;172231.05155081;243739.10938029;199992.74076395;194879.23021176;203277.12518209;183738.19987719;231298.83693518;180908.13429235;167377.07071034;205868.8205902;186862.687557;192757.7193361;204620.42061899;186024.05770973;207683.51847617;226363.31488373;241829.08009508;223568.32680485;217876.40551737;220071.97546921;227166.73782973;218132.01854603;214639.27876038;229882.66432468;232055.57628838;245117.94586644;202169.42453559;230400.1059915;223584.45466057;252545.54111494;241434.02089152;219503.44298156;211846.15994845;235513.41354146;229614.28063948;248707.07367609;240932.05708656;234072.68404211;254207.79539468;205780.47468991;266958.35765964;218276.97957258;242046.35333285;228059.21388455;278453.07462072;254755.00050383;271348.04206839;258737.17340228;197995.80136162;203079.15616117;243815.06396987;251109.23067717;269548.4298517;236402.47830597;205176.71542492;215974.0031619;239150.04077196;233604.0342497;231565.48885011;199316.3252066;236551.72751227;222283.70060913;217678.62360283;200318.17568928;242180.85103287;198480.98910488
282.25137114734;28700.874054544;30696.363537323;25318.63044158;32216.59290339;31349.093532395;23325.342172153;25111.750705347;21135.12156353;34094.687889088;33545.982862882;31460.469105201;24228.822413778;28677.189228254;30060.869484237;30450.512247123;28451.756339258;39537.514538892;30143.684128769;28474.889105213;26739.069258594;36009.188543057;22232.098342558;25683.756200343;33530.904210005;32777.973190607;39343.850281128;34945.038646617;30898.614605321;35112.235754003;36675.417340056;30165.528073643;36087.270078691;27465.605527872;25570.711071028;32291.870640672;35513.739006258;30428.12157588;37226.832356964;40454.663465285;36987.523354991;43238.718029016;37751.027727695;30344.806090738;37370.172360099;25382.892399869;36051.374285922;34858.285438784;35221.653779893;37530.873033404;27728.725532517;28253.180381638;37269.438763086;30475.516901633;26484.771072651;38127.80627659;39416.237783472;36879.018180927;30069.944290049;34278.652013614;36163.033559621;32915.580749754;44964.533226641;42090.654758352;40285.429947925;28936.419984381;31754.061416421;51536.600734852;36699.312328199;39344.520466789;41559.873326625;34646.22596694;41939.84732798;35401.038031826;37120.03070206;43269.66559516;39851.137641088;36210.296779801;36750.355661525;43744.097107656;43184.689025547;41105.019401332;47766.147881167;36745.24936958;46661.785453065;38447.121868843;47523.955744549;43964.032011462;50163.773030232;48779.153941037;44073.73981791;45746.571663642;44244.905746543;48051.795541249;47021.817085642;41267.553526283;52171.50328239;41481.049686801;36463.414724631;49079.803758667;42419.518440088;46288.769870663;47385.031336799;43808.223868294;46189.724330315;45613.593461005;48642.128625584;40573.134990161;41073.325014029;39128.523388201;63431.964005983;54800.036475435;61104.024095255;48342.967438663;47975.594558605;40587.399717118;47118.079261105;52054.028966424;57115.379343534;43017.984904414;38465.354957597;43705.557583419;51078.122044365;47952.963989431;44537.788254688;29781.977980859;49243.805048379;41641.833014888;40174.527737174;34839.958522356;47322.286079376;39974.918620826
283.24270930542;10874.177236282;21252.565756882;8525.3844918966;8565.3690797278;5459.3214093603;8377.3863686367;12752.546411826;10333.878934522;11214.058559647;6708.9584923599;13396.019763385;6874.3686657533;11831.261376797;9978.2416161237;13895.077232112;6782.1880374051;15089.457075769;6215.6668245271;13087.819762355;11777.737153779;10156.152310238;7216.2963816883;7577.0982603232;12238.580275889;13823.767970572;8345.368084153;7758.2728644321;10816.257044247;7178.8119490873;8529.8997477272;11005.1785445;7086.7922969393;5111.7599013804;6824.738626999;6057.1345508005;10461.483914807;12545.475812646;16047.734748149;10464.344264789;12267.906117866;9753.9610245383;9874.5804859599;8141.7316543814;13281.872072631;14598.2323513;10917.238607608;11460.938698209;10678.064598078;4095.3499497725;5972.2269593282;11199.797252913;3853.6227103391;6770.4505791223;5325.7483859084;6412.9934455684;15095.515803478;10987.550599209;7523.3345847828;6537.404532576;10666.480171609;7492.1026776932;12020.443270096;14096.126931704;13762.336827299;9284.8409513369;8996.5968969569;13359.154353628;17533.625362519;10965.808021383;11140.457759672;14802.246170431;16740.588670707;7774.0457978301;9676.7526537871;10655.335927083;7944.1127023711;20141.342940201;12794.370729407;16099.276443545;12321.850948101;9413.030428809;14948.440639036;17632.644247726;14839.779745431;12138.088672286;12110.875500655;19839.273656335;12818.351586498;13260.382821173;8710.3080124562;16882.326048565;14588.361096831;22566.518729446;22676.784743217;14736.596675965;25878.958673104;20542.453177667;19402.005906411;15081.315635059;13444.033696382;8968.084100476;28053.565589521;26904.762514511;20927.222565124;19173.42773886;12740.887857028;21125.803849011;16584.539542364;19456.565278579;20179.022095169;24977.81404713;15455.138450471;18993.594674927;19120.764572818;24665.571727159;13763.120825443;22083.177094507;19656.610227038;13792.347365703;16729.282625592;14215.214333883;16458.67099149;13251.737968245;14844.807507515;16118.071541152;18097.009589842;15055.395442585;11064.354784731;10936.342653419;13234.142387854;9233.6241747344
283.26374378257;149540.77221788;162148.08798162;147281.55146795;149809.8334848;151875.46768615;141140.37505836;150679.0079861;135296.62258613;169182.61522445;148226.35629005;142323.41494754;128196.161586;148888.6169113;155149.96633308;134430.93602658;159472.42416739;166444.4656033;149071.70017013;157674.83013708;134103.9498541;183780.22126264;139117.66344317;160956.6011799;219311.024324;189860.92233753;175751.85717533;169940.77541509;159670.03328183;177801.3258096;140102.79887831;166005.242377;171141.52746804;151479.70301674;167682.76891386;156415.37310404;183478.91828196;185448.78236251;201236.10269966;202467.88215255;162714.75688093;168053.7307177;150361.22449849;152720.07627861;160010.77545745;127612.15149028;218320.56754548;199223.21053245;185740.73385978;145416.64161072;152521.07161221;170114.24449915;155859.79545618;151972.74189564;119917.28566951;202170.69708745;225309.94440123;185477.08052284;188217.57344319;163775.2181303;169107.09317451;159861.34833327;272389.49223811;215371.85959301;205927.04720855;199095.50234828;178919.12188158;241195.01853166;224639.31001384;217650.81131426;196243.03263474;195688.96796237;267674.94519506;217854.94617045;185605.33214637;200443.48038421;203048.29582869;228097.87227814;220515.92610671;210718.03089127;223883.79995462;224302.87272408;281967.09749268;254673.38154005;251320.80162287;228072.21153362;232204.87168958;261470.97861577;261875.25088418;251651.73895192;231837.47705042;251649.33126278;239369.36816734;260961.42276908;261109.6410246;254979.50658348;270462.97378097;276666.68016405;253752.04818621;259201.78175101;237162.02645211;291544.33616244;332134.75518115;298284.88873914;286749.01196;242979.77704242;304279.12604679;294899.99664584;312321.16386059;270014.56726444;317028.05585406;293086.7109411;379225.31027616;354316.94312597;270257.87558082;269734.85324205;268744.0587372;268994.8122293;367008.96833247;299543.90702956;254704.53992985;247534.98010082;272127.82725488;256272.0113715;280068.81212813;234886.10725349;247827.14073585;266680.44167908;218315.10202124;216333.94404385;253678.85215188;216139.31592672
284.26705034744;28800.516491593;28505.54765754;26616.495529121;29495.410434532;28159.022973898;26510.182942819;29431.739408525;26565.126953794;24960.835315966;27748.041464244;28363.269399371;26448.328857722;24685.983390162;36851.57997736;28029.757720771;32391.097655076;34402.723142835;27007.862210335;27383.47949865;35868.997954841;27405.060969732;24736.609081228;30707.93062557;53040.693577767;35595.0921825;35608.277170327;39814.65107062;28993.131117328;41134.401717927;25997.34183145;36702.928159313;30975.765968593;27137.005017792;29253.70341553;29530.077514012;35073.538109565;34518.843038655;34835.189310213;41117.658310665;31270.52359392;37864.39347589;26620.390222049;28156.228903951;28834.236235447;20500.170545336;49054.688370049;39908.691572196;32530.113711726;24475.498883153;32177.134928432;37980.187924611;30276.649995475;25954.911739534;17987.898966364;41131.021396259;38149.268960369;34865.856615669;36688.881018677;35166.232848043;33686.053923533;35845.801012787;57693.40734586;49829.563132263;36430.79737543;41279.653430026;32317.674953549;42957.95070944;44038.428447656;41291.250547664;35476.04866941;32524.37943859;48753.731747014;39101.563104327;42173.701039209;45974.720079514;39985.8760327;43136.644276467;43599.861207416;33074.996824756;43317.638088054;46399.162048453;55898.673475298;41224.614466249;40517.395453258;40959.4349623;49740.059174898;51077.205112038;45541.761500598;46588.560023329;43451.597195786;53086.166383393;47925.942936499;50569.052940528;46232.793096781;47562.921461285;49031.107051906;56783.215118357;46672.910761626;49789.045623651;43097.363793822;51678.39607463;59304.115427249;55511.443184226;56219.236133931;45994.848989205;52858.15862469;63392.388107703;60194.578555604;51401.701558813;59124.178819434;63215.370399468;75855.971458135;58045.866903077;58315.412920735;47989.063588143;52559.775982188;49405.587936038;61540.475919048;59474.585841118;53844.177945477;47798.64044984;52546.429187618;46683.144418447;52389.841814389;46238.329591794;42003.38302365;50055.887855454;49474.406515648;43236.514425607;45425.994545277;46963.211890535
286.97742337805;25056.408600623;21515.147028323;17958.071490773;20231.687222509;26492.35781145;13404.815907014;15371.726614648;17085.150436414;20488.542754886;20297.869110897;17370.890002838;25226.752845869;29016.097456945;28833.946158518;30711.034958212;25942.872856309;24109.716553622;30649.201798347;33569.712560652;30196.412318604;23107.506753513;24128.44784252;22212.38037939;22551.334501229;22432.399218971;28054.230132353;28667.495428173;28642.846450154;41254.274741369;37039.795640986;27367.165902976;22819.675326992;24761.569173914;23997.747405034;33366.602955891;23973.968290132;23075.605754849;30173.907932949;21764.576263513;20172.533302101;19793.337582699;35853.728436769;37901.977947146;33054.936954874;33614.834772678;33430.703231149;23774.068602415;24568.722085381;31485.120142984;26263.720292519;23790.581530335;26116.25763438;22055.437416772;32824.958623915;35198.621680479;28347.887423999;18072.094931337;24283.209476972;38152.539610879;37338.001007445;32746.179984699;30577.991262239;21111.376859532;32484.720685198;24772.28296664;26146.716200891;30354.346604116;17337.80251441;28361.520508122;17365.360837397;27288.293329696;24484.287784524;12588.859773694;27953.448266943;23544.12878584;36329.590253456;28007.644181856;29970.56303023;18955.794168754;25611.896016586;28131.830611562;26209.522761079;31456.487550906;27873.070600667;23127.159909343;20574.321478248;31055.021044302;18036.614776696;16064.665014906;29263.719438709;18801.190428195;32364.856702965;32801.819365144;21153.127103986;21619.288249729;23336.324034601;35185.868821132;20325.503047158;22476.277083592;26433.507040157;23128.060269069;30447.080381844;27041.146247112;21093.898445414;21697.952441952;17962.313902691;38537.413283028;24911.395853516;22935.39428832;34544.894688073;22578.443672291;18799.914298783;23411.382517311;25843.897957843;28490.934132732;20471.653411284;22291.980579788;24857.172625557;21566.718664942;34794.51035595;30038.317224147;27445.607144573;30202.009122716;26230.174445582;29733.902613642;20334.814545011;25167.739918998;20391.063758206;19156.83505277;12272.92880238;18582.371455511
289.02837115647;42940.12303564;36941.835066766;41482.372287873;34119.36839471;31111.775828212;39955.058651388;35889.974866911;40092.397975295;42179.553279574;44679.726989093;37329.674210977;35053.598872494;38170.721678245;45941.820936659;37600.800330458;40933.138554436;36917.289578658;38024.91107327;38677.894207351;31819.090290172;44195.931067334;40666.282074462;36527.606925743;40841.628410151;49600.514164056;33324.956524616;48996.525156367;45118.094909469;44356.060085764;47343.379647107;38251.131642731;40294.935810006;35582.055662599;48969.127019447;43580.079193229;38839.238843341;47415.459632865;34711.521551402;41485.401032408;35684.703280349;30976.571849562;41058.48677509;35883.785680587;36776.562087274;37053.659976843;33461.319479641;42630.501651032;42555.983191195;34685.589957525;36261.371662042;45449.79667041;46832.678869484;35464.891799884;40906.532188356;33494.174115045;33638.061419831;39811.823736325;42460.597496946;44719.400308856;44700.046487823;36409.980283435;40864.678779325;32529.806565641;28279.155113796;43605.495081631;40265.27975497;39258.491217597;45460.117745598;46753.011835053;30768.264448772;27928.102687993;41720.954557742;42307.597997126;35466.33815697;33420.78888171;30656.783290325;31605.330867966;39251.939071759;32591.52320986;32176.703474009;41096.128000397;42683.811207248;42445.455605121;37066.700627367;31862.521397781;30911.374980711;28020.310896434;35110.994601024;41579.199182567;40755.127913676;28458.608011208;28698.470385529;34204.573000271;38024.531439005;37938.818973542;32102.299030686;31333.874624535;34156.535402616;38144.221069484;33593.972078545;34934.527284738;39788.204877209;27273.671589306;30015.277354044;39003.84518487;38309.350420883;38975.053070454;37633.360127444;34970.381953234;46602.665819802;29761.312206296;44151.634369391;34217.344547593;41354.952373025;33095.599363379;38457.062970648;31612.899310678;38721.814445328;37802.644456409;44172.789196041;29909.789718882;38338.460921055;33734.591196243;38254.463758627;29814.73962415;35368.944801947;39375.956381621;32409.940263821;40650.623451655;28688.904398309;41855.193598031
