# Exported with SCiLS Lab Version 12.00.15110
# Export time: 2024-03-25 13:48:09
# Generated from file: Y:\imaging_core\proj_archive\DATA BACKUP-OLD NAS\#394 Nilesh and Biernaskie-brains\220809 Nilesh brain mets\220809 Nilesh four brains mets\220809 Nilesh four brains mets.slx
# Object Full Name: Regions/220809 Nilesh four brains mets/565/565-ventricle
# Object ID: fcd9d895-266c-4964-bc35-a85b6baf1ab0
# Object type: Region
# Object creation time: 2024-03-16 09:34:18
# MzRange Name: young-mice-features
# Normalization: Total Ion Count
#
m/z;Spot 24027;Spot 24122;Spot 24215;Spot 24216;Spot 24307;Spot 24308;Spot 24309;Spot 24399;Spot 24400;Spot 24401;Spot 24402;Spot 24491;Spot 24492;Spot 24493;Spot 24494;Spot 24495;Spot 24583;Spot 24584;Spot 24585;Spot 24586;Spot 24587;Spot 24588;Spot 24675;Spot 24676;Spot 24677;Spot 24678;Spot 24679;Spot 24680;Spot 24681;Spot 24768;Spot 24769;Spot 24770;Spot 24771;Spot 24772;Spot 24773;Spot 24774;Spot 24775;Spot 24863;Spot 24864;Spot 24865;Spot 24866;Spot 24867;Spot 24868;Spot 24869;Spot 24870;Spot 24956;Spot 24957;Spot 24958;Spot 24959;Spot 24960;Spot 24961;Spot 24962;Spot 25050;Spot 25051;Spot 25052;Spot 25053;Spot 25054;Spot 25055;Spot 25144;Spot 25145;Spot 25146;Spot 25147;Spot 25148;Spot 25149;Spot 25239;Spot 25240;Spot 25241;Spot 25242;Spot 25243;Spot 25334;Spot 25335;Spot 25336;Spot 25337;Spot 25338;Spot 25429;Spot 25430;Spot 25431;Spot 25432;Spot 25433;Spot 25524;Spot 25525;Spot 25526;Spot 25527;Spot 25528;Spot 25618;Spot 25619;Spot 25620;Spot 25621;Spot 25712;Spot 25713;Spot 25714;Spot 25715;Spot 25804;Spot 25805;Spot 25806;Spot 25807;Spot 25897;Spot 25898;Spot 25899;Spot 25900;Spot 25989;Spot 25990;Spot 25991;Spot 26080;Spot 26081
209.62855955469;12251.126006287;12017.490900262;13223.697705608;11689.86461056;13464.269668822;8521.278943076;10046.83759422;14535.990012079;11032.370441676;11442.463500383;8517.7927546864;10099.643842687;9223.4927771845;11570.754523398;11726.792156584;8501.7121205065;15505.215502608;12162.019562057;7499.9488954513;6239.484156786;9953.9946657165;13391.970933026;13859.792791449;9901.3842050656;10685.037167614;12928.308632725;8644.8825341485;13371.205903853;10531.424502956;15001.318620861;7064.8143575499;8279.5290857065;8433.2588790736;6949.3544529887;9641.7197574351;13376.565063492;13150.864971071;13892.537623517;11294.017227445;9692.6548865656;11670.222587897;17649.92632106;13626.224345278;15353.667033837;11497.702970089;7895.4732779624;7819.4331213706;8500.978948447;6905.5042681817;15423.69696407;13045.631344714;13971.432231041;9661.8128969939;4285.6038609178;8024.2544869636;9526.5665626315;12592.390565539;14818.364934081;14069.853454113;9742.5554350124;7006.1382058218;5594.0484408232;13727.135489264;17359.373367149;4753.9938926767;9876.6655139572;6171.4011969067;9178.8895474763;11207.363364069;5014.0971208747;12133.603801674;10123.967396213;12930.951331771;20204.630592293;11266.713392301;9135.2550322886;4529.9492949706;10795.489535497;8248.9375594386;6073.2371872983;9146.9173597703;6160.8317400514;15005.704318702;13134.682154645;10449.863540719;7791.8217931305;9921.4604414762;11882.937223448;10700.390682767;8240.1777962447;9717.4021773246;11788.938303804;14906.683850634;10071.015376249;13977.968147638;15490.974653419;14734.771434176;12190.525980149;6865.0985943529;16180.113162262;14090.625456346;9633.4403877069;5570.1769776958;8807.0786809242;12945.249777373
229.05363493112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1242.2037742989;0;4922.9979649391;0;0;0;0;0;0;0;2981.4764339969;0;0;0;0;0;0;8697.4729753796;0;0;4188.1849571141;0;0;0;2315.7235934529;0;0;6020.537470424;0;0;0;0;0;0;4474.5419151942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2565.6793783321;0;0;0;0;0;0;0;0;0;0;0;0;0;10569.438973465;0;0;0;0;0;6008.5320026016;0;0;0;0;0;0
255.23272548558;41284.301493476;30007.89341056;41812.516753488;22073.643217872;32216.947467375;31016.478055811;16401.530971903;31760.357605677;32501.702325088;24236.804097905;17692.077929319;27829.934137715;24885.083669295;25070.674614617;18075.602763669;21347.77388952;43153.418974785;32600.706614862;23954.021326838;20858.602216609;22731.205882254;20345.524008316;39608.999364877;31249.228408167;27460.83032053;28282.757947648;20572.289552654;25577.43159497;19459.133556768;35941.487499279;28424.747086481;20249.609121324;18436.548584416;24776.446851954;24618.907717824;31541.46105667;20074.424633037;22942.920138804;33911.916433512;19571.857828619;22908.492650554;37937.257608106;30939.382570999;28672.293981682;15062.951839846;23087.895749674;37319.144624791;17237.111035094;23380.09519115;24642.589207646;25019.69909247;34008.88688055;35204.475156005;22623.36000638;25437.618043035;25217.103782047;33005.127865826;23094.552996165;34540.100019681;27677.470156421;21276.053928171;31612.546950466;27518.978915226;29974.123223525;25549.922965078;28549.731484194;23773.528622009;35579.353696264;25169.916391613;26143.008657756;35995.569703423;26048.290153344;23166.33059409;30074.042311859;28952.979495921;21930.674807929;15992.182650486;30933.919093272;23148.686486012;26005.880855221;30755.78447636;22345.980294673;43990.074763358;37227.466104122;33082.202483264;36016.302524495;27480.210963347;33915.221405958;25679.978670534;20392.263067792;33435.867160826;27482.537517236;41534.30991704;28664.060968023;32401.006004027;30920.45131179;32533.437631056;31045.463104689;22657.999504679;33487.221700492;34371.749074006;26628.513674184;24239.15426384;32920.652161787;37247.286269725
281.24802818201;316072.17826604;366457.04935588;349314.98944699;258502.21758274;287666.75797414;272495.72917908;253707.57146656;320227.06644538;275893.74612115;261582.05881711;326503.20172309;232242.29610377;325056.10230074;205670.01006452;270771.24549046;263909.12475184;296062.02988183;259775.58887976;177372.87550027;161276.37623177;219374.42735421;271590.0360763;237552.36834951;227916.49490383;201158.46707622;205106.53998069;188828.9234951;225915.8041485;269176.88213639;292084.06690878;219036.5254053;192487.8418171;162441.98061262;211640.89344895;241735.10978569;256751.81934652;267251.90390667;238709.35375762;222872.04558599;171463.02489936;234676.77817355;294803.83450628;183281.92123778;254572.61393814;243831.90041259;177818.63604036;190150.09004094;209667.52696983;199563.25329437;225515.30905002;167403.978309;209125.99687625;217438.67642236;128800.23458149;149122.77185775;208512.71558158;238439.29063287;191816.25062454;303652.80081123;184121.4068417;173974.53757595;163252.34412799;244847.42504535;207945.42815194;181128.4888937;166966.38902987;147552.15912996;218406.22858948;182443.75118733;172883.62765876;199982.68837435;237501.60814784;248562.88420685;208687.8208249;286707.66208169;186937.07351897;136953.41153626;257083.9855576;153350.37473041;231617.01854974;200613.01429417;179791.690045;300816.78996602;199350.05314777;265663.56795776;187166.14266452;225753.62552866;170151.72558365;217935.16537821;164193.46565643;213508.40894003;146845.66545579;237344.31585673;272846.4234595;230204.77133798;189348.03981256;207659.45594893;257528.61736319;166390.32155596;204694.93431583;215011.74182987;229454.58527517;202661.50557662;194319.12129496;197531.18924405
282.25137114734;52694.943575118;71429.954518012;58480.821136514;49483.494395283;59556.582489451;51180.451852156;47627.697050296;61424.819549809;57397.567447913;50971.152568643;67361.370733475;43426.094398371;65757.678918971;38377.517717074;47775.625950236;58562.636562735;57825.790197185;49407.970371955;33814.145352837;37067.459244593;48680.949793307;53082.917016246;49660.468139652;45061.531608178;45306.069777425;34404.187252322;32510.495491522;46632.004915994;61733.101639547;48790.04269282;41263.734899017;40793.690856026;34708.538160632;37221.139464793;46078.475557887;45315.655329235;43231.552800026;50061.319356658;40929.95330716;39434.429448489;49185.521158842;53302.391693048;34480.50092422;51608.732089521;50181.570194357;39030.705535346;40264.290163503;45692.67878873;43966.385032968;43391.711356626;32017.649306614;48430.997361399;37694.775668366;27856.102024367;40160.878938882;35115.264371454;51108.607983554;31810.959250556;62602.059365717;28708.217140378;42750.113544911;39072.283097404;47228.744333141;35841.2221759;36478.668440021;30105.112819107;38570.742039405;44071.505907911;33771.08739453;36078.291462151;39909.765442071;37421.509044578;50591.654361068;41747.997142955;53526.768445347;33947.347370845;28774.50602425;53931.241612096;37370.896723812;49423.424692862;39296.482722533;38414.561744122;52130.371024101;36551.293865916;51459.532770899;34551.451142866;46280.679773583;42013.457520466;39339.49000097;40536.144761394;42912.104278266;21648.156584107;46161.376766446;47386.469728207;49144.314984103;37240.775866164;48238.007728626;58851.046378227;30221.337931641;41301.982888951;41505.429697715;44823.307195814;41149.760967559;41106.516455835;41795.284965542
283.24270930542;34398.92214784;21842.51706799;38230.550667595;19681.492375473;43654.812327561;20191.566719411;19188.330627532;61148.747515797;23555.392037002;21255.888830802;34475.861673976;51895.047533368;20448.285634417;17138.666235976;18780.204871434;14312.04577427;55974.466849468;32680.277086018;18465.336051068;11039.379774394;11815.296013251;34008.061697357;50038.90324767;19243.126444519;16363.931944628;21163.930118273;11221.950781956;27030.382389402;35827.351883773;52236.137787517;18660.67446098;24689.483222343;14053.691918991;14695.344590503;26757.936910111;38379.642683949;22872.270352158;28671.304363809;20425.860340532;16324.013206452;17840.325599467;52853.055205778;43753.972584086;38568.091668883;30414.871719083;25943.040501816;21505.649344692;24914.199341499;17968.904451317;46656.824072871;48469.796480791;53087.754608811;30891.391164775;17235.91203194;18877.03108068;24598.344654611;49330.443309247;50887.305689693;22509.29567773;26017.747495865;33819.238492049;19613.397596841;28057.327285342;58873.384012232;40292.946462926;21090.839721093;18251.362197961;29165.826333361;51091.435672755;19089.367403922;25086.444736695;32783.673374874;42030.699137216;60041.575966503;40479.871221577;22090.06778173;18242.175995047;32552.261326613;39660.498909171;29322.997323362;25441.386651677;20256.774611559;54096.980403193;57944.650249466;33788.903674938;21247.684140491;39180.386200659;55516.773187191;29770.025958845;22257.208739612;47849.221455071;43752.323525035;56678.201039971;30041.748586307;29867.509463418;57866.864994152;56707.625757769;30345.810631207;30524.179491393;57862.200925263;56945.560074867;26003.870107397;36483.610138157;45006.970552579;63444.229184514
283.26374378257;381686.22734519;380617.11037065;393229.96689372;284880.43608777;338752.25014103;310074.54295025;278933.20744291;405098.01068184;322842.99343088;292186.27703076;292391.02707874;319762.94409277;306368.70134188;247118.58246514;332534.62037977;233350.19210996;412474.52507951;312072.21294379;220127.78840873;205076.49390471;226835.4309295;287679.03030486;348274.71914206;287345.46779431;278519.44707316;264600.73530571;221770.75441604;291385.35245756;258542.60660927;362339.39797246;281599.12019098;243697.32427206;206671.50500978;254306.54827693;267096.70132046;311424.11085889;264129.98262627;311303.32357103;290695.88760731;223440.76393483;287407.75530958;386448.97997222;268144.66191895;301558.24006066;260200.31622596;244882.41628829;265401.19721996;269019.0783267;226232.51377925;345190.71161865;267549.28203063;290657.26471856;304080.61162912;181954.47118024;216784.27729584;250172.64721062;377016.1932575;302187.95775313;373014.86689562;286402.78282595;249337.93096449;258523.91204469;258647.9938117;348975.46792401;213638.17143237;230214.11908574;241163.34779125;278071.81145808;276991.78951078;239553.99986784;276245.360768;290210.95971385;322571.67348702;332767.42654542;321522.09609872;295730.71661522;214786.16735308;275686.13599508;250142.06902342;269344.99552124;303808.89176185;279288.51772831;398631.25890992;306008.17715288;329193.02350556;268431.55360586;257140.49413002;327198.12393901;275813.95230276;207895.62198122;289187.79370181;240620.80725046;330501.5977322;316145.77750967;301072.38350161;300160.31188111;328598.48954693;337193.88027434;196647.609687;330559.38945237;304158.77930083;287732.95891991;226033.24186815;294828.61585213;312015.28973627
284.26705034744;64630.771377499;74495.305768692;76181.642982371;65594.843759778;68150.774713767;62941.787234226;63712.722995044;79156.151563844;54676.6591923;56997.001195609;63157.995150495;60778.896024865;52391.379098865;51771.531439311;52335.78968706;39954.28358064;74971.084761121;51161.886881635;48962.77850763;37353.569923306;49476.728638669;51387.662281442;62853.817669048;56499.852107626;55777.95220693;43499.219949408;44311.187018159;56479.710507743;45513.539605123;76132.513290881;47237.386340526;41253.331667044;40009.393299242;48543.198218306;48236.702977535;60523.579320922;57910.9334344;56576.596392772;57045.759854461;40912.071883188;57282.039079275;82658.347065812;47714.354125658;55678.374212851;49869.947112434;50858.605585363;51857.149542125;46285.093201815;41778.532605859;65490.915647985;51150.071813824;46422.749368373;57445.236799401;33104.510997167;40569.733721169;49360.769354972;66536.639129742;52849.284623764;79278.321874264;53737.079875702;58316.650320754;39015.091988069;48502.100265823;73756.43665066;40250.048916381;39407.159787107;47575.61646465;55363.897037197;48405.476917053;47930.758256265;58845.77850033;54689.128815221;50439.469538915;62293.838344009;58797.242868721;50722.00964303;45364.827833979;48108.956241607;51163.333210284;47796.773781249;52961.02958934;46966.221794055;72902.467255449;69204.382487355;56807.703446991;52835.633670908;51314.620754744;64020.521832773;70872.068507961;39963.602403528;47547.242306476;46318.005420987;64118.958749539;52451.576808981;51547.976140333;63635.220279941;64193.963048103;68398.479522642;46587.040493655;62831.074749414;64207.555139328;45462.254082748;47040.780629293;59657.524892028;59189.044242209
286.97742337805;15640.911839465;16645.489804489;21913.124688341;10816.868003691;9133.3050014791;0;8537.8102515071;17111.847980049;9908.2473226416;8293.3742034422;0;12696.801344012;0;0;0;7165.5557402341;11966.253213509;7485.5882398137;0;0;0;0;17874.00202747;9757.2249612396;7299.2261001474;0;8633.1604279649;0;5015.2239024184;12810.043591028;0;0;9524.8295851387;0;10448.020392305;13645.160989699;13823.029703312;0;0;0;0;9002.4935101941;4707.4761802046;11648.70254246;0;5885.5364701493;0;0;0;8032.7396321398;8259.8298925746;7647.6475571408;8350.2118400316;13784.923410094;0;7783.9823220674;8378.9853933841;7022.1949913118;7353.9699922662;0;0;0;6042.5799288282;8161.6227561982;3066.5815384555;6790.1354289306;9110.5347631365;13904.763861745;7430.6544664357;0;6429.3852996493;0;12117.310505192;12909.036902311;8859.730870645;9054.810544701;0;6535.321422667;7263.7020172075;5391.081558216;0;14570.667369524;8437.5432500686;11361.879901643;6251.5989759299;0;0;0;11459.001637541;0;10759.207608302;5398.5749772692;15639.569553164;14211.793809627;0;8765.4632732552;19996.029962233;8339.291352821;8439.1724342253;25890.780473305;19550.277905542;7183.1940859015;13035.308796286;0;19657.66514099
289.02837115647;13799.856368737;18962.191422101;11799.309048968;12384.654478574;7471.4911226463;18172.243579658;9990.1759873017;26278.995453375;14100.986239609;23450.756206462;11662.954981263;7366.4702335649;20127.67824548;14888.205667675;40378.094978577;14005.002585488;10370.051111454;23156.917243962;29865.590840532;20962.84866829;12275.501485731;11503.956921036;10906.011589198;21587.816414698;21716.305338613;26873.571763111;11870.538771987;12321.836205365;13976.671366825;10752.005904185;14352.568462392;15920.671582375;19410.560798421;10617.959603782;7003.0388132005;14087.574038723;18878.11965047;16882.730739657;23584.173064497;28009.870992878;25784.974272088;16075.192192538;9519.3227154913;20447.530706654;24741.762797709;16558.969315725;26714.052948499;23581.547493574;15239.795679729;7691.7686215042;17782.189516965;15252.318064686;31280.4041767;14562.891213371;14952.109212323;22188.529718209;12142.157922763;12719.489105085;19759.145651975;23056.002521606;16718.955631235;20208.925858184;0;11355.931693337;17834.55255869;26577.512721718;19616.351318557;12325.081268671;7565.6858088135;15477.102156795;28187.933941235;21188.756189994;8748.0766362777;14882.059510842;15732.786914988;16139.220045858;15393.621769456;12278.370038044;7261.0592858025;12762.862776876;16725.213275518;16869.011228935;15417.592688718;10462.373552634;14965.128386891;11614.635111959;8486.4883779953;11105.551558393;0;12607.493939702;8066.1449300934;11904.137962476;14636.876842708;11872.934632805;12083.600604259;8236.310862962;10545.421762424;18600.88706789;14196.826889916;10308.344430077;14772.791220583;9993.6757401909;0;0;19117.427986333
