m/z,1,2,3,4,5,6,compound,class,shared
209.62856,0.226049846,0.215453822,0.081018114,-0.105481815,-0.12150962,-0.263475829,CAR 13:0;O4,FA,
229.05363,-0.071591231,0.148906508,0.065003413,-0.073632034,-0.081048606,0.006704865,,N,n
255.23273,-0.122413248,-0.038255093,-0.009353726,0.133755311,0.118906039,-0.034149092,FA 16:0,FA,
281.24803,0.15979736,0.00069036,-0.029415293,0.074719687,0.022341146,-0.167082175,FA 18:1,FA,
282.25137,0.158672725,-0.004262739,-0.032007802,0.073727477,0.019764669,-0.154295104,"NAE 15:1, SPB 17:2;O2",U,
283.24271,0.196976303,0.070424963,-0.036211651,0.025628475,-0.033886003,-0.187422683,"FA 17:1;O, MG O-14:2",U,
283.26374,0.053238683,-0.039054432,-0.01035233,0.118506578,0.072847058,-0.138190776,FA 18:0,FA,
284.26705,0.058543558,-0.04125145,-0.013290171,0.116688184,0.072369422,-0.136223318,"NAE 15:0, SPB 17:1;O2",U,
286.97742,0.119253577,0.062272409,0.059048857,-0.044071588,-0.092969028,-0.074748645,,N,n
289.02837,0.114760564,0.068209201,0.062962717,-0.031491385,-0.105346627,-0.07140815,,N,n
290.08752,0.246936073,0.161464406,0.015102686,-0.040981675,-0.110775517,-0.236975626,ST 21:5;O8;GlcA,ST,
300.03882,0.07266053,0.03235171,0.040953471,-0.063549015,-0.021360976,-0.046659938,,N,n
303.23234,0.2597962,0.001204399,-0.020991252,0.052800976,0.007449827,-0.248533268,"FA 20:4, ST 20:1;O2",U,
304.23564,0.252775563,-0.009108816,-0.029515745,0.060257662,0.01135782,-0.232622598,NAE 17:4,FA,
306.07583,0.353771815,0.088364673,0.129546681,-0.185687561,-0.173766505,-0.172747859,CoA 10:0,FA,
307.09828,-0.088861641,0.061124626,0.469028284,-0.38229495,0.093074532,-0.095955427,FA 13:3;O4,FA,
308.10161,-0.049461536,0.060620053,0.363658618,-0.290986559,0.05518197,-0.086879665,ST 25:7;O7;GlcA,ST,
311.16803,-0.088450654,0.354476714,-0.103480343,-0.070341032,0.006443244,-0.107796934,ST 20:5;O3,ST,
315.04801,0.131446,0.103572709,0.068817485,0.032456219,-0.120470012,-0.169165965,,N,n
323.02791,0.141833106,0.146193496,0.157255359,-0.379854283,0.078817805,-0.10773715,,N,n
325.18345,-0.077734383,0.324972549,-0.095120413,-0.059866351,0.00679582,-0.107661286,ST 21:5;O3,ST,
327.23221,0.174836905,0.078810557,-0.028404137,0.013815152,-0.015818714,-0.189747369,"FA 22:6, ST 22:3;O2",U,
328.04441,0.163196795,0.030200001,0.17331753,-0.180595206,-0.029149048,-0.106208255,,N,n
328.05777,0.37177152,0.090983031,0.053294111,-0.144262292,-0.139380549,-0.192032529,,N,n
328.23557,0.171272115,0.075103181,-0.030476032,0.015778573,-0.016421695,-0.180855632,"CAR 11:0, NAE 16:1;O2, SPB 18:2;O4, NAE 15:1, SPB 17:2;O2",U,
331.26349,0.239701792,-0.030739867,-0.040710626,0.041977473,0.028086345,-0.185668971,"FA 22:4, ST 22:1;O2",U,
346.05474,0.173546837,0.071048127,0.153870444,-0.283570514,-0.017836728,-0.06035949,,N,n
346.05612,0.178490452,0.130904356,0.183293143,-0.310463755,-0.041541654,-0.113431668,,N,n
347.03879,0.501392124,-0.255363669,0.111133801,-0.351997249,0.188683418,-0.135299241,,N,n
347.05818,0.170831095,0.064522591,0.145485104,-0.274628431,-0.018645523,-0.050127964,ST 18:5;O2;S,ST,
362.04947,0.237793782,0.162597588,0.104055599,-0.301276522,-0.068781265,-0.109369735,,N,n
370.13363,-0.121682937,0.141034304,0.215500323,-0.192567441,0.01714882,-0.006288246,PIP 22:4,GP,
371.13729,-0.114785305,0.125707081,0.219856862,-0.200775855,0.026933034,-0.001756785,PIP 22:3; PIP3 36:3;O,GP,n
375.22931,0.195509315,0.125801825,0.051355567,-0.050839745,-0.095677809,-0.1809665,"FA 20:2;O2, MG 17:2, MG O-17:3;O",U,
383.12895,-0.108711241,0.080048292,0.370829357,-0.304832048,0.09970835,-0.08707774,PIP 24:5,GP,
384.03138,0.201738249,0.158278532,0.081724275,-0.29909311,-0.037784075,-0.075176549,"TG 73:1, TG O-73:2;O",GL,
384.13689,-0.052988425,0.189008903,0.192501008,-0.196885524,-0.012714951,-0.069243788,"SPBP 15:3;O3, M(IP)2C 28:5;O6",SP,
385.14468,-0.046886073,0.168153044,0.215448078,-0.204794181,-0.013989481,-0.069290708,ST 22:6;O;S,ST,
386.14784,-0.049453532,0.159844691,0.207381872,-0.1963132,-0.01213182,-0.063480898,NAT 11:0;O3,FA,
391.22401,0.235118432,0.239374631,0.079833707,-0.152657046,-0.11759785,-0.258567979,LPA O-16:2,GP,
392.22763,0.215554293,0.214634751,0.066759295,-0.130151612,-0.107691245,-0.228534939,"CAR 11:0;O4, CAR 10:0; O2, NAE 15:1;O4, LPI O-32:6;O",U,n
401.13926,-0.153931888,0.314743817,0.212823921,-0.289955717,0.003937168,-0.057988268,ST 22:6;O2;S,ST,
401.24475,0.154324061,0.113823993,0.057506146,-0.102482718,-0.039668484,-0.149476026,"LPA O-18:3, FA 22:3;O3, MG 19:3;O, ST 22:0;O5",U,
403.26048,0.117542719,0.176447999,0.092181647,-0.111224509,-0.069161039,-0.165835362,"FA 22:2;O2, MG 19:2, MG O-19:3;O, SQDG 33:0",U,
404.01321,0.229723279,0.168583508,0.140660853,-0.296359777,-0.096270395,-0.120700623,MGDG 67:3,GL,
408.00996,0.235040632,0.166946708,0.105327879,-0.217874181,-0.110026671,-0.145297959,"TG O-81:14, MGDG 68:4",GL,
409.23451,0.161044385,0.224881091,0.067048879,-0.098493393,-0.113239538,-0.208138179,"LPA 16:0, LPA O-16:1;O",GP,
417.23961,0.238133268,0.217296981,0.06957905,-0.140646654,-0.127202798,-0.226339278,"LPA O-18:3; FA 22:3;O3; MG 19:3;O, ST 22:0;O5",U,n
418.24291,0.227692201,0.207682957,0.062747555,-0.129173238,-0.123622862,-0.212230991,CAR 13:1;O4,FA,
418.27148,0.217583497,0.115757633,0.048950973,-0.083435883,-0.080024417,-0.175064294,"CAR 15:1, NAE 20:2;O2, MGDG 41:9",U,
419.25509,0.220536664,0.22049715,0.093869848,-0.120110375,-0.113938605,-0.26978333,"LPA O-18:2, FA 22:2;O3, MG 19:2;O",U,
