# Exported with SCiLS Lab Version 12.00.15110
# Export time: 2024-03-25 13:20:40
# Generated from file: Y:\imaging_core\proj_archive\DATA BACKUP-OLD NAS\#394 Nilesh and Biernaskie-brains\240301 Young Mice\240123-Biernaskie-neg.slx
# Object Full Name: Regions/240123-Biernaskie-neg/287/287-corpus
# Object ID: 0e725b55-fe3a-427e-b904-f7083efb85c4
# Object type: Region
# Object creation time: 2024-03-22 09:41:16
# MzRange Name: young-mice-features
# Normalization: Total Ion Count
#
m/z;Spot 34645;Spot 34646;Spot 34724;Spot 34725;Spot 34726;Spot 34727;Spot 34728;Spot 34729;Spot 34730;Spot 34731;Spot 34732;Spot 34733;Spot 34734;Spot 34803;Spot 34804;Spot 34805;Spot 34806;Spot 34807;Spot 34808;Spot 34809;Spot 34810;Spot 34811;Spot 34812;Spot 34813;Spot 34814;Spot 34815;Spot 34816;Spot 34882;Spot 34883;Spot 34884;Spot 34885;Spot 34886;Spot 34887;Spot 34888;Spot 34889;Spot 34890;Spot 34891;Spot 34892;Spot 34893;Spot 34894;Spot 34895;Spot 34896;Spot 34897;Spot 34898;Spot 34963;Spot 34964;Spot 34965;Spot 34966;Spot 34967;Spot 34968;Spot 34969;Spot 34970;Spot 34974;Spot 34975;Spot 34976;Spot 34977;Spot 34978;Spot 34979;Spot 34980;Spot 34981;Spot 34982;Spot 35045;Spot 35046;Spot 35047;Spot 35048;Spot 35049;Spot 35128;Spot 35129;Spot 35210;Spot 35211;Spot 35212;Spot 35213;Spot 35294;Spot 35295;Spot 35296;Spot 35297;Spot 35378;Spot 35379;Spot 35380;Spot 35381;Spot 35461;Spot 35462;Spot 35463;Spot 35464;Spot 35465;Spot 35466;Spot 35545;Spot 35546;Spot 35547;Spot 35548;Spot 35549;Spot 35550;Spot 35629;Spot 35630;Spot 35631;Spot 35632;Spot 35633;Spot 35634;Spot 35635;Spot 35713;Spot 35714;Spot 35715;Spot 35716;Spot 35717;Spot 35718;Spot 35719;Spot 35800;Spot 35801;Spot 35802;Spot 35803;Spot 35804
209.62855955469;13345.064613029;16107.323615931;18757.737409829;16811.095488157;13825.865129079;12796.049401564;11431.882881226;9624.1320900163;11729.099285145;11116.181577199;13878.19011987;15616.452685365;13628.890520767;17221.13538916;14986.333234395;13222.711960671;15288.958917393;12986.376721494;13559.709726331;11153.704971149;13987.520798328;13401.673147207;11451.097928149;14692.999600684;14610.258180998;11532.463650574;11069.738268866;16850.51937958;13706.684292767;13837.08281816;16853.557831134;13601.756733211;14197.140565366;11115.551127931;12558.51428958;12832.474460139;13559.586990625;12108.722411353;11109.341859055;12936.549689563;10638.147104931;12457.528554663;15703.48652932;10948.16392256;17662.401336156;13768.60946831;17349.347508455;17082.918632198;13965.251302779;13468.718887502;15554.316166117;15393.497904304;10874.888929144;12881.679289534;11288.537341623;11075.86738505;10216.95371143;10636.630540315;10821.376723835;10083.635921835;12848.498245999;14686.986184897;18030.447786877;18340.900834549;14335.851484417;11966.986456219;14556.508454094;13887.301912036;18838.246422915;19661.594967042;15096.560075731;13435.761209981;15800.569703417;17267.497213416;15268.006508137;17410.954436881;17377.050130065;17019.759290023;16650.995454444;15623.809474109;18715.696520735;17369.569951381;14515.867439892;16424.297702677;16484.078152651;14424.068944005;16677.027840712;19507.393055089;17673.911891688;14992.082970276;13349.723620444;16787.710012027;16102.642616271;17540.003647513;16967.936333382;16149.747468369;18312.976563414;19638.226771851;9384.8304222699;19310.02056198;18046.515024692;14046.747933627;21429.896882638;16591.073333586;14081.411419221;12755.900083923;17736.260360873;15823.074211934;13450.092267231;17334.467431991;14340.338659414
229.05363493112;289314.7412362;311033.04415256;248724.15664163;281086.67561768;329652.51540513;343895.08376394;456726.71065071;378039.13036252;417581.67282442;336244.85856512;480279.54514113;423928.1001296;408848.80294546;203916.33244572;304943.88861423;296823.68447834;410097.4370244;342392.43713479;382413.48174924;382185.12416506;442829.05788763;452405.32511827;429525.64502888;532255.83002725;438664.12462922;402106.38152575;524327.59482117;138915.96743768;190692.30242092;236982.19255899;313607.12175553;326491.05126881;391678.63936531;321380.77186286;362911.14359061;450386.29558249;391027.56632911;561173.11265494;458563.10187252;419377.75227674;452120.11173328;499849.85390699;507158.37956308;418146.80440218;131230.06880191;181000.31577359;228990.70752923;220628.62061324;272396.61191828;275715.09363755;286938.15211904;382095.77317275;550730.5511554;381883.07178759;485979.65693155;631334.7971521;528123.06777432;459941.87095637;456803.36775617;450687.98434006;481475.39145802;74752.045675008;118818.06031457;162802.42930532;170761.61952752;245444.11723854;53981.272866736;68470.579070488;36817.054499652;43798.352133161;51728.751952815;63837.622783227;24125.10817562;29914.863264589;37821.60260482;37846.287237494;19186.486401622;19894.785716204;17123.348259824;21035.150590452;19636.793475991;22350.248163233;30267.506197228;18811.775893612;12998.424317776;0;21571.972138695;16258.401872156;18884.560074111;17476.86558251;9472.6098478478;0;25342.952159068;24534.442465805;26152.506835023;25088.945774709;13959.934607921;0;2959.5442633152;36002.80075237;30129.55329882;33381.723465635;25689.268225143;13679.739359805;0;3054.1287484877;23425.387949506;22008.32282373;9363.2732020929;7771.5119565557;3955.0514918208
255.23272548558;28940.851234612;19805.585850712;28665.337673151;25751.385301689;20625.39578244;16837.30822797;15501.53873175;24758.420024212;25785.633815572;18394.904020187;17795.277149177;19359.665941956;19416.472130696;25892.987423311;24466.220528608;22995.367240548;23337.709266825;19561.582324405;20504.253062646;22632.004910727;18574.78084479;24418.390277763;17745.971699581;25118.059579608;20016.404298021;18120.867674029;18413.697626303;20395.68474163;26155.101811587;27482.906843774;21551.534269499;25490.913261121;17084.164329527;23461.966448108;16129.312413076;19269.333399471;16486.08324326;25383.320280063;18523.065140276;23070.223037349;19124.95788846;18939.266571012;25483.486613853;15558.69526362;29072.544733015;27345.287587132;25918.830375505;18345.365350103;25245.0765691;21029.796425052;21049.652906033;28525.397353553;20006.60745148;27362.177335264;21069.569464937;21807.782035228;32584.780701361;22494.720512261;23983.563868928;18866.249325316;17900.538205028;36448.259600533;26496.21834216;32425.531788934;27431.78669605;23667.446893763;24180.289973929;23690.848435919;31306.001606434;39797.808016588;27598.25788499;28209.752086448;36630.321742454;27452.50096526;26048.091006203;33171.718279551;35019.035333247;33746.122822962;31865.041758176;31791.414365065;31410.116156395;35497.447723812;40429.3240994;30493.793063202;29197.297079938;43061.52340348;36736.58884898;41633.306321546;38478.922952697;25705.774006013;31508.958048287;38626.279220942;36433.349184039;26303.956982104;36370.688863673;39052.659448016;42150.444252116;42830.796299595;62939.070743769;37369.295113099;37668.888382802;37893.907173886;37223.549188028;34615.200927532;37428.191197249;47183.50269459;43188.182476017;31141.888833519;28467.672427135;34451.190706939;38861.503431329
281.24802818201;132017.74105813;138001.86258312;148538.12074933;152517.74999818;138419.18192663;107608.19413791;123541.0035314;127289.89050471;140318.75722282;141365.52711333;123678.4078583;126829.81824624;136029.90732728;152925.70402219;154649.02219469;147877.46192408;162406.24774547;153469.62610458;137994.65257695;111470.10181731;116629.54966808;134599.48262592;122362.88848732;128020.2439114;128800.78551843;145005.98568674;99354.826725801;152275.74181832;164413.7368025;143426.97648056;153130.48159924;147603.26618271;133227.77489871;135168.17429001;131910.14620949;153530.59250661;133526.68093747;130380.990819;128925.75984152;139052.95490767;131443.45260152;118589.80363415;130540.36955042;129341.07776181;159017.26020397;156278.78607621;175154.37287001;144184.23138699;165313.42117433;159510.09990347;148190.64405392;139817.11546791;127504.49204518;140470.73327441;111346.60491019;123448.88940581;116502.91365266;134543.81230462;139433.94998723;135499.51213159;121681.15270512;169865.05005035;174069.54318408;178942.90386375;149731.41816414;171190.45066339;159537.04543388;156721.33029756;186930.38834606;184819.65110811;163354.78968996;169179.37352093;175892.36227037;190079.81159124;178410.54192009;194860.32800379;174539.23715039;192616.83445735;198345.3687638;205421.34219325;196383.25139384;195411.2706041;212521.31620672;208259.20234272;226686.12357981;274071.61095976;196616.29226822;205804.68163227;208018.70601345;202666.3623097;246015.13756023;286163.50814179;198040.63297384;181224.29348478;198708.29606501;217210.22405197;231637.18462994;277343.68120189;353100.97069505;199234.47919847;190432.91289305;194254.54237776;217878.23757923;233832.74273079;235155.68260998;344082.22000367;225245.53233106;207908.13705743;216095.26756537;229943.53414653;311312.26177383
282.25137114734;29409.254308676;31928.053021306;35999.736612107;33839.2623376;32919.100014298;26748.988028658;28585.338694175;26528.123625745;28039.737604464;24995.782459861;21879.827057869;22358.31994837;21763.130641743;31103.303728749;33119.231609949;28655.225955048;31468.903740953;23030.236621451;30492.224445776;26860.522611929;23511.895629188;38409.539543451;21595.395798873;24116.818357285;26285.813407443;26064.38930711;19438.786181275;35279.36724614;33695.3160626;32837.501523954;28359.193594234;32032.703396139;27930.98735851;23819.201103754;24083.959818277;25836.656096372;28786.672291609;19106.594679719;26359.118576491;24280.95364683;27185.065878144;26501.143774575;32559.283964966;22675.007455714;34079.00823865;22948.133147968;38130.25150975;30010.35212617;40414.750066648;28095.798751637;25679.292764745;29255.057631359;23942.538855494;27890.748835983;24153.010864283;25484.558868202;26647.247411341;29264.110700238;24119.0746517;31639.429673376;24188.390822939;37708.205065034;34690.698100014;35155.580315719;27242.797057694;35966.24159676;35694.343483757;31232.566066495;38600.115544811;35545.189503479;30347.712455295;36527.385561022;36508.323784032;38343.87668225;38074.533301496;35868.262283261;43473.616373515;45085.781927465;36823.122126526;46459.423508249;41431.461944336;32840.912778996;39498.12265928;43938.560543044;52335.705155532;69982.248175591;41448.718997754;44387.39171055;41777.748985866;40246.536339088;47501.548252027;53995.998252729;45343.129278116;35280.131452538;38794.049212164;43321.673416169;42894.993302757;51479.283815493;68995.286248393;35440.988208662;42211.232033969;33179.678690634;48828.840659856;41344.70487662;59932.484325952;69138.770309864;44696.620874876;42104.342970693;46723.013425087;49437.783635506;63418.471838773
283.24270930542;10665.972748376;18306.743364608;7036.7263690734;9279.5707293578;8372.8876865561;5659.4146230223;4238.5800492493;19070.35062293;4479.5206043964;10418.808689897;8481.9177874024;6737.5351919756;0;10865.47146059;9648.2608412493;4309.8742748641;8790.8578010721;0;12562.083243276;11342.195101878;11954.449738042;11262.694511892;0;8003.2287560841;5416.8335167327;8957.2015456923;0;14269.682670256;11579.621546416;8526.6175074755;11119.657029207;13541.776529592;0;10475.277424402;19318.873548364;6345.0265650302;5434.7079463399;6064.9736863752;10979.13233586;15216.144541663;9150.6496242357;13138.689433886;4698.6293388417;11788.768504689;5648.8051751756;13026.936068777;4316.0939741353;12709.102426012;9826.5899496693;5954.9663713058;6317.023915515;5349.2099781065;4938.4035691185;5909.5794148084;9704.678388772;5320.4294776445;6184.186812128;13941.026340782;0;7167.402781868;0;7199.0521723972;12825.903483503;13230.924120494;8772.7310427883;7449.1288352961;8666.5190407331;7343.4309137641;13556.379369715;6448.192118006;11691.737282537;11829.779557663;4143.6780468415;11531.86936635;11903.28766675;14661.770354961;15625.412914333;10362.019904916;13072.64071769;13918.919137169;15616.961881007;19644.36079686;14211.646176196;8726.6721969338;9970.5735886102;11320.983443981;9924.4748832286;14229.939944647;13928.999177185;13082.890400208;12852.636104885;12893.28680377;12647.64936203;7786.3859031157;11740.60794005;7739.182329237;11675.361076084;13074.582383246;12408.833693608;14184.641510637;12779.892696868;8007.3122113182;16769.638713483;7413.3588323016;17298.639717613;7391.9411401546;15313.26079844;8713.3126616274;7393.6638612316;9797.4732152207;20412.07858802
283.26374378257;171786.55523615;160905.39871613;189160.30614656;170205.00725229;154123.1249519;123981.78500519;143027.48534184;136184.7155863;157104.54428946;168285.98978478;143617.23791617;158080.27238711;138458.58744187;192639.06603394;178829.71488991;175906.45360377;174138.47256115;162284.37816981;165618.35475032;118953.94310669;145478.42840545;138004.91834175;133566.36142157;150459.10204526;150565.8773742;157592.63553876;121243.19278468;185548.86734475;184633.35221731;164875.11454749;186150.56997521;168391.89150535;135657.43496232;145889.63634824;163458.04779491;143408.8643704;164374.35866023;155977.54171478;131578.3449962;153104.67510609;146775.25038776;132763.28191597;151011.79097272;132434.2710326;199103.65999186;178361.35536375;186295.55894281;171781.97883935;185682.48866126;172161.52980477;168622.65964628;169278.19349333;139356.92873964;156523.95502501;123041.41516822;137390.94557488;129241.49705281;137480.20682625;151258.80752123;157209.23068757;134852.06805135;203604.52319135;205428.17195755;215124.16885692;181395.60100245;183381.90749727;199722.44281162;205099.33492314;246736.80876405;226033.85025615;197327.94983291;205349.83819803;224930.68726344;225389.9051321;211861.75306756;235474.09298439;224595.07595538;237332.84086076;240369.58582555;232975.77717605;249944.86321523;244837.17892671;255815.75913052;248445.73783491;259028.11402933;307393.55330593;266119.3703649;269095.94657005;260562.16676864;250856.0547485;283530.54146998;351466.72913996;253430.76143835;214528.95762924;249979.07433611;262689.51057038;275699.31603378;313612.1132689;388974.47305066;229158.23188583;258503.17975655;246821.76418272;252501.19121352;237501.33465829;282087.6942424;398390.71214961;267891.97509492;259340.19195771;248927.91708176;271401.20165323;367936.47452334
284.26705034744;32658.269741889;29158.774170995;36791.822612861;33828.102955671;27920.842459641;22324.168976233;36684.166164569;29551.402504283;29277.534047775;30994.079086394;25811.51599338;29184.13774385;31514.001661811;34273.421601607;39325.137434205;29289.892660919;33140.151001574;39914.799834057;27912.98936355;19994.745925609;30569.921516282;26583.384541789;34202.330963592;33072.679897772;26781.201826839;31054.674822195;26147.153360778;34976.798740335;34754.009871563;28942.459863296;35176.517636896;36633.336257131;27710.776969783;27186.054461329;28783.765173413;32906.403846392;33435.577381825;41111.352634913;25579.32321889;27347.598438425;25665.209786214;26622.857622993;24237.822235581;28944.361036475;40255.802539858;30506.508496624;35765.674491734;31458.572432983;34502.569828741;38079.184315118;31022.522703838;38916.343835447;32677.465001292;30044.760348786;30076.737689989;27996.87256991;25153.218301505;31739.697240464;39127.466929974;33024.576388447;24061.97203151;36770.348730159;48133.618407957;43773.153616686;33044.795087909;40665.600703515;33652.404146306;34240.32455072;42324.772382753;42752.660490186;35015.008127496;35217.193082196;40483.916009052;46305.689068693;41829.726655731;40873.318348652;41157.762780079;40146.554572731;46182.06034881;45018.383226202;50731.940357884;44172.217993478;54552.049922934;44188.59029274;48768.459585862;58187.552387637;48561.078421583;48307.825588694;53409.516649053;45283.039327023;45490.083310059;61756.123362958;55332.493888965;44282.667020737;47281.390186507;47590.177512664;42302.360776899;64543.61546795;75445.322887507;45302.261597174;48544.639879615;38142.83319377;58610.807615664;47404.863127419;55272.868484309;79211.846567908;55947.024637351;46402.072352614;48103.639175619;57692.371339808;66520.832416386
286.97742337805;29673.006055039;35157.138360021;17704.234393656;27548.283826815;26458.227707284;34856.481504396;29442.092636228;27576.185991415;13234.42100039;12096.182971758;11221.574025815;15585.992062007;17131.181787537;26597.893542794;20172.119859093;23051.69767797;22201.82023874;26484.152476959;25810.822477958;22391.420601995;19258.516117966;21513.34475191;15785.678014051;13707.774803632;25991.398041509;17018.856545256;23401.851583862;22466.308764164;27428.339187289;16503.501498941;16528.590717076;18582.479860935;23255.484878048;17474.958611367;16976.866407682;24830.960708501;17570.883364558;16238.189736972;18805.188983549;17238.804614327;26024.032342867;20149.060237351;20979.280447688;18986.186200332;17690.705886368;19357.324405134;25964.140292742;30003.667881219;16490.426940413;21163.428048495;16950.7971477;24346.235343246;24581.010305944;17110.70512227;35653.856440922;40453.398818787;33004.005667165;22863.850216286;14934.911812951;14087.178886299;18201.777118909;20413.357645323;28365.447725783;31460.3469983;21199.106760172;25740.734180771;23587.230986662;25440.017511323;15455.405982378;14814.003853415;18038.483132086;20196.628261552;10281.508363892;9421.1641758311;27290.312289062;18990.518154408;13673.548218677;15137.253481962;20253.08003066;25094.859207409;23110.41149201;25925.102433178;16753.390999713;21296.743310475;21389.776991465;21742.485170027;25686.067427433;21110.791274221;25331.548637177;21602.595933924;21355.737565483;14555.949006854;19116.560063226;17878.122291783;14442.616789405;15556.851398587;26048.149221887;18296.922915258;16656.616135339;10371.768583097;13088.633762138;18011.684891241;10486.312858922;19298.404710661;11671.898405103;9939.611563576;13371.637931764;17095.780190833;13958.025195355;22809.682735222;14029.593230343
289.02837115647;33668.93017268;34321.785024002;33418.987072429;29429.930716656;28479.756836016;31950.017147813;29469.04405918;29719.659871259;37817.716960993;33575.802247948;44346.488258861;42089.359126135;35626.892664463;34060.436924778;34599.055671981;31162.088063282;41518.062011297;38068.11876888;29400.031739495;27499.453312718;34357.652747874;34022.735459139;33102.811961742;35926.40733788;30275.273435754;29897.782842392;34503.017089235;30318.274071084;30909.656975372;31725.704819304;33619.137465144;35215.055700726;28944.785725918;31836.294920711;31771.823410129;30146.074375159;27130.731172867;43108.829605306;37214.460756156;32071.062133382;33487.348198108;44722.269476954;30479.520194733;36596.104410733;34194.959475616;35605.877154939;38111.370709064;28543.821138538;32620.520562488;36837.43599475;33138.647652495;38963.119987463;38105.171313557;35963.460316579;27259.076639371;29345.435601264;29010.905041835;31362.039799762;33868.229156872;38671.143723959;29535.186355764;35322.746834573;37087.122492628;26567.039394982;25387.529004054;25313.895860637;28535.237966254;33378.599543752;25896.631299858;35144.005814849;28892.099487797;22052.594493097;25403.978087161;25385.26042132;28451.730138567;31279.82282566;31519.885606572;30049.603912892;27621.480991939;30892.779576976;28085.114388172;32311.820090645;28426.043057178;30551.196499903;24213.499509443;21236.146111161;27560.532408833;27197.090425887;32312.069676494;20442.482803889;33048.12832489;20478.160907738;36658.469571992;27100.628467594;33854.597750345;18306.474808168;22995.262600316;31764.253372083;19614.48573488;31451.863543262;32972.800089798;25759.805693956;28009.880634674;31164.063635051;28368.506675396;20341.349319787;27562.591439809;31328.62950583;25611.377588656;30328.631876623;20698.493705948
