# Exported with SCiLS Lab Version 12.00.15110
# Export time: 2024-03-25 13:20:00
# Generated from file: Y:\imaging_core\proj_archive\DATA BACKUP-OLD NAS\#394 Nilesh and Biernaskie-brains\240301 Young Mice\240123-Biernaskie-neg.slx
# Object Full Name: Regions/240123-Biernaskie-neg/287/287-ventricle
# Object ID: 63b7627b-daf9-4d53-b477-0fffcdbdca25
# Object type: Region
# Object creation time: 2024-03-22 09:44:58
# MzRange Name: young-mice-features
# Normalization: Total Ion Count
#
m/z;Spot 35980;Spot 36066;Spot 36144;Spot 36153;Spot 36154;Spot 36231;Spot 36232;Spot 36233;Spot 36239;Spot 36240;Spot 36241;Spot 36319;Spot 36320;Spot 36321;Spot 36326;Spot 36327;Spot 36328;Spot 36406;Spot 36407;Spot 36408;Spot 36413;Spot 36414;Spot 36415;Spot 36493;Spot 36494;Spot 36495;Spot 36496;Spot 36500;Spot 36501;Spot 36502;Spot 36580;Spot 36581;Spot 36582;Spot 36583;Spot 36587;Spot 36588;Spot 36589;Spot 36667;Spot 36668;Spot 36669;Spot 36670;Spot 36671;Spot 36673;Spot 36674;Spot 36675;Spot 36754;Spot 36755;Spot 36756;Spot 36757;Spot 36758;Spot 36760;Spot 36761;Spot 36762;Spot 36842;Spot 36843;Spot 36844;Spot 36845;Spot 36847;Spot 36848;Spot 36849;Spot 36929;Spot 36930;Spot 36931;Spot 36932;Spot 36933;Spot 36934;Spot 36935;Spot 37015;Spot 37016;Spot 37017;Spot 37018;Spot 37019;Spot 37020;Spot 37021;Spot 37102;Spot 37103;Spot 37104;Spot 37105;Spot 37106;Spot 37107;Spot 37188;Spot 37189;Spot 37190;Spot 37191;Spot 37192;Spot 37274;Spot 37275;Spot 37276;Spot 37277;Spot 37359;Spot 37360;Spot 37361;Spot 37362;Spot 37445;Spot 37446;Spot 37447;Spot 37529;Spot 37530;Spot 37531;Spot 37614;Spot 37615
209.62855955469;21149.694758377;25780.351732223;24572.025836463;25309.967245867;23271.453649121;20713.027999173;28150.50495754;20827.143442805;19300.709688482;20751.723957149;20764.294198547;23397.189552791;29889.766080433;21963.389234541;18633.515317888;23178.758299261;24699.838326797;28234.241909699;26072.101189928;25137.003664146;20054.389541117;22682.31731163;19832.888627815;29060.056755177;25210.967543954;20396.043860062;18690.466391016;20593.421286468;21383.41580381;23505.553870167;25177.627111066;25528.585538362;26620.865721064;20929.25331874;22975.158982572;28370.613016858;21766.557679642;23700.585814346;25124.149414753;29674.127268975;21932.127818008;18707.712700826;20465.469725127;23886.099320287;25514.85213744;34280.843685217;27389.414598933;22705.08663121;21879.115442022;17051.949049514;17281.650111621;21150.810054871;20430.126094563;24761.083186112;23681.644752679;22044.16779454;24179.830074743;13771.887417003;21352.756336447;23340.334152353;24763.46068724;25783.008920482;21885.936850691;13281.304409864;8292.6076048099;26658.871182626;24565.097436314;25359.885298644;23578.631504499;26449.962616702;20307.765727605;14014.099334496;22529.642370386;25896.3447858;26990.858220322;22883.927197486;20837.58575674;12845.979258337;17613.526097228;23455.12013857;25538.120690865;24484.920054782;20496.175645344;11806.035853563;20804.407804784;25224.895591736;20927.485194712;16902.093661389;18634.122484542;23316.870271237;22104.495516781;19534.171788959;19277.756776853;20804.513359079;18906.79035624;14408.067965647;22179.781305149;19640.267075841;15898.819970438;18912.949939947;14606.240454045
229.05363493112;4365.3532462116;8368.6306929476;0;6408.6506057005;0;0;0;3234.8592169745;3365.083198586;0;3280.7022624038;9821.7294407123;201.66458398496;3872.779532842;2647.2457107178;4078.2358911284;1340.531521856;512.83848424597;0;10732.438214581;0;0;0;2234.5824639607;7531.3349913709;0;0;5450.1087543367;0;4520.0565814549;0;2375.8244597969;0;5903.5248846872;0;4272.768734669;0;0;0;6616.5526338034;4614.0865585402;0;3451.5535001538;3747.3587870552;0;0;5700.0517156138;0;4947.3452996298;8863.2547666186;0;5716.5151022547;0;0;0;10355.068178888;0;13708.736371664;0;2203.5593538333;4674.2721843668;0;0;3976.7038331994;0;0;5956.3590030317;4593.9316915621;2232.8148461692;5766.9286366123;0;0;5104.6102236089;0;0;0;6378.3987368636;6190.3136531693;0;0;6280.6666826519;0;0;5984.6157096078;11467.801428782;0;0;0;3248.3330329001;0;0;5847.3390731409;0;12558.748816634;0;7110.6857961516;3969.8557817415;0;0;5362.4559024466;735.4448231614
255.23272548558;88482.528189303;90829.629257636;87648.195516734;98525.063878009;82614.605779181;91569.372915313;83987.32745358;88653.111578257;92989.079134106;97537.925459699;82773.746352223;107498.03599485;98064.908623193;79675.987003345;88846.262982854;87525.860464335;89605.285724705;100844.65826986;91408.719341768;82046.659897143;91292.929537194;93106.987811893;76958.198921346;98065.279797862;102105.95879346;69752.163509273;80541.453300001;76711.230308056;88033.154523444;77247.367237316;107765.10895933;100701.51551344;81098.216229663;85108.365397193;95528.869878908;80937.60763627;66171.79248013;88239.499191813;85870.051200144;72335.584254366;87661.57205206;84286.883750888;101556.59125237;103981.12563488;83101.506735745;103879.89834694;82015.383889377;74806.721565359;74630.123087557;74865.240732924;93390.085095922;96352.462574002;85044.500682772;75083.907638113;83125.105202757;69985.798859703;74649.082856412;86754.475761415;92256.242809226;81190.463742887;73176.697437017;77257.868081526;89849.445602933;91610.416140419;66394.997725057;102166.06995922;112315.67401507;74891.551746207;90835.261501681;106136.79266575;102695.53312215;72588.737932429;94665.620553563;86949.129636465;94630.805234553;81757.699218656;85800.181840892;67557.181347428;96801.146529761;87896.157792793;94671.438031449;87191.397527788;80446.690039765;73593.769230199;111387.87637134;98719.168134143;93879.231273686;82322.294951658;94061.388425454;84109.35521951;92139.84969977;78311.101639755;114078.6328861;79341.995376926;88039.915696669;88890.545206792;85268.97904333;90862.69782381;97367.052244441;74287.573539161;97888.553546197
281.24802818201;312495.59564555;314889.71836601;311226.46499051;351043.26971859;327304.49285978;289983.48943066;294823.33588226;307988.28705503;285173.59982061;296096.56730661;328682.7016753;328921.44300377;315118.40919706;277389.87285299;305148.77474984;298223.19458306;319768.99547045;289839.71923521;275317.35791298;277207.85775891;287735.75359711;333266.76860784;289892.23069354;287606.49787128;305979.93602477;278355.50555395;245370.64923413;256288.50837643;286851.41971834;264766.32257908;330528.58594311;331887.99294266;272634.63233155;239262.79755491;320300.47113251;290058.63925821;275230.16262759;269863.47443399;258200.23110989;245796.17005904;235056.53298841;284691.95904624;345292.92841563;306688.70334092;276414.26546051;313118.48109106;267330.95951871;215513.32788731;217274.4116686;223906.72071856;388635.69661841;306453.73377465;292800.96766929;242526.2776467;221811.46167577;210899.91138698;238938.2629316;356435.05007972;285102.0015216;248693.96115705;218455.78497278;239138.81971577;220621.60845315;308613.83313345;301091.94150146;304897.49268236;328536.01425524;220537.32394683;260665.96063235;253474.2345723;317670.52465449;334173.90714839;331554.34035121;311114.37228008;257557.21053959;229620.60216264;233262.31738406;317544.670008;356326.95087537;292215.70209993;261723.75832132;270274.13581275;247063.87531039;329564.88433895;364300.73225034;282996.5935027;281892.79834819;331651.2321945;361529.58689326;254792.6802959;229783.84694276;332045.66109301;377479.43767313;225527.26756818;290960.24106707;389195.12011264;200702.09278477;272188.22366372;400468.54860959;256894.6163119;365046.08952534
282.25137114734;60927.427654503;52789.386840745;63719.527535024;71023.892177656;61023.158785803;48747.757720609;56975.068267575;53452.18592925;63734.13625925;56706.511662799;54157.39831747;62271.920768951;59325.73408626;53369.912346065;57943.1703778;61098.409407347;66230.763567622;58905.240188903;61093.12326285;49233.809534794;61187.052266657;55301.515477433;52187.007288776;53135.449391465;70329.477474173;54703.170953966;42769.16991736;51740.522901279;49860.104421136;61430.523673981;60451.31695381;59526.651106231;49606.989784185;43441.289361048;59471.206239689;62577.960750858;48274.638095208;57976.97023855;53567.054154638;56216.639220718;41783.262917414;52367.327210074;72736.273749988;52313.945474877;53179.709824154;60631.512676263;49459.658014041;45518.049822393;39412.716422127;47813.331199053;71375.711877009;58587.179842204;44037.268787723;49036.674330622;36965.331900741;41115.479788289;49909.675381193;61819.193308224;52784.971966826;47193.868567142;48260.884869571;44184.430067923;47446.13927954;62098.605311818;58601.536561586;56052.876628413;60314.785598659;36454.632968941;49443.187828064;53946.106707137;64202.210949286;70325.953994034;62365.711169244;59385.918460038;49634.114886408;47426.117310407;46741.550116755;63081.280395438;71466.449530939;53415.9717273;46948.619940294;60984.422031348;47229.052654049;49320.306473081;64607.007727286;44185.827718231;52000.573958635;69621.612281632;63179.26981292;48134.039842912;43226.519696974;58641.357162261;61135.422016702;38100.349585457;57937.889334013;76916.413121832;46637.802714903;50484.474036242;63343.604657652;52123.024554921;63836.739725871
283.24270930542;31983.876658117;34200.772307697;39519.231397764;36685.102830783;24531.50641299;26015.098033726;39133.092081413;26382.717351993;33810.101747554;36780.155814099;34683.900807892;43720.452838126;40289.814798728;24111.62476054;35282.170349048;32845.96869188;29985.926203104;38858.412861211;31348.256534266;29423.422046902;40452.173764501;40047.443536223;26804.245654542;40699.431629885;34400.079792504;29048.359801889;33304.514648446;35784.397384357;35010.106456019;33837.070879563;38261.392260514;38817.215410673;35032.690384043;31350.857240467;39657.899971879;34484.308126769;34615.019432077;37573.748075094;33022.305129362;35521.458317061;32167.735184489;33173.355249143;24597.171723017;38515.83841507;32881.755263787;45044.297262237;41053.480034232;36778.677655317;31291.392707785;33937.059669929;26473.232706845;39306.627018255;32852.285306773;37072.415898929;37163.075838207;44962.307143325;31773.465155078;25546.646409485;40831.133546269;29029.587729374;25931.761796716;27545.507074995;36747.506237859;26344.179808003;16127.680727982;33177.86943752;53008.778945181;35460.005385528;40914.425324128;42412.941036312;26522.781874532;22372.702937985;34131.025243265;38619.496908622;37938.715325929;31582.368625183;35645.2366007;10676.912746648;29933.239903526;32673.192330276;35776.978990428;41342.736843546;30673.658043543;16714.357984061;36191.102970761;36321.611249755;43451.058553908;30996.281821205;29015.202648703;42159.671381756;36722.4256308;23776.399011779;26228.369745739;32721.650176555;30388.257606706;30967.939853312;32527.678530077;34458.57507193;23067.083898002;27903.561062257;30373.412397164
283.26374378257;649364.51114245;659593.01172297;529214.99910757;699117.02490882;558419.62821418;513348.39196432;583156.54595442;545711.40656396;579236.96344014;625865.96231091;542210.2116771;671407.9508507;632686.71278913;523089.46406838;619114.13281762;599586.83233449;620958.62401324;631925.71201231;604369.35278632;553287.99690744;584949.71345486;657395.82368585;523850.27527287;648643.97112581;675516.23725468;527369.82650885;575304.32869866;542141.99591436;618744.21886509;560363.95614621;707878.45838899;627646.94451877;549503.79929888;551696.61240732;690958.66742931;584941.07720935;477447.57903756;610554.64521997;521009.65771509;517404.93447567;544298.70930155;626384.97393161;579345.3006736;645840.73745196;557851.14163149;646539.91802678;558505.01444497;508414.02910275;482707.1780565;525752.04477919;601017.22171178;598393.6901134;521423.16842732;489448.96747108;485046.42442427;529118.9512711;531955.97475514;473590.72975254;617872.35084349;490031.68227816;496909.60917746;524308.35624174;545978.49004054;508752.26512276;376950.54039649;595184.87549125;684860.70835249;536619.98027873;620793.58659964;632174.72927091;639889.47034096;408255.91170517;644903.35020275;657548.76631043;609683.81367589;549521.80039621;543771.45443782;412871.35653829;590936.1984045;594749.3890524;629787.43671584;622967.18256338;562274.86642238;446985.00040705;607131.23341661;631390.33076441;614621.51616212;522017.43836925;594496.19951545;610142.33330946;547132.16066463;530948.15826723;589295.07900788;520652.39180386;573528.1519356;525471.23970135;488792.669869;570242.91088384;496252.5540634;548506.74747009;490969.11050072
284.26705034744;125160.26403312;117932.98957476;97562.764318718;142680.30547202;107979.92950639;100172.19605076;120044.70051529;103021.83866716;103698.1894268;120612.92146145;96523.621693357;139702.39061831;115972.68101103;87765.28023924;121478.71331625;111634.19304548;114265.67688486;124700.10087363;118191.49079449;104405.66502601;106835.33237231;132580.12197714;98812.347049249;122136.96807021;130822.78995425;97158.955807575;113347.78044134;103482.92634722;115018.37692938;100423.91326782;131265.64291546;124274.41644012;103605.54083906;98671.316473546;130652.35711055;114184.25510739;100209.42255693;121567.83770014;105319.99810365;88914.221725023;113810.68467363;118078.29109709;101297.80667889;122857.72777024;105060.57600434;109504.7890901;102251.76832711;101218.92244508;87373.331055713;106390.55198882;125507.11957537;116976.78966494;103659.56691589;90171.677033033;101636.07143387;96651.339986526;95622.727565747;90953.499140033;110861.73095508;96856.346823026;94869.94490773;98627.257590751;104066.89511151;97866.11099619;78267.944101397;115485.89150716;130924.30270183;108208.72773537;118225.440199;118453.17270204;116690.11587771;81904.820855187;124444.00529529;127502.15908237;127329.82106901;100014.36467126;105487.97670787;88948.6216159;117007.67431989;100153.87708524;121257.03845316;119323.3159226;100256.37063543;86257.922756989;104255.14354809;125770.0804388;133196.12927289;102009.88944599;107079.58450528;112994.44260777;102021.49652557;104917.26700754;120683.13639801;93179.473948255;111900.7352062;95429.370453868;92400.486847542;103772.58456809;85816.549204339;99188.437918094;104473.88181065
286.97742337805;22689.636869696;28006.057287434;17846.019414816;22054.885787559;14563.535052078;13965.944565327;20891.737107886;14024.939619619;23364.600220417;22006.292540108;25559.899349562;24757.026168078;17816.075614725;17161.937455199;21517.36432193;19123.712956479;16989.206992014;19277.559495523;11271.855125287;13578.213366757;20058.17609743;24779.786877534;23363.37351429;10658.675312687;13823.075445137;6068.9606166778;16242.447268986;21976.728587223;28523.71925689;25013.797745524;10478.410885074;11663.329366995;17013.337564055;13989.044155634;15131.44008632;21841.639340561;29523.128978149;23218.813292619;17279.212764922;23945.571344718;16158.229785234;22006.653640451;16076.037449172;20376.537197703;27662.463711019;22521.252895;12735.532633893;26038.592184469;23336.365682387;23012.749870773;24267.244189021;19523.309108302;26582.304905162;19712.268178122;28226.247447335;23215.244246139;18087.668965097;16625.543137721;16782.735341334;32831.672622886;18293.426435441;20716.375353714;18252.675411782;29483.862073829;19650.978485538;24948.174217263;18100.917610385;18145.190005399;10386.508071953;17974.983658362;15806.009936581;14809.97648242;22404.254035503;21283.792408082;11259.49881238;16844.662718461;13983.162721534;15557.324614422;21227.812372327;31445.244255825;6500.1614297762;18049.10193706;20920.498862483;11645.255846341;23920.35993157;16087.999563228;17418.199480319;26676.958746856;26822.610330941;13078.093116539;21218.44442601;13727.329437443;13460.496470866;20878.969821944;22082.67223103;19467.238216995;21669.972620356;32112.067204323;18921.090733346;18088.139418784;30044.428849232
289.02837115647;26598.924212295;29681.237887998;22753.769156025;24228.595146984;30581.030603748;22766.114586993;25877.517767653;30451.605336179;26758.795491047;35973.655526943;25993.933454054;27994.186840448;35599.800072858;33897.386105216;19595.53003391;29633.608905238;24103.715690451;24254.496665515;27869.737771761;23630.410587039;23957.16491699;27716.077917834;18318.045387938;38626.086817098;28931.013141551;26934.761273568;21148.020115348;22695.739105194;23150.987319272;29038.234589513;26566.104738942;30849.470275389;22865.246933943;19915.174586199;25661.463955636;27282.589388538;31189.712273966;30267.617594302;31200.157120365;24360.846175532;25564.241804315;16842.798360539;16230.491727277;23290.181293621;24695.890861963;32363.474645508;33713.950711719;24241.936087803;16501.40166697;17740.499371179;21791.223014389;24059.717745806;23125.071529854;26269.493735142;19368.402384403;23451.507941718;26299.349859525;11648.782740558;17310.031082344;19837.113643157;27046.005860411;27311.327705919;24401.363542909;17341.900186953;15486.457718557;19586.13526857;28940.635274305;30619.159137738;27271.691988922;24174.205371949;18436.812134134;14126.553740629;15508.820423975;34044.965401526;24964.616635423;24204.416924366;21973.851038626;24894.008301681;17670.067127155;21829.975728417;29513.694317477;24892.769071974;18289.662219595;11784.286866427;17248.077300562;27190.963714743;29000.377852954;17681.82646786;28237.521490688;29400.345231735;28373.604823339;20866.123876702;21973.435368058;26402.009616033;22322.758021968;15776.544969771;22426.116147378;17553.442626721;11967.065171428;15384.463827562;22008.284093748
