# Exported with SCiLS Lab Version 12.00.15110
# Export time: 2024-03-25 13:22:23
# Generated from file: Y:\imaging_core\proj_archive\DATA BACKUP-OLD NAS\#394 Nilesh and Biernaskie-brains\240301 Young Mice\240123-Biernaskie-neg.slx
# Object Full Name: Regions/240123-Biernaskie-neg/288/288-ventricle
# Object ID: 73dddbdd-ab74-4968-b495-94fe448ae9de
# Object type: Region
# Object creation time: 2024-03-22 09:34:54
# MzRange Name: young-mice-features
# Normalization: Total Ion Count
#
m/z;Spot 20039;Spot 20130;Spot 20220;Spot 20221;Spot 20311;Spot 20312;Spot 20394;Spot 20402;Spot 20403;Spot 20404;Spot 20486;Spot 20487;Spot 20494;Spot 20495;Spot 20496;Spot 20578;Spot 20579;Spot 20580;Spot 20586;Spot 20587;Spot 20669;Spot 20670;Spot 20671;Spot 20672;Spot 20678;Spot 20679;Spot 20761;Spot 20762;Spot 20763;Spot 20764;Spot 20765;Spot 20770;Spot 20771;Spot 20853;Spot 20854;Spot 20855;Spot 20856;Spot 20857;Spot 20860;Spot 20861;Spot 20862;Spot 20945;Spot 20946;Spot 20947;Spot 20948;Spot 20949;Spot 20951;Spot 20952;Spot 20953;Spot 21036;Spot 21037;Spot 21038;Spot 21039;Spot 21040;Spot 21042;Spot 21043;Spot 21044;Spot 21128;Spot 21129;Spot 21130;Spot 21131;Spot 21132;Spot 21133;Spot 21134;Spot 21135;Spot 21219;Spot 21220;Spot 21221;Spot 21222;Spot 21223;Spot 21224;Spot 21225;Spot 21309;Spot 21310;Spot 21311;Spot 21312;Spot 21313;Spot 21314;Spot 21315;Spot 21399;Spot 21400;Spot 21401;Spot 21402;Spot 21403;Spot 21404;Spot 21489;Spot 21490;Spot 21491;Spot 21492;Spot 21493;Spot 21577;Spot 21578;Spot 21579;Spot 21580;Spot 21581;Spot 21666;Spot 21667;Spot 21668;Spot 21669;Spot 21753;Spot 21754;Spot 21755;Spot 21756;Spot 21841;Spot 21842;Spot 21843;Spot 21928;Spot 21929;Spot 22013;Spot 22014;Spot 22099
209.62855955469;25417.490247375;24028.847744314;24367.702997328;27574.940488413;26682.461508609;31022.929552799;27920.203024503;23421.400244601;31141.463606227;28173.563136885;28199.921259571;22081.256059798;32329.769719377;26790.294409313;22804.426629004;25864.182211857;31474.105481957;24612.438466379;23689.112466956;27490.394947727;27012.189040848;31219.439569734;36188.975384407;27957.3200224;24642.515527932;34233.048591346;29449.480335314;30536.04866688;28207.303558141;26307.001553027;22837.590433277;26224.112363671;29299.989603726;31885.565147472;30593.86314447;26667.738176636;32097.644648924;26389.635900162;28142.090036859;30534.198900621;29849.559823707;31500.341003789;30330.388787583;30380.974363768;31831.701735524;28667.566170693;24876.793254855;30697.049843387;29589.786582149;30653.658571602;37161.706395579;32797.110831444;27931.058199582;29109.989947877;26392.590537857;32914.208389454;32443.528400475;26745.894254041;34635.425165625;32817.563828567;29731.801482104;32190.281919798;32484.706743054;26752.218175736;29533.792737313;32530.436203122;32049.129979623;30192.800360706;27840.4003178;30764.887426564;29824.077002903;25676.007781883;27885.388683687;29496.453700765;34707.438308836;25518.390947566;32748.567169267;27226.702306206;31012.635647662;25683.977312594;29394.287364801;25510.337290448;31201.482563763;26824.567409627;31323.889566124;31325.43449634;33386.921631803;28739.568825034;28929.368452066;35929.676062684;31059.006248753;28052.092255615;30473.077314888;29669.724209646;32809.092096895;30517.402915842;28739.936400267;28116.916493772;30242.576546903;27070.803362829;29191.925245061;28003.539531352;24906.111095265;26011.768944904;24414.113048376;29715.280202767;28865.346597761;29333.106918315;29168.214070678;30413.559502871;31909.856289665
229.05363493112;7375.6068483665;0;0;12758.309651632;0;0;0;324.54564468813;4681.2365659604;8125.5977243885;5764.6564382447;3523.9732978462;3420.0197874449;5537.2262658605;4140.4436405022;8016.0337517007;0;1724.4096488982;8766.2688530975;9270.8431761351;0;12483.452484311;0;0;4663.8439122634;0;3043.9027274384;6576.9273664733;3827.3454755537;4876.671571262;0;10812.953079618;5366.3614252968;0;0;0;0;4917.3869548528;0;0;0;0;0;5399.8495479563;0;0;4312.3324170686;0;4472.6603854879;7684.0096750983;6363.5358808783;10102.782941122;3064.5558375672;5445.3493575306;6454.7091660238;0;0;18754.172511678;15913.832796935;15582.348557164;8471.9706357598;4384.5782669478;10359.817172087;0;0;29897.031563237;20866.684338202;17731.024619256;8187.9926108012;0;0;0;32947.478039824;21252.715223177;15300.256741668;10307.292773293;11595.131420781;7361.3688308971;11928.344750614;15553.61556512;11936.460644131;12205.868743502;14984.751767233;18579.282334493;20212.14668515;12549.985482558;24244.764989842;26996.166844167;12007.372646989;10819.180845739;25121.375020826;19873.629518926;18612.495031582;23187.625067644;14928.295493658;14683.824691975;12925.815938951;10709.36754234;5702.6620512376;8923.7432107232;14660.507210844;7505.103449093;4509.8820808492;40071.091138746;22480.858933255;13276.641635084;15836.330563737;13174.459713753;13277.340433635;6184.5002012333;4833.5933180065
255.23272548558;91582.32459481;114010.8332322;98334.554029716;112009.50008061;102926.09305478;104858.98251778;85620.054088179;109685.4454043;122461.11410306;92032.883470056;100361.1439838;86793.348127695;114387.98849241;100274.23181681;92198.923796518;80437.520026596;102196.91603335;94566.188419121;93782.926128845;77097.514807926;70832.555586499;76946.493613724;89184.073973609;91385.053004641;90212.463577748;120631.9251348;80421.170505129;78221.737308666;81501.018332177;80330.381545585;89660.072678761;100986.39597777;104238.42378076;89649.826028294;103294.29334667;96902.29031011;110079.10740511;91837.621090307;133677.01862356;96227.659683067;89439.6084217;81296.122992833;85244.492144888;86708.469831396;94851.502461948;95682.443392324;126653.34034423;106452.44356973;85252.197006099;73695.586688606;81551.972242589;87664.157045212;76215.881233803;75691.266340249;137310.12000539;97076.855152785;86324.717941641;63420.705857976;75398.675374207;77455.793098924;77283.391720048;79432.156028078;122416.11824636;83953.379487112;78033.346329021;66576.288531535;72110.776836648;74554.900580391;82266.682651553;115284.55979712;86928.083981291;62410.854821246;59377.57745123;62714.396804021;80635.463482682;66844.718360652;78575.534959057;70477.692042307;64234.420308797;73502.347051542;73089.209141397;61727.415309348;85620.610953574;60625.32887479;74349.450705642;77552.498775183;64948.741088521;67826.882898317;64834.808209055;91747.974739988;71447.404664412;60646.498756314;56803.342084272;69714.3891736;81551.14712311;65599.85539881;71449.207944714;83484.60234314;108552.39025002;66998.181552386;65171.721010505;77578.265060565;83988.756473926;64230.727509131;62373.368095585;79949.334323265;63113.335887855;86020.085400296;77574.217468004;82748.102692838;115762.64657548
281.24802818201;318122.8434821;352684.19943428;367750.17334133;374479.87887969;366546.19298995;342172.3036904;260364.24881052;369738.70807728;380980.06206649;318258.56595995;318650.85434524;276790.9084667;389272.07949441;356652.40588895;290810.94195948;220028.964039;279937.33966335;277066.73693329;332503.1397133;325220.45987913;228590.00231169;249798.11905991;301468.04222133;259189.08621084;308446.60984839;432091.2250407;245519.74515798;246765.57091741;242685.03057524;254234.50556514;245704.6401185;326309.40793943;347986.63742649;236779.15999497;309231.82891594;273971.01719969;299996.00270362;275943.52394001;437619.29907371;292592.79306303;329579.79451658;250311.77328867;253370.19361073;264197.65817593;262000.66263046;285877.77590315;395549.35316096;344723.77733131;320731.56173417;229696.30749082;258007.20772291;240884.38233144;233136.39108304;236617.83265815;405168.31908734;340508.61414261;260843.17289447;199180.09979466;236767.72169251;224913.82783315;235416.25156465;265270.32497313;436423.25575626;306103.52394045;276066.89021543;192658.38297468;215362.76572676;219506.77102995;229515.89639908;317535.39625559;325922.94776737;249547.92513716;203634.92914401;194431.63122158;222122.95483823;206902.58393796;246051.23459117;235684.69538213;224478.39748283;227309.63092523;193838.3124513;207419.91913428;229649.92417986;205651.6682837;222716.23112948;241436.55028134;204565.2906101;183609.08827627;215658.28352391;274096.5280792;231595.72700684;196786.3715786;184023.92703556;213720.6536826;261667.49832815;228328.41471675;227293.4699372;240395.94659028;317198.5412507;228795.88348947;213910.49215223;210862.56879769;269739.93553644;191352.00897754;191139.97602618;250013.83510178;217489.09892665;260189.61803252;237523.1470819;255975.44388665;325044.03487013
282.25137114734;62122.202577571;67264.799431453;62871.542432047;70906.276402471;62175.77202995;58994.61061198;46846.167167779;62459.684926437;83345.627066739;58854.600907502;59681.001478618;51273.187810001;74153.659508334;55217.956740605;61763.052556984;51414.601217586;45673.770275702;48725.319652655;67516.66310453;60194.187740389;44850.293387461;47014.338423056;63439.696764648;46805.832220326;58743.053181655;79613.438468152;48437.933093479;47273.873037242;48509.131311726;52503.666987444;48204.260686314;59147.749461322;72180.104873912;48364.802889407;53996.629597152;54426.091736721;59412.624781577;61644.977631113;82161.886197452;61114.883284881;66042.306246486;54734.681777067;41120.952597772;50941.730975612;46745.299856343;59891.844426662;84675.571032466;62878.500656473;64702.181620604;42295.367021493;48113.500737279;47905.181655235;47945.330889241;49307.413588046;85616.729141677;63186.938186825;50648.173571599;35989.920208728;43335.294167376;40388.740160296;46608.660771014;54462.865527701;84927.164363997;52453.335091068;62020.507707571;32596.585956394;36947.837579608;49774.011138771;46359.30179025;64570.254555725;67480.608202614;50462.089459085;38958.517581208;31416.728541256;46095.583719206;37562.309941191;44499.649097732;46816.253837272;45719.924045765;48407.256902579;45729.63834406;43109.226718228;48629.134313423;39128.629957082;49668.685595521;47292.625043268;44005.011977116;42428.472299106;43495.059549125;56624.687720951;40925.897162045;42477.580914097;39940.066539214;42303.032007226;52260.880224473;43293.707245819;45204.984850418;46455.579806003;58291.108564955;46034.710529888;45103.674024532;43619.618487298;45606.425150272;36040.902004922;36818.903938359;45895.311564278;35368.304769201;53671.238476583;46858.727767227;54053.161182921;62423.925047235
283.24270930542;31037.144566214;40115.080413273;41987.71810464;48474.028327021;39251.572350963;36073.699343976;32120.163205939;36431.848269764;32156.921724077;33024.26756624;44784.353853876;37948.896167586;39526.045998188;41830.488993067;37866.32235759;37672.126059523;48295.551663899;44862.583467851;43963.139362305;29163.811613495;39685.249811497;42977.523678883;49751.770867258;34537.843230235;40433.740839042;36479.102321513;38389.036248029;38862.99822152;40914.87971458;33867.138759451;32909.783854429;35347.322923168;37880.292925405;39437.734896357;47053.822842066;42145.458084763;42672.760342926;32491.462055205;43775.233680146;37131.014562913;29138.864585516;40555.751930522;39608.679117595;41705.20251119;41149.79403485;34214.712074438;35027.714690014;48288.410642045;31343.641813854;37648.552905981;47345.214105931;38570.241450836;42818.464799827;42956.609679871;27950.78038872;37034.694979754;34647.721619086;39409.389286571;33641.631072149;41947.851161906;36090.79321026;32547.041505025;32338.104794663;29767.585541829;33369.246294031;36570.059831406;33819.628900071;35828.107550369;32675.377986637;34857.826535914;31724.040847634;27164.132433267;30985.004466397;33082.919600314;37912.743907397;33550.410337599;40261.356480907;27354.653120975;24615.019519651;34896.304329949;31880.412542954;34096.691240676;39399.972701106;36726.791525857;35389.958696737;33863.173373173;33108.293580328;24777.447312623;30929.257814261;35219.472878683;37944.230347395;32475.421775208;26893.359465807;29793.035433211;32393.769505472;33129.533097799;32939.009867113;28468.157997997;27855.888074485;41274.714991876;28878.244711842;38853.037437514;33508.267726707;30148.948611433;28342.782492277;27892.078227888;22272.372743825;36963.75700496;31597.600235735;36598.532849743;38812.371385954
283.26374378257;617043.15347526;710006.34888334;710443.64470793;756365.84990281;731598.19774907;697757.86327203;583634.08224674;718390.95350262;784290.36134173;638444.09407465;673599.6785665;612587.80134483;757322.44862696;687333.39062932;576454.45427046;530249.82649399;635905.69433537;620955.84640822;653092.9925311;535245.72276735;487815.80564926;571200.76387065;727181.39863548;606591.63430163;629551.3615751;832467.03333222;553027.68529627;546472.81472657;561152.18979206;577366.5186138;550257.05284377;710796.79801539;707201.59633534;546543.86668506;624595.21453668;658034.79937235;673485.10851006;642242.0370214;747604.08128861;673240.4153813;657857.56730229;555488.43688494;573163.17174413;588631.78440687;576765.73641708;606485.34277472;684545.44875377;722192.39341096;584644.34261566;488602.91012584;589183.88578237;556034.59700472;533738.33678292;545143.82840964;671298.39412046;697558.72633625;559546.69792077;455045.96316508;544978.63037937;524075.79691077;518089.86062735;591412.43682118;695965.80568643;542196.13790117;530157.33508576;475418.01699646;500091.16755921;471669.61585089;520600.24620396;661772.55263578;569541.37384007;438557.55017696;445128.7349822;432355.81988806;476601.37415987;485145.17727442;566773.3811336;412624.41334853;418112.81456594;503724.42992465;442263.05198473;448457.36457689;516506.36913339;406391.63463962;455340.13531127;508667.85185928;458542.46237558;441985.90440593;443804.20405755;598525.12175663;498749.81641163;438875.74781294;411435.66931801;453603.46674414;523414.31072993;480146.45616265;456322.75552821;523295.86406139;636456.31353533;496504.14620969;487007.64204282;456770.87694089;495430.35076337;406826.35938696;424105.56919277;539095.32727539;482228.07321787;551329.75034147;504504.0525528;552197.58367546;722010.36612748
284.26705034744;119601.77714998;138374.65070576;130639.57985029;141761.15597897;153002.39582756;131008.90735999;106396.12941252;137590.37836368;145552.18075375;120671.41249749;130353.34186975;116913.17232361;153728.47135306;125671.0099063;105461.65960717;98891.532764798;124123.46761384;126685.21558889;121932.85693113;102112.51372716;97613.825328636;103689.18007464;136002.04343907;120737.14793088;114269.39323734;166064.49725196;111621.3787872;105995.31683954;107176.70636742;117819.3870996;107817.69927017;135492.29541401;149035.43692858;100793.30901956;122195.9027477;140634.63751791;132602.3673975;117611.19263399;139393.83667763;142710.62286645;125283.90662464;109054.30663196;107025.76651927;109733.46213628;113853.74365474;118609.23646519;130386.50273458;147749.06398368;108091.17501361;87624.161721245;106810.67247677;109381.17327522;103316.32864614;104996.91458935;133134.83442373;126647.26109132;102172.96611831;76023.041701863;103146.23689356;102446.77632472;94512.610521852;107635.17412142;139260.62779777;100881.92664845;104468.73161057;93666.576054637;103301.47714033;86634.326202019;115068.56148111;129069.52670907;105142.83569205;91443.995138789;78413.982553696;84754.86654051;101426.03253932;96843.506140715;107442.43451275;78296.803993337;80362.823301043;108215.97319796;80889.351014753;80574.580632194;103481.25944946;72807.958316245;92313.884608786;107860.1236246;84498.614664401;87601.511792486;86584.575797588;109714.85430272;94207.344335912;79187.567931006;91581.08831449;96891.327139266;103248.5689676;91176.365045743;87527.216573748;101060.35038008;115223.72426027;92330.224008314;83837.622739517;86159.271296334;100805.11324908;81521.963299943;75632.644137505;100015.26711368;97114.216725257;102932.12252377;101841.59202188;101368.85244987;129396.51053365
286.97742337805;22076.510835296;20984.009872251;20730.157009495;30824.623656528;11076.137633398;30874.156228305;25805.765695539;25072.160191283;27178.293652177;30768.731680539;17038.994433414;16116.302509412;21769.17985903;20913.045858791;39050.919706512;21403.575112027;15972.025320289;22118.058922312;29288.746565401;32579.519043785;19079.585674452;22229.408652663;23277.328212804;14951.32050842;30471.044951813;21489.407743664;13239.573925659;22379.123903218;23434.281474757;16625.959993509;17808.286519596;36048.035758986;22476.588905929;19420.267528116;15010.95776997;17024.94796128;20956.201469901;19670.192544552;22855.823329173;31223.063960937;27600.012978986;14304.227751392;20970.237606772;15687.647690385;18325.77056281;24354.937446599;23191.378552022;27553.092394128;32073.009201457;16477.263082545;15730.820447742;18851.670483439;14094.260856974;16673.694387155;19874.610880643;28424.891558817;33370.331508478;18408.06516137;19388.775577035;20852.655831061;21087.251830425;20872.765535344;19918.528329364;19079.011139641;37508.773415148;17917.082418545;19858.497477893;26916.826837998;19244.081221453;19265.978723551;28460.721360786;32262.030554908;14139.167153793;20136.407084786;22867.109683352;16381.003427736;27258.331507656;29967.355510514;26840.543284457;18821.339489576;21510.79787399;22870.824047617;22675.052418093;32967.87680044;24423.979129488;17169.171287193;17610.492110341;28363.152212814;30478.311838602;33178.59556864;9240.7921541318;17210.349596811;31899.277496323;32146.496944627;32677.483199254;21867.851098236;20812.807107323;25838.591633139;26371.0400413;19399.989728737;28273.811979192;21964.873005812;22392.847578983;24575.439297637;24064.754204093;23744.151342186;20748.222083235;21639.875635116;18249.713418791;15663.911080885;14918.958985784
289.02837115647;22314.071794109;27065.476967913;23454.784862902;23056.46635275;24087.885514485;30564.25200358;24178.277365921;28998.761650643;25797.578424388;29483.01536243;28994.320419685;17323.616606834;35039.520636042;22686.735236412;26853.594384879;23748.867415144;28590.721137049;27226.614687746;23921.808570341;30176.624997949;32959.289856303;40248.636618544;29643.809286494;21600.718203456;29377.787455086;41451.053176342;27612.126693039;41341.213907353;32134.057816657;26306.850218266;23087.535210704;39942.27159749;34016.639767271;27623.646307528;36235.30760953;23904.226317266;29899.780342961;20473.091563725;26874.708234114;33508.615287368;23460.047870818;25376.612323441;29738.302256575;39785.100424302;35385.660508357;24834.164659469;30471.253600841;31417.02857086;30051.328033792;30266.361431985;33436.85606318;31694.662543927;23052.637408303;34455.115829109;29524.504687415;32946.231966887;30238.751473605;27539.847267813;32409.575572413;34361.594824068;26435.23957331;33602.110052114;29752.247626381;33493.331111096;29411.72339777;32474.088960066;35449.282841585;37632.197692073;35785.731319978;33957.18369818;21494.126302808;35359.191770293;30600.967283714;37495.124594278;34959.111706572;33040.007198104;34595.950547062;34210.339468833;35352.110883182;30415.03673716;33096.082611203;20395.957146158;30433.466025595;42277.602451882;26787.084166294;41858.715267358;37847.617762039;33544.801497131;25591.273895799;33976.731275666;31893.118015719;27672.040889032;34342.301114325;35562.165206133;34981.962095103;32007.680278097;32147.048585214;33981.236079453;25250.924582945;42734.183067525;33072.213564542;29325.692002399;22970.510834009;29669.028061669;31065.328202244;38389.026410888;26968.438052375;26729.206099718;27681.843286665;34016.813915225;35084.502043527
