# Exported with SCiLS Lab Version 12.00.15110
# Export time: 2024-03-25 13:26:24
# Generated from file: Y:\imaging_core\proj_archive\DATA BACKUP-OLD NAS\#394 Nilesh and Biernaskie-brains\240301 Young Mice\240123-Biernaskie-neg.slx
# Object Full Name: Regions/240123-Biernaskie-neg/521/521-ventricle
# Object ID: d04e60a0-1771-4678-b533-d1674128e261
# Object type: Region
# Object creation time: 2024-03-22 09:30:07
# MzRange Name: young-mice-features
# Normalization: Total Ion Count
#
m/z;Spot 11982;Spot 11983;Spot 12084;Spot 12085;Spot 12086;Spot 12186;Spot 12187;Spot 12188;Spot 12287;Spot 12288;Spot 12289;Spot 12388;Spot 12389;Spot 12390;Spot 12488;Spot 12489;Spot 12490;Spot 12587;Spot 12588;Spot 12589;Spot 12686;Spot 12687;Spot 12688;Spot 12784;Spot 12785;Spot 12786;Spot 12877;Spot 12878;Spot 12883;Spot 12884;Spot 12885;Spot 12974;Spot 12975;Spot 12976;Spot 12980;Spot 12981;Spot 12982;Spot 13072;Spot 13073;Spot 13074;Spot 13077;Spot 13078;Spot 13079;Spot 13168;Spot 13169;Spot 13170;Spot 13171;Spot 13173;Spot 13174;Spot 13175;Spot 13263;Spot 13264;Spot 13265;Spot 13266;Spot 13267;Spot 13268;Spot 13269;Spot 13270;Spot 13360;Spot 13361;Spot 13362;Spot 13363;Spot 13364;Spot 13365;Spot 13456;Spot 13457;Spot 13458;Spot 13459;Spot 13552;Spot 13553;Spot 13647
209.62855955469;32751.75695564;29427.070961265;32209.029374849;27394.471298798;39171.65569376;25697.921930645;28228.046570531;33492.13010986;31499.725257729;26861.640645074;33668.315241656;29671.137989961;30358.673186265;30531.920778919;32337.040701294;31320.49033683;33376.207449797;31349.860666597;31757.237701574;31217.672271221;34161.132520324;29505.996075577;28976.359444107;23204.601468444;34149.968354051;26537.300756409;28236.567113614;22857.668404389;26933.463452537;24517.146459132;33703.933878163;26639.260616994;27497.321582432;23335.548585342;18814.241426786;26839.533282538;29051.96331877;25432.595110883;25611.49626452;27666.394390142;18888.838459728;27571.924853202;31517.277960654;28868.6268316;27821.238539733;29524.943184547;30612.315491652;13026.974017785;30823.830429629;27334.2418352;31002.109109533;32615.985557663;28010.730258366;33063.978305719;28871.499434534;20683.348956556;26307.425240855;27754.043180465;33818.039264634;32068.163875426;26786.096954893;36673.500405477;21460.58171291;27041.537396746;32503.408618561;26425.647136805;27224.793181133;27016.520714918;35632.010753828;24362.715288619;24411.026797998
229.05363493112;4681.5087138879;3168.2881363177;9575.118045412;0;0;5727.3967651059;4330.5426882717;35.296159387647;60.990325552093;0;0;7187.3813338087;8662.110674916;0;0;5197.9930948439;4534.0036646279;4955.3863386255;3109.8428734597;0;0;0;0;0;0;0;0;0;4404.5492336672;0;0;0;3001.9372142988;0;0;1686.157831495;4538.84578614;0;0;0;4013.1735846338;6007.7711099265;5158.7550129311;12752.506633705;1129.6867377607;4688.2953098131;12206.629335962;0;7203.4035308183;0;0;4872.7869418085;0;0;5894.8724525314;9001.7016494586;215.83513214689;5487.8483279492;5108.1665943595;0;0;6309.7588730926;4396.2304368873;3500.913407107;10688.748958188;4089.4651785773;0;7735.4378202792;0;0;4053.622342405
255.23272548558;114036.08398979;80950.723336662;106338.37130346;83753.539273714;100207.96914848;95794.351981284;97021.515945293;96568.183572448;96883.902198002;82253.628110004;91314.260870594;95899.658528083;89726.108071694;82549.282688196;102834.83477296;106535.95305833;82053.942749097;95300.869589598;99953.785893486;81009.038073822;105750.5673131;98000.606026763;82679.477806229;84657.679027575;95337.697179844;100112.33445717;79347.301117463;76937.568934176;93096.348322449;75963.497397751;103459.5517093;78390.620633105;90319.282127737;75148.305218795;80881.597372248;96187.860300261;82410.994473484;59902.314249163;81657.763936262;87504.192727108;78185.535245945;109429.1983076;92002.121985374;82446.647968721;77609.462796837;83492.276929658;99259.638416378;73380.120430685;101171.48195204;80737.643045994;79940.267020358;87096.925073084;87689.685515454;100084.25135833;86130.153046366;87179.085522303;103896.04615448;93357.086694407;85763.343739078;75967.32235521;83336.417010313;99708.371425579;102927.39523869;92641.119538061;87213.024130731;76506.610021456;79653.397927362;92211.309685593;87174.585436081;91484.470115043;95299.433693805
281.24802818201;368908.29150363;294857.92368328;346617.23185276;268752.71440429;317530.97428305;352217.60639686;321915.85318872;343660.57066413;350463.87180824;298834.55493736;299010.24631412;337356.24863291;292720.95708124;280159.27087316;361624.11808095;342747.14468345;292942.4066077;325118.23788596;281794.19420696;284772.19962727;346129.51666501;315741.09608276;299520.74876538;277026.17309019;316647.8986351;335969.0261269;279604.98478573;284733.56325393;336344.28814614;274123.2488561;280681.46862063;250938.95232477;240547.0722478;255945.0948921;273217.3698714;290547.93207217;301762.03616927;212695.50835669;264116.27713999;294541.77752584;344372.56191011;300844.26998391;291670.68720599;259070.87138241;242322.77124082;260545.57500223;311197.4413109;352802.56279919;335432.57032187;293226.09986278;246948.22051018;266888.59854653;274619.67014829;315631.24055623;279663.33780611;428260.25463259;388380.07871974;299036.61862089;268249.32127968;270899.0851764;254989.12334839;362757.16554693;487495.6678325;325839.03670821;259103.03261567;234751.20305693;296248.62096688;449090.7780567;279269.28853769;401632.1874;473879.27023795
282.25137114734;73528.502380351;55015.746263638;62535.211653351;57642.711267411;57497.710604054;69225.139271499;59467.642736944;64844.022355843;62664.660798495;58929.992980324;65866.292062524;63463.121196072;53553.653998088;55823.743504256;63065.81302231;63341.025332077;57849.039879095;57782.680264956;50922.649356172;53000.788259882;62331.84345443;49383.687659402;48103.573827321;53931.771370083;54063.629227821;84168.366873743;58535.179067766;52892.668739489;60371.389405972;42092.568973835;54550.300045728;42562.659843189;44453.202738395;44624.375562789;59755.342676511;55195.528541948;56301.768116726;43264.325671788;50079.737613819;58879.350949348;64590.428119521;55673.190032977;54446.678737598;54873.626125792;48754.144217477;49295.368874548;64000.673725528;62139.31837357;66742.68266421;55656.133759633;51559.008983127;50273.295366784;47580.433698432;57327.193560584;62525.864733587;76211.191670894;67933.099766579;61041.030384311;49921.184766441;51641.361489824;46064.720698426;67452.29311588;92546.337791538;66876.752387059;55124.327250186;46286.919346858;52476.503056531;81997.158535676;47219.800753823;71144.138935451;88324.716782613
283.24270930542;37123.966547607;46903.375157076;40845.288987401;34513.504463781;39073.451207392;44585.558686871;43666.929753171;35887.611144693;39017.547178078;33243.860112821;47154.68933637;43699.243827992;42789.731374183;36376.474102993;43517.074847058;40317.377793746;34577.166916107;37470.56559072;42277.323907546;37646.13229917;40400.308086828;36199.517545081;34123.701941801;31664.088843335;41129.566169595;38648.445939817;37808.776622562;35138.825955017;33829.228185356;36921.919763653;45631.652411574;34786.231547321;39142.382568035;35391.880283783;29347.282267202;36598.784208958;39705.137135016;31769.531891618;43286.838782203;36214.392876003;29515.323859614;37454.517052162;37854.33977326;46246.684781679;31361.564663539;38264.008009187;40587.476405299;21284.8911565;42441.223395941;31030.022494225;38215.75820793;41796.527196951;42202.486959457;39638.206536203;30102.839857571;28188.106834428;42627.010088269;33052.525673927;34068.795730421;43137.489090822;41810.724953397;50506.17092223;19942.993088994;31039.672361301;37469.175286493;37375.177089155;27505.733172756;30414.940220308;42013.147998379;26355.603364438;28418.903649487
283.26374378257;737183.39346463;577083.03356288;689767.61121703;553857.95943408;671888.86830622;672195.87649278;640458.16982086;678811.72557284;722425.43469637;616843.09549567;635445.56969828;686617.63980433;623763.22888364;602340.86061326;716428.85691784;690542.13814927;600663.70828833;620544.53114639;595204.01332089;562468.69224476;727081.21500695;647474.82386323;569270.15365688;528226.0789659;696959.42115371;714371.01842739;561517.19221074;549784.71698107;624778.80569271;563852.12611959;616080.90334847;529608.59037998;544347.91398958;544981.9576631;529390.34847887;638737.83727694;575696.34701923;444151.79772464;575049.15586513;625109.00606563;555626.05438503;669653.26343636;652147.62267278;597886.44197247;523123.34891172;593318.69639464;727737.27604237;464089.27639879;689992.29234472;584556.0210275;568060.87477009;633223.35807096;626370.08050604;681705.08271103;628440.75551969;602900.4459008;677908.53224469;631678.09050514;591662.08912962;593390.3251026;573714.90804949;710764.73192425;646688.82789592;606567.09540047;602643.70382842;531669.45722677;588067.00645076;575395.15124418;610008.78855578;602907.59814129;624076.19551946
284.26705034744;138501.86189927;122245.09942655;121559.38998546;110007.48078328;132062.44119892;120228.77380248;114400.03324937;127837.55370521;141122.38548334;123856.58131938;116792.47382824;128065.02038092;126432.63580175;110102.10886387;154235.04925903;151691.62272361;115200.61388257;134307.35622612;116264.64403327;106863.58843806;141113.48515702;133222.03922726;109810.43482674;100201.42151491;133681.70847567;133001.5270684;114575.19697659;107765.41634443;118275.31596071;103361.46093457;112737.48268578;103564.23400363;94252.779827915;110203.91043134;95831.789965722;107470.31617176;106513.59551781;89144.020724953;116033.0003049;111498.38087643;97353.312964164;132539.67521709;126778.68299818;124616.93189164;112639.09704142;119999.38905344;148398.38057271;84736.606305633;138731.77630077;107949.33807949;110052.39598953;113465.20229246;114862.6971695;128043.70023479;120401.07052038;109371.00833454;125268.18248316;126810.46007074;109848.5204192;109705.43951127;113337.41542207;133682.27804152;126981.3684372;107227.31048043;105969.49471742;96789.799814657;107568.21449914;121757.83789516;119665.24740666;115847.38514456;127902.00201665
286.97742337805;26793.994039895;40610.092569089;42586.592076543;37914.080845374;30923.977124842;39152.504446167;43019.603128734;30548.392187939;27286.65562608;35937.723461598;31519.675708789;40334.672497526;41075.921452167;30987.711469168;24575.556108701;25549.457331207;38477.391668952;21071.314870501;30853.982995419;33211.558297226;33180.317383966;29976.191707138;27139.926836125;34339.325151738;26180.045090209;32773.927975065;23107.499223119;27241.72798191;42744.708130647;45641.964746545;33218.313027745;23482.932007185;26535.820223141;35204.711380471;31874.363061798;46372.999175472;37636.594962898;31710.755061417;32535.822029763;28105.867465072;22985.755252958;30756.199780075;28893.641892051;21025.865953502;21272.391123727;29525.262027644;24680.065231383;26371.42602043;37538.670958993;45734.849075127;20969.591753042;17123.868938715;20024.448990241;27922.236750985;30256.11634447;13566.279869832;25655.499573168;33063.532004494;25177.162615061;19175.219843737;26418.630834067;31827.968828617;27373.365735435;31743.756843998;22859.428916613;36083.187182271;21948.99423583;39877.324436369;24386.648020668;29594.670925143;28767.582910766
289.02837115647;40041.373518034;22740.976543081;29585.574211866;21678.199349315;31518.169896796;22941.059129856;30731.831107101;29724.231972384;29638.367147287;26955.909553434;36971.575144215;24850.887865053;25217.661105479;29459.153857312;31298.702900502;33549.372308102;32032.854515102;23889.299491816;31461.785824428;33459.847206576;17979.164626564;31053.853745603;29381.325244294;13621.703374958;21753.893334066;33245.93230811;35880.510994341;20059.079980977;26753.76527325;20823.78202534;34854.725057722;30702.029468724;27500.010437012;21924.765672962;14109.321673009;24260.111647506;41282.640087217;29830.348334793;16819.024792438;22547.458489759;14318.988173701;26016.928183575;31319.716827098;34945.177108697;22552.027332147;30132.235611977;26529.742486385;11524.511699589;38205.150469171;23728.460368395;35288.36781225;35177.260877022;37828.94106673;24042.651570957;25225.173872558;23414.671514698;30854.569869174;20961.862922266;35502.579868993;28461.811956483;29587.180962108;33289.354858656;25842.084868024;24160.275645417;28065.77186739;25508.046785832;24496.851533676;26230.418984209;26086.632324799;20202.573246701;22433.245372182
