# Exported with SCiLS Lab Version 12.00.15110
# Export time: 2024-03-25 13:34:42
# Generated from file: Y:\imaging_core\proj_archive\DATA BACKUP-OLD NAS\#394 Nilesh and Biernaskie-brains\240301 Young Mice\240123-Biernaskie-neg.slx
# Object Full Name: Regions/240123-Biernaskie-neg/522/522-corpus
# Object ID: 884e85d1-ebe5-4407-9da5-5e1b2f410136
# Object type: Region
# Object creation time: 2024-03-22 09:49:35
# MzRange Name: young-mice-features
# Normalization: Total Ion Count
#
m/z;Spot 42464;Spot 42465;Spot 42466;Spot 42467;Spot 42468;Spot 42469;Spot 42470;Spot 42471;Spot 42472;Spot 42473;Spot 42474;Spot 42475;Spot 42476;Spot 42477;Spot 42478;Spot 42479;Spot 42480;Spot 42481;Spot 42482;Spot 42483;Spot 42484;Spot 42485;Spot 42558;Spot 42559;Spot 42560;Spot 42561;Spot 42562;Spot 42563;Spot 42564;Spot 42653;Spot 42654;Spot 42655;Spot 42656;Spot 42657;Spot 42749;Spot 42750;Spot 42751;Spot 42752;Spot 42753;Spot 42844;Spot 42845;Spot 42846;Spot 42847;Spot 42848;Spot 42849;Spot 42850;Spot 42941;Spot 42942;Spot 42943;Spot 42944;Spot 42945;Spot 42946;Spot 42947;Spot 42948;Spot 42949;Spot 43039;Spot 43040;Spot 43041;Spot 43042;Spot 43043;Spot 43044;Spot 43045;Spot 43046;Spot 43047;Spot 43048;Spot 43136;Spot 43137;Spot 43138;Spot 43139;Spot 43140;Spot 43147;Spot 43148;Spot 43236;Spot 43237;Spot 43238;Spot 43239;Spot 43336;Spot 43337
209.62855955469;15742.291388965;16688.552025711;13098.33326742;14089.647643109;14413.714453107;17945.210885284;15240.978937762;15540.254897249;16551.818648296;14278.993405803;14377.442956912;13628.41716316;14012.183220028;15597.235535051;16476.55941801;16432.81781481;15222.377954039;14651.026808437;17863.165505344;16848.146084844;12890.827840676;14096.008339636;17947.021533905;16333.665056942;14950.645616426;13161.375887297;15748.224231763;11562.223169558;18026.839514241;17463.835795261;18614.060106894;20830.59308826;15096.413022242;19450.249434243;17526.992357759;17953.599179778;14520.410595209;16733.179518687;15979.666075573;19329.475128292;20343.141359415;17954.990390933;17569.692114024;19634.055396358;19593.182617978;14304.546676255;18345.87794608;18524.464227329;18614.791930263;16497.525586263;22498.840984449;14645.928419238;17916.244119038;15784.180868733;14784.358863958;18213.019018824;19876.869131863;18878.753060091;20405.387012868;19375.196237432;15916.437427847;15578.628726583;11628.095776094;13846.685540601;7402.5326937612;19101.780328497;14539.097533717;18656.163505674;20244.456361281;14769.463134652;7871.5411034851;9008.6121975376;17896.299108952;16371.980922066;15104.239893326;16626.293287409;15732.58828693;14845.638461606
229.05363493112;122047.77404812;150734.03347976;145725.37190817;127459.21080038;135070.92582391;130560.94039475;131814.70882256;114701.58172274;100711.43020813;110351.36897494;119275.86738195;175279.32539661;189482.5046936;160242.70790592;200611.64726895;227997.90725068;168399.68813104;164295.66428439;162335.83082544;175352.21196504;146246.54872292;201253.13543821;64966.131726325;70350.670772986;82737.328022699;102506.59574891;130838.3568413;131416.77764994;164620.1931102;8222.7575806239;16387.512151851;31465.174762089;36333.137893019;42100.814222283;18809.634055997;16624.497985335;25503.351500866;15214.700183952;12021.16529269;14170.498174237;15461.658356144;20014.329644289;17420.87462502;17772.668869194;8227.2761232912;5411.4469803351;20938.104844615;13447.482885455;23971.48309072;16803.037797612;18772.261582292;15182.79195638;3942.1707471553;0;0;5824.6955560899;13733.669223808;18102.91314641;15157.007089667;14558.796720888;7676.8282934501;15621.349589751;8516.894869873;3426.5134667028;0;0;0;9791.3209037639;11922.448833476;26310.395017747;0;10763.91202855;10701.575137843;11483.086754141;11989.164694189;15508.300018852;20515.754781281;24887.748181237
255.23272548558;28027.856776824;22141.390723921;20235.241661549;23054.801503682;18537.583945818;28750.358002907;33791.855210858;34704.238849082;35561.440857518;23745.654251145;21848.11720387;26449.437862894;18073.665663787;21339.252458742;22513.986396909;34756.101316538;24963.971686619;26491.343896264;35829.568545897;24977.329579431;40488.959719099;27540.714516914;32942.880179428;35756.775506645;23651.823541814;23421.177631288;31979.978324682;23213.637806033;25370.437511337;38743.291334939;32010.413314172;30498.080223412;29124.650927761;28531.527240279;44404.448626168;31770.527185282;30798.48489473;28070.767962247;38187.216208468;40386.222149122;45214.129296675;35019.106058937;38720.355744721;32291.591100162;43012.607768297;38570.916751497;42000.615925239;38128.811767069;31499.078325326;35235.881152913;31841.012480487;31521.270805841;30856.996595602;40688.788391763;60435.440009275;43556.024706239;36006.356818276;30026.66504907;28532.467024727;34435.970216318;24733.294479997;35840.280565663;39584.302579113;51990.543777701;54193.748843039;47607.918950223;39503.400953041;41862.891741189;42790.665794051;25871.823162403;64868.290648518;66120.749739779;45793.47026452;41940.054784545;37842.27348249;32767.763821521;31156.712669572;27176.962331941
281.24802818201;158237.77075469;165460.04254872;146069.19868901;149039.01350025;151584.65887018;190267.63294751;166120.0126561;202076.75975568;225828.4414207;144189.69335497;162277.89102963;161382.30463147;138500.04722745;158793.569353;137150.90428229;151883.54288994;158394.277283;134391.01818479;202387.55591677;191236.60365859;161369.31291383;156597.23857024;196323.81300206;169042.79034894;164942.66577714;146720.2637343;172350.842435;134873.25433652;165199.49928215;193423.67527774;186562.04325838;198483.46196423;184987.11819779;186837.27410455;195635.1184504;196957.72761176;169353.85537866;194226.46195479;209176.95567421;225539.05681168;198942.43481259;182113.53188104;216099.50526658;210322.69171577;263293.46043274;275794.63008864;209410.05105856;192601.14752083;198616.94811283;193511.60576822;205808.83120418;200811.54530777;259502.59175325;280803.91974728;372315.40797868;226746.63839226;208491.45215042;234479.40121498;186646.71065522;206614.57189923;196895.90723738;248944.33956134;254899.57028548;317809.60974695;345921.19928119;261583.69503799;223707.72252666;259541.26443028;228980.58492969;175787.73716935;324154.79305068;257209.68103705;269699.7597377;239415.06758482;177733.59353821;173883.86622793;216422.44813144;183809.96510848
282.25137114734;34600.010242907;30002.695907164;28426.36998959;30464.720839835;31402.09868265;35185.248352033;30919.776840536;34648.35441252;51767.887657703;28577.023493133;32468.025471828;36733.862790893;26381.195125073;35150.582878786;30071.339319486;36720.582384395;34581.537736279;44081.200732103;34570.099989243;38722.992515073;28034.085507999;28704.202318846;44400.390334396;28290.042786004;36217.85317136;34926.952546052;29181.034740408;27001.709103983;36637.040230995;42742.880543647;31788.305031541;45297.190350792;36408.253393957;32839.805431131;39956.450443961;43851.358660304;41915.522574457;37708.635797517;34643.222637901;39758.085648368;37621.052641652;39041.619024758;43225.818724147;43831.39470587;53395.399602339;49817.083316721;42194.060786726;41275.952535152;34420.08956535;35380.976925829;38809.470880495;48391.373440593;46318.68299843;55782.509375418;65308.367614832;49874.599972279;39150.40761985;50245.534052308;38669.415153471;41250.443406541;43493.426053048;49645.336548401;43974.77819103;72974.980412303;71852.997734453;52889.635002192;40214.457327114;57580.397423684;45728.262422273;38183.318726888;52411.07873209;46609.611949449;56298.179385592;45500.259145418;41478.363107443;28191.765198172;50368.89630352;36512.361282637
283.24270930542;9213.7128186569;10639.015588013;11452.530275358;5887.7481800232;7319.2856874954;6051.9479252216;17094.62120868;11479.338518263;8550.9893721628;8177.4970258744;6097.0481678697;10411.445852056;8818.475191785;7574.666583842;7677.0596508498;8707.0261841743;10403.38971663;8683.6003915307;10270.636532049;8941.7431430828;11979.204308262;12326.433447236;20262.794451554;8885.5221973394;19080.026697332;8461.829147781;6308.007784889;4518.1741254948;10916.539534258;15151.179012598;16294.495741053;11703.955188504;8291.3920365356;9475.2465082042;18635.26392153;12832.265815624;13588.310720181;14024.232774574;18273.932550883;14060.826517096;12294.129891451;15513.95142407;11880.101380925;12946.539127411;22480.023059547;11597.032614167;19397.351740595;10327.433508869;10221.122834971;15409.833673954;12608.326940498;11490.475395568;19898.930851408;22159.044353084;11262.212626535;17202.327302867;14996.483318057;15092.569030628;11430.389741665;25763.279744979;11044.502759317;17253.000842863;14676.827424234;13443.720691684;10614.530534788;16619.457269599;11926.126495658;16028.213905103;22740.846600059;18344.707041505;10624.972931366;15445.304230658;18412.842808194;10776.650450608;14982.269277399;4940.1318674586;6420.0019625247;12850.992367589
283.26374378257;204838.67903406;194174.79526604;166628.25487994;196187.68284324;176625.73382776;203578.40209712;198974.51563707;206916.57810558;255138.01572611;188472.43365564;184894.83741082;191339.93195066;163178.24572181;204488.70767838;157494.42502069;204812.58383219;192188.50479549;170177.52218534;228191.995283;211105.66368388;190971.61982087;185042.12534184;247196.30995575;202136.54798328;205357.38859748;171077.48717184;205334.67635686;171348.06144927;202439.11383666;262253.28761324;252514.37504141;241856.14318398;244500.12878091;226588.26646342;265342.92717415;263050.42577682;225558.2399805;230646.51555999;220819.8060025;293112.59415922;296418.24142318;249128.18547766;262358.24961629;259245.3000342;306192.69126877;314304.83255031;281085.63700175;246459.10300507;248380.95481216;253566.25131716;257798.63579745;254183.97098388;289425.6590619;336417.74640153;455057.27262217;288868.79284809;284733.96014877;287576.65392115;241786.56114485;267477.80413212;243044.83648276;285088.44794168;302930.09669378;387902.52367277;435330.6271346;328485.9690576;294225.26322553;338508.25905409;271251.88488387;231567.65536953;446493.03025593;389234.3715831;342965.46097618;291457.01896742;226989.18258652;224833.77858943;264524.77618352;216054.1466537
284.26705034744;35983.317842561;35370.501165542;34016.100571676;36414.657543994;32307.21211192;39163.513158836;39643.910575109;42444.982132914;48041.395407941;39035.693382602;46897.947412396;30520.294684075;32528.522354862;43350.871631728;29063.115780653;38522.368016586;40909.648727717;38676.481884596;42896.933774755;47386.642349594;37056.166307098;31541.190937025;47041.744924366;38396.782803235;44915.012213061;35978.089083375;36243.949270168;42318.906852088;35621.629199579;52539.514654981;55150.652150861;46457.46929932;42373.100687403;40428.185542823;51440.876258167;48668.679107953;44544.949698163;39182.842080605;52744.739620934;61437.477172442;52590.211060533;50261.630215438;57285.100366494;50368.857123476;52386.598173832;54073.882272844;48335.864554892;45718.033607111;46920.522132132;44850.315976287;51169.39588889;52238.722518552;64370.225307949;59376.803989488;86050.859286372;55167.677483584;52648.629267308;52891.564699093;42259.801568783;56216.710195185;42294.218777439;53626.085814398;58040.768796145;81785.656964409;80622.928874205;71986.320124003;54694.010643949;69667.490907208;61197.470189287;44392.625059964;87758.425274919;79100.677871096;55917.894589286;52988.657929689;42769.338517443;46138.978886476;44103.052517982;43487.400366117
286.97742337805;17813.215737335;18022.477998333;25697.886370732;28617.098652597;24112.451694424;34106.684159175;20150.346811623;8966.0936104982;22611.005317943;26960.930202802;18715.249945892;25967.244606489;23116.759164764;19955.737805867;24009.115356339;23622.155985764;27846.14627785;25931.855033905;21688.184313585;20113.357870969;15391.355343216;27124.960164403;19756.276005741;18223.07076583;25521.673901175;24516.663915992;24666.603005002;28454.578522682;25390.86955522;16703.01815394;25815.536588085;16839.137100635;19498.229699998;19756.158649995;18151.219339157;13330.994974592;23802.989324362;18162.735733592;23730.055436417;12991.919062876;17188.707480268;15971.548180266;15173.052617858;21463.9317414;22988.517734554;16799.510760948;11939.484314462;18706.394255783;21002.841444071;16503.261294492;13420.404980407;16482.219083951;17290.844955466;21588.074401761;14622.850656633;22041.671751784;13187.591141983;15658.337250199;14701.486028621;10559.357688554;19708.860305227;11268.413682021;17102.659938172;14090.240076726;25878.583010216;16694.162044792;10618.487241745;13446.335769132;11491.09611693;9017.352272131;24076.519612679;11705.242734147;25403.028726638;18543.127216406;14950.811498208;7911.6939709142;29811.432637093;26723.683289101
289.02837115647;32459.933142671;31822.513356041;36171.794528367;26073.775529181;40583.934216424;43158.855779906;38673.552270924;62906.773170589;53898.989757487;43474.123207;41187.664650672;41952.966693831;42717.787116456;41901.660654664;36640.497805404;37430.022822222;24015.622762357;29781.20469815;26089.278848797;29986.908720006;34207.783189868;31714.631024264;32782.044621666;31042.748810765;20239.444768038;26278.267057985;30580.002379374;28106.774720691;47763.593539406;22911.257329759;26519.183435361;36347.385173432;25432.099446932;29634.014846462;36029.073915939;30967.148157459;28174.300767493;25541.003981409;23796.436895536;27878.974479638;27912.03659654;38194.087530888;39063.811211578;22830.449340209;28853.907463474;21407.847490708;33560.829708079;29829.800448;31570.042403133;25295.680703945;22776.542675622;21743.541830926;20507.379770191;24566.06198818;21956.798713376;34976.161353155;24306.253302827;31677.495759941;35463.555641489;28080.061858652;26467.565371847;29452.001718966;18257.704261778;18890.760328585;16861.160213402;31147.520027924;29681.697661978;39073.120673927;41890.276171725;27826.366487449;22856.677344963;21025.411464939;33024.070694265;27610.234497736;28552.387471166;46742.141818895;29265.875314935;32046.16390502
