# Exported with SCiLS Lab Version 12.00.15110
# Export time: 2024-03-25 13:26:37
# Generated from file: Y:\imaging_core\proj_archive\DATA BACKUP-OLD NAS\#394 Nilesh and Biernaskie-brains\240301 Young Mice\240123-Biernaskie-neg.slx
# Object Full Name: Regions/240123-Biernaskie-neg/522/522-ventricle
# Object ID: a7631fa4-9545-4dcb-b5b8-bd88bf5a99e8
# Object type: Region
# Object creation time: 2024-03-22 09:50:08
# MzRange Name: young-mice-features
# Normalization: Total Ion Count
#
m/z;Spot 42952;Spot 43052;Spot 43053;Spot 43152;Spot 43153;Spot 43246;Spot 43252;Spot 43253;Spot 43254;Spot 43345;Spot 43346;Spot 43347;Spot 43352;Spot 43353;Spot 43354;Spot 43446;Spot 43447;Spot 43448;Spot 43449;Spot 43453;Spot 43454;Spot 43455;Spot 43548;Spot 43549;Spot 43550;Spot 43551;Spot 43552;Spot 43554;Spot 43555;Spot 43556;Spot 43557;Spot 43650;Spot 43651;Spot 43652;Spot 43653;Spot 43654;Spot 43655;Spot 43656;Spot 43657;Spot 43658;Spot 43752;Spot 43753;Spot 43754;Spot 43755;Spot 43756;Spot 43757;Spot 43758;Spot 43759;Spot 43854;Spot 43855;Spot 43856;Spot 43857;Spot 43858;Spot 43859;Spot 43954;Spot 43955;Spot 43956;Spot 43957;Spot 43958;Spot 43959;Spot 44055;Spot 44056;Spot 44057;Spot 44058;Spot 44059;Spot 44156;Spot 44157;Spot 44158;Spot 44159;Spot 44257;Spot 44258;Spot 44259;Spot 44357;Spot 44358;Spot 44359;Spot 44458;Spot 44459;Spot 44558
209.62855955469;15087.987677617;21648.554528572;26258.929156706;17834.097159568;17847.933916541;9693.9262388318;17135.311148272;22333.738477993;19435.037857708;21484.55384681;18852.028186572;13983.678220295;18533.507592815;22390.895119881;21007.696140584;18495.517529077;20555.632025389;16524.753318734;12468.480999465;23197.435257097;21307.324879206;25396.577234945;25106.122382398;24725.492450139;22301.231746503;18077.103962649;16627.246636952;11623.20203741;20169.384230501;23518.940188851;26203.677314258;23993.634225423;21405.699967063;22551.647975902;21803.642611399;19558.799216784;13245.582024493;21527.896093953;21767.844913989;21530.983160312;22965.003070416;22242.922112359;24903.4445643;17407.74364647;13365.052985597;21672.960525085;24264.802839278;24083.902364664;21312.788026551;25640.252021188;19988.773266014;16206.004055196;22605.786285481;25582.120481371;24793.64625788;23432.757612671;20334.075540807;17732.385980196;22894.133173993;24266.253888967;22345.407140238;21914.107204963;18874.150981539;19831.111392709;23235.847692512;22773.341954935;23698.583449408;27688.874400829;23793.341818577;23595.407937944;23964.651167411;23634.788201801;24642.507980669;29864.749691663;24193.39595635;26156.485968581;23026.637599505;21117.21386503
229.05363493112;6001.279924828;0;0;5926.4159368747;0;0;0;0;0;0;3463.1025773834;3586.8391401807;0;7269.000707527;4001.3386043102;3598.0841573216;4254.34187812;0;5490.3947593562;0;0;3213.2584295741;4124.2307899403;12498.704669372;3835.3662425019;4709.1104939527;7782.6050431188;3988.3364387579;0;0;1363.1478526116;0;4600.233330931;3283.1464670616;0;3895.2410751287;4920.7729044707;0;0;12840.246150626;0;0;0;4576.0007523353;6249.0559131724;117.55305729787;0;0;6018.7511988096;0;0;118.7449366446;0;0;0;4967.822778216;3606.7250891877;0;4303.4007287516;5438.388887589;4977.8108893205;0;0;4762.4985936441;5451.9090870499;6264.3898059656;0;0;0;0;0;0;6254.3896436865;4832.2789223485;0;0;5353.0871091184;0
255.23272548558;100611.80783773;101392.59383222;97361.805327958;88561.800355096;83100.422670607;54638.419354395;98241.534421611;116199.06911643;80477.814640247;103536.67454212;85694.849530341;85202.151756941;109300.85226488;99951.239519799;87707.178708516;76287.193847476;91376.59711232;88614.677303355;69121.48244704;105696.78516447;94073.897597878;93144.484054504;107550.0488002;97449.277863175;88671.604259085;89158.144883427;96450.03563083;76751.106082671;111862.95611458;105785.06113806;96697.553143275;91538.347607746;79077.504379531;100424.34365867;110790.63053571;95841.293153473;74743.812790942;117406.78070214;96929.98718736;82995.779434534;94744.332021524;98567.444858109;107192.05725609;85134.585672006;81319.135900018;99631.665023348;98134.38772835;86561.566589077;105767.9271027;91576.967827777;100687.781096;89320.552459562;104776.16221013;118056.60838825;85137.483164539;95324.833880254;87243.591536146;89104.91204228;101575.71439338;106822.94728339;87239.411351183;85824.1744336;107876.13802139;100358.11220516;108973.74262932;79654.951239935;84643.527033903;124572.07046802;102047.5185263;83953.745061817;112349.34060061;110062.46946101;89119.617012248;107724.52546576;110143.23118332;109708.50250134;113463.10490088;78138.370754125
281.24802818201;368671.39801441;329880.63322142;331412.76260958;231293.49576745;253312.72370926;302023.86054548;298189.90979854;314771.77412785;262263.4337237;308549.14647119;312582.9255921;359079.7659522;326057.80557036;284844.41331986;264653.99324538;215694.92704007;249740.7032574;288440.0976077;317866.23650334;339988.06854459;298590.14315086;291799.95779853;288044.56165056;278653.97968769;264942.57693842;263823.89325098;368138.27171987;289477.0884333;343967.65005102;279079.73419507;290297.18518853;240104.50679426;242673.97724986;271244.69142414;281704.1070592;340964.0840153;351129.78948047;321811.84788589;283790.21769357;243826.72236141;235116.25343401;259873.67733619;306922.01959093;232493.90542857;321841.20060694;310513.55959912;296988.27658504;242325.19312981;253026.47711295;261933.02895404;263717.33027732;383406.19626819;299875.76272806;346327.33674052;227971.44291388;269439.47893842;240311.74356101;319960.88300375;289511.22853812;310283.08096357;255095.41539728;259312.89878443;307966.96017036;298403.43362678;308783.54920024;199033.93014866;218277.87280485;366399.96739253;291007.18753857;246763.76763356;280856.88562552;303650.92122245;246063.07480015;265951.55766982;272745.25965069;291966.93906746;265376.56195095;210464.04021281
282.25137114734;70049.399407088;66028.808085602;50327.001444991;43124.585556809;48905.10756777;56810.779001719;51852.152461518;53298.276656;52339.27562858;53886.871971335;59645.035312802;65022.504843319;61437.153167899;61667.017366966;49942.342298525;44496.930187347;55080.760247508;49074.228263091;60522.368534793;57678.373274336;58504.23591608;60323.093270135;54196.360248277;56472.706435849;52075.180198199;48784.344490351;67502.309585162;52134.362063037;72054.313166087;52258.773462625;55919.028045203;45877.665831391;55617.339714531;45920.707247647;51344.706853607;62515.807306846;64731.52957095;59860.690230747;54726.97783944;45056.121316653;49054.599089442;55145.431282403;55759.210828525;45164.556948817;59138.737577299;49185.004939206;54357.203558805;62395.110730845;49603.683226225;49858.795661769;54939.482766285;69784.855796628;55452.596801047;72023.005441752;56364.811934912;44200.041086378;54815.509774421;56193.895635508;63918.568380106;52012.478291876;51938.064306229;50721.918665759;66398.035841998;54750.057340367;59502.153828046;34684.472418107;47326.670861656;63079.720096402;50745.3149962;42168.924638787;58408.981444676;55259.432235717;49365.58030134;63741.631378338;45491.620037918;51678.758867312;56139.729117583;40014.11089665
283.24270930542;31020.823510751;33627.840314657;42673.644340922;28780.735633882;37751.799858721;15828.289210133;31568.367287009;37342.699746114;29435.993921519;35879.750752339;18372.417489715;22192.247493247;34367.226664987;31294.076627351;41670.327792557;25653.327563182;29322.364334099;34113.270542815;13656.448358513;39998.6514547;38223.706960773;31274.213419101;33983.276690648;33586.773050562;32572.597158574;31767.970859398;25138.82613169;14844.054983344;34398.029456263;33459.107026585;34631.61215109;31894.424774854;28615.475904801;33075.188629654;33314.630350929;17688.907126047;14766.385218639;29247.053225927;40756.598964375;31740.51875491;37343.256236601;31073.622344462;36257.287027644;28168.664906571;20004.308214899;32513.712505352;34254.852266882;31827.410496583;33285.703640674;28646.291626272;38124.94610228;24535.873927119;35217.736593452;40161.085311227;39060.962961013;33404.055411648;43360.690890895;28899.762464791;29289.734483364;34733.53604626;35258.068773113;37171.51459096;30943.256569599;29475.290987434;36674.435118495;32818.332654711;39647.168451324;29081.48795642;36895.995448001;34121.657599083;29475.694358028;31690.027694105;29250.749244664;38731.234888689;32149.586769825;33769.908907033;36412.865019602;24075.45679598
283.26374378257;573325.14235596;668509.26906431;663501.34352727;512597.49378738;561348.04732068;388703.15454313;583830.89870858;661274.51317239;558847.49042479;639944.49578949;616932.48302455;454427.84685218;699109.11397528;653875.05019933;570189.71183811;501591.00721166;576616.94210027;608325.99854874;470191.16344437;676627.14759466;605006.56618891;644355.822862;648065.56672225;607567.60135935;572885.18639785;594991.8365418;564904.85172599;418177.47178694;684341.40307834;661136.16652439;642366.17923157;558468.71874742;545166.94571429;575131.3142725;658129.3630366;551437.94449878;460104.86586548;706116.09723621;668624.10759585;582105.01315872;547918.84177712;585828.07293997;679338.53302034;537846.39227741;452655.61487969;642029.9523478;648594.31968844;579377.31688891;585095.21756621;582306.48639421;615399.12337073;500466.95629622;659290.77570567;742456.64406139;545074.99266967;561109.46327796;587656.825329;518907.96341145;661730.36531041;664969.5216125;561031.71076466;596138.49426931;642582.92292746;593497.00665217;682153.33178742;447006.10871542;522937.14522997;726218.16989643;661685.01199214;518689.23057626;609018.44020761;648847.5973337;583465.03566471;664445.61405627;611472.03062807;612842.46352047;638454.62570334;456863.70204156
284.26705034744;112423.01935237;131842.78228138;120368.90756419;96398.209582448;110242.81954751;75104.118070927;108907.43143484;115269.87053163;106991.5535114;130289.03447092;130960.72087302;83490.126330507;133094.6920599;125821.50654918;104131.59660539;92043.450549499;118747.61264853;125381.68633589;84428.451823342;128992.37043259;109703.07053078;125630.63179306;122388.62047195;121171.50210118;116437.64129536;101732.00370139;100461.07991419;79740.889681381;128520.69610744;124389.55554797;108853.77657891;106445.78211801;109533.88632458;119496.79744685;120826.63842353;116091.63486587;84562.985845079;129876.13958072;127406.8841328;105567.20253551;93459.225076987;104093.29890048;120044.78566731;110311.18412544;84679.655109897;116842.12211293;128169.03915652;121047.19957855;121668.42651857;106135.92581925;115995.67994969;99410.392075027;126074.52469895;150481.90672366;106138.91076765;110552.20342587;112733.53717659;102076.60458228;123378.87263729;133986.29029282;97509.904638223;101119.41875059;126033.76500809;110060.36691206;129015.13145221;94512.765954414;99702.04568893;139125.25500073;114758.7500932;97024.564080395;108902.23878734;136008.08353589;109704.30021613;120670.19671335;109960.05170464;118160.98569028;117663.80151859;84089.081125629
286.97742337805;19102.504292477;28254.861416233;25881.126123072;28114.411308733;31150.374125271;17142.006340988;20717.481517688;33864.660718779;33248.034071136;20159.884630313;18351.464364832;12353.401072843;30535.369536389;27356.13467239;42449.3686444;17571.615888248;21498.594941208;18142.157572501;10546.18158035;32709.494097093;21305.338114886;29231.748354961;22003.937309948;16069.391926815;7404.5966366144;25246.973949559;22386.506175154;22285.1507627;27159.022757048;29500.301113611;27750.108525522;26559.326475569;27179.48085468;19778.897413947;16998.244686184;19488.018028712;19041.232028868;18615.816116859;16590.252143653;31183.819763858;21172.490393949;17358.652877669;13414.856378782;12198.017612538;17376.768524327;19079.13374196;29632.845617172;29882.899349521;24419.44820376;20590.730220363;11166.335434865;19193.602367321;25972.010418438;20025.949308959;18294.542069147;12684.119078693;24802.549651798;18707.036269129;25429.220202122;23655.385171312;16983.561901485;20312.710258944;22032.444490241;21675.373680209;21037.743596972;13974.608907922;17094.967740254;22197.880848427;20661.151449862;26159.102096115;28150.887400401;24050.635360066;12484.685542072;11708.30986252;22316.377833324;14301.006166613;34893.341866516;27567.624415568
289.02837115647;16440.425922756;19250.390931399;20943.662058472;15509.345814246;26548.986015518;28974.7813648;24768.468861311;31522.018410331;22663.65815469;24317.943732143;17564.897806777;15596.959002268;16865.316281897;20536.007632344;20674.62113616;17970.317372108;24411.895744794;15924.194854562;19593.335611035;19765.918984626;19981.257450681;30144.911169338;27041.68777724;40282.550690547;18332.798760209;23166.93018466;15098.787100934;14546.391962184;26389.869172804;21872.225208335;28395.557170765;18985.518526179;24332.371150765;23218.737247573;31024.339543114;20546.611951605;18329.410090235;24339.130308635;24046.084017559;27588.184871352;27584.301062654;24194.485272075;31653.577017114;13388.840367515;13374.117319495;17823.692004623;26356.062390658;28115.877735392;21987.998044523;22869.405854966;13686.932936502;15675.125283262;20023.253163367;27457.095685565;26075.302481716;26522.9054076;21073.028323806;16712.05645091;22598.844829793;35440.432142083;29574.097068118;26040.549533724;22842.011296909;17758.299614532;26129.765380705;24545.304433721;25513.154000106;25984.98360059;26507.458852624;22671.457564296;20838.543055947;29598.882089803;32302.405955067;34496.996397512;27265.917668628;29622.171001937;32329.641073722;23841.719919037
