# Exported with SCiLS Lab Version 12.00.15110
# Export time: 2024-03-25 13:15:04
# Generated from file: Y:\imaging_core\proj_archive\DATA BACKUP-OLD NAS\#394 Nilesh and Biernaskie-brains\240301 Young Mice\240123-Biernaskie-neg.slx
# Object Full Name: Regions/240123-Biernaskie-neg/286/286-corpus
# Object ID: 249d0c36-a41f-44d3-8b26-7b4733e8a854
# Object type: Region
# Object creation time: 2024-03-22 08:49:05
# MzRange Name: young-mice-features
# Normalization: Total Ion Count
#
m/z;Spot 1893;Spot 1894;Spot 1895;Spot 1896;Spot 1897;Spot 1898;Spot 1899;Spot 1900;Spot 1977;Spot 1978;Spot 1979;Spot 1980;Spot 1981;Spot 1982;Spot 1983;Spot 1984;Spot 1985;Spot 1986;Spot 1987;Spot 1988;Spot 1989;Spot 1990;Spot 1991;Spot 1992;Spot 1993;Spot 1994;Spot 1995;Spot 1996;Spot 2063;Spot 2064;Spot 2065;Spot 2066;Spot 2067;Spot 2068;Spot 2069;Spot 2070;Spot 2071;Spot 2072;Spot 2073;Spot 2074;Spot 2075;Spot 2076;Spot 2077;Spot 2078;Spot 2079;Spot 2080;Spot 2081;Spot 2082;Spot 2083;Spot 2084;Spot 2085;Spot 2086;Spot 2087;Spot 2088;Spot 2089;Spot 2149;Spot 2150;Spot 2151;Spot 2152;Spot 2153;Spot 2154;Spot 2176;Spot 2177;Spot 2178;Spot 2235;Spot 2236;Spot 2237;Spot 2238;Spot 2239;Spot 2240;Spot 2267;Spot 2268;Spot 2322;Spot 2323;Spot 2324;Spot 2325;Spot 2326;Spot 2327;Spot 2357;Spot 2409;Spot 2410;Spot 2411;Spot 2412;Spot 2413;Spot 2496;Spot 2497;Spot 2498;Spot 2499;Spot 2582;Spot 2583;Spot 2584;Spot 2585;Spot 2669;Spot 2670;Spot 2671;Spot 2672;Spot 2673;Spot 2756;Spot 2757;Spot 2758;Spot 2759;Spot 2760;Spot 2761;Spot 2843;Spot 2844;Spot 2845;Spot 2846;Spot 2847;Spot 2848;Spot 2929;Spot 2930;Spot 2931;Spot 2932;Spot 2933;Spot 2934;Spot 2935;Spot 2936;Spot 3015;Spot 3016;Spot 3017;Spot 3018;Spot 3019;Spot 3020;Spot 3021;Spot 3022;Spot 3102;Spot 3103;Spot 3104;Spot 3105;Spot 3106;Spot 3107;Spot 3108;Spot 3109;Spot 3189;Spot 3190;Spot 3191;Spot 3192;Spot 3193;Spot 3194;Spot 3195;Spot 3196;Spot 3276;Spot 3277;Spot 3278;Spot 3279;Spot 3280;Spot 3281;Spot 3282;Spot 3283;Spot 3363;Spot 3367;Spot 3368;Spot 3369;Spot 3370;Spot 3457
209.62855955469;23352.985767387;18583.397035624;15207.815832544;17267.270173544;19024.12597433;17612.10649279;22285.188091022;17933.860548937;21415.909544997;20674.439065352;18693.485957044;18431.131175257;20196.60111718;21594.804374871;17273.361874127;20429.146833746;13892.654428457;18547.637452766;16939.598518227;16161.732468809;19214.739725036;18148.330234764;20414.798915693;15346.766730207;17378.724777633;20533.685040096;22243.969629118;20289.241546899;24050.811806868;23798.406287633;20493.569696945;17848.350410571;16317.188680044;23437.231260879;21331.322620802;17011.172144324;20230.489348548;15866.896411636;18474.731418678;17422.792274887;15944.259583439;17742.957344043;18690.068635869;18628.37634348;17003.305355253;18558.100838457;17804.735597028;21552.605221383;20758.127563226;19038.692762736;22881.643129118;22818.484903441;19925.088383331;21581.0941974;17924.653120253;24661.717928742;24644.38259557;19200.146955252;21823.306172115;19052.556618537;19075.442719412;22060.725378059;19049.157974926;21598.262934224;31272.062748255;19926.400330904;22091.743887665;17294.388795877;17190.914341503;19709.645642243;20844.15263409;24214.427234659;27188.7078482;22572.814322178;24251.033459751;22573.696726315;20981.31296897;19921.600374312;22692.696176024;25752.216910815;23589.950160796;22683.387066798;20936.48525354;24040.274696107;31716.998323722;21115.771245279;21343.529144307;24219.789902693;22710.65770089;23244.89422085;23458.237648916;24347.663915344;20823.305904356;20610.652272766;22408.622242276;21252.952854897;17922.831333712;24837.84172811;23877.759539475;23694.224697062;22162.622508438;19917.600001012;22305.55505271;19541.703504606;20214.082774527;22089.129452475;18567.059619454;20986.763982333;18299.332482961;20821.584235067;22111.537269898;21061.734780808;20453.788983085;20399.944128159;22960.678990538;19660.8;16602.28476466;23442.936556444;21522.750166883;18324.061858788;20633.564716014;22379.348143007;22190.47121352;20994.224871418;16672.262696234;22062.171479669;18756.597744984;23720.967532446;21260.577356378;20350.106874514;18917.836040985;12995.591557172;7793.1075341614;24660.16716142;21441.882375764;28473.71703035;20942.120509922;20148.203994992;15978.130068668;7755.713823767;10467.734267341;25578.66696077;26691.06874732;21852.899084907;21961.961382208;17161.159073319;8831.9151831688;9417.9968987005;7560.1831589737;20643.901255567;14442.020268224;12319.860617469;11597.248076543;13737.472553052;11730.130295501
229.05363493112;300651.12063283;300264.39710739;339044.06486605;384699.67038602;345327.1747092;438598.92568897;462049.52964083;446457.96171243;257883.32569986;315393.42689523;308572.34350599;368266.96934634;385974.46977885;484935.44184868;362070.05746887;549296.79995115;440084.57442934;446116.17573146;557487.30119048;561982.36161115;497577.83355933;533609.45470698;476953.17035294;448911.6668084;459508.64073594;354929.28942052;426721.73881233;367432.38353091;210194.52448469;226773.42782764;278841.51044877;334885.16452439;316189.61725726;486620.64160439;442509.8415382;494248.21477736;531112.52679672;551388.56722636;601977.32722809;535345.67343152;510396.75526234;577749.26910035;498554.91159879;521773.66190761;498975.80718798;508256.94340416;404328.57745781;375953.4599761;333520.97789013;352155.44944048;426051.52999296;342034.1862388;306392.727439;327553.82225736;235752.72953666;151341.25638392;241089.90006904;216457.5665273;364609.39185332;459823.51652736;461252.76428562;238157.28337594;227418.07598224;232149.36776157;84731.872894093;111842.68977739;198532.62537148;221888.44379237;271030.88598702;321478.96336181;176569.76555987;160988.3521817;35400.900753099;50704.248750903;101059.62068953;147852.96248216;168861.52097431;186708.64858633;46869.012808235;20830.000273891;32175.567414156;61050.575648883;71634.477789861;104991.72755199;13930.206894121;15333.461666809;19445.959799532;29813.86489217;10076.818166227;28050.920180097;27126.175826481;22647.274702752;13462.002194808;13173.247929233;21535.006920435;15913.050103797;7060.7839150356;15276.759795428;19906.29247632;21632.373577667;10517.843418474;8031.7311825744;5523.195787653;18175.373686772;21635.154254183;19404.644722556;15066.743314238;5043.1369102883;5597.9612086285;7942.9815869139;22964.986508696;20488.068398049;10087.752949194;14323.658189201;8097.8696031858;0;5713.062594541;12277.508181245;22830.707459297;17783.087590445;20210.271475057;16309.772575893;0;6191.7222103015;0;15161.152648229;22638.719563803;24296.905330822;19262.911291157;5941.5087704691;4816.3974977858;0;0;31269.128965392;24385.84303576;29093.235727943;16176.021350081;8170.3817920461;0;0;6120.5069006932;23263.119114779;20280.393531791;13751.151753494;8042.9342345022;0;5250.6649852727;0;0;27644.472237483;0;4518.8329765975;361.18315918059;0;3774.8219622523
255.23272548558;30759.72979096;30161.083096323;26126.4215902;23613.423152841;26352.933252434;17283.860732668;21208.945320308;27012.513598274;25623.942541138;26370.525783091;21175.142300792;27218.530791186;20754.805729003;20225.769235565;18432.781972244;19303.509339859;23173.725632964;17679.849199864;25348.97331613;17928.168764424;19111.277231216;23604.328423446;21141.445275421;17533.449682799;21065.861941649;17220.809321775;23074.863608337;26120.507401526;27188.284188626;28715.284869074;16446.268084714;29317.634889089;16285.341277258;20799.038125443;26927.740576982;18364.745280334;14267.06677633;20861.094602987;19816.768545305;22187.719734491;31197.365067614;18524.407562582;16854.910700441;16318.159070221;20949.578755519;19747.800701588;21977.147573344;16742.624368448;15025.927110008;19305.819503558;25441.141352268;20905.178160903;25202.759855868;22379.48222688;23814.363501858;26094.277426414;19024.316680541;19364.278117591;22131.59159499;18582.926948848;16451.059987179;22861.25243765;26989.071327566;25248.056088728;38495.24263551;24826.365162577;17979.417101817;16561.792152192;19333.922659;20504.161342945;22539.970935323;28694.516391366;35886.628845163;28689.127551704;30856.891977194;23816.175996522;21744.910532103;26265.445032798;25488.490600941;34724.626354203;30789.86835096;23592.574469603;25349.318553895;33068.214217042;42194.982072754;31746.379015781;24934.822937371;25889.57880346;39282.229802518;33146.932350158;33844.5287919;30765.141219745;28508.510374201;27817.240040428;27174.030238281;34461.980342706;28519.854131934;34880.481078972;46710.123294838;33418.206827563;31812.779853425;36585.364909912;34003.856410091;29387.497959525;28527.919317419;37213.329417414;30053.492696412;29926.839228916;37590.750034531;40582.369745657;37981.4204679;28921.48044622;28911.515015529;33879.33509957;33340.116286581;32601.95966372;53621.530800877;36717.489593814;26313.358301106;29514.042238701;27287.343440802;28430.479620063;40062.560994285;30102.71973126;46260.137768765;33646.737891197;31399.593894968;26455.67978185;36180.956025571;31515.069772806;42778.978349563;47215.108400498;38300.802057072;31116.105474132;32386.36477135;30852.236064921;32090.719136198;42801.95145544;37246.022027923;40661.64478035;40805.117762974;33084.375398469;26677.321142308;33306.796417826;41244.037188745;43996.158276915;48227.640121961;44286.691310317;36737.622739496;28384.170778445;44358.41600597;34804.654076966;43599.865541862;35493.011266311;54277.814836018
281.24802818201;218589.03533582;191849.95377444;178520.59376614;169468.217772;163135.40973337;149607.8824399;178674.84904522;173223.12497877;186421.49500887;204535.13824291;168553.65422571;180839.12702197;171482.03175183;200416.45906254;155811.87897464;166804.56257903;148916.27588042;169503.37761293;150385.70768855;149957.3891637;167992.91798779;172697.06981045;180903.79502833;156409.0838269;151963.20043661;184428.50754414;183967.78370292;185756.05777055;188201.59871744;207261.23791993;173285.37257883;182578.83283482;196580.88762264;187350.17382463;185075.84432502;164400.57097868;161696.6382962;180798.69766755;170744.70525003;184687.04816785;136619.39304374;164092.4195988;162503.57842512;175240.34162264;154172.89148969;172280.78178675;152581.81584226;161567.49769631;163792.94264757;161633.36858551;198271.3695463;199408.963243;196021.70204224;192594.91977498;217235.91510091;219721.28418753;177568.4698104;171065.67348988;180145.13704716;167887.69459467;170366.43033509;211108.25046658;166016.79639162;208828.25038394;211914.8248484;200830.10830178;181664.29066393;193511.86216867;166640.7248329;153649.16138531;204508.22432304;192403.36120255;226262.6911727;207191.76799059;232084.05200543;222257.17992783;193531.3748972;202446.0655603;219889.40544147;266344.85362941;205571.4275828;191673.4797887;188400.28337232;218826.62601923;272091.17593071;235674.02599527;202548.58086257;227906.53061042;241649.74174057;234336.20712206;252232.64347592;267822.26559853;186334.0483685;202771.01277881;220186.31290353;238365.2628612;252038.7615235;228121.06566647;247303.56217236;226889.45212138;271395.08267197;271602.08448364;317590.20880912;237833.10526669;218825.68196792;218945.01931563;228721.22467253;253493.25297178;318098.66554949;256274.95783112;214401.40184627;220618.76503167;209971.69848415;248900.22108934;231858.9889823;316569.64436703;424564.2191968;228506.97345808;232193.92575989;237299.0318967;241649.55872196;233979.24652754;289391.16288233;310011.57216056;391517.08622213;248365.30929552;264034.26665362;234455.52153505;250385.3668377;294424.04420774;331132.16904964;331861.17806475;254141.15317218;246570.46678225;242803.88337844;252041.70905551;278895.34444265;316113.16492109;354527.74740054;222949.40955125;198298.54610901;252167.71451307;221977.84428347;282903.13601941;310481.75669376;318788.89601661;223071.11224884;183322.79190184;163854.3079742;198507.33313398;297521.09214028;201729.38784482;197555.47058395;163259.49454697;198353.47548696
282.25137114734;46205.840149214;34320.283905552;33324.837682968;27004.914896867;25168.998373058;27590.956593178;36316.757561615;34775.903110859;42514.748271042;50674.249740044;36310.148113556;35626.740258631;37733.439531177;36554.661715527;24448.224908855;30198.405510808;24563.563561597;31553.815312966;28131.972726533;32487.170756107;30966.181337012;32531.706386118;31804.00709768;32798.545528763;28035.909660012;31315.710566611;30461.775309781;30446.234279121;40963.3649002;38078.830598074;32473.578639694;33140.497626116;36644.632427315;29865.072305176;45971.316143285;32472.493544251;29776.944334098;34740.397800491;27796.088742603;33030.048903451;27848.610573277;31488.851793813;32193.610670544;27687.604883813;30042.460805513;32101.974353605;37011.103132515;38649.975444966;34632.114756808;32281.36088873;34225.902282464;37423.344478422;43013.498069139;37081.278005767;43440.648397152;36690.398408518;36349.673920658;38827.539985626;32449.111090279;33732.151417653;28604.033529157;38088.314369038;40300.533687254;39821.010973314;44737.566799452;38869.697207724;30597.607400072;37998.671655046;37162.330881574;26756.206094697;38327.927855734;38417.543637353;42668.799826336;42300.827916385;36503.63594738;41430.565650754;38825.685909604;40444.980986276;41533.4024329;52009.072933413;42781.334655216;42955.274778509;39041.92945029;48055.728400346;46020.895922738;51083.184375026;43102.891976482;51963.208085312;47319.074478019;44915.782714652;59231.236419668;57580.764796602;34015.262455106;45542.791518297;46349.027867033;54239.578086861;42742.746225891;43124.54368407;59388.482509132;42110.959265213;49650.79389258;57324.854640428;57347.397744854;47531.83358378;51623.638077046;45349.879027182;45829.145952654;47612.050338428;65246.064245874;51296.059929512;49118.806099413;42157.785890073;38341.982792521;48214.759705283;47093.519726214;61239.955865237;81210.601919443;47193.603385442;45503.00952825;40974.526672684;44181.523956732;41892.516176801;61734.292973884;62087.516861042;67092.71554734;50813.520943946;50939.084624247;41269.38058504;40971.453246825;54699.033172194;66765.067126969;63310.798567423;56357.760266289;39416.38578155;45092.617783915;45933.708518601;55711.85087607;59848.706006768;63259.40612941;44375.006466429;33103.578452418;47134.991121982;52611.257895979;65491.659017764;63176.84879385;54885.463369564;42294.709209387;45291.138607678;30800.581351184;35051.98583305;50261.664654394;33105.25498962;31040.541883036;28607.565299441;37304.033088574
283.24270930542;20848.297182887;20103.259650787;10185.577855189;13777.540856282;14666.61529182;16337.279325841;15619.195992873;8243.8381109271;13947.383273207;15389.229906155;11228.085854643;17499.573657529;23422.781924678;8162.7644147358;6101.1104524943;9946.4063118195;12644.829909475;10585.773898332;8368.9619559327;10637.602079525;9794.6567664314;9995.4660899738;10820.419543026;9981.710759988;7582.8682251817;8432.8414602449;10943.968153457;23210.622292737;15697.793667199;8105.0219421488;19615.796380485;9699.3762842381;12087.325951724;8747.020401275;7322.8587074528;6059.7264505188;6401.3320884968;18675.146308587;19169.509071702;7514.5858592033;8977.0787866643;7739.4038376641;18120.769478779;9534.9109778578;12298.083188223;15225.864960731;18600.086413181;17197.180452742;9699.940129112;13064.3953318;17708.516562229;13859.116962525;11100.569644534;12542.286948337;21526.88114192;18716.324320124;9168.5114297321;8694.8978887914;11802.306573731;6639.1932480081;11846.907029137;21664.214072654;10755.540707071;22258.763792756;19922.924333104;13637.604726159;12936.896691386;14630.686642027;11212.0940999;8571.0992021182;8205.7972096823;15977.337178071;19273.232962344;12429.533976226;10334.600900403;10204.855925775;11725.366607769;12354.832335957;22552.145063966;13790.010354796;12352.100882678;17033.058945563;11608.668889604;8924.3713086033;25678.153035313;20887.26282995;16479.692508102;15011.372685653;33173.110842291;18742.26745303;15714.614132087;13695.296473069;20057.68740626;19640.950943567;15885.054193774;25882.807663836;25290.854649146;22658.19428332;19955.86162543;24128.217108856;26681.623672402;17808.568811552;19831.127752283;16628.069283238;20584.373627672;27687.790507814;17618.641548827;22413.709888447;14059.711840553;25486.829346622;26157.837370742;14967.688501467;20216.446058156;19622.793177346;18536.095977476;16006.284314904;21250.16078575;14811.644686131;13971.218980859;19456.181653908;14443.190157767;20204.438448954;22965.524202783;24644.688055889;19597.212018975;17909.792283037;13091.512813978;16647.804604618;19645.22344041;17844.167199624;23473.140709965;18069.579873257;18246.400643912;11407.554729779;15193.254310572;18034.588217404;19221.369797727;19493.301805742;8585.1190685224;12745.138126715;10147.577350609;19357.840618756;20826.074537587;12127.882281154;19088.964842927;9950.9682101179;9980.765823855;16459.473159248;8404.4318493733;16737.59601684;12657.106162717;13594.945623141;11359.519634899;15834.605860031;10496.078034826
283.26374378257;231212.84999497;207886.80783645;178376.7296998;161780.80097413;176866.64314134;149706.05635517;162710.46265877;185884.263397;228558.54792614;224134.73759706;178084.03546264;189839.81986452;173425.79527739;192207.74924956;151542.40419498;162000.08033639;152752.06424391;170407.42905215;139593.74639057;153036.58309253;166600.06799076;163232.22903184;179970.56512256;162002.99547279;146008.37383624;156927.35466649;188432.03691551;191972.39196715;227070.89419038;207646.9301555;174771.11149369;190148.9433014;180087.76697802;185354.76921122;192422.01836704;160440.23558064;139710.38419897;182134.05596975;166427.78116202;170705.06877433;138862.58224333;158244.28856681;168268.17298497;156868.14294963;147201.86394802;158992.57202995;149532.75781939;167781.39820248;162241.84347848;167298.43020384;209236.79064968;199624.98137617;188565.37621126;189746.77262004;220024.49148049;220834.30653639;185561.38487801;185011.60562245;182558.45682073;175712.0233944;155371.20651823;222757.02301914;187046.79918169;204062.49990306;288190.52362295;214694.38074944;197083.49196608;200017.79126355;176911.08318428;152929.61865718;225825.22471525;226110.83105819;315198.11729123;243369.53933923;246253.91738378;228865.91075428;191908.22335884;212020.08752246;244314.51349988;306233.05775579;223018.74547318;230824.77125035;198808.98977427;238329.71759785;344425.01495222;294694.96534012;211476.91132835;248488.56290163;311414.81945638;301572.55186001;298901.07919256;289565.18598126;246479.19998891;256921.98564534;263092.38373589;279726.42202859;269954.72385948;288502.50927661;294611.60214222;261713.45194281;283824.18920982;313374.4246046;375698.59818915;283140.61883819;261724.51781016;283866.0516249;270230.0862822;260422.56582827;346264.63176576;302525.85170651;290314.02550179;275778.32111932;260794.68330288;267546.28876399;265680.11144578;354894.70931631;491313.65978997;284156.76618444;286549.95064419;254641.55165528;272861.22867032;246147.73980868;305132.90952867;352164.44567316;426637.58669769;259534.09763448;276407.12798597;273314.08256989;280898.18350284;290315.02740954;358282.60890837;369916.80557129;354545.27748781;272968.57414134;272676.49371269;316139.74469635;318249.54660401;373725.15739834;390658.19353389;320242.08068792;313218.26219531;297879.06818127;258823.87679351;321185.19852398;379508.6550123;378187.24228392;316643.41092759;267540.89936931;275805.83133656;231704.58032542;363491.7564367;305581.61231632;303592.29811876;254461.43082693;350781.71353822
284.26705034744;46106.507899945;39377.08078527;36371.067779279;25685.184018577;37318.743335177;28446.851349317;33443.925022117;32870.887948757;45480.274673233;46051.996675802;32569.50739624;38601.431327484;32731.208530408;36583.849161773;25843.344206266;43442.787408373;33758.649915646;32750.321506291;34809.820686082;29840.631045201;34446.528764504;29616.797671683;28876.611288404;29291.666960166;32758.972148739;36613.195428856;37627.468802679;38486.480003224;45078.323498436;41483.116156227;39761.585749714;44612.501728887;43018.822054483;37467.245253017;39466.540109129;36296.489551702;34326.785164278;31551.576285654;41612.951021244;33195.223277702;26981.331587149;26813.943569033;35632.880724819;38646.416891522;30009.719988994;28560.393061654;37724.205973882;30872.614059449;32424.74760692;31992.178607554;38796.095893099;33882.763075044;36938.720528549;36971.187077185;41728.410192746;42572.333262261;40444.879239394;33276.150551167;43576.386350488;34041.338217528;29999.687105744;45646.541552877;31294.67329915;41890.522322615;62643.987576009;42145.376308224;45583.213035386;43934.549533876;28690.374453066;29529.99414209;37256.579955876;37430.930602991;54314.113461318;50638.95540901;40580.281911839;41903.841646422;51563.118183691;39319.772127473;51511.602088554;63990.618238282;42276.001266864;37980.394120373;48772.834299545;39933.349001807;64350.969624094;53695.352186528;45478.37477639;52155.419381078;61984.742347939;54827.378927317;62739.074262203;54894.690116586;44976.641721916;52560.656293457;49318.47600454;50784.667551129;52256.30809329;55722.637435444;53115.661322238;61512.624384751;54986.268109572;59609.426864201;70375.495106997;61637.385341214;54346.494231701;51630.683876681;53791.375036669;53267.451166454;68928.49689953;59488.772992069;53677.568973072;51167.036266488;48365.844253375;46452.449735509;52668.490891385;68653.844225919;91587.437119936;50057.431642545;50999.171736622;58444.889422837;50531.674538466;47398.017802141;57415.572230835;66818.909705153;74854.510872231;50712.607163537;59169.749214961;50970.212675423;45897.076115171;56932.371230536;68518.07535438;78311.891552142;65231.75466544;54215.6581632;44461.954834146;52782.186408048;63660.265873833;67492.911175653;72782.157506449;65369.917788721;50261.924854902;58985.645882286;47134.706814337;57495.524761427;67711.360417859;66980.12497874;64172.329372649;53424.220381533;51235.516701861;51178.285387365;70987.020589734;48403.336044582;58235.956706214;48717.219082659;72537.031333505
286.97742337805;22461.222164245;34031.139833559;30285.565075658;32916.925631796;37249.398632939;28462.402234962;22590.127291882;23447.333618479;17487.781076563;17937.584844396;13687.511896101;19314.538018093;20988.955219087;33930.604898818;18643.739073837;27177.268511151;34440.033736425;19807.529974762;25436.905809756;20189.4773365;24921.477138114;21307.799840577;12918.718997656;17832.824445285;12614.853283212;16554.753749258;30000.156734585;20325.633240679;34606.250295811;23240.583950033;38263.108261319;21230.403141434;26932.209089722;18684.061200577;22764.31226158;29685.34659759;26196.879981019;35286.208630525;21127.421600137;17609.485654135;17184.196301571;17376.89769869;24201.494312381;20928.58393208;21186.607896326;20241.726236889;21629.581836049;26571.783622579;19378.970546667;30155.321405685;28960.993773482;17975.325169053;19867.434708199;22819.739432141;24802.554469691;22071.484636589;30441.424210015;29188.242752428;21958.744763353;24940.17162947;23559.86151784;25908.745870412;27233.947612252;17777.335357824;19246.590763203;15502.013321286;19836.222412906;29244.299008541;25831.57964073;27817.516076591;18417.647144816;33904.752079597;18254.079679816;17673.340215577;16852.376648027;22413.992471559;27840.263861461;33713.113636206;18649.577838396;21699.51672831;21844.197765839;26560.73654933;28716.299993475;21626.771637624;26080.054101556;17688.214720011;27133.519419644;29037.009183028;28582.461671304;19800.147724355;24398.11619378;15462.197790644;25902.30258722;29030.110628501;27833.948880626;27999.308365625;28648.451422106;17807.422394087;23919.561437515;29676.839144899;19716.846728917;21173.583049796;25250.840431354;22443.410204084;23661.637813508;32188.379585691;27179.990673077;19955.849418474;17439.926864175;23157.159031432;34233.795891782;26826.100655289;21879.06364857;33813.550686036;25758.092682994;20552.269029993;18447.763648565;28120.829323337;28370.320441919;26945.481357658;22094.201708296;21297.123867987;26282.060955549;25618.955245186;19335.202356099;23517.999602603;22560.093333015;20581.425057579;10410.636198728;21092.401058987;24878.39913475;29406.312412105;24327.997431055;9899.29025966;16739.302171885;15842.359440222;19132.380522877;16104.930659867;19593.200075569;13367.823536744;25453.706294818;20513.254001074;15076.437088602;9885.6585111072;16366.500442048;20931.371888422;15503.065278912;17895.566186386;14676.616749585;26474.90698439;27765.480776765;12284.183544759;20858.775515346;19929.010997993;16676.429739333
289.02837115647;43724.745014031;38801.843230309;38439.991430473;33156.531805644;30769.103585536;33531.468296421;43081.992912036;36546.676713565;49294.69462369;48035.504110345;37727.771230573;33342.582763236;31589.878886241;41542.423328421;39041.303679284;38531.523957728;31946.970118141;35440.468136332;38951.248636754;37908.344464457;34014.12720251;41371.286549442;42936.683172862;34259.25772223;38614.840023821;25968.646842032;38566.076297515;48247.912875057;37301.069256194;27240.863280512;28629.418417695;37626.023354151;32216.794096101;41007.013777477;42705.361936867;43152.285380586;39052.890444486;39361.974750826;35530.434740023;34205.449939766;39670.687527537;42969.168715169;36029.097608138;44056.423306012;48451.866522141;35028.968829321;31547.244144664;38964.884238493;32351.968149713;37596.77684471;41212.877334067;42848.100612222;43027.092809168;62529.974847932;38799.563310451;36740.215595077;40561.826498225;36153.686555778;34112.855077033;44936.163105253;38287.785176396;36220.874149932;35418.344690368;48057.801085817;45098.548757208;32880.036430449;40014.377316162;31857.856781282;36006.542381715;36501.336127434;42200.739429884;37425.572099851;38451.138975304;36201.890180426;47730.875263776;36763.036735562;38890.011622712;35277.175175565;31235.595563972;50901.70671785;36822.098876489;38072.997595626;27292.08814658;41395.933271895;35044.356968304;35676.89325185;31775.476755135;33822.240839646;33114.590018929;31479.153578034;38284.490165901;35880.142879659;32544.616645025;29671.243340328;33594.612296913;29706.88103956;28185.873435261;29694.000729631;33845.519410192;31987.86301144;26658.813980145;29114.493603578;23234.264410647;36824.296498167;27362.102690722;29603.215544484;27890.904311359;32884.716138022;27618.95244629;29266.022520418;30435.612096659;37827.221930638;34182.84579185;20417.946082762;24637.971503134;24432.348853357;17640.753305994;39502.268793627;37288.346423469;36030.69030881;31028.119822329;36108.911565065;33077.666161275;34273.824762283;26711.946385594;33949.679871882;34968.310528238;36612.208501826;36328.090762627;41057.038353916;25426.584632248;19238.975347071;16707.904290688;38848.637385267;40007.474707542;32317.088629006;38166.961403196;30007.194948551;19542.661802387;17474.972176748;13841.971501692;39466.703453687;31050.523375026;32227.734295189;36262.892102506;26113.540003434;25717.123989772;25754.264169922;29704.754609673;31843.667796904;23334.730596842;26910.918051612;23341.597944355;22975.16945976;17022.800548353
