# Exported with SCiLS Lab Version 12.00.15110
# Export time: 2024-03-25 13:46:59
# Generated from file: Y:\imaging_core\proj_archive\DATA BACKUP-OLD NAS\#394 Nilesh and Biernaskie-brains\220809 Nilesh brain mets\220809 Nilesh four brains mets\220809 Nilesh four brains mets.slx
# Object Full Name: Regions/220809 Nilesh four brains mets/373/373-ventricle
# Object ID: caf83fab-b9bb-4151-ac2a-0db939f93f09
# Object type: Region
# Object creation time: 2024-03-16 09:35:17
# MzRange Name: young-mice-features
# Normalization: Total Ion Count
#
m/z;Spot 12788;Spot 12789;Spot 12894;Spot 12895;Spot 12999;Spot 13000;Spot 13001;Spot 13106;Spot 13107;Spot 13108;Spot 13109;Spot 13212;Spot 13213;Spot 13214;Spot 13215;Spot 13216;Spot 13217;Spot 13321;Spot 13322;Spot 13323;Spot 13324;Spot 13325;Spot 13430;Spot 13431;Spot 13432;Spot 13433;Spot 13434;Spot 13539;Spot 13540;Spot 13541;Spot 13542;Spot 13543;Spot 13649;Spot 13650;Spot 13651;Spot 13652;Spot 13757;Spot 13758;Spot 13759;Spot 13760;Spot 13866;Spot 13867;Spot 13868;Spot 13869;Spot 13975;Spot 13976;Spot 13977;Spot 13978;Spot 14085;Spot 14086;Spot 14087;Spot 14088;Spot 14194;Spot 14195;Spot 14196;Spot 14197;Spot 14303;Spot 14304;Spot 14305;Spot 14306;Spot 14413;Spot 14414;Spot 14415;Spot 14416;Spot 14523;Spot 14524;Spot 14525;Spot 14526;Spot 14633;Spot 14634;Spot 14635;Spot 14636;Spot 14637;Spot 14744;Spot 14745;Spot 14746;Spot 14747;Spot 14854;Spot 14855;Spot 14856;Spot 14857;Spot 14964;Spot 14965;Spot 14966;Spot 14967;Spot 14968;Spot 15074;Spot 15075;Spot 15076;Spot 15077;Spot 15078;Spot 15185;Spot 15186;Spot 15187;Spot 15188;Spot 15189;Spot 15294;Spot 15295;Spot 15296;Spot 15297;Spot 15298;Spot 15403;Spot 15404;Spot 15405;Spot 15406;Spot 15407;Spot 15513;Spot 15514;Spot 15515;Spot 15516;Spot 15517;Spot 15622;Spot 15623;Spot 15624;Spot 15625;Spot 15731;Spot 15732;Spot 15733;Spot 15734;Spot 15840;Spot 15841;Spot 15842;Spot 15950;Spot 15951;Spot 16059
209.62855955469;18459.206347455;16089.743696938;15171.495884107;14304.174122032;16253.330209612;18180.570666701;13720.074865677;12989.936154763;17739.98508585;17174.275141738;24045.639168723;13535.605937654;16240.815959291;9443.6811944199;11075.522588069;16339.950207926;17148.161015289;17408.802482934;10172.78703159;10611.745915898;20185.3632765;21181.361740718;18716.777665789;19185.107349327;15745.903271221;16014.085162179;20078.110241162;23120.356295864;19519.823128141;18417.955097895;21475.669051494;16574.875198468;24463.954604194;12637.695832094;18857.933231936;15250.875400236;24838.17955401;15703.895099295;19041.939483676;24872.614282416;26276.071188448;17051.596696963;17019.5521083;19612.669008742;18293.785470128;13268.431838681;21487.777135244;21173.003693978;15633.770306514;20999.750173204;23392.372666557;21175.388711109;20979.474868102;14351.782167943;25008.332935545;19787.566099734;17381.33446272;17421.402042007;14939.273189341;22447.350308049;17598.635911393;27082.550037954;22115.323720471;20342.007584067;17989.799977967;19154.965166173;24951.015285824;23230.092220336;18690.036015136;20020.251931845;14507.021457375;18462.027666541;23775.854282159;22862.057904148;21125.915701367;24039.424277198;21942.798253245;23710.427068357;25022.675464556;23135.284057778;27490.364777466;23574.893029986;18898.057659423;24296.401423711;20004.557047174;21372.555133959;22222.876694016;21583.259154186;23104.558309107;19656.930145324;18498.65034235;17528.820783269;22701.486809678;18826.679289874;23469.259339359;26112.525381545;18322.717095659;14214.680213026;20787.778435947;25500.437306073;25992.372989254;18576.071422427;16386.036173593;18266.203258653;19136.192667628;16798.922815716;20024.106351479;15285.504689112;23112.882887161;21690.536310942;16770.856526719;17488.523985158;18212.029786622;23698.676528639;24635.154929551;12915.410663471;16558.019769528;22877.32207582;26172.738304122;20819.394287518;16154.846264005;21780.599416398;14836.345065438;22345.90193418;23448.5212062
229.05363493112;0;0;0;5450.9490922471;0;0;0;0;0;0;0;0;0;0;0;0;5180.8631711371;0;6968.3058313222;9597.2435177157;0;0;0;0;0;0;0;0;0;0;0;4403.617937804;0;4036.7279781362;0;0;0;4295.2853264781;0;0;6866.1367796441;0;0;0;0;0;0;5818.1418507301;0;0;0;0;0;0;0;0;3088.9211463607;4695.3617589106;0;0;3749.8399531768;0;6706.6057518747;3660.0909783142;0;0;0;3540.9204327995;0;4840.8986801388;0;5985.9513260328;0;0;0;0;0;3995.1535951737;0;0;0;0;0;0;0;0;0;0;0;0;0;4174.7444818198;0;0;0;0;0;5249.6763639298;0;0;0;3889.4454927167;0;0;0;219.64216987611;0;7950.3733010301;0;0;0;0;0;5609.8329386604;0;0;0;0;0;0;0;0;0;0;0
255.23272548558;17264.942807515;33179.554584337;27450.978220223;35342.484254215;23131.638810814;29294.118215406;31682.457573615;18694.736827926;39059.555089973;32703.903811247;46516.677513441;20386.616099821;27727.824513279;24131.807009381;36102.128746375;43067.793553815;39633.229579209;39124.535612761;33126.726259907;34723.36448291;42844.184194829;33421.036662572;34028.030612981;36458.656389457;30497.150310564;37469.509146311;35064.950578607;36801.092639327;38619.351776234;51126.52589321;36093.986341087;37839.015225562;46430.318083677;31132.700244679;33629.737145744;37909.430964429;44749.384013699;41504.214146066;38604.07233853;42497.042658394;34171.10212667;52078.669953492;33937.959344257;33493.458222874;34064.42733164;42963.842085772;41983.601195688;43291.846202291;39752.714182217;45915.679610412;45352.271699986;38714.936893041;58495.490113824;45667.633221007;47202.410712922;40918.995130299;38038.651306827;49726.934485491;33139.709863308;39637.03523185;54891.460835469;50860.706310069;43392.291037696;42327.732950036;51333.284224715;37577.382087222;50739.445488539;36567.266916536;40665.403282297;38726.53979005;32063.734031464;31529.802380284;39267.506694783;56113.210618809;35873.277585509;45673.321822231;45949.692441016;50384.108631208;54323.633043387;44250.79362542;47924.989632541;55799.741511811;47109.44787317;40314.273407867;39248.075822125;30855.043208915;46655.645567461;51129.564430613;53600.811446555;38585.433320475;32786.337455054;43581.208332477;44674.16302487;36986.912687819;49535.115558752;44599.183488939;44476.147767607;52525.005500026;46354.554437256;42673.125381555;42951.094122354;45021.214324145;43648.951165638;52267.470530641;40083.470220408;34206.238356974;41295.585646525;44666.820071422;52195.162946433;32380.599790077;23348.770346161;39722.3417044;41572.741941125;48055.367369574;41535.365674317;40493.485181477;39565.047020557;56021.512485028;53054.193923415;41749.579106068;37602.409573508;48194.495376101;46049.007413281;46913.601572666;54087.381642367
281.24802818201;366656.84242231;413402.88781791;411719.26748407;457634.08677764;397681.51567405;483188.15721363;320769.18438385;346601.91373901;448609.5196644;379859.39647841;365535.64954588;360645.09953147;448486.6269287;298754.61204628;413426.22770157;301809.96020225;271850.04389122;317590.91194403;283029.03887517;427878.43189699;287855.50102745;242706.20367519;243736.10892466;252869.3512585;403168.23614916;248345.94423891;250831.93498839;242372.27158679;238280.18926803;407544.93365183;283116.9094325;256594.07890342;242934.35980122;401738.38784636;223851.90344598;233006.41210416;269346.95056165;349430.67799677;256620.21840414;264636.8310131;216251.17428712;441156.80682317;268683.81258058;226921.25929093;202387.53484331;327624.13071172;276194.43212278;289723.21746669;323948.23013199;302790.36385664;237261.67903813;224788.51103762;413895.40442625;275098.02597164;285344.89736753;224023.44863139;323067.33416566;335078.00136253;233844.0605482;247702.60781398;409347.9987687;316611.90076788;248822.34808883;255945.34251372;368406.69285445;267196.28996968;288663.29137494;249825.72028786;278503.2518727;270056.95900155;185651.52224187;190883.0576238;238010.11126474;291374.98932656;236979.87631537;246786.10325823;259903.86270175;288796.55951658;301012.12497803;254410.11935863;263357.05265671;292082.63996801;262506.79758008;298772.2947113;227599.80880603;252395.55137464;291678.57634896;335510.94489754;267997.24087303;234918.34482247;227076.794956;289780.45675954;340248.89432922;242415.34772743;302294.0412818;272566.69940304;258596.39151155;400845.41390295;275232.01797512;286884.03521746;275915.61050892;264918.95608507;425443.48879885;325921.31051295;247642.18045968;287025.17338854;360964.43906666;294469.37920434;310006.91721204;289474.63300271;315732.4522886;267338.89462196;337301.61999424;323316.14554465;295044.76818478;238582.56991434;362179.82985047;351180.93024641;313717.6286669;303315.75530156;463229.54693954;319768.7286044;390926.5197301;313139.20720287;435854.07162957
282.25137114734;70299.5516654;79772.289978371;79731.459403336;89565.389359276;72592.663170483;87710.91336541;62659.351273707;65814.155119586;88443.371528737;73618.445222845;65184.419981168;72226.717697263;81334.446129994;57662.461424919;90745.908850397;74428.415131385;53064.405504154;61014.328062322;55760.06322041;91892.274144658;63485.460608784;51098.950782822;55194.382589094;49773.627976855;82540.822007138;53128.962265831;38077.916972279;53685.175589567;56360.236701652;77254.204723565;57589.734342866;54820.026689758;53004.387931719;70660.385074479;43946.983381367;44751.902106864;63739.718770991;66714.826052065;45090.048451159;47479.198092178;40239.124240189;77541.277524614;49115.816634749;41867.832641872;38236.177244273;57923.217517236;55480.367789741;53846.94847425;69928.71720361;59147.853276096;53782.422506349;36470.906000642;89764.94979067;52342.211896075;50774.145265225;43130.966650704;59450.838075036;79424.71925687;51797.880345409;47680.079181212;74676.367981174;57566.333914705;43536.29412821;54333.898835625;76084.711888996;57422.429971878;62255.799731338;48840.933659309;52749.985832789;51322.586868294;40042.646155465;36086.387150011;45213.441786721;46657.169491195;43787.992022923;46039.42835884;55294.367259357;57656.101439508;56585.805151044;37537.149037108;47144.449819437;51941.547297158;50885.309212694;46021.208661998;50966.070407895;53247.70675992;59023.828285163;67189.263982846;55636.356625607;36831.660743625;43686.678694253;53958.111810854;65293.009405451;49320.722486232;55360.432561433;56442.946301177;52462.4804885;81129.662389787;53677.597728293;56311.859608883;65392.701667211;50763.514951094;69035.319745512;70927.944751478;50153.001078658;53848.567586024;76579.395920781;59577.182782856;63301.577052235;62522.484338138;64404.179679545;50823.087370211;61005.268029592;62644.254215985;63658.742637567;41170.205767863;70852.038238434;62831.022578792;50601.605508316;64813.590468364;89071.599113422;56637.979076729;75717.761102222;56579.896658639;76605.27153107
283.24270930542;22850.710924917;31414.167702852;25534.965141136;31591.928214606;18753.859709398;24545.24150201;35482.347179217;18002.821485142;19041.25964929;28281.946230969;62289.409461754;18044.040334737;23990.402976275;13752.399300108;28333.638229151;38243.417243947;55638.740237352;48513.083456349;26003.722036847;22235.917129336;57381.546072777;59395.998618837;57689.282918915;57721.913204077;32876.525768783;58809.248878714;63445.88631269;63211.729579165;70737.080038513;36378.931246715;54539.682406408;67347.00286892;89248.425725032;46831.608708668;70667.901195084;72058.108134725;83672.45019928;39281.759146451;63664.192393434;72123.308010173;80855.85006885;48958.161562109;70267.443100187;61387.011163095;80450.78409149;70458.543767068;80451.032945434;81893.985388364;58398.921116653;75767.068744733;62071.161174067;64364.386644229;64415.007536579;67426.578490491;93685.451959061;69628.025172831;57883.000350052;55770.233424165;70398.250074545;74837.518375535;54928.31298102;91231.233574915;78278.688474831;73507.156625302;68959.627663086;69751.963229851;84567.904973131;75295.763360691;64822.121933491;78893.669606161;56740.04595404;77470.865210462;82918.736509482;80097.670508254;78776.419184111;95888.166132859;79002.060998758;81931.739311278;84728.397458145;78645.1497227;72471.555300774;93468.7053096;69949.166416787;83369.094323897;77043.814067754;61272.974141336;91652.387820412;71526.103743508;79218.765930187;73596.570364678;54355.793322974;70915.87943955;68628.856301781;71446.93801049;73505.749755406;69459.37300573;71935.340292462;51702.166566748;68184.315021942;70503.967956646;72593.951524556;57680.091826292;48360.347846861;79793.79404139;69410.181308619;50961.991491146;67038.899313245;44697.583739346;70535.952585495;47485.853848501;42080.180261178;62828.733992516;45930.131205281;77558.361155476;66791.712378098;54768.72008436;39165.396535812;77591.996735658;68515.862134273;64529.655857242;57533.702445879;70668.868600349;46148.882742016;64202.210188642;63007.866512558
283.26374378257;297994.65482354;391093.98214602;350099.98669316;410909.54853297;310566.14087517;373402.43855582;356822.80360703;263049.74898754;395649.51316651;402313.02495708;533533.58316252;308601.2108398;382167.25009415;299813.54052362;378074.10555846;406969.22497221;420414.51649306;423921.70590986;313590.23251595;364994.21425198;419125.5866232;381661.8241052;434733.71450427;395465.91685756;338396.96278989;405956.69324589;392173.08774405;454044.56737699;426832.87534888;464060.96767484;427974.29028716;415147.4825097;462590.40751492;456747.89204827;400023.37890965;387182.23009385;500386.03280386;386638.04942566;402036.6463472;455007.61232509;385770.96019679;451652.89534656;428472.98316093;410312.08131511;379527.68625045;403212.6844223;494772.92150219;466675.41867868;429717.94486568;471119.3158106;424368.88611479;404912.88453586;477525.04169056;410770.76228775;514652.00634501;407972.92381358;467493.6323733;468691.94898786;394611.86023681;425414.9439689;430412.31254572;518361.80142951;419292.59703756;420209.76590016;510566.53188227;450342.45533623;494248.39382427;417906.50246118;419728.42940731;455044.27711742;323146.88037434;354923.8978967;411331.7801571;490240.8467527;419911.89351102;446689.28746825;400377.41521157;498036.49794175;501968.61404109;446433.18637875;451678.38166159;483131.44650066;434807.10057328;513662.6652644;408908.06037203;350990.54396463;475329.35428428;472736.02268104;483812.08145245;403542.69503868;346265.66212598;462908.11675027;486569.1740955;410592.51319674;496644.52747825;434221.92646355;388677.33182197;425812.0648439;461225.09938673;510621.50151234;475633.88882744;429389.59510548;461290.44446074;520633.59265135;424303.50304635;314838.04848575;450230.41697352;420126.09979466;517732.9037031;344526.35498327;315690.36314867;409501.79687515;419009.63224658;552033.70389839;445909.42035216;377285.44388337;395454.28211252;556007.79720514;492090.23572448;473270.03302013;503506.14528399;489768.26923881;486051.85998172;496134.81145218;481662.94338693
284.26705034744;59856.223548605;73488.996273798;67193.615932036;83443.84792941;64138.520508951;69407.093720848;67067.343164926;53325.385427405;92675.884037861;76174.516249737;93677.74316258;59874.861310181;77129.581400237;48938.465678215;70673.659278196;76097.744987825;83221.203067996;80444.364459138;57296.930847942;69787.747607297;81827.513157846;73132.845133935;74453.87181176;72803.174660958;76110.735349373;77455.349149271;69759.051876933;84243.698820155;81151.842019642;85558.729370879;84816.823224795;83600.904161906;89597.714529156;83873.851492476;77501.248342433;76963.701055958;95416.243094187;80791.497688657;80848.170726429;78201.459591983;79816.581660229;89462.609391342;79989.940824078;70410.887299678;69535.779838307;87782.779914948;99541.397899442;74610.456109261;79017.384081126;97990.308836468;77526.998566763;77823.41804455;102503.09715394;69904.033039228;87316.448739071;68540.930621322;93543.335507645;84179.183070355;77048.489694483;71997.877255602;80399.80055536;101137.56475877;83801.778362788;75006.717000118;97314.129703935;86316.93908111;91330.860186053;83436.830839071;83966.114241883;79539.796123103;69570.846907128;70037.55973312;75370.241672294;101291.60252225;82900.679303774;76511.645850234;88372.242777485;97099.975165742;94395.117212436;93666.970138584;80116.578192944;83314.049418606;77760.282361782;98412.627112812;78939.447531688;65172.312578882;95619.598727206;85053.001907711;100863.53138745;85047.307418016;63662.742891015;95517.06122027;92869.722336322;81163.610347628;84209.888119816;76295.484109462;70149.492606947;83437.340724785;93090.91547208;104419.50259922;84997.72190296;86629.347596453;88272.675834362;100903.32020396;69961.600203169;55087.737177114;85992.287869646;79616.842616335;102660.76490226;67302.632302297;58029.450833559;81921.748024586;75766.636372271;107819.78642013;95018.416324558;64575.001458676;89274.663204357;109860.23641192;82532.286461718;87407.469201043;88914.344083592;91201.410410888;88581.011237963;93015.818639873;103444.15433407
286.97742337805;15753.614572417;13974.070030024;13806.251723015;16040.896739425;10527.1357616;17156.150668476;6924.213901255;14417.750997937;9911.4579414425;8889.304602039;21286.648996522;8317.7277607904;10086.333552482;8987.2906780696;0;7052.3272516102;22780.995359523;10950.48664121;0;0;14911.643386373;29244.549358096;14506.359851229;13766.281633228;7483.5441960963;8079.4407211266;22916.836355858;14033.409735413;13891.634440863;6048.3538562972;12640.307439863;18917.534627215;8307.521411251;9745.0571674985;12679.360921934;22413.886585642;17686.2472594;14408.523423848;21070.440226805;20814.145161048;9452.7155559156;21460.458140972;18167.195018525;14911.992366427;14882.580051271;9377.8059118263;21802.722978454;28727.186090323;10626.926575515;15215.439258807;17185.91149382;21570.721548252;17204.698923968;9124.9386965694;23098.775472371;21737.47709767;6728.5246388764;12918.45834357;20206.803927771;19346.07681894;10415.883525233;21684.423842441;17722.193711712;15860.563802638;13550.148178526;16920.314416434;19906.468019895;25717.774604583;17325.771451597;12659.443127651;19077.25053118;23336.100455316;36144.863479744;25967.771833377;23099.765023496;26898.149013102;33691.464288556;16607.954309811;18342.625129011;14367.059155355;22910.80677147;18224.233775176;14573.849314329;36693.788013514;28041.783300724;27158.639210788;17915.287644601;15332.217084896;15773.702806124;20669.395896563;17586.916840989;13408.157946131;12499.631553144;11381.682456528;30635.88256735;28365.412338223;15132.008314249;14806.937195407;15195.15302988;20297.277703897;30434.410639864;16692.963930806;14798.523407351;23038.642260676;21737.244188468;13513.589497076;6294.704949268;0;13376.035551147;13814.675223406;20036.075371263;11467.478293441;7120.3566697526;17898.190541406;22868.877346205;7200.3288818047;6987.8038651079;26932.826685202;23023.578920347;12934.856523296;8154.2159425294;13903.192804754;11794.991074117;19328.188838437;17456.392736475
289.02837115647;31814.931477569;26053.071299572;30548.348580266;17700.974650478;18955.061182606;19423.80974025;17193.201779771;18945.712305385;14623.406726503;13931.992081809;23128.373564843;19467.01210323;20832.552730237;20292.960795598;15310.629295593;13027.831116487;17797.834774347;19750.281086346;8763.4654990518;6844.8593948682;16253.821741682;18151.379469839;22375.990925863;19337.892650907;11186.675022742;12675.446111674;13404.908938412;16597.251023047;14716.578721408;15619.850521251;13094.008106338;15406.776563209;21461.288099389;10554.697716538;20996.024015104;13941.815241185;14887.000150348;14021.648261245;11071.936222518;18078.840801627;21176.322466152;11971.425306137;12940.370502882;17548.073266793;13054.783173962;12487.683552171;18408.23324159;22585.337290874;6438.5141847729;16484.138829633;10927.072900112;15669.314215674;11701.307523013;15663.230930128;18125.147049673;14688.90384667;19097.411212179;15941.836582247;20706.990762283;14167.902591684;11546.422765953;15099.115396205;23715.243973646;19875.060676773;16929.308586134;24319.568251685;20441.471565801;21679.138834908;13715.575167667;14879.22052884;12500.18500747;19259.190944147;16546.867324961;18955.250154721;17551.957988078;24763.787265773;20815.514866625;19807.760567723;24780.467219715;26980.697402834;17669.460822432;27402.298562011;13592.1877;20253.571434949;20129.889460865;18398.825934261;17780.262459919;16476.207009655;17805.000433769;19745.087484418;17362.54196411;20862.540389819;25697.236974247;15646.354487471;16347.819666396;27842.278856161;18524.484301753;15357.907192681;34654.745416874;17834.306118357;22524.528283597;16047.402243335;19377.425334807;17049.698577038;17247.870632294;27585.022155323;13057.069216695;8649.2007683599;19232.88047921;25251.747068835;26389.749159954;13072.245024719;15908.915094746;27099.553892621;24040.19579804;19125.372054918;16748.161956163;38675.883612077;20355.160170053;26917.877504008;16086.121100564;28353.859407414;16926.181170985;27241.668966309;16222.954045149
