# Exported with SCiLS Lab Version 12.00.15110
# Export time: 2024-03-25 13:43:36
# Generated from file: Y:\imaging_core\proj_archive\DATA BACKUP-OLD NAS\#394 Nilesh and Biernaskie-brains\220809 Nilesh brain mets\220809 Nilesh four brains mets\220809 Nilesh four brains mets.slx
# Object Full Name: Regions/220809 Nilesh four brains mets/271/ventricle-271
# Object ID: ba9772d8-beab-4f87-970f-136c819dd5ce
# Object type: Region
# Object creation time: 2024-03-16 09:32:55
# MzRange Name: young-mice-features
# Normalization: Total Ion Count
#
m/z;Spot 33549;Spot 33662;Spot 33663;Spot 33775;Spot 33776;Spot 33887;Spot 33888;Spot 33889;Spot 33998;Spot 33999;Spot 34000;Spot 34001;Spot 34109;Spot 34110;Spot 34111;Spot 34112;Spot 34113;Spot 34114;Spot 34219;Spot 34220;Spot 34221;Spot 34222;Spot 34223;Spot 34224;Spot 34225;Spot 34328;Spot 34329;Spot 34330;Spot 34331;Spot 34332;Spot 34333;Spot 34334;Spot 34335;Spot 34336;Spot 34437;Spot 34438;Spot 34439;Spot 34440;Spot 34441;Spot 34442;Spot 34443;Spot 34444;Spot 34445;Spot 34446;Spot 34546;Spot 34547;Spot 34548;Spot 34549;Spot 34551;Spot 34552;Spot 34553;Spot 34554;Spot 34555;Spot 34556;Spot 34557;Spot 34662;Spot 34663;Spot 34664;Spot 34665;Spot 34666;Spot 34667;Spot 34771;Spot 34772;Spot 34773;Spot 34774;Spot 34775;Spot 34776;Spot 34881;Spot 34882;Spot 34883;Spot 34884;Spot 34885;Spot 34886;Spot 34989;Spot 34990;Spot 34991;Spot 34992;Spot 34993;Spot 34994;Spot 35098;Spot 35099;Spot 35100;Spot 35101;Spot 35102;Spot 35206;Spot 35207;Spot 35208;Spot 35209;Spot 35210;Spot 35313;Spot 35314;Spot 35315;Spot 35316;Spot 35317;Spot 35420;Spot 35421;Spot 35422;Spot 35423;Spot 35526;Spot 35527;Spot 35528;Spot 35529;Spot 35633;Spot 35634;Spot 35635;Spot 35738;Spot 35739;Spot 35740;Spot 35843;Spot 35844;Spot 35845;Spot 35948;Spot 35949;Spot 35950;Spot 36052;Spot 36053;Spot 36157;Spot 36261;Spot 36364
209.62855955469;0;4532.4931447938;6698.5921618051;0;7820.2310560232;4641.2043286953;0;7418.0860013151;0;5402.7958897191;0;10813.992086651;0;0;7567.7517304174;8917.4181319402;0;8235.4118653925;5333.9450076861;0;10648.917681388;7158.8714263977;5787.0037903001;0;7033.2458243846;0;0;9669.7476669421;0;5042.8714192294;5106.9432586184;6128.6310162285;5634.5448341794;7474.5331268082;8914.5062533382;0;10926.717102127;5385.3850689365;0;0;5202.1071961194;0;0;0;10943.209480588;0;8993.3020376191;7382.9155543079;9549.7908545943;0;0;9722.1020225392;0;7615.8587730612;10581.704307899;6001.6530603733;6326.0852863468;5870.0896118293;6685.480706953;0;6148.4499708427;7298.5187691376;0;0;5635.7570173721;0;0;5875.6759166856;8036.4058416662;6416.5296406213;6148.2325267223;5169.1730390643;7924.8241116808;7609.4444672327;6670.9878221613;0;0;0;0;6519.9915532853;10437.054692612;0;8354.3481198983;0;6614.2165000642;6045.728146883;4687.989007047;7475.3275342589;7465.0797021098;5582.9794746541;6883.6584477738;7680.9585600819;4806.8206090736;8253.0938269293;0;4788.5607039882;3401.9650293581;5915.8235853157;5545.0193423412;6233.3406431805;0;0;6047.9277662363;0;0;0;8092.8333695046;6466.8954987222;0;6973.5416940305;5807.515281239;9615.9847048875;7553.4666920553;6160.039025325;0;7565.4458598721;5385.3404678707;4373.4301681849;11089.525087616
229.05363493112;0;0;3823.9088935117;5772.2463563336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4997.7001566095;0;0;0;0;6273.0233027331;0;0;5482.5287297116;0;4927.0829735916;7158.6049094975;0;0;0;0;5853.3165812701;0;0;0;0;0;0;5352.7069535627;0;0;8470.5504879907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5695.8535749026;0;0;0;0;0;0;0;0;0;0;0;4767.0881729581;0;5040.5958854864;0;7743.6339253572;0;0;12460.501997653;0;5642.7282809841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3620.2414316896;0;0;0;0;0;0;0;4692.6644107079;0;0;0;0;0;0;0
255.23272548558;10822.249101251;16927.485274009;19353.041407899;14547.075726252;13211.726673241;16095.19170976;19049.501701145;18943.436520214;19081.508739369;19026.679937949;15705.158298616;14810.786680172;16468.836114093;12766.807230294;14958.335008348;8973.7233540842;15919.91007293;16360.533099862;16459.20522012;16127.648117571;15715.339961442;15750.204212012;18084.764565273;17057.423578958;22288.571440202;10387.311767864;7887.7031613715;18192.830610587;16995.075412745;17366.020681449;18837.397090176;25209.254206355;21838.800669872;22225.957418016;15813.921832429;20378.379601429;18604.316136608;17905.263774051;10105.807956457;10202.497454714;19727.879351406;22731.339556633;20419.498746825;20012.639236908;0;11671.466380598;11248.24472245;8325.5826888437;21822.533392166;17721.425696621;19662.667446506;18581.239493951;21221.348973607;19346.962469377;19448.376654938;22730.314642119;19391.574076716;12858.184301449;19634.315880135;14875.049197232;17975.156557989;7735.5594545058;12724.102816523;22710.820482985;14358.114312218;18917.18220051;17582.478390947;14256.250633412;20983.222828949;13661.102638545;21178.696016173;18526.873193599;20302.090579645;21231.687336618;22284.396512112;11309.357207159;14329.738703529;23864.093002195;16156.705625576;22696.161804021;12971.515924102;16490.331416518;15237.899463896;13020.175121939;18071.721039783;7745.3250456221;15298.622994941;23080.879915908;17688.717830735;20745.86603917;11105.269607178;11804.832936151;14966.298156305;15712.019521087;21154.365320466;12356.898944829;15586.512400943;19523.014997346;20902.062247779;8769.7090950382;12612.140882222;8480.9775979824;15310.996142521;12121.86536174;10150.3412418;12954.073262158;16906.435312314;16867.376916546;7711.6846309799;17784.372167162;16212.751925332;15144.651201118;15724.587197516;12125.94755197;13076.058882694;11776.295886646;21825.372804223;15942.338399781;13351.449925125
281.24802818201;100505.82504635;97502.456576202;124371.93458554;152787.29282296;113637.91025594;133605.08620534;161919.01323609;155935.23057955;184391.35779272;154468.19662103;154887.10720839;162390.46517993;162613.34155663;127450.7474543;118072.40661811;97065.568598693;122079.35399147;106123.58478259;183630.09024029;121097.67340296;130406.3259026;117520.85740392;147268.30646999;138128.60980748;110159.45754765;95346.251338827;83884.827468816;158342.28906941;149771.80553496;145083.20248015;141418.40821157;143563.85823976;173478.92079891;125112.05557854;148785.74445335;101558.12124306;119884.639683;95510.385427169;136852.03197318;136086.32258168;117429.98130274;145674.37959289;171565.89448342;191789.73323662;142995.09278878;93990.117382077;85982.413746759;117519.33472758;115522.70722851;163114.86565839;189123.68939071;125430.9670819;111956.32187438;143820.3052672;117026.03593498;150280.42460135;134880.23719397;113561.6668559;118720.83334793;112100.08399321;125464.93711382;86317.470240388;148863.06397002;156630.54909492;116532.51183001;125483.03152145;166556.66777519;100297.70627653;171351.58885858;129935.83530025;139961.15646479;135343.44928663;136966.99643563;99477.029999;127812.33721728;148843.27582232;104638.71292298;184345.49367977;126157.61582514;119176.73708345;87048.409092777;130721.11815715;135854.54545376;148380.54858845;72046.58638257;104378.4089901;131357.81847988;171683.19291629;135206.98659678;77507.385836519;72531.302690273;137968.07075477;150017.78515709;157547.28947604;88217.152821748;72070.264043586;124513.76718101;105431.31885881;81575.1170181;79452.689218046;105950.75199944;103734.19370458;87723.322255092;76249.352386436;89757.601334848;82333.216824092;84705.243944295;124961.30789594;69381.590038906;88987.494304827;89434.347017463;77479.59084231;86964.485880752;80192.841107352;66999.318570264;78912.539357913;75125.574600432;80660.231862317;78544.191633559
282.25137114734;24823.955048815;20500.694421897;34164.009900238;28754.883256843;22067.491860172;26850.487915066;24554.075420078;31998.18297293;32115.4420963;23682.11920756;32262.110969705;28313.491015377;34105.672679793;31623.817355308;31741.768728406;25546.131138541;27087.735028063;18089.898120809;28147.444067855;24880.073022253;30148.349080108;20539.956232628;29780.749245946;30190.726840708;24521.512613206;18450.019521411;26779.507705062;35586.030015184;32509.052808388;26463.665118845;28387.512076519;24224.743042705;34965.701312767;30653.615214404;27078.684104853;21845.754646568;21753.240052042;22423.840197682;27983.562316938;37706.135640711;22159.377884436;31652.809189422;31888.935310547;35602.368013929;33617.474579884;15918.2412305;19095.904730384;17094.842417012;24300.665112899;33632.248825378;38418.511572611;28229.931150881;23830.343154565;35534.462125447;24904.559526577;31566.427419438;27114.167726735;21195.172832674;21597.337582141;21439.48253683;22975.678963669;25243.504564169;26399.580989119;29008.403633023;22812.928870011;30642.142667959;39375.599767766;15993.889964098;34249.81626478;28885.980646428;31581.762025929;30379.919241861;27622.869274344;25435.731758061;30146.539845681;29582.387022056;25164.289802975;35274.633643275;28020.033763301;14699.396430854;19845.727154963;26468.268239371;24631.140793563;29571.6153182;23300.028658085;16514.123077293;24207.766010124;33145.684357275;26819.201252592;15701.11240247;15506.903473447;33788.935117498;28871.599264774;29559.750316076;26421.097720793;15036.897062392;22979.886909248;26338.130478755;19557.339555351;16863.480929285;19703.485687488;24913.130221269;20752.494974672;17406.8745614;16715.316395211;12195.064702604;15307.148234122;26397.285603502;16361.671368875;15553.5542263;13435.356862851;19734.841397147;22472.681822292;8847.1221368488;0;13111.61344409;18228.468263717;22249.722101541;12524.72004847
283.24270930542;24722.421637966;31030.242790591;40596.623593544;23795.864858671;41245.261893727;10868.266595128;9956.8524962347;25310.15749333;16853.107197184;10646.222298727;10785.920629031;26512.491071276;9372.2108677506;9892.4249442733;9270.4386943293;12630.12953316;16477.00562481;36508.48277867;14203.677699933;7256.4970775628;27163.880927466;16236.939557961;8019.2322263694;10990.920137679;40040.495241755;15083.759227703;29132.588157004;35731.830703531;12231.319614145;13158.588578764;9686.9756083138;17575.760991781;15150.899425172;30721.798515653;17602.668322802;35272.666308481;37851.353684188;32497.880107953;34528.537452079;18261.029041582;13268.865493538;14935.252044222;15288.344042613;39350.461235369;19403.60146005;23210.133535291;32507.938210197;41641.885737011;35364.515219593;16003.851397878;24315.583682543;19948.430474247;13291.524834564;19847.249470842;33356.913570653;25253.602756437;15535.464694785;13745.739050955;11638.247317271;7868.297356554;29766.751828162;34985.1529945;31144.118083264;16794.205622777;14871.542283403;12783.775876416;20328.927716857;32906.894494203;9450.148587863;25872.031846402;22565.774789672;18807.395415864;32636.552650042;37676.828370337;42547.177798758;19962.278904616;14944.529404526;26106.405740711;26587.192013149;39312.471839976;30131.817680789;18057.418956463;28482.026851868;22734.456940318;39096.357075955;31184.060744978;18135.881584261;28576.110684364;33401.002032774;29641.007203355;32895.134917283;18362.949261933;21900.447113558;35536.419637539;35059.371108082;30783.31904594;15909.90086684;30823.392940916;35896.494120454;29416.964584114;22356.16639359;20837.148361929;34426.382146307;30295.813899513;12077.557538814;32817.373401899;29424.549819975;20322.091556124;28067.497869319;38965.193006979;33023.805850779;34731.959120301;42849.533895854;28765.912081233;30038.270681387;32972.27215714;34020.456226487;40294.60807961;38321.220315639
283.26374378257;128960.50173351;150148.8469391;187409.85006909;205148.60962862;176477.81916757;134883.58453441;161763.99130561;172468.7761988;224625.37748142;188683.94173294;180113.38487149;183894.83004122;174990.77274673;124614.482643;132062.65339329;115084.20600179;118025.26058917;147429.94620557;161133.54082382;139784.61262679;167414.64851784;166559.83972507;198665.84492208;151219.65858527;187919.85705561;98158.912386474;119429.46054849;196608.73176043;161470.93740911;169082.36202521;165897.98817557;179678.60230954;183093.29392699;162289.01918523;108999.26488384;118797.87209198;148980.48200549;162785.59567518;147964.35607186;195306.2445436;159202.34309831;180368.47534962;230959.52150653;213725.57012164;107955.71602221;84060.350905364;116931.71620926;162830.40647531;165934.10582852;183263.66451055;237929.51792904;177053.19649903;148249.27730267;136276.84807869;174530.82410697;141618.11588789;182919.31455326;155161.75511935;135134.75107638;135378.48076193;160297.39859646;123552.42517993;153765.18750286;217859.4735064;163733.53081433;185350.11684418;164522.98551252;140707.60348836;177139.70198932;193197.42307745;227308.05276907;150130.69870695;178211.64252444;180228.88057503;191064.44174862;152094.35001137;141578.586634;238127.64317517;134218.60143258;161121.10127708;136755.61095704;156161.26010369;169369.61455459;128893.50201285;144201.86048693;159536.86678436;170537.25442237;220345.1176362;166492.43165546;154785.14993804;126579.08357295;150390.93696935;163479.19310367;156548.28173488;124516.91529898;97627.080974541;117826.13379159;109206.61298743;132925.69379541;124395.33606876;125614.74868315;116744.40425184;128214.2924167;111355.15545996;78992.58067624;122766.6821119;142399.58122568;123743.0074493;102081.25390852;146625.01123551;124884.18274108;141157.22776662;147720.764758;119878.26476331;105446.60213123;100837.31998569;136587.76594109;131698.00682579;130940.32646918
284.26705034744;23957.884815607;26829.534643643;36468.149839804;35355.740065318;34291.38567523;24920.673482966;31226.226621615;37394.881901004;41054.386943086;35265.382624558;27169.69389856;38373.444757207;41595.882777067;25793.649821277;34159.624885516;23991.987696795;20676.257892619;21507.350818861;29556.641888273;28182.965326809;32200.360606645;25615.986450609;35143.883337651;32357.25575291;31871.74640477;22263.154713499;20754.669331241;31749.039065912;31910.688934193;32749.101340591;38241.541601251;40589.670051276;35510.140752636;36476.039795044;24200.095403362;27560.155748357;28762.297184679;34111.687949947;23743.901909642;35156.937240562;26743.879970461;37177.000880314;30156.785540137;36997.795909252;23459.160416241;28679.722920386;33719.911265053;49401.106978267;30496.293149959;33598.113983353;40173.627377263;31110.989238535;26503.629178118;31635.709127991;23011.302747932;25342.885525984;32326.787800277;34226.835139778;31426.599242258;25433.415266219;32440.63225965;24917.696630485;24626.002730979;38701.44227649;30251.923222467;42445.612118905;28791.242453166;28276.585519392;42215.861814719;46996.631256855;45913.636722391;33727.607871484;37985.261745058;34302.644351387;34101.421824701;27631.813005993;17706.119385835;64059.880161469;36920.079938568;31202.736860848;20615.072162558;27738.981405778;35627.18062711;20892.923460325;33865.878209335;37480.252030187;34710.529073416;44100.928174438;32292.27735857;24753.315729313;22517.036279781;34877.431935133;31062.790550673;32353.409764864;33233.3584805;20849.659082248;29182.860941488;23036.738820062;33777.109655577;24481.94170216;28144.376445523;27008.93119378;27429.554473914;21591.516069633;15101.728488056;27623.837644332;28175.443194294;21253.734151257;32970.027566241;27103.574354609;25658.407324312;25448.01806174;24646.331062037;23909.027029997;22949.013986425;15454.496408004;27134.8405398;22426.66456733;22694.212186674
286.97742337805;11534.974155376;8755.2185822359;15291.983540094;16611.395626252;8308.3362689208;0;6998.1487207667;6411.2915432243;6760.4014273824;5489.9185674853;0;7250.3614315315;9687.6756771766;3651.9987817669;10793.047454293;11587.425397981;11739.22605405;15433.797475416;0;0;12656.404077927;0;0;0;10152.936929996;15583.378065365;6496.2203765104;8234.3544996119;0;0;6346.3412309868;0;6638.3993584466;8599.4279401683;16664.882155097;11680.12576668;10967.051489083;14249.255988252;0;8355.7768615858;0;0;7337.3888017086;10677.568554307;15780.851623788;9717.8277554708;13203.402390606;15424.272187522;12156.20651108;0;0;0;0;0;5431.2958900816;0;8132.902965038;0;0;0;6483.1028669575;0;0;0;326.84380842346;0;7363.1848388954;12059.429656364;0;14720.899719188;0;9937.9217749758;8299.5692702968;8593.1903829419;12507.400418364;0;0;6440.6906054018;7533.3053085734;9092.3375475787;22278.031101959;0;8503.5742065298;13734.564486259;6189.0876996853;0;7022.3445288791;9448.0680765745;12846.106140461;15864.715449267;9495.5594561725;6669.4611745625;10722.740779167;6903.3975538975;10084.961992107;6411.7225101229;0;20354.037136447;16557.603354452;6186.4235908135;0;6381.1886501697;9492.118025469;6094.6309334932;11894.50747875;14479.799106353;6613.3904353276;7904.6531991697;18879.152942863;17287.053416454;8535.4181342508;12230.000565029;14918.645660747;14780.373538042;24557.610301721;19280.933453887;11448.95165915;11871.195102147;14312.522802928
289.02837115647;0;4338.9657044403;0;0;8788.8077120546;30676.188797326;12237.357093737;5617.8492210029;16627.117586844;27413.884460643;20397.409424625;6027.7025752037;15628.828975054;22309.629203795;15996.085129285;17280.440221573;0;0;6886.9627696271;14365.137492474;17860.009945075;20680.437855037;18710.318518017;21742.963451042;9132.2828891928;7938.0107779554;0;0;9415.6842536232;34704.173364449;19101.683218633;12887.227518345;6125.6977117056;6460.2184413301;20083.876497591;9600.7969813372;9533.9024455831;0;10300.466792427;20740.327152826;24298.193313514;17823.388413077;12592.55735702;6883.8817006392;19052.75225678;15996.741659069;0;19003.587807332;11445.301018401;10838.655522507;20672.524036712;11452.303144719;10843.301530761;14247.656753729;8430.7276008777;0;8374.7044477521;24244.523965551;24692.37660604;10554.752879241;6467.5111634344;9262.2689573152;0;11301.237321116;12750.145592892;12318.250404531;13826.817489615;11521.448548802;6376.2524664924;0;17319.682804537;5253.9622193049;10760.704485952;0;0;20499.768453004;7180.4334400587;0;0;11644.178799775;0;0;7954.8305198862;7747.6264196626;8628.6137317816;8882.5141178245;5183.0936165269;0;11017.434580356;0;0;0;14601.391500888;0;0;0;6840.0778402799;0;6976.1557005967;0;13022.208053357;0;0;0;6826.231434601;0;0;0;0;6576.3021192284;6198.693321042;0;0;6098.9764531988;0;14900.833219743;12955.980050863;0;12839.043824006
